Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,5.190000,5.240000,4.530000,4.600000,4.600000,387600
2018-11-06,4.610000,4.820000,4.600000,4.750000,4.750000,158000
2018-11-07,4.760000,4.990000,4.700000,4.950000,4.950000,239900
2018-11-08,4.950000,5.660000,4.510000,5.400000,5.400000,462200
2018-11-09,5.320000,5.320000,4.640000,4.650000,4.650000,220500
2018-11-12,4.580000,4.740000,4.320000,4.430000,4.430000,247700
2018-11-13,4.480000,4.910000,4.450000,4.770000,4.770000,237200
2018-11-14,4.850000,4.890000,4.350000,4.380000,4.380000,159800
2018-11-15,4.360000,4.630000,4.270000,4.580000,4.580000,182100
2018-11-16,4.520000,4.800000,4.400000,4.710000,4.710000,170400
2018-11-19,4.690000,4.710000,4.430000,4.460000,4.460000,85100
2018-11-20,4.380000,4.750000,4.300000,4.450000,4.450000,258700
2018-11-21,4.520000,4.730000,4.380000,4.680000,4.680000,171700
2018-11-23,4.630000,5.150000,4.520000,5.000000,5.000000,292600
2018-11-26,5.050000,5.170000,4.500000,4.720000,4.720000,259000
2018-11-27,4.500000,4.650000,4.460000,4.470000,4.470000,109400
2018-11-28,4.470000,4.650000,4.140000,4.630000,4.630000,307900
2018-11-29,4.690000,4.800000,4.440000,4.770000,4.770000,120700
2018-11-30,4.740000,4.770000,4.300000,4.360000,4.360000,243000
2018-12-03,4.520000,4.740000,4.400000,4.720000,4.720000,225100
2018-12-04,4.680000,4.870000,4.530000,4.530000,4.530000,174800
2018-12-06,4.450000,4.670000,4.440000,4.580000,4.580000,89000
2018-12-07,4.600000,4.660000,4.370000,4.400000,4.400000,120200
2018-12-10,4.390000,4.540000,4.310000,4.450000,4.450000,251400
2018-12-11,4.540000,4.550000,4.390000,4.440000,4.440000,107700
2018-12-12,4.480000,4.620000,4.400000,4.600000,4.600000,159600
2018-12-13,4.630000,4.680000,4.340000,4.390000,4.390000,122200
2018-12-14,4.350000,4.590000,4.330000,4.380000,4.380000,215100
2018-12-17,4.380000,4.780000,4.300000,4.410000,4.410000,250500
2018-12-18,4.450000,4.540000,4.200000,4.270000,4.270000,200500
2018-12-19,4.250000,4.440000,4.210000,4.250000,4.250000,146700
2018-12-20,4.280000,4.330000,3.660000,3.870000,3.870000,270300
2018-12-21,3.860000,3.860000,3.500000,3.510000,3.510000,474100
2018-12-24,3.490000,3.630000,3.200000,3.500000,3.500000,229000
2018-12-26,3.540000,3.860000,3.400000,3.840000,3.840000,173200
2018-12-27,3.740000,3.990000,3.550000,3.700000,3.700000,91400
2018-12-28,3.720000,4.000000,3.720000,3.880000,3.880000,192800
2018-12-31,3.870000,3.990000,3.750000,3.830000,3.830000,145000
2019-01-02,3.740000,4.030000,3.710000,4.000000,4.000000,479500
2019-01-03,3.970000,4.060000,3.760000,3.770000,3.770000,464100
2019-01-04,3.860000,4.170000,3.780000,4.100000,4.100000,465800
2019-01-07,4.140000,4.350000,4.130000,4.200000,4.200000,326300
2019-01-08,4.260000,4.260000,4.020000,4.050000,4.050000,102100
2019-01-09,4.090000,4.100000,3.800000,3.820000,3.820000,212600
2019-01-10,3.800000,3.850000,3.690000,3.750000,3.750000,284800
2019-01-11,3.750000,3.780000,3.660000,3.730000,3.730000,132900
2019-01-14,3.720000,3.760000,3.350000,3.410000,3.410000,211900
2019-01-15,3.420000,3.780000,3.420000,3.720000,3.720000,155800
2019-01-16,3.730000,4.020000,3.700000,3.890000,3.890000,177000
2019-01-17,3.860000,4.190000,3.860000,3.930000,3.930000,125200
2019-01-18,3.940000,3.940000,3.680000,3.690000,3.690000,161400
2019-01-22,3.650000,3.790000,3.500000,3.540000,3.540000,134900
2019-01-23,3.580000,3.640000,3.420000,3.460000,3.460000,68600
2019-01-24,3.460000,3.570000,3.400000,3.510000,3.510000,72200
2019-01-25,3.540000,4.070000,3.490000,3.960000,3.960000,1195200
2019-01-28,3.890000,3.890000,3.560000,3.610000,3.610000,208200
2019-01-29,3.610000,3.760000,3.530000,3.540000,3.540000,46800
2019-01-30,3.570000,3.740000,3.490000,3.710000,3.710000,68900
2019-01-31,3.700000,3.800000,3.640000,3.690000,3.690000,105200
2019-02-01,3.690000,3.890000,3.650000,3.870000,3.870000,94700
2019-02-04,3.860000,3.990000,3.780000,3.980000,3.980000,100200
2019-02-05,4.000000,4.130000,3.800000,3.840000,3.840000,84000
2019-02-06,3.840000,3.880000,3.680000,3.740000,3.740000,41200
2019-02-07,3.710000,3.800000,3.520000,3.740000,3.740000,121900
2019-02-08,3.730000,3.910000,3.730000,3.890000,3.890000,72800
2019-02-11,3.900000,3.950000,3.800000,3.890000,3.890000,41200
2019-02-12,3.910000,3.970000,3.840000,3.890000,3.890000,75600
2019-02-13,3.920000,4.120000,3.850000,3.890000,3.890000,137600
2019-02-14,3.850000,3.870000,3.600000,3.700000,3.700000,184100
2019-02-15,3.710000,3.880000,3.660000,3.870000,3.870000,132800
2019-02-19,3.870000,4.060000,3.710000,3.770000,3.770000,88900
2019-02-20,3.760000,3.770000,3.640000,3.640000,3.640000,100500
2019-02-21,3.630000,3.760000,3.550000,3.750000,3.750000,110000
2019-02-22,3.770000,3.900000,3.750000,3.790000,3.790000,133900
2019-02-25,3.800000,4.040000,3.710000,4.030000,4.030000,166000
2019-02-26,4.030000,4.090000,3.910000,3.990000,3.990000,108000
2019-02-27,3.970000,4.270000,3.970000,4.220000,4.220000,211900
2019-02-28,4.240000,4.480000,4.110000,4.390000,4.390000,430100
2019-03-01,4.440000,4.750000,4.400000,4.570000,4.570000,541900
2019-03-04,4.610000,4.710000,4.200000,4.440000,4.440000,218600
2019-03-05,4.410000,4.510000,4.240000,4.270000,4.270000,125400
2019-03-06,4.270000,4.270000,4.000000,4.020000,4.020000,120000
2019-03-07,4.020000,4.160000,3.960000,4.020000,4.020000,103900
2019-03-08,4.150000,4.150000,3.700000,3.700000,3.700000,381000
2019-03-11,3.740000,4.020000,3.740000,4.010000,4.010000,147800
2019-03-12,3.950000,4.160000,3.950000,4.130000,4.130000,158000
2019-03-13,4.160000,4.180000,3.770000,3.980000,3.980000,115900
2019-03-14,3.980000,4.010000,3.750000,3.750000,3.750000,140400
2019-03-15,3.760000,3.910000,3.760000,3.830000,3.830000,192900
2019-03-18,3.830000,3.900000,3.800000,3.860000,3.860000,102400
2019-03-19,3.890000,3.910000,3.710000,3.730000,3.730000,106400
2019-03-20,3.730000,3.780000,3.660000,3.740000,3.740000,110400
2019-03-21,3.700000,3.830000,3.670000,3.700000,3.700000,112600
2019-03-22,3.700000,3.760000,3.520000,3.530000,3.530000,139900
