Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,7.180000,7.520000,7.170000,7.390000,7.390000,2997500
2018-11-06,7.460000,7.490000,7.250000,7.490000,7.490000,2217100
2018-11-07,6.410000,6.750000,6.300000,6.620000,6.620000,4729300
2018-11-08,6.580000,6.980000,6.560000,6.870000,6.870000,2087300
2018-11-09,6.860000,6.950000,6.700000,6.850000,6.850000,2929600
2018-11-12,6.870000,6.930000,6.620000,6.730000,6.730000,1401100
2018-11-13,6.800000,6.950000,6.650000,6.800000,6.800000,1348700
2018-11-14,6.830000,6.960000,6.650000,6.740000,6.740000,2009600
2018-11-15,6.720000,7.000000,6.680000,6.950000,6.950000,1453200
2018-11-16,6.920000,7.000000,6.740000,6.850000,6.850000,2325900
2018-11-19,6.830000,6.850000,6.670000,6.780000,6.780000,1306400
2018-11-20,6.730000,6.820000,6.640000,6.760000,6.760000,1739000
2018-11-21,6.780000,7.100000,6.730000,7.090000,7.090000,1458900
2018-11-23,7.050000,7.250000,7.010000,7.180000,7.180000,1258400
2018-11-26,7.210000,7.210000,6.890000,6.910000,6.910000,2447600
2018-11-27,6.960000,7.160000,6.870000,7.120000,7.120000,1674400
2018-11-28,7.120000,7.180000,6.960000,7.000000,7.000000,1780500
2018-11-29,7.000000,7.130000,6.850000,6.930000,6.930000,1700800
2018-11-30,6.880000,6.920000,6.540000,6.860000,6.860000,1673600
2018-12-03,6.860000,6.890000,6.630000,6.830000,6.830000,2189100
2018-12-04,6.830000,6.930000,6.400000,6.480000,6.480000,3476300
2018-12-06,6.120000,6.180000,4.820000,5.590000,5.590000,7235400
2018-12-07,5.570000,5.730000,3.540000,4.260000,4.260000,26549400
2018-12-10,4.220000,4.650000,4.090000,4.460000,4.460000,4480900
2018-12-11,4.470000,4.490000,4.180000,4.290000,4.290000,3390300
2018-12-12,4.330000,4.510000,4.230000,4.330000,4.330000,4722900
2018-12-13,4.340000,4.640000,4.340000,4.520000,4.520000,3734200
2018-12-14,4.500000,4.660000,4.350000,4.420000,4.420000,2700100
2018-12-17,4.330000,4.470000,4.060000,4.110000,4.110000,3090800
2018-12-18,4.180000,4.250000,4.000000,4.040000,4.040000,2531600
2018-12-19,4.130000,4.170000,3.740000,3.770000,3.770000,5660900
2018-12-20,3.750000,3.900000,3.560000,3.620000,3.620000,3778700
2018-12-21,3.630000,3.720000,3.290000,3.450000,3.450000,9272500
2018-12-24,3.460000,3.670000,3.370000,3.500000,3.500000,1833300
2018-12-26,3.520000,3.710000,3.410000,3.700000,3.700000,2273500
2018-12-27,3.650000,3.680000,3.160000,3.330000,3.330000,2143800
2018-12-28,3.340000,3.520000,3.270000,3.450000,3.450000,2710200
2018-12-31,3.460000,3.490000,3.210000,3.390000,3.390000,4280500
2019-01-02,3.340000,3.490000,3.140000,3.480000,3.480000,5344500
2019-01-03,3.430000,3.730000,3.400000,3.660000,3.660000,3874800
2019-01-04,3.700000,3.720000,3.560000,3.700000,3.700000,1873100
2019-01-07,3.700000,4.030000,3.650000,3.950000,3.950000,2395600
2019-01-08,4.000000,4.190000,3.840000,3.940000,3.940000,3126600
2019-01-09,3.580000,3.770000,3.470000,3.480000,3.480000,4443000
2019-01-10,3.560000,3.740000,3.540000,3.570000,3.570000,2811900
2019-01-11,3.600000,3.780000,3.570000,3.740000,3.740000,2172500
2019-01-14,3.700000,3.800000,3.620000,3.630000,3.630000,2673500
2019-01-15,3.630000,3.940000,3.580000,3.870000,3.870000,1851400
2019-01-16,3.890000,3.940000,3.620000,3.640000,3.640000,2081300
2019-01-17,3.650000,3.680000,3.560000,3.590000,3.590000,2015400
2019-01-18,3.560000,3.710000,3.560000,3.590000,3.590000,2818200
2019-01-22,3.610000,3.780000,3.490000,3.670000,3.670000,2606800
2019-01-23,3.670000,3.890000,3.650000,3.850000,3.850000,1917900
2019-01-24,3.830000,4.080000,3.820000,4.060000,4.060000,2587800
2019-01-25,4.060000,4.330000,4.060000,4.190000,4.190000,2339700
2019-01-28,4.150000,4.230000,3.940000,3.960000,3.960000,2325200
2019-01-29,4.000000,4.180000,3.900000,4.090000,4.090000,2989500
2019-01-30,4.070000,4.230000,3.990000,4.070000,4.070000,2535900
2019-01-31,4.080000,4.110000,3.750000,3.760000,3.760000,2475500
2019-02-01,3.740000,3.840000,3.680000,3.840000,3.840000,3129300
2019-02-04,3.820000,4.220000,3.820000,4.160000,4.160000,2362000
2019-02-05,4.190000,4.330000,4.160000,4.220000,4.220000,1069000
2019-02-06,4.230000,4.420000,4.220000,4.290000,4.290000,1316600
2019-02-07,4.270000,4.380000,4.180000,4.310000,4.310000,1760100
2019-02-08,4.280000,4.310000,3.990000,4.140000,4.140000,1226100
2019-02-11,4.180000,4.230000,4.010000,4.060000,4.060000,1990400
2019-02-12,4.070000,4.350000,4.070000,4.200000,4.200000,2157300
2019-02-13,4.210000,4.300000,4.110000,4.270000,4.270000,1622100
2019-02-14,4.270000,4.370000,4.260000,4.330000,4.330000,1022100
2019-02-15,4.360000,4.470000,4.270000,4.440000,4.440000,1192000
2019-02-19,4.450000,4.500000,4.310000,4.450000,4.450000,1020700
2019-02-20,4.440000,4.550000,4.020000,4.040000,4.040000,2411800
2019-02-21,4.030000,4.130000,4.020000,4.080000,4.080000,1615400
2019-02-22,4.090000,4.220000,4.070000,4.200000,4.200000,1727500
2019-02-25,4.210000,4.220000,3.990000,4.020000,4.020000,1616500
2019-02-26,4.010000,4.160000,3.940000,4.120000,4.120000,1833200
2019-02-27,4.100000,4.130000,3.780000,3.810000,3.810000,3168000
2019-02-28,3.560000,4.090000,3.420000,4.050000,4.050000,3345200
2019-03-01,4.090000,4.290000,3.980000,4.290000,4.290000,1984700
2019-03-04,4.290000,4.430000,3.860000,3.980000,3.980000,3924100
2019-03-05,4.000000,4.030000,3.930000,3.970000,3.970000,1838500
2019-03-06,3.960000,3.980000,3.600000,3.620000,3.620000,2655300
2019-03-07,3.610000,3.730000,3.590000,3.650000,3.650000,2008700
2019-03-08,3.620000,3.800000,3.610000,3.770000,3.770000,1846000
2019-03-11,3.830000,3.870000,3.690000,3.710000,3.710000,2688700
2019-03-12,3.710000,4.260000,3.660000,3.740000,3.740000,14445700
2019-03-13,3.780000,3.790000,3.500000,3.510000,3.510000,5573700
2019-03-14,3.520000,3.820000,3.520000,3.670000,3.670000,3048100
2019-03-15,3.670000,3.690000,3.360000,3.380000,3.380000,4689800
2019-03-18,3.390000,3.460000,3.320000,3.440000,3.440000,3161200
2019-03-19,3.470000,3.620000,3.440000,3.590000,3.590000,2287700
2019-03-20,3.530000,3.620000,3.480000,3.500000,3.500000,2002800
2019-03-21,3.490000,3.550000,3.360000,3.360000,3.360000,1929000
2019-03-22,3.350000,3.530000,3.350000,3.500000,3.500000,2376500
2019-03-25,3.500000,3.550000,3.330000,3.430000,3.430000,1754600
2019-03-26,3.440000,3.550000,3.270000,3.310000,3.310000,1480000
2019-03-27,3.310000,3.380000,3.220000,3.270000,3.270000,1495000
2019-03-28,3.270000,3.400000,3.210000,3.390000,3.390000,1833800
2019-03-29,3.380000,3.540000,3.380000,3.520000,3.520000,1479300
2019-04-01,3.530000,3.640000,3.370000,3.560000,3.560000,2295300
2019-04-02,3.550000,3.560000,3.340000,3.370000,3.370000,2016100
2019-04-03,3.380000,3.520000,3.380000,3.430000,3.430000,2390900
2019-04-04,3.420000,3.510000,3.380000,3.420000,3.420000,1358700
2019-04-05,3.420000,3.480000,3.300000,3.350000,3.350000,2346900
2019-04-08,3.360000,3.460000,3.320000,3.410000,3.410000,1851300
2019-04-09,3.400000,3.430000,3.320000,3.350000,3.350000,1366100
2019-04-10,3.350000,3.400000,3.210000,3.240000,3.240000,2652200
2019-04-11,3.250000,3.250000,3.120000,3.120000,3.120000,1667800
2019-04-12,3.160000,3.170000,2.980000,3.030000,3.030000,4118600
2019-04-15,3.130000,3.220000,3.000000,3.040000,3.040000,3083900
2019-04-16,3.050000,3.110000,2.880000,3.090000,3.090000,3281000
2019-04-17,3.120000,3.140000,2.860000,2.920000,2.920000,2099800
2019-04-18,2.920000,2.940000,2.670000,2.770000,2.770000,6674300
2019-04-22,3.050000,3.170000,2.950000,2.990000,2.990000,5558100
2019-04-23,2.900000,3.000000,2.720000,2.980000,2.980000,3087800
2019-04-24,2.990000,2.990000,2.850000,2.910000,2.910000,2011600
2019-04-25,2.930000,3.050000,2.830000,2.990000,2.990000,2414900
2019-04-26,2.980000,3.070000,2.870000,3.020000,3.020000,1530400
2019-04-29,2.970000,3.050000,2.950000,2.970000,2.970000,1076400
2019-04-30,2.960000,2.990000,2.670000,2.700000,2.700000,2877100
2019-05-01,2.710000,2.830000,2.660000,2.760000,2.760000,1435000
2019-05-02,2.770000,2.800000,2.640000,2.710000,2.710000,1944900
2019-05-03,2.740000,2.870000,2.700000,2.850000,2.850000,1374300
2019-05-06,2.800000,3.080000,2.800000,3.030000,3.030000,2436600
2019-05-07,3.600000,3.650000,3.260000,3.550000,3.550000,10490800
2019-05-08,3.610000,4.840000,3.610000,4.600000,4.600000,19398000
2019-05-09,4.380000,4.540000,4.290000,4.470000,4.470000,3624000
2019-05-10,4.400000,4.790000,4.350000,4.490000,4.490000,2412600
2019-05-13,4.250000,4.350000,4.010000,4.090000,4.090000,1991300
2019-05-14,4.130000,4.390000,4.090000,4.330000,4.330000,1268300
2019-05-15,4.320000,4.390000,4.210000,4.340000,4.340000,1071100
2019-05-16,4.340000,4.480000,4.230000,4.270000,4.270000,1111100
2019-05-17,4.240000,4.360000,4.180000,4.190000,4.190000,973800
2019-05-20,4.180000,4.270000,4.070000,4.180000,4.180000,1531100
2019-05-21,4.220000,4.560000,4.130000,4.390000,4.390000,1772600
2019-05-22,4.480000,4.580000,4.180000,4.280000,4.280000,1299600
2019-05-23,4.250000,4.360000,4.180000,4.270000,4.270000,1323500
2019-05-24,4.300000,4.350000,4.030000,4.040000,4.040000,1223600
2019-05-28,4.020000,4.080000,3.820000,3.850000,3.850000,1510500
2019-05-29,3.790000,4.140000,3.690000,4.090000,4.090000,3565500
2019-05-30,4.080000,4.190000,3.850000,3.890000,3.890000,2473800
2019-05-31,3.850000,4.120000,3.760000,4.120000,4.120000,1404500
2019-06-03,4.120000,4.120000,3.950000,4.050000,4.050000,1079900
2019-06-04,4.070000,4.310000,4.070000,4.260000,4.260000,2237800
2019-06-05,4.420000,4.550000,4.130000,4.310000,4.310000,2517300
2019-06-06,4.300000,4.430000,4.200000,4.320000,4.320000,1428100
2019-06-07,4.330000,4.390000,4.220000,4.380000,4.380000,954000
2019-06-10,4.410000,4.520000,4.280000,4.310000,4.310000,1459700
2019-06-11,4.330000,4.370000,4.120000,4.170000,4.170000,2352100
2019-06-12,4.140000,4.170000,3.980000,4.090000,4.090000,1444300
2019-06-13,4.140000,4.380000,4.060000,4.360000,4.360000,1123400
2019-06-14,4.340000,4.340000,4.140000,4.250000,4.250000,710700
2019-06-17,4.230000,4.410000,4.110000,4.340000,4.340000,1123500
2019-06-18,4.380000,4.490000,4.350000,4.480000,4.480000,1105200
2019-06-19,4.490000,4.860000,4.450000,4.650000,4.650000,2737200
2019-06-20,4.700000,4.840000,4.660000,4.740000,4.740000,1312400
2019-06-21,4.720000,4.800000,4.500000,4.780000,4.780000,1957100
2019-06-24,4.800000,4.830000,4.660000,4.730000,4.730000,1087100
2019-06-25,4.630000,4.820000,4.360000,4.650000,4.650000,1966300
2019-06-26,4.660000,4.890000,4.640000,4.800000,4.800000,1717200
2019-06-27,4.820000,5.290000,4.820000,5.150000,5.150000,2497500
2019-06-28,5.100000,5.460000,5.060000,5.150000,5.150000,2482200
2019-07-01,5.240000,5.400000,5.120000,5.180000,5.180000,1556600
2019-07-02,5.170000,5.400000,5.070000,5.180000,5.180000,1385800
2019-07-03,5.200000,5.320000,5.100000,5.250000,5.250000,700700
2019-07-05,5.270000,5.350000,5.020000,5.070000,5.070000,1256000
2019-07-08,5.040000,5.230000,4.930000,4.970000,4.970000,1206200
2019-07-09,4.950000,5.080000,4.840000,4.980000,4.980000,1320600
2019-07-10,5.010000,5.030000,4.670000,4.850000,4.850000,1204100
2019-07-11,4.820000,4.860000,4.530000,4.580000,4.580000,1484600
2019-07-12,4.570000,4.660000,4.420000,4.450000,4.450000,1138600
2019-07-15,4.440000,4.440000,4.270000,4.340000,4.340000,915600
2019-07-16,4.340000,4.450000,4.170000,4.200000,4.200000,1096900
2019-07-17,4.200000,4.210000,4.080000,4.120000,4.120000,818200
2019-07-18,4.100000,4.120000,3.780000,3.870000,3.870000,1293800
2019-07-19,3.870000,3.970000,3.770000,3.840000,3.840000,859000
2019-07-22,3.860000,3.920000,3.740000,3.780000,3.780000,925500
2019-07-23,3.970000,3.970000,3.610000,3.620000,3.620000,1159800
2019-07-24,3.620000,3.760000,3.580000,3.690000,3.690000,775500
2019-07-25,3.690000,3.690000,3.440000,3.440000,3.440000,2991200
2019-07-26,3.440000,3.580000,3.440000,3.480000,3.480000,1033500
2019-07-29,3.490000,3.580000,3.360000,3.520000,3.520000,2536100
2019-07-30,3.500000,3.800000,3.460000,3.680000,3.680000,1430400
2019-07-31,3.710000,3.860000,3.680000,3.720000,3.720000,1946700
2019-08-01,4.040000,4.300000,3.480000,3.640000,3.640000,2632600
2019-08-02,3.620000,3.710000,3.390000,3.450000,3.450000,1625100
2019-08-05,3.450000,3.450000,3.110000,3.140000,3.140000,1939100
