Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,5.400000,6.000000,4.500000,5.320000,5.320000,59100
2018-11-06,5.500000,5.500000,4.910000,5.000000,5.000000,22700
2018-11-07,5.000000,5.050000,4.190000,4.590000,4.590000,50700
2018-11-08,4.650000,4.820000,3.920000,4.390000,4.390000,36200
2018-11-09,4.800000,4.800000,3.950000,4.400000,4.400000,12400
2018-11-12,4.260000,4.600000,3.560000,3.850000,3.850000,22100
2018-11-13,3.670000,4.020000,3.670000,3.800000,3.800000,37000
2018-11-14,3.670000,4.000000,3.670000,3.860000,3.860000,14300
2018-11-15,3.670000,4.110000,3.670000,4.050000,4.050000,23000
2018-11-16,4.050000,4.050000,3.960000,4.000000,4.000000,3900
2018-11-19,3.910000,3.910000,3.520000,3.520000,3.520000,16000
2018-11-20,3.500000,4.000000,3.320000,3.810000,3.810000,10000
2018-11-21,4.000000,4.050000,3.850000,3.920000,3.920000,18700
2018-11-23,3.930000,3.980000,3.910000,3.910000,3.910000,600
2018-11-26,3.970000,4.180000,3.970000,4.050000,4.050000,34600
2018-11-27,3.990000,4.000000,3.940000,3.940000,3.940000,4200
2018-11-28,3.930000,3.930000,3.920000,3.920000,3.920000,400
2018-11-29,3.930000,4.010000,3.620000,3.700000,3.700000,6300
2018-11-30,3.710000,3.990000,3.650000,3.650000,3.650000,15700
2018-12-03,3.790000,3.860000,3.750000,3.800000,3.800000,17900
2018-12-04,3.730000,3.860000,3.660000,3.660000,3.660000,3900
2018-12-06,3.790000,3.800000,3.730000,3.800000,3.800000,3900
2018-12-07,3.780000,3.800000,3.780000,3.800000,3.800000,15800
2018-12-10,3.640000,3.780000,3.640000,3.780000,3.780000,16800
2018-12-11,3.800000,3.800000,3.580000,3.740000,3.740000,2800
2018-12-12,3.640000,3.770000,3.600000,3.750000,3.750000,20700
2018-12-13,3.580000,3.750000,3.580000,3.650000,3.650000,5100
2018-12-14,3.650000,3.740000,3.580000,3.650000,3.650000,4000
2018-12-17,3.650000,3.650000,3.440000,3.560000,3.560000,21500
2018-12-18,3.790000,3.790000,3.470000,3.480000,3.480000,14300
2018-12-19,3.490000,3.540000,3.220000,3.250000,3.250000,4200
2018-12-20,3.150000,3.310000,2.710000,2.970000,2.970000,44000
2018-12-21,3.000000,3.010000,2.860000,3.000000,3.000000,47400
2018-12-24,3.120000,3.120000,3.000000,3.000000,3.000000,116600
