Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,5.240000,5.290000,5.100000,5.150000,5.150000,133200
2018-11-06,5.170000,5.200000,5.040000,5.170000,5.170000,83900
2018-11-07,5.220000,5.430000,5.120000,5.350000,5.350000,267800
2018-11-08,5.340000,5.460000,5.260000,5.300000,5.300000,149300
2018-11-09,5.260000,5.350000,4.820000,5.020000,5.020000,335900
2018-11-12,5.050000,5.050000,4.930000,4.940000,4.940000,160400
2018-11-13,4.940000,5.090000,4.940000,4.950000,4.950000,167200
2018-11-14,4.960000,5.070000,4.650000,4.830000,4.830000,176000
2018-11-15,4.780000,4.920000,4.660000,4.790000,4.790000,152400
2018-11-16,4.750000,4.920000,4.710000,4.780000,4.780000,144600
2018-11-19,4.700000,4.870000,4.550000,4.840000,4.840000,298800
2018-11-20,4.720000,4.960000,4.660000,4.850000,4.850000,291400
2018-11-21,4.890000,5.350000,4.870000,5.240000,5.240000,206900
2018-11-23,5.190000,5.430000,5.080000,5.130000,5.130000,109800
2018-11-26,5.150000,5.300000,5.080000,5.240000,5.240000,167600
2018-11-27,5.210000,5.230000,5.050000,5.110000,5.110000,114000
2018-11-28,5.220000,5.300000,5.060000,5.200000,5.200000,210600
2018-11-29,5.140000,5.320000,5.100000,5.210000,5.210000,157100
2018-11-30,5.180000,5.360000,5.180000,5.300000,5.300000,204400
2018-12-03,5.300000,5.450000,5.240000,5.390000,5.390000,171800
2018-12-04,5.380000,5.390000,5.000000,5.070000,5.070000,192700
2018-12-06,5.020000,5.290000,4.950000,5.210000,5.210000,146700
2018-12-07,5.180000,5.390000,5.120000,5.150000,5.150000,161200
2018-12-10,5.080000,5.250000,4.960000,5.200000,5.200000,254500
2018-12-11,5.300000,5.350000,4.750000,5.080000,5.080000,840000
2018-12-12,5.080000,5.610000,5.030000,5.250000,5.250000,331300
2018-12-13,5.250000,5.420000,5.130000,5.180000,5.180000,235200
2018-12-14,5.170000,5.420000,5.150000,5.220000,5.220000,337700
2018-12-17,5.220000,5.310000,5.000000,5.060000,5.060000,247600
2018-12-18,5.100000,5.160000,4.960000,5.050000,5.050000,243900
2018-12-19,5.060000,5.170000,4.670000,4.750000,4.750000,253700
2018-12-20,4.750000,4.790000,4.300000,4.400000,4.400000,462800
2018-12-21,4.400000,4.400000,4.080000,4.100000,4.100000,616500
2018-12-24,4.100000,4.220000,4.030000,4.040000,4.040000,302000
2018-12-26,4.030000,4.250000,4.030000,4.170000,4.170000,252800
2018-12-27,4.050000,4.340000,3.850000,4.120000,4.120000,379600
2018-12-28,4.000000,4.210000,3.920000,4.090000,4.090000,280900
2018-12-31,4.140000,4.190000,3.920000,4.100000,4.100000,446900
2019-01-02,4.040000,4.310000,4.010000,4.270000,4.270000,133100
2019-01-03,4.200000,4.370000,4.080000,4.140000,4.140000,268300
2019-01-04,4.150000,4.620000,4.150000,4.490000,4.490000,281900
2019-01-07,4.500000,4.750000,4.340000,4.740000,4.740000,275500
