Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,7.800000,7.920000,7.560000,7.680000,7.680000,4900
2018-11-06,7.680000,8.160000,7.320000,7.920000,7.920000,6200
2018-11-07,7.680000,8.040000,7.320000,7.680000,7.680000,2900
2018-11-08,7.320000,7.680000,6.960000,7.200000,7.200000,25300
2018-11-09,7.320000,7.320000,6.360000,6.360000,6.360000,25100
2018-11-12,6.360000,6.600000,6.360000,6.360000,6.360000,3600
2018-11-13,6.360000,6.960000,6.360000,6.480000,6.480000,2700
2018-11-14,6.360000,6.840000,6.360000,6.360000,6.360000,3600
2018-11-15,6.600000,6.960000,6.600000,6.960000,6.960000,11400
2018-11-16,6.960000,7.920000,6.600000,6.840000,6.840000,20500
2018-11-19,6.720000,7.200000,6.600000,7.080000,7.080000,11000
2018-11-20,7.200000,7.200000,6.720000,6.840000,6.840000,7900
2018-11-21,6.960000,7.080000,6.840000,6.960000,6.960000,4700
2018-11-23,7.200000,7.200000,6.960000,7.200000,7.200000,2800
2018-11-26,7.200000,7.560000,7.200000,7.560000,7.560000,29700
2018-11-27,7.800000,7.800000,7.320000,7.440000,7.440000,10000
2018-11-28,7.560000,7.800000,7.440000,7.680000,7.680000,9400
2018-11-29,7.440000,8.280000,7.200000,7.800000,7.800000,17200
2018-11-30,7.920000,8.400000,7.800000,8.280000,8.280000,34000
2018-12-03,8.400000,9.000000,8.400000,8.640000,8.640000,21900
2018-12-04,8.880000,8.880000,8.040000,8.160000,8.160000,6100
2018-12-06,7.920000,8.400000,7.560000,8.280000,8.280000,8200
2018-12-07,8.280000,8.280000,7.800000,8.160000,8.160000,5000
2018-12-10,7.920000,8.160000,7.800000,8.040000,8.040000,2200
2018-12-11,7.680000,7.920000,7.200000,7.560000,7.560000,4200
2018-12-12,7.440000,7.920000,7.320000,7.680000,7.680000,2400
2018-12-13,7.800000,7.800000,6.960000,7.080000,7.080000,4800
2018-12-14,6.840000,7.560000,6.600000,6.840000,6.840000,3700
2018-12-17,6.600000,7.200000,6.600000,6.720000,6.720000,4000
2018-12-18,6.840000,7.200000,6.840000,7.080000,7.080000,4000
2018-12-19,7.200000,7.200000,6.480000,6.480000,6.480000,4800
2018-12-20,6.720000,7.080000,6.000000,6.120000,6.120000,8700
2018-12-21,6.360000,6.720000,6.120000,6.240000,6.240000,5200
2018-12-24,6.240000,6.360000,6.120000,6.120000,6.120000,2900
2018-12-26,6.120000,6.480000,5.760000,5.760000,5.760000,10600
2018-12-27,5.880000,6.240000,5.640000,5.760000,5.760000,9500
2018-12-28,6.000000,6.000000,5.760000,5.880000,5.880000,12400
2018-12-31,5.760000,6.000000,5.760000,6.000000,6.000000,27300
2019-01-02,6.000000,6.360000,5.760000,6.360000,6.360000,9500
2019-01-03,6.360000,6.360000,6.240000,6.240000,6.240000,1900
2019-01-04,6.000000,6.480000,5.880000,5.880000,5.880000,9100
2019-01-07,6.120000,6.600000,6.000000,6.600000,6.600000,6200
2019-01-08,6.480000,6.720000,6.480000,6.600000,6.600000,4200
2019-01-09,6.600000,7.080000,6.480000,6.840000,6.840000,4300
2019-01-10,6.720000,6.720000,6.240000,6.720000,6.720000,3500
2019-01-11,6.360000,6.600000,6.240000,6.600000,6.600000,2600
2019-01-14,6.120000,6.600000,6.120000,6.480000,6.480000,3400
2019-01-15,6.120000,6.600000,6.120000,6.240000,6.240000,11800
2019-01-16,6.360000,6.360000,6.120000,6.240000,6.240000,3700
2019-01-17,6.240000,6.600000,6.120000,6.360000,6.360000,11600
