Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,3.100000,3.120000,2.950000,3.080000,3.080000,116300
2018-11-06,3.080000,3.080000,2.900000,3.080000,3.080000,173100
2018-11-07,3.200000,3.590000,3.090000,3.520000,3.520000,452100
2018-11-08,3.550000,3.550000,3.370000,3.390000,3.390000,169000
2018-11-09,3.350000,3.450000,3.300000,3.330000,3.330000,110300
2018-11-12,3.310000,3.310000,3.050000,3.140000,3.140000,100900
2018-11-13,3.070000,3.270000,3.040000,3.190000,3.190000,134600
2018-11-14,3.200000,3.300000,3.160000,3.250000,3.250000,73400
2018-11-15,3.250000,3.530000,3.220000,3.410000,3.410000,179900
2018-11-16,3.350000,3.400000,3.260000,3.320000,3.320000,52000
2018-11-19,3.290000,3.300000,3.030000,3.100000,3.100000,160200
2018-11-20,3.050000,3.240000,3.050000,3.140000,3.140000,160000
2018-11-21,3.140000,3.210000,3.080000,3.090000,3.090000,36800
2018-11-23,3.080000,3.210000,3.080000,3.170000,3.170000,20000
2018-11-26,3.200000,3.270000,3.150000,3.250000,3.250000,94400
2018-11-27,3.180000,3.430000,3.160000,3.340000,3.340000,136500
2018-11-28,3.330000,3.360000,3.200000,3.330000,3.330000,99000
2018-11-29,3.330000,3.440000,3.260000,3.440000,3.440000,70500
2018-11-30,3.410000,3.550000,3.350000,3.460000,3.460000,133400
2018-12-03,3.430000,3.570000,3.320000,3.520000,3.520000,140700
2018-12-04,3.530000,3.590000,3.350000,3.420000,3.420000,220000
2018-12-06,3.300000,3.580000,3.300000,3.460000,3.460000,107200
2018-12-07,3.440000,3.450000,3.180000,3.300000,3.300000,90300
2018-12-10,3.250000,3.310000,3.170000,3.210000,3.210000,118100
2018-12-11,3.200000,3.260000,3.090000,3.160000,3.160000,123900
2018-12-12,3.160000,3.290000,3.140000,3.200000,3.200000,116200
2018-12-13,3.210000,3.230000,3.030000,3.150000,3.150000,97900
2018-12-14,3.200000,3.200000,2.970000,3.040000,3.040000,106100
2018-12-17,3.000000,3.060000,2.810000,2.850000,2.850000,215800
2018-12-18,2.830000,2.850000,2.630000,2.750000,2.750000,236200
2018-12-19,2.750000,2.750000,2.580000,2.730000,2.730000,238400
2018-12-20,2.600000,2.630000,2.400000,2.410000,2.410000,461800
2018-12-21,2.400000,2.470000,2.250000,2.340000,2.340000,281600
2018-12-24,2.300000,2.300000,2.100000,2.170000,2.170000,278800
2018-12-26,2.270000,2.330000,2.180000,2.330000,2.330000,240400
2018-12-27,2.320000,2.500000,2.060000,2.490000,2.490000,260100
2018-12-28,2.490000,2.490000,2.260000,2.330000,2.330000,189300
2018-12-31,2.310000,2.330000,2.000000,2.170000,2.170000,494500
2019-01-02,2.170000,2.450000,2.170000,2.350000,2.350000,252300
2019-01-03,2.370000,2.460000,2.300000,2.440000,2.440000,88600
2019-01-04,2.480000,2.690000,2.410000,2.520000,2.520000,123000
2019-01-07,2.510000,2.720000,2.510000,2.570000,2.570000,141500
2019-01-08,2.600000,2.700000,2.490000,2.660000,2.660000,72700
2019-01-09,2.650000,2.910000,2.630000,2.780000,2.780000,164900
2019-01-10,2.800000,3.020000,2.760000,3.020000,3.020000,101700
2019-01-11,2.990000,3.030000,2.890000,2.940000,2.940000,117200
2019-01-14,2.910000,2.970000,2.800000,2.830000,2.830000,74300
2019-01-15,2.850000,2.900000,2.820000,2.890000,2.890000,39200
2019-01-16,2.950000,3.030000,2.920000,2.990000,2.990000,52400
2019-01-17,3.000000,3.140000,2.950000,3.140000,3.140000,90200
2019-01-18,3.150000,3.180000,3.070000,3.170000,3.170000,101200
2019-01-22,3.330000,3.630000,3.290000,3.570000,3.570000,309900
2019-01-23,3.580000,3.660000,3.450000,3.590000,3.590000,328700
2019-01-24,3.620000,3.620000,3.450000,3.550000,3.550000,122800
2019-01-25,3.540000,3.640000,3.520000,3.640000,3.640000,210000
2019-01-28,3.680000,3.680000,3.540000,3.580000,3.580000,182200
2019-01-29,3.600000,3.630000,3.550000,3.570000,3.570000,136300
2019-01-30,3.560000,3.620000,3.560000,3.570000,3.570000,87700
2019-01-31,3.590000,3.600000,3.360000,3.450000,3.450000,213400
2019-02-01,3.480000,3.550000,3.390000,3.490000,3.490000,113700
