Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,24.000000,24.000000,23.100000,23.100000,23.100000,1400
2018-11-06,22.799999,24.000000,22.500000,22.500000,22.500000,2100
2018-11-07,22.500000,23.400000,18.900000,20.700001,20.700001,9000
2018-11-08,20.700001,21.299999,19.500000,19.500000,19.500000,6300
2018-11-09,19.500000,20.700001,18.299999,18.299999,18.299999,3300
2018-11-12,19.200001,20.700001,15.000000,17.100000,17.100000,3600
2018-11-13,19.200001,19.200001,16.500000,18.000000,18.000000,1500
2018-11-14,18.299999,18.600000,15.600000,16.200001,16.200001,3900
2018-11-15,16.500000,17.100000,15.600000,15.900000,15.900000,3600
2018-11-16,15.600000,16.500000,14.400000,14.700000,14.700000,4300
2018-11-19,15.600000,15.600000,13.500000,13.500000,13.500000,7100
2018-11-20,13.500000,14.700000,8.700000,9.000000,9.000000,21900
2018-11-21,9.900000,10.800000,9.900000,9.900000,9.900000,18400
2018-11-23,10.500000,10.500000,9.000000,9.000000,9.000000,5200
2018-11-26,9.000000,9.600000,8.700000,9.000000,9.000000,15600
2018-11-27,9.000000,9.000000,8.100000,9.000000,9.000000,7900
2018-11-28,8.400000,9.300000,7.800000,8.700000,8.700000,4500
2018-11-29,9.300000,9.600000,8.400000,8.400000,8.400000,7200
2018-11-30,9.600000,9.600000,7.800000,8.400000,8.400000,4900
2018-12-03,9.000000,9.000000,7.800000,8.100000,8.100000,9600
2018-12-04,8.100000,8.700000,6.000000,6.900000,6.900000,10700
2018-12-06,7.500000,7.500000,6.300000,6.300000,6.300000,9600
2018-12-07,6.600000,6.900000,6.600000,6.600000,6.600000,8200
2018-12-10,6.900000,6.900000,6.000000,6.000000,6.000000,8800
2018-12-11,6.300000,6.600000,6.000000,6.000000,6.000000,5500
2018-12-12,6.300000,7.500000,6.000000,7.200000,7.200000,11700
2018-12-13,7.200000,14.700000,6.900000,11.100000,11.100000,104700
2018-12-14,11.100000,20.700001,11.100000,16.799999,16.799999,278500
2018-12-17,16.200001,16.200001,9.300000,9.900000,9.900000,147300
2018-12-18,9.300000,9.900000,7.500000,7.800000,7.800000,52800
2018-12-19,7.500000,9.600000,7.500000,7.500000,7.500000,59600
2018-12-20,8.400000,8.400000,6.900000,7.500000,7.500000,31100
2018-12-21,6.900000,12.600000,6.300000,10.500000,10.500000,124700
2018-12-24,9.900000,9.900000,8.400000,9.000000,9.000000,19900
2018-12-26,9.300000,9.600000,8.100000,9.000000,9.000000,28700
2018-12-27,9.900000,9.900000,7.800000,7.800000,7.800000,21300
2018-12-28,9.000000,9.300000,8.100000,8.100000,8.100000,19800
