Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,46.389999,46.750000,44.660000,45.000000,44.803219,1485600
2018-11-06,44.849998,46.740002,44.639999,46.660000,46.455956,1280500
2018-11-07,47.310001,47.639999,46.430000,47.419998,47.212635,1394800
2018-11-08,47.169998,47.650002,46.570000,46.810001,46.605305,809600
2018-11-09,46.160000,46.380001,44.720001,45.060001,44.862957,1029100
2018-11-12,44.049999,44.250000,41.820000,41.970001,41.786469,1711600
2018-11-13,42.049999,42.580002,41.669998,41.970001,41.786469,1789000
2018-11-14,42.430000,42.919998,40.980000,41.270000,41.089527,1490900
2018-11-15,41.040001,42.430000,40.720001,42.080002,41.946804,2346000
2018-11-16,41.520000,42.970001,41.290001,42.700001,42.564842,1458300
2018-11-19,42.849998,42.849998,40.470001,40.709999,40.581142,2309800
2018-11-20,39.910000,41.110001,39.279999,40.660000,40.531300,1364000
2018-11-21,41.290001,41.860001,40.650002,40.889999,40.760574,966100
2018-11-23,40.299999,41.540001,40.299999,40.849998,40.720699,301100
2018-11-26,41.529999,42.279999,41.410000,41.590000,41.458359,1183000
2018-11-27,41.630001,41.669998,40.750000,40.840000,40.710732,1104600
2018-11-28,41.209999,42.639999,40.320000,42.610001,42.475128,1339700
2018-11-29,42.340000,42.980000,41.930000,42.360001,42.225922,1146100
2018-11-30,42.369999,44.020000,42.320000,44.020000,43.880669,1521700
2018-12-03,45.590000,47.509998,45.020000,47.349998,47.200127,2354200
2018-12-04,47.040001,47.060001,44.980000,45.009998,44.867531,1743300
2018-12-06,43.630001,44.279999,42.400002,43.919998,43.780979,1759200
2018-12-07,43.480000,43.930000,41.310001,41.400002,41.268959,1472000
2018-12-10,41.150002,42.000000,40.490002,41.340000,41.209148,946000
2018-12-11,42.000000,42.540001,40.389999,40.730000,40.601078,875500
2018-12-12,41.669998,42.700001,41.090000,41.849998,41.717533,859600
2018-12-13,41.900002,42.169998,39.500000,39.770000,39.644119,1097400
2018-12-14,39.150002,39.680000,38.000000,39.660000,39.534466,1342300
2018-12-17,39.250000,39.820000,37.950001,38.630001,38.507729,1422700
2018-12-18,38.880001,39.630001,38.560001,38.880001,38.756939,1503800
2018-12-19,38.959999,39.470001,36.939999,37.570000,37.451077,1709600
2018-12-20,36.939999,37.439999,35.520000,36.470001,36.354568,1901500
2018-12-21,36.680000,36.990002,35.500000,35.750000,35.636845,3532700
2018-12-24,35.250000,36.340000,34.930000,34.939999,34.829407,547200
2018-12-26,35.180000,37.730000,34.880001,37.709999,37.590637,884000
2018-12-27,36.759998,37.900002,36.299999,37.889999,37.770069,820000
2018-12-28,38.349998,38.500000,37.380001,37.709999,37.590637,796200
2018-12-31,38.110001,38.720001,37.560001,38.669998,38.547596,1015500
2019-01-02,37.720001,38.919998,37.270000,38.590000,38.467854,945700
2019-01-03,37.959999,37.959999,35.599998,36.150002,36.035576,2398700
2019-01-04,36.950001,37.790001,36.660000,37.689999,37.570698,2064500
2019-01-07,37.880001,39.180000,37.279999,38.919998,38.796806,1691300
2019-01-08,39.369999,41.099998,39.209999,40.950001,40.820385,2019200
2019-01-09,41.580002,42.119999,40.810001,41.279999,41.149338,1277400
2019-01-10,41.000000,42.139999,40.689999,42.110001,41.976711,705000
2019-01-11,41.889999,42.279999,40.959999,41.740002,41.607883,648600
2019-01-14,41.299999,42.119999,40.950001,41.389999,41.258987,904300
2019-01-15,41.500000,41.970001,41.290001,41.599998,41.468327,1171400
2019-01-16,41.660000,42.119999,41.279999,41.400002,41.268959,1296500
2019-01-17,41.200001,42.380001,40.810001,42.000000,41.867058,979600
2019-01-18,42.529999,43.270000,42.330002,42.939999,42.804081,1473900
2019-01-22,42.810001,42.869999,41.029999,41.500000,41.368645,1189600
2019-01-23,41.849998,42.299999,40.410000,40.869999,40.740635,1043300
2019-01-24,41.029999,42.820000,40.950001,42.220001,42.086365,1536200
2019-01-25,42.759998,44.060001,42.220001,43.770000,43.631458,935100
2019-01-28,42.740002,43.450001,42.349998,42.900002,42.764214,984000
2019-01-29,43.110001,43.790001,42.939999,43.380001,43.242691,1191500
2019-01-30,43.980000,44.700001,43.169998,44.639999,44.498703,711400
2019-01-31,44.639999,45.810001,44.419998,45.500000,45.355984,1462200
2019-02-01,45.349998,46.310001,45.160000,46.029999,45.884304,1178100
2019-02-04,46.160000,46.709999,45.419998,46.490002,46.342850,772700
2019-02-05,46.509998,47.209999,46.509998,46.990002,46.841270,736500
2019-02-06,47.000000,48.299999,47.000000,48.049999,47.897907,1000500
2019-02-07,47.450001,47.869999,46.740002,47.360001,47.210094,1537900
2019-02-08,46.869999,47.200001,45.599998,46.930000,46.781456,1241200
2019-02-11,47.070000,48.000000,46.509998,47.950001,47.798225,1359000
2019-02-12,48.150002,49.490002,48.000000,49.340000,49.183826,2123900
2019-02-13,49.689999,49.689999,48.599998,49.369999,49.213730,1760900
2019-02-14,48.910000,49.349998,46.779999,48.869999,48.715313,2935100
2019-02-15,52.000000,52.040001,49.910000,50.730000,50.569427,3497400
2019-02-19,50.380001,51.610001,50.009998,51.490002,51.327023,1425800
2019-02-20,51.169998,52.160000,50.750000,51.270000,51.107719,1510000
2019-02-21,51.180000,51.250000,50.439999,51.200001,51.037937,858600
2019-02-22,51.410000,51.910000,51.380001,51.830002,51.665947,932600
2019-02-25,52.189999,53.480000,52.070000,53.360001,53.191105,1696500
