Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,15.410000,15.750000,15.100000,15.100000,15.100000,4400
2018-11-06,14.751000,15.270000,14.751000,14.990000,14.990000,3900
2018-11-07,15.270000,15.270000,14.780000,14.820000,14.820000,1200
2018-11-08,14.980000,14.980000,14.980000,14.980000,14.980000,500
2018-11-09,14.450000,15.116000,14.450000,14.800000,14.800000,2200
2018-11-12,14.550000,14.550000,14.550000,14.550000,14.550000,700
2018-11-13,14.500000,14.700000,14.350000,14.700000,14.700000,4200
2018-11-14,14.735000,14.990000,14.410000,14.410000,14.410000,107800
2018-11-15,14.580000,15.390000,14.580000,14.850000,14.850000,37100
2018-11-16,15.090000,15.100000,14.750000,14.950000,14.950000,94600
2018-11-19,14.963000,15.210000,14.655000,14.830000,14.830000,46300
2018-11-20,14.750000,15.300000,14.000000,14.250000,14.250000,69700
2018-11-21,15.000000,15.000000,13.940000,13.990000,13.990000,46200
2018-11-23,13.750000,13.950000,13.650000,13.750000,13.750000,22700
2018-11-26,13.500000,13.625000,12.500000,12.560000,12.560000,350500
2018-11-27,12.645000,12.670000,12.000000,12.140000,12.140000,57900
2018-11-28,11.828000,12.830000,11.828000,12.240000,12.240000,46700
2018-11-29,12.370000,13.400000,10.780000,10.860000,10.860000,186600
2018-11-30,10.870000,11.097000,9.900000,9.950000,9.950000,360400
2018-12-03,10.360000,11.150000,10.130000,10.500000,10.500000,256200
2018-12-04,10.499000,10.499000,9.750000,9.780000,9.780000,97100
2018-12-06,9.820000,10.180000,9.600000,9.670000,9.670000,327400
2018-12-07,9.990000,9.990000,9.430000,9.640000,9.640000,32100
2018-12-10,9.800000,9.800000,9.170000,9.270000,9.270000,71100
2018-12-11,9.380000,9.690000,8.650000,9.060000,9.060000,38500
2018-12-12,9.060000,9.120000,8.290000,8.740000,8.740000,34400
2018-12-13,8.990000,8.990000,8.100000,8.150000,8.150000,10700
2018-12-14,8.160000,8.280000,7.500000,7.500000,7.500000,35500
2018-12-17,7.460000,7.890000,7.000000,7.010000,7.010000,153000
2018-12-18,6.970000,7.250000,6.250000,6.620000,6.620000,706000
2018-12-19,6.640000,7.020000,6.360000,6.720000,6.720000,195000
