Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,9.890000,9.920000,9.440000,9.780000,9.780000,531500
2018-11-06,9.790000,10.000000,9.420000,9.530000,9.530000,339500
2018-11-07,8.900000,9.260000,8.670000,8.730000,8.730000,903500
2018-11-08,8.690000,8.710000,8.485000,8.500000,8.500000,577000
2018-11-09,8.450000,8.650000,8.390000,8.640000,8.640000,469000
2018-11-12,8.620000,8.730000,8.520000,8.580000,8.580000,761300
2018-11-13,8.620000,8.880000,8.549000,8.850000,8.850000,497300
2018-11-14,8.870000,8.945000,8.560000,8.620000,8.620000,398800
2018-11-15,8.600000,8.760000,8.390000,8.750000,8.750000,496200
2018-11-16,8.660000,8.750000,8.460000,8.690000,8.690000,431900
2018-11-19,8.680000,8.680000,8.130000,8.200000,8.200000,412900
2018-11-20,8.060000,8.330000,7.950000,8.100000,8.100000,488200
2018-11-21,8.160000,8.270000,8.040000,8.090000,8.090000,166900
2018-11-23,8.050000,8.350000,7.951000,8.250000,8.250000,127400
2018-11-26,8.310000,8.360000,8.160000,8.200000,8.200000,269100
2018-11-27,8.160000,8.200000,8.000000,8.100000,8.100000,246800
2018-11-28,8.140000,8.380000,8.020000,8.360000,8.360000,210200
2018-11-29,8.340000,8.440000,8.220000,8.300000,8.300000,178300
2018-11-30,8.320000,8.350000,8.180000,8.300000,8.300000,324300
2018-12-03,8.410000,8.460000,8.210000,8.420000,8.420000,174600
2018-12-04,8.410000,8.480000,8.100000,8.290000,8.290000,360600
2018-12-06,8.210000,8.450000,8.160000,8.300000,8.300000,416500
2018-12-07,8.300000,8.880000,8.130000,8.190000,8.190000,334000
2018-12-10,8.190000,8.470000,8.070000,8.380000,8.380000,528300
2018-12-11,8.460000,8.490000,8.240000,8.310000,8.310000,220500
2018-12-12,8.390000,8.400000,8.215000,8.290000,8.290000,319800
2018-12-13,8.320000,8.360000,7.860000,7.900000,7.900000,334800
2018-12-14,7.860000,7.860000,7.230000,7.250000,7.250000,627000
2018-12-17,7.290000,7.315000,6.980000,7.130000,7.130000,689900
2018-12-18,7.130000,7.240000,6.980000,7.030000,7.030000,318500
2018-12-19,7.050000,7.100000,6.690000,6.710000,6.710000,385300
2018-12-20,6.700000,6.880000,6.410000,6.540000,6.540000,473900
2018-12-21,6.640000,6.640000,6.110000,6.140000,6.140000,1452100
2018-12-24,6.060000,6.180000,6.000000,6.070000,6.070000,430400
2018-12-26,6.070000,6.300000,5.870000,6.250000,6.250000,438200
2018-12-27,6.130000,6.480000,6.130000,6.480000,6.480000,387200
2018-12-28,6.500000,6.590000,6.390000,6.550000,6.550000,446000
2018-12-31,6.560000,6.700000,6.470000,6.650000,6.650000,750200
2019-01-02,6.560000,6.870000,6.500000,6.690000,6.690000,503100
2019-01-03,6.640000,6.780000,6.440000,6.460000,6.460000,447500
2019-01-04,6.560000,7.060000,6.520000,7.010000,7.010000,482300
2019-01-07,7.000000,7.070000,6.920000,7.000000,7.000000,433200
2019-01-08,7.070000,7.200000,6.890000,7.140000,7.140000,517600
