Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,17.200001,17.400000,16.610001,16.820000,16.820000,3985100
2018-11-06,16.780001,17.240000,16.750000,17.139999,17.139999,3333200
2018-11-07,16.799999,16.980000,15.660000,16.030001,16.030001,9080000
2018-11-08,15.750000,15.750000,12.950000,13.190000,13.190000,14509200
2018-11-09,13.260000,13.670000,12.500000,13.490000,13.490000,6440100
2018-11-12,13.490000,13.660000,13.000000,13.180000,13.180000,3917000
2018-11-13,13.330000,13.750000,13.160000,13.520000,13.520000,4525400
2018-11-14,13.600000,13.640000,12.770000,12.910000,12.910000,6739000
2018-11-15,12.830000,12.940000,12.280000,12.730000,12.730000,4434700
2018-11-16,12.590000,12.830000,12.330000,12.690000,12.690000,4779300
2018-11-19,12.610000,12.910000,12.300000,12.460000,12.460000,3929400
2018-11-20,12.490000,13.020000,12.320000,12.530000,12.530000,3222700
2018-11-21,12.560000,12.640000,12.330000,12.510000,12.510000,2320100
2018-11-23,12.430000,12.920000,12.400000,12.640000,12.640000,1033300
2018-11-26,12.570000,12.640000,11.550000,11.660000,11.660000,5174200
2018-11-27,11.460000,11.780000,11.280000,11.510000,11.510000,3000700
2018-11-28,11.500000,11.870000,11.230000,11.850000,11.850000,2650700
2018-11-29,11.840000,12.530000,11.690000,12.150000,12.150000,3019000
2018-11-30,12.180000,12.310000,11.770000,12.030000,12.030000,2760800
2018-12-03,11.870000,12.250000,11.760000,12.240000,12.240000,2723600
2018-12-04,12.170000,12.550000,11.970000,12.060000,12.060000,3504200
2018-12-06,11.780000,11.950000,11.330000,11.600000,11.600000,3958600
2018-12-07,11.600000,11.930000,11.480000,11.570000,11.570000,2363400
2018-12-10,11.510000,11.680000,11.080000,11.350000,11.350000,3807600
2018-12-11,11.510000,11.650000,11.000000,11.210000,11.210000,2301000
2018-12-12,11.270000,11.620000,11.110000,11.220000,11.220000,3323000
2018-12-13,11.290000,11.450000,10.970000,11.140000,11.140000,2255500
2018-12-14,11.010000,11.120000,10.160000,10.190000,10.190000,4576400
2018-12-17,10.130000,10.160000,9.340000,9.440000,9.440000,4805600
2018-12-18,9.540000,9.750000,9.080000,9.190000,9.190000,3420100
2018-12-19,9.220000,9.430000,8.700000,8.720000,8.720000,3976200
2018-12-20,8.770000,8.940000,8.200000,8.400000,8.400000,5193600
2018-12-21,8.390000,8.400000,7.590000,7.670000,7.670000,10233400
2018-12-24,7.530000,7.630000,7.340000,7.370000,7.370000,2299600
2018-12-26,7.420000,7.630000,7.240000,7.620000,7.620000,3332000
2018-12-27,7.490000,7.490000,6.870000,7.310000,7.310000,4727200
2018-12-28,7.310000,7.550000,7.190000,7.440000,7.440000,2264300
2018-12-31,7.420000,7.500000,7.120000,7.300000,7.300000,2662200
2019-01-02,7.260000,7.890000,7.210000,7.710000,7.710000,3775500
2019-01-03,7.690000,7.990000,7.610000,7.720000,7.720000,3595700
2019-01-04,7.800000,8.400000,7.800000,8.320000,8.320000,3352900
2019-01-07,8.380000,9.380000,8.280000,9.170000,9.170000,7081400
2019-01-08,9.300000,9.820000,9.180000,9.410000,9.410000,6902400
2019-01-09,9.380000,9.490000,9.160000,9.330000,9.330000,2890000
2019-01-10,9.210000,9.540000,9.060000,9.460000,9.460000,2056200
2019-01-11,9.380000,9.510000,9.240000,9.500000,9.500000,2215300
2019-01-14,9.370000,9.530000,9.260000,9.300000,9.300000,2106900
2019-01-15,9.350000,9.650000,9.220000,9.630000,9.630000,2336000
2019-01-16,9.610000,9.870000,9.530000,9.660000,9.660000,2735400
2019-01-17,9.630000,9.970000,9.480000,9.850000,9.850000,4256800
2019-01-18,9.770000,9.890000,9.150000,9.700000,9.700000,6498500
2019-01-22,9.610000,9.650000,9.230000,9.290000,9.290000,2474900
2019-01-23,9.350000,9.620000,9.230000,9.460000,9.460000,2530300
2019-01-24,9.430000,9.530000,9.270000,9.520000,9.520000,1287200
2019-01-25,9.600000,9.960000,9.590000,9.870000,9.870000,2327600
2019-01-28,9.740000,9.870000,9.480000,9.560000,9.560000,2037500
2019-01-29,9.530000,9.560000,9.280000,9.390000,9.390000,2298500
2019-01-30,9.500000,9.600000,9.370000,9.570000,9.570000,1805800
2019-01-31,9.550000,9.940000,9.450000,9.750000,9.750000,2179600
2019-02-01,9.670000,9.990000,9.550000,9.940000,9.940000,1891900
2019-02-04,9.890000,10.320000,9.800000,10.300000,10.300000,2244700
2019-02-05,10.360000,10.540000,10.280000,10.320000,10.320000,2544700
2019-02-06,10.360000,10.420000,10.030000,10.280000,10.280000,2137500
2019-02-07,10.220000,10.220000,9.790000,9.990000,9.990000,3090400
2019-02-08,9.960000,10.210000,9.740000,10.130000,10.130000,1960000
2019-02-11,10.140000,10.430000,10.020000,10.400000,10.400000,2269500
2019-02-12,10.450000,10.810000,10.370000,10.750000,10.750000,2216600
2019-02-13,10.480000,10.920000,10.370000,10.520000,10.520000,2116600
2019-02-14,10.510000,10.680000,10.450000,10.520000,10.520000,1159300
2019-02-15,10.600000,10.640000,10.480000,10.570000,10.570000,1247600
2019-02-19,10.570000,10.820000,10.490000,10.710000,10.710000,1353800
2019-02-20,10.720000,10.820000,10.490000,10.560000,10.560000,1814300
2019-02-21,10.540000,10.580000,10.180000,10.340000,10.340000,1515200
2019-02-22,10.350000,10.670000,10.340000,10.510000,10.510000,1498800
2019-02-25,10.550000,10.630000,10.320000,10.330000,10.330000,2435300
2019-02-26,10.310000,10.630000,10.200000,10.210000,10.210000,2546100
2019-02-27,10.200000,10.420000,10.000000,10.340000,10.340000,2406900
2019-02-28,11.110000,12.490000,10.620000,10.990000,10.990000,7612100
2019-03-01,11.100000,11.650000,10.600000,11.240000,11.240000,8024300
2019-03-04,11.270000,11.410000,9.320000,9.330000,9.330000,9438900
2019-03-05,9.240000,9.260000,8.310000,8.720000,8.720000,9183000
2019-03-06,8.690000,8.700000,8.000000,8.050000,8.050000,7389100
2019-03-07,8.050000,8.600000,7.910000,8.530000,8.530000,9102000
2019-03-08,8.450000,8.750000,8.270000,8.650000,8.650000,4484600
2019-03-11,8.680000,8.740000,8.470000,8.680000,8.680000,2800500
2019-03-12,8.680000,8.750000,8.370000,8.400000,8.400000,2920500
2019-03-13,8.380000,8.610000,8.260000,8.540000,8.540000,5368400
2019-03-14,8.540000,8.700000,8.390000,8.400000,8.400000,1960500
2019-03-15,8.460000,8.620000,8.390000,8.440000,8.440000,4018200
2019-03-18,8.470000,8.720000,8.440000,8.590000,8.590000,1759400
2019-03-19,8.610000,8.880000,8.570000,8.770000,8.770000,2389600
2019-03-20,8.890000,8.960000,8.710000,8.730000,8.730000,3665400
2019-03-21,8.880000,8.950000,8.550000,8.760000,8.760000,3035500
2019-03-22,8.670000,8.780000,8.180000,8.330000,8.330000,3523800
2019-03-25,8.360000,8.390000,8.080000,8.260000,8.260000,1966500
2019-03-26,8.450000,9.100000,8.100000,8.210000,8.210000,5610200
2019-03-27,8.200000,8.360000,7.910000,8.150000,8.150000,2396100
2019-03-28,8.180000,8.180000,7.700000,8.010000,8.010000,4542800
2019-03-29,8.040000,8.160000,7.980000,8.030000,8.030000,3322600
2019-04-01,8.100000,8.350000,7.990000,8.200000,8.200000,2490100
2019-04-02,8.220000,8.250000,7.950000,7.950000,7.950000,3519300
2019-04-03,8.040000,8.040000,7.690000,7.810000,7.810000,2983400
2019-04-04,7.840000,8.030000,7.780000,8.010000,8.010000,2411800
2019-04-05,8.060000,8.300000,8.020000,8.200000,8.200000,2751400
2019-04-08,8.220000,8.430000,8.170000,8.370000,8.370000,1758200
2019-04-09,8.320000,8.380000,8.060000,8.150000,8.150000,1905600
2019-04-10,8.150000,8.330000,8.100000,8.310000,8.310000,1575100
2019-04-11,8.310000,8.360000,7.790000,7.900000,7.900000,2785200
2019-04-12,7.940000,8.030000,7.430000,7.540000,7.540000,3327800
2019-04-15,7.560000,7.630000,7.340000,7.550000,7.550000,2164800
2019-04-16,7.600000,7.680000,7.490000,7.520000,7.520000,1530300
2019-04-17,7.620000,7.630000,7.020000,7.150000,7.150000,3756100
2019-04-18,7.220000,7.260000,6.930000,7.120000,7.120000,2615500
2019-04-22,7.080000,7.350000,6.870000,7.150000,7.150000,2047000
2019-04-23,7.190000,7.450000,6.970000,7.380000,7.380000,2959000
2019-04-24,7.410000,7.620000,7.280000,7.460000,7.460000,2087700
2019-04-25,7.420000,7.550000,7.260000,7.400000,7.400000,2958500
2019-04-26,7.430000,7.500000,7.310000,7.430000,7.430000,2100600
2019-04-29,7.460000,7.910000,7.420000,7.800000,7.800000,3287600
2019-04-30,7.830000,7.850000,7.410000,7.500000,7.500000,2540200
2019-05-01,7.360000,7.760000,7.360000,7.600000,7.600000,2920600
2019-05-02,7.540000,7.780000,7.530000,7.720000,7.720000,1725900
2019-05-03,7.760000,8.310000,7.740000,8.200000,8.200000,3063300
2019-05-06,8.000000,8.320000,7.930000,8.270000,8.270000,2141500
2019-05-07,8.190000,8.310000,7.870000,7.910000,7.910000,3788800
2019-05-08,7.860000,8.280000,7.860000,8.170000,8.170000,3710300
2019-05-09,8.500000,8.550000,7.560000,8.010000,8.010000,5306600
2019-05-10,7.940000,8.200000,7.880000,8.060000,8.060000,4134300
2019-05-13,7.400000,7.550000,6.400000,6.510000,6.510000,10908400
2019-05-14,6.650000,6.830000,6.530000,6.610000,6.610000,5306100
2019-05-15,6.520000,6.640000,6.270000,6.620000,6.620000,3846900
2019-05-16,6.620000,6.800000,6.570000,6.600000,6.600000,2365000
2019-05-17,6.540000,6.770000,6.510000,6.520000,6.520000,2710900
2019-05-20,6.420000,6.480000,6.210000,6.240000,6.240000,2612200
2019-05-21,6.250000,6.540000,5.960000,6.430000,6.430000,3854700
2019-05-22,6.420000,6.510000,6.150000,6.320000,6.320000,2235800
2019-05-23,6.220000,6.280000,5.970000,6.120000,6.120000,2855300
2019-05-24,6.160000,6.230000,5.800000,5.950000,5.950000,3140700
2019-05-28,5.950000,6.050000,5.510000,5.580000,5.580000,5715000
2019-05-29,5.430000,5.630000,5.100000,5.580000,5.580000,5031900
2019-05-30,5.530000,5.710000,5.070000,5.180000,5.180000,4573500
2019-05-31,5.100000,5.210000,4.910000,4.950000,4.950000,5531100
2019-06-03,4.960000,5.080000,4.860000,5.000000,5.000000,3820400
2019-06-04,5.090000,5.540000,5.060000,5.360000,5.360000,6336400
2019-06-05,5.390000,5.420000,5.000000,5.080000,5.080000,4802300
2019-06-06,5.100000,5.170000,4.970000,5.080000,5.080000,3859200
2019-06-07,5.110000,5.140000,4.860000,4.890000,4.890000,2762200
2019-06-10,4.910000,5.070000,4.710000,4.730000,4.730000,4062400
2019-06-11,4.780000,4.840000,4.450000,4.490000,4.490000,6062300
2019-06-12,4.480000,4.520000,4.180000,4.460000,4.460000,5553700
2019-06-13,4.500000,4.650000,4.330000,4.470000,4.470000,5350600
2019-06-14,4.490000,4.550000,4.020000,4.050000,4.050000,4219500
2019-06-17,3.860000,4.060000,3.840000,3.910000,3.910000,7568500
2019-06-18,3.930000,4.220000,3.830000,3.960000,3.960000,8698100
2019-06-19,4.010000,4.090000,3.880000,3.970000,3.970000,5300400
2019-06-20,4.090000,4.210000,3.920000,3.930000,3.930000,3434200
2019-06-21,3.940000,3.990000,3.730000,3.840000,3.840000,7511300
2019-06-24,3.920000,3.950000,3.550000,3.590000,3.590000,6345300
2019-06-25,3.650000,3.880000,3.540000,3.700000,3.700000,5347400
2019-06-26,3.710000,3.930000,3.690000,3.890000,3.890000,3846400
2019-06-27,3.880000,4.190000,3.880000,4.100000,4.100000,4381400
2019-06-28,4.090000,4.180000,4.050000,4.120000,4.120000,4266600
2019-07-01,4.170000,4.670000,4.150000,4.590000,4.590000,9283400
2019-07-02,4.570000,4.590000,4.270000,4.550000,4.550000,5389400
2019-07-03,4.540000,4.680000,4.510000,4.610000,4.610000,2579600
2019-07-05,4.560000,4.610000,4.260000,4.340000,4.340000,3998500
2019-07-08,4.310000,4.540000,4.080000,4.230000,4.230000,4981500
2019-07-09,4.180000,4.380000,4.160000,4.300000,4.300000,5129500
2019-07-10,4.250000,4.330000,4.130000,4.210000,4.210000,3871700
2019-07-11,4.100000,4.140000,3.880000,3.960000,3.960000,5860600
2019-07-12,3.930000,4.170000,3.840000,4.100000,4.100000,4943600
2019-07-15,3.890000,4.100000,3.740000,3.950000,3.950000,5690300
2019-07-16,3.960000,4.030000,3.670000,3.690000,3.690000,5046700
2019-07-17,3.720000,3.760000,3.480000,3.500000,3.500000,7499600
2019-07-18,3.530000,3.550000,3.250000,3.340000,3.340000,4748400
2019-07-19,3.330000,3.400000,3.210000,3.270000,3.270000,4823100
2019-07-22,3.270000,3.320000,3.010000,3.140000,3.140000,8492700
2019-07-23,3.140000,3.300000,3.120000,3.140000,3.140000,5143600
2019-07-24,3.140000,3.370000,3.120000,3.300000,3.300000,5214400
2019-07-25,3.300000,3.320000,3.040000,3.050000,3.050000,6457300
2019-07-26,3.050000,3.170000,3.030000,3.040000,3.040000,3543100
2019-07-29,3.120000,3.240000,3.010000,3.030000,3.030000,6623600
2019-07-30,3.000000,3.240000,2.970000,3.200000,3.200000,4891800
2019-07-31,3.220000,3.340000,3.150000,3.170000,3.170000,4786100
2019-08-01,3.140000,3.240000,3.000000,3.050000,3.050000,4737900
2019-08-02,3.050000,3.120000,2.930000,2.980000,2.980000,3820200
2019-08-05,2.910000,2.970000,2.800000,2.850000,2.850000,7251500
2019-08-06,3.110000,3.110000,2.210000,2.250000,2.250000,12696200
2019-08-07,2.280000,2.420000,2.140000,2.360000,2.360000,7554500
2019-08-08,2.380000,2.630000,2.310000,2.590000,2.590000,11373000
2019-08-09,2.570000,2.610000,2.370000,2.440000,2.440000,6684600
2019-08-12,2.420000,2.490000,2.380000,2.450000,2.450000,4746000
2019-08-13,2.430000,2.730000,2.390000,2.470000,2.470000,6676100
2019-08-14,2.450000,2.490000,2.240000,2.250000,2.250000,5907300
2019-08-15,2.240000,2.480000,2.140000,2.230000,2.230000,6665000
2019-08-16,2.290000,2.360000,2.240000,2.260000,2.260000,3346200
2019-08-19,2.350000,2.570000,2.250000,2.550000,2.550000,4947000
2019-08-20,2.750000,3.400000,2.720000,3.020000,3.020000,19180600
2019-08-21,3.130000,3.190000,2.810000,2.970000,2.970000,8655600
2019-08-22,2.960000,3.000000,2.800000,2.810000,2.810000,5385100
2019-08-23,2.770000,3.020000,2.710000,2.900000,2.900000,7206400
2019-08-26,2.930000,3.140000,2.850000,2.910000,2.910000,6373300
2019-08-27,2.970000,2.990000,2.510000,2.550000,2.550000,8639900
2019-08-28,2.510000,2.560000,2.370000,2.410000,2.410000,4969600
2019-08-29,2.430000,2.550000,2.360000,2.460000,2.460000,5643800
2019-08-30,2.420000,2.440000,2.210000,2.370000,2.370000,7528400
2019-09-03,2.300000,2.390000,2.160000,2.380000,2.380000,6683700
2019-09-04,2.450000,2.460000,2.240000,2.440000,2.440000,9981900
2019-09-05,2.230000,2.430000,1.970000,2.360000,2.360000,19616400
2019-09-06,2.340000,3.510000,2.330000,3.490000,3.490000,25284000
2019-09-09,3.430000,3.430000,2.980000,3.070000,3.070000,14447900
2019-09-10,3.060000,4.070000,3.040000,4.000000,4.000000,24347800
2019-09-11,4.030000,4.460000,3.730000,4.050000,4.050000,22756500
2019-09-12,4.050000,4.050000,3.620000,3.960000,3.960000,8721500
2019-09-13,4.070000,4.260000,3.820000,3.880000,3.880000,5457300
2019-09-16,3.800000,4.280000,3.790000,4.200000,4.200000,7617800
2019-09-17,4.190000,4.200000,3.780000,4.100000,4.100000,7419300
2019-09-18,4.030000,4.050000,3.820000,3.860000,3.860000,4876600
2019-09-19,3.830000,3.890000,3.280000,3.360000,3.360000,10042400
2019-09-20,3.340000,3.670000,3.330000,3.480000,3.480000,8971600
2019-09-23,3.400000,3.520000,3.170000,3.260000,3.260000,6042200
2019-09-24,3.240000,3.310000,3.080000,3.160000,3.160000,6363000
2019-09-25,3.110000,3.270000,3.100000,3.170000,3.170000,3609200
2019-09-26,3.150000,3.210000,2.890000,2.900000,2.900000,6005500
2019-09-27,2.910000,3.340000,2.890000,3.190000,3.190000,7980600
2019-09-30,3.270000,3.270000,3.050000,3.210000,3.210000,5631400
2019-10-01,3.270000,3.820000,3.200000,3.340000,3.340000,15768900
2019-10-02,3.310000,3.530000,3.210000,3.430000,3.430000,5891700
2019-10-03,3.400000,3.860000,3.370000,3.860000,3.860000,9193100
2019-10-04,3.860000,3.990000,3.520000,3.820000,3.820000,10497200
2019-10-07,3.820000,4.040000,3.810000,3.950000,3.950000,6064800
2019-10-08,3.940000,3.950000,3.690000,3.730000,3.730000,5208100
2019-10-09,3.750000,3.810000,3.650000,3.680000,3.680000,3343900
2019-10-10,3.680000,3.780000,3.380000,3.580000,3.580000,5100300
2019-10-11,3.610000,3.830000,3.610000,3.710000,3.710000,5006200
2019-10-14,3.690000,3.700000,3.320000,3.360000,3.360000,4243300
2019-10-15,3.440000,3.600000,3.330000,3.490000,3.490000,4193100
2019-10-16,3.600000,4.470000,3.600000,4.160000,4.160000,22425000
2019-10-17,4.300000,5.170000,4.220000,4.830000,4.830000,30289100
2019-10-18,5.140000,5.180000,4.750000,4.880000,4.880000,21404400
2019-10-21,4.980000,5.030000,4.380000,4.650000,4.650000,25587100
2019-10-22,4.650000,4.800000,4.530000,4.700000,4.700000,5600800
2019-10-23,4.680000,4.800000,4.430000,4.750000,4.750000,7922900
2019-10-24,4.760000,4.790000,4.280000,4.360000,4.360000,9630100
2019-10-25,4.350000,4.630000,4.330000,4.500000,4.500000,6087900
2019-10-28,4.560000,4.690000,4.460000,4.500000,4.500000,7827400
2019-10-29,4.480000,4.720000,4.360000,4.680000,4.680000,7079100
2019-10-30,4.750000,4.770000,4.410000,4.580000,4.580000,7585900
