Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,1.860000,1.960000,1.860000,1.960000,1.960000,6600
2018-11-06,1.920000,1.920000,1.920000,1.920000,1.920000,200
2018-11-07,1.930000,1.930000,1.900000,1.930000,1.930000,1700
2018-11-08,1.940000,1.990000,1.930000,1.990000,1.990000,8100
2018-11-09,1.990000,1.990000,1.990000,1.990000,1.990000,100
2018-11-12,1.890000,1.970000,1.850000,1.970000,1.970000,3500
2018-11-13,1.890000,1.900000,1.870000,1.890000,1.890000,1300
2018-11-14,1.890000,1.890000,1.890000,1.890000,1.890000,100
2018-11-15,1.890000,1.890000,1.890000,1.890000,1.890000,100
2018-11-16,1.900000,1.900000,1.900000,1.900000,1.900000,900
2018-11-19,1.900000,2.040000,1.900000,2.040000,2.040000,5700
2018-11-20,2.000000,2.140000,1.990000,2.120000,2.120000,9900
2018-11-21,2.190000,2.230000,1.970000,2.160000,2.160000,4700
2018-11-23,2.110000,2.110000,2.110000,2.110000,2.110000,100
2018-11-26,2.100000,2.100000,2.060000,2.060000,2.060000,7300
2018-11-27,2.010000,2.010000,2.010000,2.010000,2.010000,100
2018-11-28,2.010000,2.010000,2.010000,2.010000,2.010000,100
2018-11-29,2.060000,2.060000,2.060000,2.060000,2.060000,100
2018-11-30,1.990000,2.170000,1.980000,2.120000,2.120000,23800
2018-12-03,2.120000,2.160000,2.050000,2.050000,2.050000,4700
2018-12-04,2.110000,2.110000,2.110000,2.110000,2.110000,200
2018-12-06,1.840000,2.100000,1.840000,2.040000,2.040000,14900
2018-12-07,2.100000,2.190000,2.080000,2.170000,2.170000,1000
2018-12-10,2.150000,2.170000,2.150000,2.170000,2.170000,1200
2018-12-11,2.230000,2.230000,2.070000,2.160000,2.160000,5000
2018-12-12,2.210000,2.210000,2.100000,2.200000,2.200000,27000
2018-12-13,2.200000,2.200000,2.090000,2.120000,2.120000,5000
2018-12-14,2.080000,2.170000,1.990000,2.170000,2.170000,10600
2018-12-17,2.160000,2.160000,2.160000,2.160000,2.160000,200
2018-12-18,2.170000,2.170000,2.060000,2.060000,2.060000,900
2018-12-19,2.050000,2.050000,2.050000,2.050000,2.050000,400
2018-12-20,2.050000,2.050000,2.050000,2.050000,2.050000,100
2018-12-21,2.010000,2.010000,1.980000,1.980000,1.980000,700
2018-12-24,2.050000,2.050000,2.050000,2.050000,2.050000,100
2018-12-26,2.050000,2.050000,1.990000,2.050000,2.050000,1400
2018-12-27,2.050000,2.050000,2.050000,2.050000,2.050000,300
2018-12-28,2.020000,2.030000,2.000000,2.030000,2.030000,11500
2018-12-31,2.000000,2.000000,1.770000,1.960000,1.960000,144400
2019-01-02,1.960000,1.960000,1.960000,1.960000,1.960000,100
2019-01-03,1.950000,2.000000,1.950000,1.980000,1.980000,16900
2019-01-04,2.050000,2.050000,1.950000,1.950000,1.950000,42400
2019-01-07,1.950000,1.980000,1.920000,1.960000,1.960000,9900
2019-01-08,1.950000,1.950000,1.950000,1.950000,1.950000,400
2019-01-09,1.950000,1.950000,1.950000,1.950000,1.950000,100
2019-01-10,1.920000,1.950000,1.900000,1.950000,1.950000,26100
2019-01-11,1.950000,1.950000,1.950000,1.950000,1.950000,100
2019-01-14,1.950000,1.950000,1.950000,1.950000,1.950000,100
