Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,3.750000,3.900000,3.650000,3.675000,3.675000,43800
2019-01-03,3.755000,4.250000,3.700000,4.250000,4.250000,83800
2019-01-04,4.120000,4.400000,3.910000,3.935000,3.935000,104400
2019-01-07,3.980000,4.400000,3.875000,4.000000,4.000000,33100
2019-01-08,4.000000,4.395000,3.900000,3.985000,3.985000,13500
2019-01-09,4.095000,4.250000,4.000000,4.070000,4.070000,46600
2019-01-10,4.135000,4.175000,3.975000,4.050000,4.050000,82100
2019-01-11,4.050000,4.100000,3.950000,4.005000,4.005000,38000
2019-01-14,3.975000,4.100000,3.900000,4.040000,4.040000,17600
2019-01-15,4.100000,4.100000,3.970000,4.000000,4.000000,17100
2019-01-16,4.055000,4.150000,4.045000,4.060000,4.060000,46400
2019-01-17,4.000000,4.200000,3.900000,3.995000,3.995000,45500
2019-01-18,3.980000,4.075000,3.900000,3.915000,3.915000,13500
2019-01-22,3.900000,3.920000,3.810000,3.900000,3.900000,53500
2019-01-23,3.950000,4.025000,3.885000,4.000000,4.000000,19600
2019-01-24,3.995000,4.000000,3.850000,3.850000,3.850000,19300
2019-01-25,3.925000,4.055000,3.925000,3.990000,3.990000,15900
2019-01-28,4.250000,4.250000,3.985000,4.135000,4.135000,99200
2019-01-29,4.170000,4.200000,4.090000,4.150000,4.150000,39100
2019-01-30,4.170000,4.200000,4.050000,4.115000,4.115000,24300
2019-01-31,4.200000,4.395000,4.100000,4.195000,4.195000,46400
2019-02-01,4.175000,4.250000,4.120000,4.200000,4.200000,24800
2019-02-04,4.170000,4.235000,4.050000,4.175000,4.175000,34300
2019-02-05,4.180000,4.235000,4.100000,4.100000,4.100000,16600
2019-02-06,4.100000,4.235000,4.050000,4.100000,4.100000,17300
2019-02-07,4.155000,4.185000,4.000000,4.080000,4.080000,14500
2019-02-08,4.120000,4.300000,4.050000,4.300000,4.300000,34000
2019-02-11,4.265000,4.750000,4.185000,4.185000,4.185000,30100
2019-02-12,4.200000,4.255000,4.100000,4.180000,4.180000,23500
2019-02-13,4.225000,4.250000,4.025000,4.025000,4.025000,26600
2019-02-14,4.110000,4.150000,4.000000,4.090000,4.090000,17900
2019-02-15,4.130000,4.160000,4.000000,4.160000,4.160000,29600
2019-02-19,4.125000,4.500000,4.125000,4.200000,4.200000,86700
2019-02-20,4.280000,4.500000,4.250000,4.355000,4.355000,21500
2019-02-21,4.230000,4.400000,4.175000,4.225000,4.225000,59900
2019-02-22,4.220000,4.500000,4.175000,4.285000,4.285000,35000
2019-02-25,4.275000,4.750000,4.200000,4.400000,4.400000,60400
