Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,9.500000,9.830000,9.500000,9.750000,8.997053,21900
2018-11-06,9.840000,9.890000,9.540000,9.700000,8.950914,42200
2018-11-07,9.410000,9.960000,9.410000,9.600000,8.946256,44700
2018-11-08,9.430000,9.770000,9.120000,9.250000,8.620090,84400
2018-11-09,7.965000,9.415000,7.400000,9.000000,8.387115,417300
2018-11-12,8.940000,9.420000,8.445000,8.560000,7.977078,236500
2018-11-13,8.450000,8.800000,8.000000,8.060000,7.511127,114600
2018-11-14,8.070000,8.360000,7.890000,8.150000,7.594998,120300
2018-11-15,8.030000,8.170000,7.510000,7.920000,7.380661,332200
2018-11-16,7.870000,8.170000,7.690000,8.000000,7.455213,168400
2018-11-19,7.550000,8.490000,7.550000,8.260000,7.697507,160800
2018-11-20,7.790000,8.170000,7.590000,7.730000,7.203599,85200
2018-11-21,7.960000,8.290000,7.820000,8.000000,7.455213,70500
2018-11-23,7.920000,8.640000,7.600000,7.700000,7.175642,41700
2018-11-26,8.080000,8.370000,7.700000,7.900000,7.362023,69500
2018-11-27,7.905000,7.940000,7.500000,7.520000,7.007900,109600
2018-11-28,7.520000,7.700000,7.190000,7.660000,7.138366,77000
2018-11-29,8.030000,8.030000,7.650000,7.750000,7.222238,286400
2018-11-30,7.810000,7.810000,7.400000,7.700000,7.175642,209700
2018-12-03,7.790000,8.080000,7.720000,8.010000,7.464532,431600
2018-12-04,7.900000,8.060000,7.430000,7.600000,7.082452,60700
2018-12-06,7.620000,7.920000,7.120000,7.380000,6.877434,57200
2018-12-07,7.730000,7.800000,7.550000,7.560000,7.045176,149900
2018-12-10,7.560000,7.560000,7.190000,7.340000,6.840158,81200
2018-12-11,7.380000,8.300000,7.380000,7.550000,7.035857,654500
2018-12-12,7.560000,7.840000,7.500000,7.510000,6.998581,99700
2018-12-13,7.430000,7.450000,7.170000,7.310000,6.812201,69200
2018-12-14,7.470000,7.490000,7.180000,7.350000,6.849476,3462000
2018-12-17,7.750000,7.900000,7.380000,7.490000,6.979943,479100
2018-12-18,7.430000,7.640000,7.300000,7.380000,6.877434,514900
2018-12-19,7.360000,7.560000,7.330000,7.480000,6.970623,576200
2018-12-20,7.290000,7.470000,7.170000,7.330000,6.830839,461000
2018-12-21,7.260000,8.080000,7.110000,7.110000,6.625821,2002100
2018-12-24,7.060000,7.160000,6.810000,7.030000,6.551268,793300
2018-12-26,7.060000,7.490000,6.710000,7.490000,6.979943,453300
2018-12-27,7.330000,7.780000,7.240000,7.750000,7.222238,190200
2018-12-28,7.920000,8.350000,7.780000,8.200000,7.641593,191500
2018-12-31,8.240000,8.590000,7.920000,8.500000,7.921164,230900
2019-01-02,8.390000,9.040000,8.220000,8.530000,7.949120,153800
2019-01-03,8.540000,9.250000,7.930000,8.390000,7.818655,191000
2019-01-04,8.500000,8.680000,8.390000,8.600000,8.014355,102900
2019-01-07,8.560000,8.970000,8.500000,8.820000,8.219372,305000
2019-01-08,8.950000,8.950000,8.485000,8.550000,7.967759,132700
2019-01-09,8.680000,8.950000,8.560000,8.790000,8.191415,181400
2019-01-10,8.760000,8.950000,8.625000,8.780000,8.182096,154000
2019-01-11,8.740000,8.915000,8.530000,8.530000,7.949120,194600
2019-01-14,8.500000,8.820000,8.500000,8.610000,8.023672,85000
