Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,2.640000,2.650000,2.580000,2.620000,2.620000,203900
2018-11-06,2.620000,2.700000,2.540000,2.600000,2.600000,201900
2018-11-07,2.590000,2.700000,2.450000,2.510000,2.510000,396200
2018-11-08,2.570000,3.380000,2.560000,3.300000,3.300000,3603000
2018-11-09,3.330000,3.520000,3.100000,3.260000,3.260000,1460900
2018-11-12,3.260000,3.780000,3.250000,3.500000,3.500000,1029900
2018-11-13,3.500000,3.750000,3.410000,3.680000,3.680000,502900
2018-11-14,3.690000,3.810000,3.600000,3.700000,3.700000,515600
2018-11-15,3.700000,3.740000,3.520000,3.640000,3.640000,480400
2018-11-16,3.640000,3.640000,3.500000,3.600000,3.600000,483200
2018-11-19,3.600000,3.660000,3.420000,3.510000,3.510000,446000
2018-11-20,3.400000,3.540000,3.360000,3.440000,3.440000,322500
2018-11-21,3.450000,3.580000,3.430000,3.510000,3.510000,217800
2018-11-23,3.500000,3.660000,3.440000,3.630000,3.630000,107500
2018-11-26,3.630000,3.670000,3.570000,3.610000,3.610000,203700
2018-11-27,3.600000,3.650000,3.530000,3.560000,3.560000,389300
2018-11-28,3.560000,3.600000,3.520000,3.550000,3.550000,337500
2018-11-29,3.550000,3.600000,3.500000,3.520000,3.520000,258100
2018-11-30,3.460000,3.670000,3.410000,3.540000,3.540000,313900
2018-12-03,3.550000,3.680000,3.490000,3.550000,3.550000,334900
2018-12-04,3.550000,3.660000,3.500000,3.600000,3.600000,264300
2018-12-06,3.580000,3.920000,3.520000,3.910000,3.910000,440400
2018-12-07,3.900000,4.160000,3.870000,3.960000,3.960000,624300
2018-12-10,3.900000,4.110000,3.750000,3.850000,3.850000,472500
2018-12-11,3.840000,3.950000,3.770000,3.780000,3.780000,190800
2018-12-12,3.770000,4.000000,3.640000,3.870000,3.870000,398300
2018-12-13,3.740000,3.950000,3.720000,3.750000,3.750000,203100
2018-12-14,3.660000,3.850000,3.650000,3.780000,3.780000,228900
2018-12-17,3.760000,3.800000,3.380000,3.430000,3.430000,304400
2018-12-18,3.490000,3.650000,3.430000,3.550000,3.550000,230400
2018-12-19,3.560000,3.600000,3.450000,3.500000,3.500000,155300
2018-12-20,3.470000,3.470000,3.030000,3.240000,3.240000,337700
2018-12-21,3.230000,3.310000,3.150000,3.200000,3.200000,282100
2018-12-24,3.150000,3.270000,3.120000,3.220000,3.220000,92200
2018-12-26,3.270000,3.320000,3.170000,3.280000,3.280000,251900
2018-12-27,3.250000,3.540000,3.250000,3.520000,3.520000,166800
2018-12-28,3.550000,3.630000,3.460000,3.560000,3.560000,128600
2018-12-31,3.620000,3.720000,3.530000,3.600000,3.600000,410100
2019-01-02,3.550000,3.710000,3.460000,3.710000,3.710000,490200
2019-01-03,3.710000,3.840000,3.630000,3.740000,3.740000,328600
2019-01-04,3.750000,4.320000,3.660000,4.270000,4.270000,754100
2019-01-07,4.290000,4.580000,4.190000,4.200000,4.200000,914600
2019-01-08,4.240000,4.420000,4.050000,4.410000,4.410000,320700
2019-01-09,4.410000,4.500000,4.250000,4.290000,4.290000,250700
2019-01-10,4.290000,4.350000,4.180000,4.230000,4.230000,203600
2019-01-11,4.200000,4.240000,4.050000,4.180000,4.180000,197300
2019-01-14,4.130000,4.370000,4.130000,4.260000,4.260000,216000
2019-01-15,4.280000,4.390000,4.260000,4.340000,4.340000,108200
2019-01-16,4.360000,4.550000,4.330000,4.490000,4.490000,255700
2019-01-17,4.530000,4.690000,4.490000,4.550000,4.550000,349200
2019-01-18,4.560000,4.740000,4.500000,4.560000,4.560000,454000
2019-01-22,4.550000,4.650000,4.350000,4.480000,4.480000,208300
2019-01-23,4.490000,4.680000,4.480000,4.630000,4.630000,236400
2019-01-24,4.600000,4.820000,4.420000,4.770000,4.770000,283900
2019-01-25,4.780000,4.930000,4.740000,4.790000,4.790000,367400
2019-01-28,4.790000,4.790000,4.440000,4.470000,4.470000,224200
2019-01-29,4.490000,4.590000,4.340000,4.510000,4.510000,130500
2019-01-30,4.500000,4.670000,4.470000,4.640000,4.640000,126600
2019-01-31,4.630000,4.810000,4.620000,4.720000,4.720000,188500
2019-02-01,4.730000,4.800000,4.560000,4.640000,4.640000,95900
2019-02-04,4.670000,4.710000,4.550000,4.700000,4.700000,87300
2019-02-05,4.710000,4.830000,4.620000,4.720000,4.720000,130900
2019-02-06,4.730000,4.730000,4.280000,4.410000,4.410000,272900
2019-02-07,4.410000,4.490000,4.280000,4.390000,4.390000,150600
2019-02-08,4.370000,4.480000,4.250000,4.460000,4.460000,95400
2019-02-11,4.460000,4.680000,4.360000,4.440000,4.440000,88600
2019-02-12,4.460000,4.560000,4.340000,4.470000,4.470000,93100
2019-02-13,4.450000,4.490000,4.290000,4.310000,4.310000,116800
2019-02-14,4.230000,4.400000,4.150000,4.270000,4.270000,233200
2019-02-15,4.300000,4.550000,4.220000,4.530000,4.530000,148700
2019-02-19,4.540000,4.790000,4.540000,4.660000,4.660000,170700
2019-02-20,4.630000,4.960000,4.610000,4.950000,4.950000,235900
2019-02-21,4.960000,5.200000,4.850000,5.060000,5.060000,395200
2019-02-22,5.100000,5.250000,4.810000,4.900000,4.900000,387400
2019-02-25,4.930000,5.240000,4.850000,5.190000,5.190000,290300
2019-02-26,5.200000,5.200000,4.920000,5.040000,5.040000,146200
2019-02-27,5.020000,5.090000,4.950000,4.970000,4.970000,132000
