Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,2.980000,3.010000,2.890000,2.920000,2.920000,1762300
2018-11-06,2.940000,3.020000,2.800000,2.830000,2.830000,1826400
2018-11-07,2.910000,2.970000,2.900000,2.930000,2.930000,1054300
2018-11-08,2.930000,2.940000,2.840000,2.840000,2.840000,1307000
2018-11-09,2.820000,2.890000,2.760000,2.870000,2.870000,1154800
2018-11-12,2.860000,2.970000,2.830000,2.830000,2.830000,1884600
2018-11-13,2.840000,2.840000,2.700000,2.740000,2.740000,2245300
2018-11-14,2.780000,2.850000,2.720000,2.750000,2.750000,1633400
2018-11-15,2.770000,2.860000,2.740000,2.800000,2.800000,2300900
2018-11-16,2.850000,2.870000,2.780000,2.780000,2.780000,1678800
2018-11-19,2.730000,2.820000,2.660000,2.710000,2.710000,1514700
2018-11-20,2.630000,2.690000,2.530000,2.560000,2.560000,3208500
2018-11-21,2.600000,2.660000,2.560000,2.620000,2.620000,1177200
2018-11-23,2.580000,2.620000,2.470000,2.550000,2.550000,1015400
2018-11-26,2.590000,2.600000,2.520000,2.540000,2.540000,731400
2018-11-27,2.510000,2.540000,2.430000,2.490000,2.490000,991100
2018-11-28,2.490000,2.580000,2.480000,2.570000,2.570000,1997400
2018-11-29,2.580000,2.630000,2.550000,2.610000,2.610000,1312400
2018-11-30,2.580000,2.710000,2.530000,2.670000,2.670000,1401200
2018-12-03,2.760000,2.850000,2.710000,2.760000,2.760000,1327100
2018-12-04,2.780000,2.820000,2.590000,2.590000,2.590000,1253300
2018-12-06,2.550000,2.560000,2.480000,2.500000,2.500000,2307600
2018-12-07,2.580000,2.660000,2.530000,2.550000,2.550000,1345900
2018-12-10,2.540000,2.540000,2.440000,2.460000,2.460000,1951300
2018-12-11,2.510000,2.530000,2.390000,2.390000,2.390000,1473700
2018-12-12,2.420000,2.540000,2.420000,2.440000,2.440000,990600
2018-12-13,2.450000,2.470000,2.400000,2.450000,2.450000,719300
2018-12-14,2.410000,2.470000,2.360000,2.370000,2.370000,1097100
2018-12-17,2.350000,2.390000,2.280000,2.290000,2.290000,1429900
2018-12-18,2.270000,2.330000,2.260000,2.290000,2.290000,1305600
2018-12-19,2.310000,2.320000,2.200000,2.230000,2.230000,2265100
2018-12-20,2.190000,2.250000,2.110000,2.190000,2.190000,2156100
2018-12-21,2.180000,2.200000,2.080000,2.080000,2.080000,1214800
2018-12-24,2.050000,2.100000,2.030000,2.050000,2.050000,827500
2018-12-26,2.080000,2.260000,2.040000,2.240000,2.240000,1209100
2018-12-27,2.200000,2.200000,2.080000,2.160000,2.160000,1578900
2018-12-28,2.190000,2.240000,2.140000,2.140000,2.140000,1261500
2018-12-31,2.150000,2.210000,2.130000,2.170000,2.170000,919700
2019-01-02,2.110000,2.280000,2.100000,2.220000,2.220000,965000
2019-01-03,2.220000,2.290000,2.170000,2.230000,2.230000,942100
2019-01-04,2.270000,2.390000,2.260000,2.390000,2.390000,1396000
2019-01-07,2.400000,2.500000,2.380000,2.470000,2.470000,1259300
2019-01-08,2.490000,2.500000,2.420000,2.470000,2.470000,1022300
2019-01-09,2.500000,2.550000,2.460000,2.470000,2.470000,1381600
2019-01-10,2.460000,2.540000,2.430000,2.510000,2.510000,1408700
2019-01-11,2.490000,2.500000,2.410000,2.420000,2.420000,1261600
2019-01-14,2.410000,2.470000,2.360000,2.410000,2.410000,1013900
2019-01-15,2.430000,2.460000,2.410000,2.440000,2.440000,656900
2019-01-16,2.420000,2.450000,2.380000,2.420000,2.420000,520200
2019-01-17,2.410000,2.480000,2.400000,2.480000,2.480000,810800
2019-01-18,2.570000,2.570000,2.480000,2.510000,2.510000,873300
2019-01-22,2.480000,2.480000,2.330000,2.350000,2.350000,954200
2019-01-23,2.340000,2.380000,2.280000,2.320000,2.320000,790300
2019-01-24,2.310000,2.410000,2.300000,2.400000,2.400000,970000
2019-01-25,2.430000,2.450000,2.380000,2.380000,2.380000,742300
2019-01-28,2.300000,2.360000,2.260000,2.280000,2.280000,1093400
2019-01-29,2.320000,2.350000,2.280000,2.310000,2.310000,984600
2019-01-30,2.410000,2.440000,2.340000,2.390000,2.390000,1718700
2019-01-31,2.350000,2.450000,2.350000,2.370000,2.370000,1173600
2019-02-01,2.410000,2.410000,2.320000,2.340000,2.340000,1886400
2019-02-04,2.280000,2.300000,2.250000,2.290000,2.290000,1744000
2019-02-05,2.260000,2.300000,2.240000,2.260000,2.260000,1980700
2019-02-06,2.270000,2.300000,2.230000,2.240000,2.240000,644800
2019-02-07,2.230000,2.300000,2.130000,2.150000,2.150000,2651100
2019-02-08,2.130000,2.190000,2.130000,2.180000,2.180000,987700
2019-02-11,2.190000,2.220000,2.150000,2.210000,2.210000,762400
2019-02-12,2.230000,2.270000,2.200000,2.220000,2.220000,766600
2019-02-13,2.240000,2.300000,2.200000,2.260000,2.260000,1442200
2019-02-14,2.270000,2.380000,2.260000,2.360000,2.360000,1702300
2019-02-15,2.360000,2.420000,2.360000,2.390000,2.390000,799300
2019-02-19,2.400000,2.430000,2.370000,2.400000,2.400000,1740500
2019-02-20,2.380000,2.410000,2.330000,2.330000,2.330000,1827800
2019-02-21,2.340000,2.360000,2.290000,2.290000,2.290000,1989100
2019-02-22,2.290000,2.340000,2.280000,2.310000,2.310000,1089100
2019-02-25,2.300000,2.320000,2.280000,2.290000,2.290000,1585000
2019-02-26,2.300000,2.310000,2.250000,2.280000,2.280000,1536300
2019-02-27,2.210000,2.360000,2.210000,2.310000,2.310000,2765700
