Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,4.390000,4.550000,4.250000,4.250000,4.250000,42600
2018-11-06,4.290000,4.430000,4.130000,4.330000,4.330000,22800
2018-11-07,4.300000,4.300000,4.100000,4.250000,4.250000,24100
2018-11-08,4.260000,4.300000,4.160000,4.300000,4.300000,16900
2018-11-09,4.300000,4.340000,4.250000,4.300000,4.300000,9700
2018-11-12,4.260000,4.260000,3.870000,4.000000,4.000000,16200
2018-11-13,3.990000,4.070000,3.990000,4.050000,4.050000,9700
2018-11-14,4.020000,4.100000,3.970000,4.100000,4.100000,19200
2018-11-15,4.070000,4.090000,3.900000,4.090000,4.090000,13600
2018-11-16,4.010000,4.020000,3.680000,3.950000,3.950000,39400
2018-11-19,3.970000,3.970000,3.750000,3.800000,3.800000,36300
2018-11-20,3.700000,3.930000,3.560000,3.720000,3.720000,36700
2018-11-21,3.720000,3.980000,3.630000,3.840000,3.840000,34900
2018-11-23,3.890000,3.980000,3.750000,3.980000,3.980000,4400
2018-11-26,4.000000,4.280000,3.850000,4.190000,4.190000,10700
2018-11-27,4.140000,4.390000,4.010000,4.390000,4.390000,8500
2018-11-28,4.340000,4.380000,4.180000,4.360000,4.360000,9900
2018-11-29,4.390000,4.410000,4.250000,4.360000,4.360000,7500
2018-11-30,4.310000,4.310000,4.050000,4.150000,4.150000,9600
2018-12-03,4.150000,4.270000,3.990000,4.160000,4.160000,14100
2018-12-04,4.210000,4.240000,4.050000,4.110000,4.110000,5500
2018-12-06,4.110000,4.240000,4.050000,4.050000,4.050000,21600
2018-12-07,4.080000,4.130000,3.900000,4.010000,4.010000,13200
2018-12-10,3.950000,4.020000,3.640000,3.650000,3.650000,22400
2018-12-11,3.640000,3.760000,3.500000,3.610000,3.610000,22700
2018-12-12,3.610000,3.830000,3.440000,3.700000,3.700000,27400
2018-12-13,3.810000,4.000000,3.640000,3.800000,3.800000,13700
2018-12-14,3.730000,3.730000,2.750000,2.800000,2.800000,158300
2018-12-17,2.800000,3.080000,2.730000,2.730000,2.730000,46900
2018-12-18,2.780000,2.810000,2.550000,2.640000,2.640000,185700
2018-12-19,2.660000,2.830000,2.530000,2.610000,2.610000,28700
2018-12-20,2.600000,2.610000,2.340000,2.380000,2.380000,46900
2018-12-21,2.380000,2.660000,2.300000,2.460000,2.460000,42200
2018-12-24,2.440000,2.440000,2.300000,2.300000,2.300000,26500
2018-12-26,2.410000,2.490000,2.250000,2.300000,2.300000,33500
2018-12-27,2.300000,2.450000,2.280000,2.330000,2.330000,32800
2018-12-28,2.390000,2.440000,2.350000,2.380000,2.380000,19100
2018-12-31,2.420000,2.530000,2.420000,2.500000,2.500000,71600
2019-01-02,2.420000,2.590000,2.420000,2.510000,2.510000,21000
2019-01-03,3.010000,3.010000,2.350000,2.420000,2.420000,67600
2019-01-04,2.620000,2.640000,2.410000,2.410000,2.410000,42700
2019-01-07,2.440000,2.550000,2.380000,2.550000,2.550000,44100
2019-01-08,2.720000,2.720000,2.450000,2.570000,2.570000,22300
2019-01-09,2.620000,2.710000,2.500000,2.500000,2.500000,30800
2019-01-10,2.510000,2.720000,2.430000,2.500000,2.500000,25100
2019-01-11,2.510000,2.600000,2.410000,2.570000,2.570000,20200
2019-01-14,2.570000,2.620000,2.540000,2.550000,2.550000,2000
2019-01-15,2.560000,2.600000,2.500000,2.570000,2.570000,7300
2019-01-16,2.540000,2.550000,2.450000,2.450000,2.450000,5100
2019-01-17,2.400000,2.470000,2.360000,2.380000,2.380000,39700
2019-01-18,2.360000,2.450000,2.350000,2.370000,2.370000,34100
2019-01-22,2.380000,2.570000,2.380000,2.520000,2.520000,9100
2019-01-23,2.600000,2.640000,2.550000,2.550000,2.550000,6300
2019-01-24,2.600000,2.600000,2.520000,2.590000,2.590000,1000
2019-01-25,2.630000,2.630000,2.340000,2.400000,2.400000,5600
2019-01-28,2.400000,2.510000,2.400000,2.510000,2.510000,1500
2019-01-29,2.340000,2.420000,2.340000,2.400000,2.400000,4600
2019-01-30,2.410000,2.510000,2.400000,2.440000,2.440000,13200
2019-01-31,2.500000,2.500000,2.420000,2.490000,2.490000,15200
2019-02-01,2.400000,2.590000,2.400000,2.510000,2.510000,8500
2019-02-04,2.490000,2.570000,2.450000,2.570000,2.570000,9600
2019-02-05,2.590000,2.930000,2.520000,2.560000,2.560000,45100
2019-02-06,2.540000,2.830000,2.540000,2.540000,2.540000,16200
2019-02-07,2.550000,2.820000,2.550000,2.560000,2.560000,14400
2019-02-08,2.550000,2.620000,2.530000,2.530000,2.530000,14200
2019-02-11,2.530000,2.530000,2.430000,2.430000,2.430000,14100
2019-02-12,2.420000,2.850000,2.420000,2.600000,2.600000,35000
2019-02-13,2.630000,2.800000,2.600000,2.620000,2.620000,20600
2019-02-14,2.680000,2.700000,2.600000,2.620000,2.620000,4900
2019-02-15,2.680000,2.720000,2.620000,2.650000,2.650000,11900
2019-02-19,2.670000,2.720000,2.620000,2.720000,2.720000,8700
2019-02-20,2.680000,2.680000,2.600000,2.600000,2.600000,1200
2019-02-21,2.600000,2.730000,2.600000,2.690000,2.690000,3100
2019-02-22,2.680000,2.700000,2.420000,2.700000,2.700000,57100
2019-02-25,2.690000,2.700000,2.540000,2.640000,2.640000,148900
2019-02-26,2.600000,2.640000,2.560000,2.580000,2.580000,16900
2019-02-27,2.540000,2.610000,2.540000,2.610000,2.610000,2100
2019-02-28,2.540000,2.760000,2.450000,2.700000,2.700000,50300
2019-03-01,2.760000,2.760000,2.600000,2.620000,2.620000,64300
2019-03-04,2.640000,2.750000,2.580000,2.630000,2.630000,65400
2019-03-05,2.570000,2.860000,2.560000,2.630000,2.630000,44900
2019-03-06,2.690000,2.770000,2.580000,2.580000,2.580000,18400
2019-03-07,2.580000,2.850000,2.550000,2.560000,2.560000,60200
2019-03-08,2.600000,2.710000,2.570000,2.590000,2.590000,25500
2019-03-11,2.620000,2.700000,2.600000,2.650000,2.650000,56800
2019-03-12,2.740000,2.740000,2.570000,2.570000,2.570000,11300
2019-03-13,2.600000,2.670000,2.550000,2.550000,2.550000,10300
2019-03-14,2.550000,2.710000,2.490000,2.540000,2.540000,61300
2019-03-15,2.600000,2.650000,2.470000,2.490000,2.490000,22500
2019-03-18,2.470000,2.540000,2.470000,2.500000,2.500000,12600
2019-03-19,2.530000,2.620000,2.410000,2.480000,2.480000,56600
2019-03-20,2.500000,2.720000,2.410000,2.600000,2.600000,27400
2019-03-21,2.540000,2.630000,2.450000,2.470000,2.470000,40600
2019-03-22,2.480000,2.640000,2.400000,2.590000,2.590000,39400
2019-03-25,2.550000,2.550000,2.320000,2.430000,2.430000,48200
2019-03-26,2.470000,2.570000,2.380000,2.440000,2.440000,29200
2019-03-27,2.400000,2.470000,2.380000,2.380000,2.380000,12400
2019-03-28,2.380000,2.480000,2.310000,2.360000,2.360000,32600
2019-03-29,2.410000,2.500000,2.350000,2.420000,2.420000,16700
2019-04-01,2.480000,2.480000,2.380000,2.420000,2.420000,18800
2019-04-02,2.400000,2.510000,2.360000,2.410000,2.410000,21900
2019-04-03,2.370000,2.430000,2.310000,2.310000,2.310000,20400
2019-04-04,2.350000,2.380000,2.250000,2.260000,2.260000,15300
2019-04-05,2.260000,2.340000,2.180000,2.260000,2.260000,43500
2019-04-08,2.230000,2.340000,2.210000,2.300000,2.300000,38200
2019-04-09,2.300000,2.340000,2.220000,2.280000,2.280000,35600
2019-04-10,2.230000,2.370000,2.180000,2.250000,2.250000,46400
2019-04-11,2.250000,2.330000,2.250000,2.290000,2.290000,12800
2019-04-12,2.260000,2.320000,2.250000,2.250000,2.250000,17900
2019-04-15,2.250000,2.340000,2.200000,2.200000,2.200000,24200
2019-04-16,2.210000,2.280000,2.080000,2.230000,2.230000,83400
2019-04-17,2.200000,2.330000,2.160000,2.230000,2.230000,22600
2019-04-18,2.230000,2.330000,2.170000,2.230000,2.230000,20500
2019-04-22,2.270000,2.270000,2.190000,2.230000,2.230000,19000
2019-04-23,2.170000,2.290000,2.090000,2.230000,2.230000,70200
2019-04-24,2.260000,2.310000,2.230000,2.270000,2.270000,28900
2019-04-25,2.250000,2.290000,2.150000,2.230000,2.230000,21200
2019-04-26,2.220000,2.310000,2.200000,2.270000,2.270000,18800
2019-04-29,2.230000,2.290000,2.130000,2.230000,2.230000,26200
2019-04-30,2.150000,2.260000,2.150000,2.240000,2.240000,16000
2019-05-01,2.220000,2.280000,2.160000,2.230000,2.230000,26000
2019-05-02,2.200000,2.290000,2.150000,2.250000,2.250000,21200
2019-05-03,2.240000,2.300000,2.240000,2.270000,2.270000,3600
2019-05-06,2.290000,2.330000,2.270000,2.270000,2.270000,5500
2019-05-07,2.240000,2.280000,2.240000,2.260000,2.260000,3800
2019-05-08,2.260000,2.320000,2.260000,2.320000,2.320000,7900
2019-05-09,2.260000,2.320000,2.230000,2.250000,2.250000,15700
2019-05-10,2.250000,2.340000,2.250000,2.340000,2.340000,8500
2019-05-13,2.320000,2.350000,2.310000,2.320000,2.320000,4200
2019-05-14,2.350000,2.360000,2.330000,2.330000,2.330000,2600
2019-05-15,2.320000,2.330000,2.260000,2.290000,2.290000,18500
2019-05-16,2.280000,2.330000,2.270000,2.270000,2.270000,18900
2019-05-17,2.270000,2.280000,2.260000,2.260000,2.260000,2400
2019-05-20,2.260000,2.290000,2.220000,2.250000,2.250000,32300
2019-05-21,2.190000,2.270000,2.190000,2.270000,2.270000,3600
2019-05-22,2.230000,2.250000,2.180000,2.210000,2.210000,24600
2019-05-23,2.190000,2.300000,2.190000,2.200000,2.200000,7800
2019-05-24,2.200000,2.220000,2.150000,2.170000,2.170000,4300
2019-05-28,2.210000,2.220000,2.100000,2.100000,2.100000,5900
2019-05-29,2.100000,2.230000,2.090000,2.100000,2.100000,32500
2019-05-30,2.090000,2.180000,2.090000,2.140000,2.140000,4800
2019-05-31,2.110000,2.180000,2.110000,2.120000,2.120000,7400
2019-06-03,2.110000,2.130000,2.090000,2.100000,2.100000,22800
2019-06-04,2.100000,2.180000,2.100000,2.100000,2.100000,5000
2019-06-05,2.090000,2.120000,2.040000,2.110000,2.110000,35500
2019-06-06,2.120000,2.120000,2.040000,2.040000,2.040000,6300
2019-06-07,2.030000,2.030000,1.900000,1.900000,1.900000,42300
2019-06-10,1.930000,2.140000,1.900000,1.900000,1.900000,11100
2019-06-11,1.910000,2.060000,1.910000,1.990000,1.990000,2900
2019-06-12,2.000000,2.000000,1.780000,1.840000,1.840000,32400
2019-06-13,1.950000,1.950000,1.830000,1.850000,1.850000,26100
2019-06-14,1.830000,2.020000,1.830000,2.010000,2.010000,17700
2019-06-17,1.910000,1.940000,1.850000,1.860000,1.860000,5700
2019-06-18,1.890000,1.890000,1.830000,1.880000,1.880000,16500
2019-06-19,1.850000,1.870000,1.850000,1.860000,1.860000,13500
2019-06-20,1.830000,1.870000,1.710000,1.820000,1.820000,27000
2019-06-21,1.800000,2.000000,1.780000,2.000000,2.000000,6800
2019-06-24,1.950000,1.950000,1.800000,1.810000,1.810000,6100
2019-06-25,1.880000,1.880000,1.840000,1.850000,1.850000,4700
2019-06-26,1.850000,1.850000,1.720000,1.770000,1.770000,16400
2019-06-27,1.750000,1.830000,1.750000,1.750000,1.750000,22400
2019-06-28,1.870000,2.000000,1.740000,1.760000,1.760000,321200
2019-07-01,1.770000,1.850000,1.720000,1.750000,1.750000,34800
2019-07-02,1.710000,1.990000,1.710000,1.810000,1.810000,90900
2019-07-03,1.800000,1.950000,1.800000,1.870000,1.870000,10400
2019-07-05,1.860000,1.980000,1.860000,1.870000,1.870000,20800
2019-07-08,1.930000,2.000000,1.900000,1.970000,1.970000,11800
2019-07-09,2.010000,2.020000,1.930000,2.020000,2.020000,29500
2019-07-10,2.010000,2.090000,1.960000,2.090000,2.090000,10700
2019-07-11,2.100000,2.100000,1.920000,1.920000,1.920000,40700
2019-07-12,1.960000,2.080000,1.960000,2.040000,2.040000,16200
2019-07-15,2.000000,2.050000,1.940000,2.050000,2.050000,6900
2019-07-16,2.040000,2.050000,1.970000,1.970000,1.970000,31600
2019-07-17,1.960000,2.020000,1.900000,2.010000,2.010000,18600
2019-07-18,1.960000,2.010000,1.960000,1.990000,1.990000,6500
2019-07-19,2.030000,2.030000,2.030000,2.030000,2.030000,200
2019-07-22,1.990000,2.010000,1.900000,1.900000,1.900000,21000
2019-07-23,2.050000,2.050000,1.900000,1.900000,1.900000,18700
2019-07-24,1.930000,2.040000,1.900000,1.910000,1.910000,15500
2019-07-25,1.910000,2.040000,1.910000,2.020000,2.020000,1800
2019-07-26,2.000000,2.010000,1.900000,1.910000,1.910000,25500
2019-07-29,1.890000,1.960000,1.850000,1.850000,1.850000,26900
2019-07-30,1.870000,1.920000,1.860000,1.860000,1.860000,7300
2019-07-31,1.900000,1.930000,1.840000,1.840000,1.840000,14800
2019-08-01,1.850000,1.940000,1.850000,1.880000,1.880000,7900
2019-08-02,1.860000,1.910000,1.830000,1.870000,1.870000,7200
2019-08-05,1.810000,1.910000,1.800000,1.850000,1.850000,48600
2019-08-06,1.860000,1.920000,1.860000,1.870000,1.870000,14800
2019-08-07,1.950000,1.950000,1.830000,1.900000,1.900000,15700
2019-08-08,1.930000,1.930000,1.850000,1.870000,1.870000,16600
2019-08-09,1.850000,1.890000,1.770000,1.890000,1.890000,12800
2019-08-12,1.880000,1.890000,1.770000,1.850000,1.850000,26600
2019-08-13,1.850000,1.940000,1.850000,1.900000,1.900000,27700
2019-08-14,1.900000,1.910000,1.810000,1.890000,1.890000,24500
2019-08-15,1.900000,1.920000,1.830000,1.860000,1.860000,21200
2019-08-16,1.830000,1.920000,1.790000,1.890000,1.890000,46700
2019-08-19,1.890000,1.920000,1.880000,1.890000,1.890000,6200
2019-08-20,1.920000,1.940000,1.890000,1.900000,1.900000,4800
2019-08-21,1.890000,1.940000,1.870000,1.940000,1.940000,6000
2019-08-22,1.910000,1.910000,1.860000,1.880000,1.880000,13500
2019-08-23,1.890000,1.910000,1.790000,1.910000,1.910000,26800
2019-08-26,1.860000,1.880000,1.800000,1.850000,1.850000,30000
2019-08-27,1.840000,1.900000,1.820000,1.880000,1.880000,6400
2019-08-28,1.850000,1.910000,1.770000,1.910000,1.910000,9600
2019-08-29,1.880000,1.880000,1.760000,1.760000,1.760000,8100
2019-08-30,1.810000,1.840000,1.810000,1.810000,1.810000,1700
2019-09-03,1.840000,1.840000,1.710000,1.710000,1.710000,17400
2019-09-04,1.740000,1.790000,1.720000,1.750000,1.750000,9400
