Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,70.940002,71.489998,69.430000,70.459999,70.459999,334100
2018-11-06,70.279999,72.000000,70.279999,71.410004,71.410004,281300
2018-11-07,71.750000,72.959999,71.050003,72.510002,72.510002,246200
2018-11-08,72.379997,73.010002,71.320000,72.040001,72.040001,303700
2018-11-09,71.309998,71.309998,68.959999,69.790001,69.790001,178300
2018-11-12,69.779999,69.779999,67.570000,67.669998,67.669998,172000
2018-11-13,67.980003,68.940002,66.760002,66.830002,66.830002,275500
2018-11-14,67.389999,68.540001,65.150002,65.410004,65.410004,250800
2018-11-15,65.010002,66.620003,63.910000,66.419998,66.419998,375800
2018-11-16,66.110001,66.940002,65.190002,66.559998,66.559998,257900
2018-11-19,66.230003,67.320000,63.770000,64.059998,64.059998,212400
2018-11-20,63.080002,63.080002,60.599998,60.810001,60.810001,308100
2018-11-21,61.740002,63.040001,61.520000,62.360001,62.360001,285800
2018-11-23,61.340000,63.000000,61.340000,62.169998,62.169998,72800
2018-11-26,62.410000,63.169998,61.509998,62.700001,62.700001,256900
2018-11-27,62.070000,62.490002,60.490002,60.610001,60.610001,152700
2018-11-28,60.889999,61.580002,59.250000,61.410000,61.410000,462700
2018-11-29,60.990002,62.299999,60.160000,61.680000,61.680000,315300
2018-11-30,61.209999,63.709999,61.209999,63.560001,63.560001,284400
2018-12-03,65.839996,69.690002,65.000000,67.849998,67.849998,638500
2018-12-04,67.889999,68.980003,62.470001,62.689999,62.689999,375600
2018-12-06,61.320000,62.049999,59.740002,60.889999,60.889999,379100
2018-12-07,61.330002,61.700001,59.230000,60.270000,60.270000,293300
2018-12-10,60.240002,61.049999,59.230000,60.520000,60.520000,365300
2018-12-11,61.759998,62.480000,60.230000,61.070000,61.070000,197300
2018-12-12,62.230000,63.930000,61.279999,61.900002,61.900002,400700
2018-12-13,62.259998,63.830002,60.939999,60.959999,60.959999,487300
2018-12-14,60.049999,62.709999,59.869999,61.259998,61.259998,426600
2018-12-17,60.860001,62.430000,58.730000,59.240002,59.240002,341500
2018-12-18,59.540001,61.160000,58.959999,60.410000,60.410000,244900
2018-12-19,60.619999,61.799999,57.880001,58.660000,58.660000,316100
2018-12-20,58.619999,60.369999,58.250000,59.900002,59.900002,528200
2018-12-21,60.430000,62.099998,59.509998,61.360001,61.360001,855000
2018-12-24,60.639999,61.130001,58.480000,58.599998,58.599998,182600
2018-12-26,59.060001,62.860001,58.250000,62.680000,62.680000,235900
2018-12-27,61.000000,64.199997,61.000000,64.169998,64.169998,393700
2018-12-28,64.180000,65.870003,63.340000,64.870003,64.870003,335400
2018-12-31,65.220001,66.099998,64.389999,65.029999,65.029999,352900
2019-01-02,63.930000,65.949997,63.090000,65.949997,65.949997,262700
2019-01-03,65.489998,67.550003,62.250000,63.639999,63.639999,309300
2019-01-04,64.839996,67.220001,64.160004,66.860001,66.860001,335900
2019-01-07,67.199997,67.949997,65.809998,67.260002,67.260002,363200
2019-01-08,68.230003,68.750000,67.190002,67.870003,67.870003,385900
