Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,164.050003,165.570007,163.800003,164.699997,160.675491,820000
2018-11-06,164.270004,165.289993,163.009995,164.190002,160.177963,784300
2018-11-07,164.660004,165.759995,161.350006,165.449997,161.407166,793400
2018-11-08,164.800003,168.259995,164.330002,167.369995,163.280243,795900
2018-11-09,167.240005,168.279999,165.589996,166.720001,162.646149,744200
2018-11-12,166.589996,167.229996,164.929993,165.130005,161.095001,773600
2018-11-13,165.119995,168.190002,165.119995,167.500000,163.407074,815400
2018-11-14,168.600006,169.630005,163.539993,165.289993,161.251068,1090100
2018-11-15,163.940002,168.410004,163.190002,168.289993,164.177780,984500
2018-11-16,167.039993,170.000000,166.660004,169.039993,164.909454,1038400
2018-11-19,169.080002,170.119995,166.639999,168.580002,164.460693,906200
2018-11-20,167.800003,169.210007,164.669998,168.270004,164.158264,1337800
2018-11-21,168.710007,170.470001,166.389999,167.830002,163.729019,1148700
2018-11-23,166.639999,168.139999,165.429993,167.250000,163.163193,221900
2018-11-26,169.199997,170.750000,168.479996,170.070007,165.914291,900700
2018-11-27,169.220001,170.460007,166.970001,167.440002,163.348557,877700
2018-11-28,167.559998,170.169998,165.899994,168.449997,164.333862,1039300
2018-11-29,167.380005,169.820007,166.500000,168.690002,164.568008,901300
2018-11-30,167.240005,170.050003,167.240005,169.009995,165.863419,1497200
2018-12-03,170.320007,171.009995,166.559998,168.559998,165.421814,833100
2018-12-04,167.550003,168.229996,160.240005,161.089996,158.090881,1148300
2018-12-06,157.259995,161.320007,156.130005,161.300003,158.296967,1109800
2018-12-07,161.250000,162.699997,157.240005,157.869995,154.930817,892300
2018-12-10,157.649994,157.649994,153.149994,155.350006,152.457748,721000
2018-12-11,157.240005,157.820007,152.630005,153.559998,150.701065,554600
2018-12-12,155.770004,156.779999,153.399994,154.309998,151.437103,808900
2018-12-13,154.410004,154.889999,149.009995,149.679993,146.893295,1160000
2018-12-14,148.800003,150.639999,147.380005,147.809998,145.058121,824700
2018-12-17,147.000000,149.160004,145.699997,146.350006,143.625320,830400
2018-12-18,146.570007,147.990005,142.949997,144.100006,141.417206,907700
2018-12-19,143.880005,145.589996,140.500000,141.550003,138.914673,1009700
2018-12-20,140.369995,142.300003,139.509995,141.100006,138.473068,1142400
2018-12-21,140.250000,143.500000,137.919998,138.720001,136.137360,2174400
2018-12-24,138.000000,138.789993,135.690002,135.740005,133.212830,575700
2018-12-26,136.520004,141.149994,133.779999,141.080002,138.453415,953600
2018-12-27,139.399994,140.649994,136.259995,140.649994,138.031418,756200
2018-12-28,141.500000,142.889999,140.259995,141.229996,138.600616,710500
2018-12-31,141.850006,143.270004,140.880005,143.130005,140.465256,580900
2019-01-02,141.110001,145.100006,141.110001,144.889999,142.192474,874200
2019-01-03,144.389999,146.339996,143.649994,143.860001,141.181656,1022100
2019-01-04,146.399994,148.699997,145.589996,148.279999,145.519379,1013000
2019-01-07,147.630005,151.009995,146.889999,150.100006,147.305481,1130200
2019-01-08,150.669998,151.270004,149.350006,150.750000,147.943390,1423200
2019-01-09,151.820007,152.979996,150.720001,152.350006,149.513596,911600
2019-01-10,151.800003,152.100006,149.369995,150.440002,147.639160,566200
2019-01-11,149.559998,151.820007,148.990005,150.809998,148.002274,461200
2019-01-14,149.660004,152.020004,149.440002,151.039993,148.227966,771100
2019-01-15,151.309998,151.649994,149.229996,151.449997,148.630356,719400
2019-01-16,152.740005,155.539993,151.589996,154.419998,151.545044,1092500
2019-01-17,158.869995,163.500000,158.869995,163.210007,160.171417,1932100
2019-01-18,164.529999,166.929993,162.830002,165.589996,162.507095,1227600
2019-01-22,164.869995,166.800003,164.869995,166.679993,163.576813,1146000
2019-01-23,167.679993,168.110001,165.880005,167.550003,164.430603,946400
2019-01-24,167.009995,169.500000,166.350006,168.419998,165.284424,828800
2019-01-25,169.100006,169.809998,167.830002,168.309998,165.176453,689100
2019-01-28,167.580002,168.820007,166.399994,167.669998,164.548370,576600
2019-01-29,167.729996,168.820007,167.410004,168.000000,164.872238,469000
