Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,5.210000,5.540000,5.140000,5.400000,5.400000,125400
2018-11-06,5.500000,5.650000,5.259000,5.450000,5.450000,181800
2018-11-07,5.500000,5.500000,4.810000,5.230000,5.230000,266800
2018-11-08,5.160000,5.180000,4.960000,5.110000,5.110000,79000
2018-11-09,5.060000,5.107000,4.950000,5.030000,5.030000,79100
2018-11-12,5.010000,5.350000,4.967000,5.210000,5.210000,236600
2018-11-13,5.210000,5.320000,5.050000,5.050000,5.050000,61900
2018-11-14,5.100000,5.143000,4.730000,4.900000,4.900000,149100
2018-11-15,4.830000,5.150000,4.770000,5.000000,5.000000,104800
2018-11-16,5.000000,5.123000,4.890000,4.960000,4.960000,53100
2018-11-19,5.000000,5.100000,4.860000,4.900000,4.900000,65800
2018-11-20,4.820000,4.880000,4.710000,4.780000,4.780000,89500
2018-11-21,4.760000,5.070000,4.760000,4.960000,4.960000,67200
2018-11-23,4.930000,5.230000,4.790000,5.230000,5.230000,31000
2018-11-26,5.160000,5.170000,4.970000,5.100000,5.100000,54800
2018-11-27,5.120000,5.189000,4.900000,4.930000,4.930000,87700
2018-11-28,4.980000,5.020000,4.790000,4.950000,4.950000,54400
2018-11-29,4.940000,5.070000,4.840000,4.900000,4.900000,55900
2018-11-30,4.910000,5.020000,4.901000,4.970000,4.970000,54800
2018-12-03,5.010000,5.020000,4.810000,4.940000,4.940000,54900
2018-12-04,4.930000,4.970000,4.800000,4.830000,4.830000,49000
2018-12-06,4.800000,5.000000,4.500000,4.930000,4.930000,145400
2018-12-07,4.910000,4.950000,4.653000,4.700000,4.700000,52600
2018-12-10,4.670000,4.830000,4.590000,4.770000,4.770000,92300
2018-12-11,4.780000,4.820000,4.690000,4.740000,4.740000,37500
2018-12-12,4.750000,4.800000,4.660000,4.700000,4.700000,52000
2018-12-13,4.680000,4.700000,4.490000,4.610000,4.610000,78200
2018-12-14,4.681000,4.681000,4.240000,4.600000,4.600000,89000
2018-12-17,4.650000,4.700000,4.140000,4.240000,4.240000,122300
2018-12-18,4.250000,4.399000,4.127000,4.290000,4.290000,109800
2018-12-19,4.250000,4.266000,4.020000,4.070000,4.070000,91100
2018-12-20,4.070000,4.160000,3.600000,3.750000,3.750000,189700
2018-12-21,3.680000,3.837000,3.350000,3.480000,3.480000,220600
2018-12-24,3.380000,3.520000,3.250000,3.400000,3.400000,63100
2018-12-26,3.480000,3.669000,3.357000,3.580000,3.580000,103700
2018-12-27,3.500000,3.569000,3.421000,3.530000,3.530000,72200
2018-12-28,3.730000,3.894000,3.578000,3.810000,3.810000,99200
2018-12-31,3.950000,3.950000,3.760000,3.800000,3.800000,65000
2019-01-02,3.780000,3.890000,3.610000,3.840000,3.840000,39000
2019-01-03,3.880000,4.050000,3.750000,3.950000,3.950000,78900
2019-01-04,4.090000,4.190000,3.900000,4.060000,4.060000,42000
2019-01-07,4.240000,4.320000,4.130000,4.170000,4.170000,71700
2019-01-08,4.230000,4.470000,4.170000,4.270000,4.270000,34800
2019-01-09,4.270000,4.390000,4.230000,4.390000,4.390000,40800
2019-01-10,4.410000,4.520000,4.340000,4.500000,4.500000,20600
2019-01-11,4.510000,4.605000,4.440000,4.500000,4.500000,37500
2019-01-14,4.510000,4.610000,4.365000,4.540000,4.540000,58700
2019-01-15,4.560000,4.630000,4.455000,4.480000,4.480000,50900
2019-01-16,4.480000,4.500000,4.380000,4.500000,4.500000,29900
2019-01-17,4.440000,4.600000,4.400000,4.430000,4.430000,26200
2019-01-18,4.520000,4.580000,4.400000,4.550000,4.550000,27600
2019-01-22,4.460000,4.510000,4.230000,4.300000,4.300000,43800
2019-01-23,4.410000,4.450000,4.110000,4.110000,4.110000,66600
2019-01-24,4.110000,4.258000,4.110000,4.220000,4.220000,30300
2019-01-25,4.204000,4.242000,4.160000,4.230000,4.230000,20100
2019-01-28,4.230000,4.260000,4.030000,4.220000,4.220000,22200
2019-01-29,4.160000,4.187000,4.050000,4.187000,4.187000,54700
2019-01-30,4.220000,4.250000,4.040000,4.090000,4.090000,47500
2019-01-31,4.120000,4.180000,4.050000,4.120000,4.120000,47800
2019-02-01,4.130000,4.150000,4.070000,4.130000,4.130000,40100
2019-02-04,4.050000,4.150000,4.050000,4.120000,4.120000,40800
2019-02-05,4.140000,4.350000,4.090000,4.340000,4.340000,57600
2019-02-06,4.350000,4.458000,4.270000,4.410000,4.410000,47300
2019-02-07,4.450000,4.450000,4.260000,4.380000,4.380000,31600
2019-02-08,4.310000,4.376000,4.280000,4.300000,4.300000,32700
2019-02-11,4.300000,4.550000,4.300000,4.360000,4.360000,40300
2019-02-12,4.410000,4.540000,4.390000,4.480000,4.480000,33900
2019-02-13,4.450000,4.850000,4.450000,4.620000,4.620000,117400
2019-02-14,4.660000,4.715000,4.620000,4.660000,4.660000,16900
2019-02-15,4.700000,4.800000,4.660000,4.680000,4.680000,30100
2019-02-19,4.750000,4.750000,4.600000,4.670000,4.670000,72400
2019-02-20,4.730000,4.750000,4.550000,4.550000,4.550000,31800
2019-02-21,4.580000,4.670000,4.530000,4.530000,4.530000,28300
2019-02-22,4.550000,4.558000,4.270000,4.480000,4.480000,53800
2019-02-25,4.430000,4.539000,4.430000,4.450000,4.450000,23400
2019-02-26,4.420000,4.516000,4.420000,4.470000,4.470000,21000
2019-02-27,4.490000,4.530000,4.410000,4.470000,4.470000,28400
2019-02-28,4.540000,4.540000,4.270000,4.420000,4.420000,49000
2019-03-01,4.410000,4.480000,4.361000,4.430000,4.430000,22300
2019-03-04,4.400000,4.477000,4.310000,4.410000,4.410000,87000
2019-03-05,4.460000,4.520000,4.250000,4.440000,4.440000,45700
2019-03-06,4.370000,4.565000,4.370000,4.460000,4.460000,23800
2019-03-07,4.410000,4.585000,4.410000,4.460000,4.460000,25700
2019-03-08,4.390000,4.508000,4.300000,4.430000,4.430000,68800
2019-03-11,4.350000,4.510000,4.350000,4.400000,4.400000,65400
2019-03-12,4.450000,4.585000,4.450000,4.570000,4.570000,47800
2019-03-13,4.600000,4.740000,4.553000,4.590000,4.590000,37300
2019-03-14,4.600000,4.640000,4.459000,4.460000,4.460000,45800
2019-03-15,4.650000,4.840000,4.510000,4.700000,4.700000,117500
2019-03-18,4.780000,4.850000,4.600000,4.720000,4.720000,104600
2019-03-19,4.760000,4.790000,4.550000,4.690000,4.690000,140400
2019-03-20,4.800000,4.807000,4.350000,4.380000,4.380000,257900
2019-03-21,4.400000,4.780000,4.400000,4.640000,4.640000,158500
2019-03-22,4.650000,4.650000,4.480000,4.620000,4.620000,61700
2019-03-25,4.630000,4.630000,4.409000,4.570000,4.570000,60300
2019-03-26,4.570000,4.590000,4.500000,4.550000,4.550000,30100
2019-03-27,4.580000,4.580000,4.463000,4.540000,4.540000,27600
2019-03-28,4.560000,4.600000,4.427000,4.520000,4.520000,71700
2019-03-29,4.500000,4.520000,4.395000,4.410000,4.410000,84700
2019-04-01,4.410000,4.540000,4.340000,4.530000,4.530000,155900
2019-04-02,4.580000,5.000000,4.580000,4.930000,4.930000,391500
2019-04-03,5.000000,5.150000,4.842000,5.050000,5.050000,242400
2019-04-04,5.130000,5.140000,4.995000,5.000000,5.000000,128000
2019-04-05,4.960000,5.060000,4.940000,5.000000,5.000000,79400
2019-04-08,5.050000,5.050000,4.830000,5.020000,5.020000,85500
2019-04-09,4.960000,5.010000,4.850000,4.860000,4.860000,64000
2019-04-10,4.850000,4.940000,4.766000,4.790000,4.790000,83000
2019-04-11,4.830000,4.980000,4.810000,4.920000,4.920000,45500
2019-04-12,4.900000,4.950000,4.837000,4.860000,4.860000,36300
2019-04-15,4.910000,4.950000,4.860000,4.940000,4.940000,49300
2019-04-16,4.920000,4.930000,4.890000,4.920000,4.920000,73100
2019-04-17,4.930000,5.030000,4.920000,4.970000,4.970000,113500
2019-04-18,5.000000,5.140000,5.000000,5.070000,5.070000,87200
2019-04-22,5.100000,5.490000,5.100000,5.390000,5.390000,206100
2019-04-23,5.350000,5.499000,5.330000,5.370000,5.370000,117000
2019-04-24,5.340000,5.410000,5.340000,5.360000,5.360000,28000
2019-04-25,5.360000,5.400000,5.260000,5.390000,5.390000,61100
2019-04-26,5.374000,5.390000,5.120000,5.120000,5.120000,62600
2019-04-29,5.220000,5.288000,5.100000,5.190000,5.190000,53600
2019-04-30,5.150000,5.215000,5.122000,5.180000,5.180000,16900
2019-05-01,5.150000,5.190000,4.961000,5.090000,5.090000,98200
2019-05-02,5.040000,5.090000,5.000000,5.030000,5.030000,42200
2019-05-03,5.060000,5.230000,4.756000,5.200000,5.200000,72900
2019-05-06,5.100000,5.240000,5.070000,5.110000,5.110000,58400
2019-05-07,5.110000,5.245000,4.960000,5.100000,5.100000,54900
2019-05-08,5.100000,5.340000,5.100000,5.250000,5.250000,263900
2019-05-09,5.182000,5.200000,5.100000,5.140000,5.140000,79200
2019-05-10,5.180000,5.180000,4.950000,5.100000,5.100000,134400
2019-05-13,5.000000,5.000000,4.870000,4.990000,4.990000,94600
2019-05-14,4.950000,5.000000,4.914000,4.990000,4.990000,61300
2019-05-15,4.950000,4.980000,4.890000,4.950000,4.950000,23200
2019-05-16,4.800000,5.000000,4.760000,4.970000,4.970000,120000
2019-05-17,4.990000,5.000000,4.708000,4.980000,4.980000,29200
2019-05-20,4.960000,4.980000,4.775000,4.980000,4.980000,92000
2019-05-21,4.990000,5.110000,4.922000,5.090000,5.090000,34600
2019-05-22,5.030000,5.090000,5.030000,5.090000,5.090000,13500
