Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,4.450000,4.630000,4.450000,4.450000,4.248845,31600
2018-11-06,4.460000,4.680000,4.460000,4.590000,4.382517,74900
2018-11-07,4.570000,4.570000,4.430000,4.500000,4.348694,9100
2018-11-08,4.520000,4.540000,4.360000,4.430000,4.281047,31300
2018-11-09,4.340000,4.450000,4.310000,4.400000,4.252056,59600
2018-11-12,4.370000,4.910000,4.370000,4.700000,4.541969,143200
2018-11-13,4.750000,4.770000,4.540000,4.580000,4.426004,10200
2018-11-14,4.580000,4.710000,4.480000,4.500000,4.348694,19800
2018-11-15,4.500000,4.500000,4.320000,4.420000,4.271384,16300
2018-11-16,4.360000,4.540000,4.300000,4.300000,4.155419,20200
2018-11-19,4.270000,4.290000,4.180000,4.190000,4.049118,12400
2018-11-20,4.220000,4.220000,4.120000,4.150000,4.010462,30200
2018-11-21,4.150000,4.180000,4.080000,4.170000,4.029789,17300
2018-11-23,4.210000,4.220000,4.120000,4.120000,3.981471,13100
2018-11-26,4.130000,4.190000,4.110000,4.120000,3.981471,13700
2018-11-27,4.130000,4.200000,4.040000,4.080000,3.942815,24600
2018-11-28,4.080000,4.100000,3.990000,4.050000,3.913825,58300
2018-11-29,4.070000,4.350000,4.040000,4.220000,4.078108,17500
2018-11-30,4.220000,4.220000,4.070000,4.190000,4.049118,31600
2018-12-03,4.280000,4.300000,4.170000,4.230000,4.087772,29700
2018-12-04,4.250000,4.350000,4.180000,4.220000,4.078108,59600
2018-12-06,4.170000,4.280000,4.100000,4.150000,4.010462,21100
2018-12-07,4.160000,4.160000,4.080000,4.150000,4.010462,34900
2018-12-10,4.160000,4.160000,4.050000,4.100000,3.962143,35300
2018-12-11,4.120000,4.140000,4.050000,4.050000,3.913825,90700
2018-12-12,4.220000,4.220000,3.910000,3.950000,3.817187,60700
2018-12-13,4.000000,4.100000,3.960000,4.000000,3.865505,557100
2018-12-14,3.970000,4.040000,3.880000,3.940000,3.807523,450700
2018-12-17,3.940000,4.050000,3.940000,3.990000,3.855842,669200
2018-12-18,4.000000,4.050000,3.950000,4.000000,3.865505,47700
2018-12-19,4.000000,4.100000,3.980000,4.030000,3.894497,50400
2018-12-20,4.030000,4.100000,3.970000,4.050000,3.913825,32900
2018-12-21,4.060000,4.090000,3.900000,3.950000,3.817187,177500
2018-12-24,3.930000,3.980000,3.930000,3.950000,3.817187,60700
2018-12-26,3.960000,4.060000,3.900000,4.000000,3.865505,179400
2018-12-27,3.980000,4.050000,3.980000,4.010000,3.875170,93900
2018-12-28,3.980000,4.330000,3.980000,4.210000,4.068445,77000
2018-12-31,4.240000,4.390000,4.220000,4.290000,4.145755,66700
2019-01-02,4.280000,4.750000,4.280000,4.450000,4.300375,44700
2019-01-03,4.410000,4.610000,4.290000,4.320000,4.174746,11000
2019-01-04,4.350000,4.670000,4.310000,4.410000,4.261719,37600
2019-01-07,4.420000,4.480000,4.300000,4.410000,4.261719,14400
2019-01-08,4.420000,4.500000,4.410000,4.480000,4.329366,11000
2019-01-09,4.280000,4.640000,4.280000,4.630000,4.474322,14300
2019-01-10,4.620000,4.820000,4.610000,4.690000,4.532305,25000
2019-01-11,4.610000,4.790000,4.610000,4.730000,4.570960,53600
2019-01-14,4.760000,4.820000,4.660000,4.800000,4.638607,15100
2019-01-15,4.760000,4.880000,4.760000,4.820000,4.657934,8200
2019-01-16,4.770000,4.860000,4.750000,4.840000,4.677261,16500
2019-01-17,4.800000,4.900000,4.750000,4.870000,4.706253,46800
2019-01-18,4.940000,5.170000,4.940000,5.120000,4.947847,88000
2019-01-22,5.090000,5.190000,4.990000,5.100000,4.928520,21500
2019-01-23,5.110000,5.240000,5.110000,5.150000,4.976838,17800
2019-01-24,5.200000,5.310000,5.150000,5.300000,5.121795,43400
2019-01-25,5.390000,5.390000,5.210000,5.300000,5.121795,39000
2019-01-28,5.250000,5.350000,5.240000,5.250000,5.073476,16900
2019-01-29,5.220000,5.390000,5.220000,5.310000,5.131458,70300
