Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,62.630001,63.090000,60.759998,61.799999,61.799999,342900
2018-11-06,61.740002,62.845001,60.700001,61.799999,61.799999,351300
2018-11-07,62.590000,65.974998,62.570000,65.250000,65.250000,193100
2018-11-08,64.949997,65.250000,62.029999,62.779999,62.779999,248100
2018-11-09,62.259998,63.759998,61.230000,63.610001,63.610001,488400
2018-11-12,63.689999,63.840000,61.360001,61.490002,61.490002,256200
2018-11-13,61.730000,63.000000,60.575001,61.189999,61.189999,203400
2018-11-14,61.660000,62.630001,60.360001,61.320000,61.320000,333500
2018-11-15,60.980000,64.470001,60.880001,64.010002,64.010002,208500
2018-11-16,63.169998,64.709999,61.939999,63.889999,63.889999,422600
2018-11-19,63.259998,63.630001,58.720001,59.180000,59.180000,1023400
2018-11-20,57.669998,60.369999,56.577000,58.509998,58.509998,419000
2018-11-21,59.270000,61.220001,58.990002,60.730000,60.730000,229900
2018-11-23,59.959999,61.570000,59.685001,60.610001,60.610001,67200
2018-11-26,61.430000,62.740002,60.480000,62.540001,62.540001,142300
2018-11-27,62.090000,62.759998,60.400002,60.840000,60.840000,118400
2018-11-28,61.509998,64.300003,61.490002,64.010002,64.010002,274400
2018-11-29,63.490002,65.764999,62.930000,65.300003,65.300003,213800
2018-11-30,65.339996,67.160004,64.946999,67.080002,67.080002,248200
2018-12-03,67.980003,68.510002,65.400002,67.110001,67.110001,211500
2018-12-04,66.519997,67.260002,64.650002,64.860001,64.860001,331300
2018-12-06,62.889999,65.540001,62.389999,64.809998,64.809998,270700
2018-12-07,64.389999,65.209999,61.255001,62.070000,62.070000,166600
2018-12-10,62.060001,63.620998,61.529999,62.740002,62.740002,196300
2018-12-11,63.990002,64.419998,61.150002,63.090000,63.090000,112000
2018-12-12,64.070000,66.290001,63.709999,64.800003,64.800003,148500
2018-12-13,65.070000,65.370003,64.099998,64.739998,64.739998,205300
2018-12-14,63.880001,65.180000,63.099998,63.490002,63.490002,177700
2018-12-17,63.209999,63.209999,60.110001,60.290001,60.290001,262900
2018-12-18,61.080002,62.330002,60.450001,61.869999,61.869999,214800
2018-12-19,61.759998,63.599998,60.599998,61.560001,61.560001,241000
2018-12-20,61.360001,61.820000,57.169998,58.939999,58.939999,255000
2018-12-21,58.630001,59.655998,54.320000,54.500000,54.500000,521500
2018-12-24,53.459999,56.480000,53.459999,54.830002,54.830002,115700
2018-12-26,55.099998,58.470001,55.099998,58.369999,58.369999,147700
2018-12-27,57.509998,59.450001,56.830002,59.450001,59.450001,163000
2018-12-28,59.869999,61.035000,57.830002,59.639999,59.639999,172100
2018-12-31,60.259998,60.861000,59.340000,60.209999,60.209999,159100
2019-01-02,58.889999,60.160000,58.540001,59.549999,59.549999,151500
2019-01-03,58.599998,59.349998,56.990002,57.310001,57.310001,129500
2019-01-04,58.240002,61.630001,56.700001,60.680000,60.680000,150000
2019-01-07,60.689999,62.410000,60.540001,61.270000,61.270000,221200
2019-01-08,61.889999,62.939999,60.689999,62.250000,62.250000,261100
2019-01-09,62.799999,62.884998,61.950001,62.310001,62.310001,143900
2019-01-10,61.830002,62.889999,61.119999,62.330002,62.330002,382900
2019-01-11,62.029999,62.980000,61.770000,62.520000,62.520000,118300
2019-01-14,61.900002,62.599998,61.299999,61.919998,61.919998,139900
2019-01-15,62.040001,64.220001,62.040001,63.669998,63.669998,198300
2019-01-16,63.689999,64.785004,63.314999,64.349998,64.349998,186500
2019-01-17,64.010002,65.900002,64.010002,65.320000,65.320000,164100
2019-01-18,65.709999,66.625000,64.889999,66.370003,66.370003,213300
2019-01-22,65.970001,66.440002,64.690002,66.269997,66.269997,256800
2019-01-23,66.629997,68.149002,66.199997,66.570000,66.570000,253000
2019-01-24,66.800003,67.445000,66.480003,67.139999,67.139999,224600
2019-01-25,67.809998,68.849998,67.800003,68.139999,68.139999,231700
2019-01-28,67.320000,68.160004,66.459999,67.529999,67.529999,106300
2019-01-29,67.540001,67.680000,66.419998,67.080002,67.080002,129000
2019-01-30,67.400002,68.970001,67.360001,68.930000,68.930000,164700
2019-01-31,69.099998,71.410004,69.099998,71.029999,71.029999,228800
2019-02-01,71.029999,73.260002,71.029999,73.059998,73.059998,223100
2019-02-04,73.959999,78.059998,73.910004,77.830002,77.830002,379800
2019-02-05,78.000000,78.419998,77.360001,77.940002,77.940002,441100
2019-02-06,79.419998,81.930000,79.129997,80.650002,80.650002,551200
2019-02-07,76.050003,83.150002,76.000000,81.120003,81.120003,459600
2019-02-08,81.019997,82.660004,80.160004,82.650002,82.650002,372400
2019-02-11,83.150002,85.000000,82.900002,83.300003,83.300003,360800
2019-02-12,84.000000,84.010002,82.150002,83.419998,83.419998,328300
2019-02-13,83.910004,83.910004,80.010002,82.650002,82.650002,362300
2019-02-14,82.349998,84.720001,82.349998,83.820000,83.820000,327300
2019-02-15,84.400002,84.629997,83.230003,84.360001,84.360001,277100
2019-02-19,84.239998,86.680000,83.599998,86.650002,86.650002,296000
2019-02-20,86.870003,87.970001,84.910004,86.519997,86.519997,224400
2019-02-21,86.570000,87.489998,85.769997,87.250000,87.250000,165400
2019-02-22,87.629997,90.489998,87.029999,89.379997,89.379997,441400
2019-02-25,90.339996,92.500000,86.739998,86.879997,86.879997,352100
2019-02-26,86.790001,86.998001,82.510002,84.680000,84.680000,623200
2019-02-27,84.419998,86.750000,84.419998,86.599998,86.599998,207300
2019-02-28,86.029999,87.639999,85.866997,87.570000,87.570000,287300
2019-03-01,88.000000,88.000000,85.199997,87.040001,87.040001,270300
2019-03-04,87.139999,87.675003,80.750000,83.180000,83.180000,503700
2019-03-05,83.190002,84.239998,82.190002,83.190002,83.190002,155000
2019-03-06,83.199997,83.860001,81.019997,81.750000,81.750000,222900
2019-03-07,81.529999,82.860001,81.080002,81.720001,81.720001,219100
2019-03-08,80.769997,82.370003,78.775002,82.000000,82.000000,120600
2019-03-11,82.220001,84.518997,82.040001,83.750000,83.750000,267400
2019-03-12,84.120003,84.760002,83.099998,83.970001,83.970001,214100
2019-03-13,84.239998,85.669998,84.019997,84.489998,84.489998,412600
2019-03-14,84.510002,87.369003,84.110001,86.940002,86.940002,273200
2019-03-15,87.239998,87.919998,86.269997,86.599998,86.599998,273600
2019-03-18,86.680000,87.320000,85.239998,86.180000,86.180000,184000
2019-03-19,86.750000,88.000000,85.989998,87.690002,87.690002,224400
2019-03-20,87.699997,88.750000,86.739998,87.389999,87.389999,292900
2019-03-21,86.870003,90.559998,86.389999,90.540001,90.540001,304700
2019-03-22,89.709999,90.000000,84.599998,85.510002,85.510002,465100
2019-03-25,85.059998,87.043999,84.160004,86.169998,86.169998,413700
2019-03-26,86.940002,88.915001,86.099998,88.330002,88.330002,234900
2019-03-27,88.129997,88.150002,84.459999,86.980003,86.980003,203300
2019-03-28,87.330002,88.735001,86.809998,88.050003,88.050003,192400
2019-03-29,88.889999,89.949997,88.058998,89.190002,89.190002,340000
2019-04-01,89.849998,91.610001,87.690002,89.269997,89.269997,272100
2019-04-02,89.669998,89.730003,87.764999,89.449997,89.449997,190500
2019-04-03,89.820000,90.940002,88.760002,89.690002,89.690002,202400
2019-04-04,89.559998,90.194000,83.330002,85.529999,85.529999,379800
