Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,8.480000,8.520000,8.040000,8.070000,8.070000,26600
2018-11-06,8.080000,8.520000,8.080000,8.420000,8.420000,49300
2018-11-07,8.410000,8.560000,8.260000,8.400000,8.400000,33900
2018-11-08,8.340000,8.490000,8.110000,8.260000,8.260000,41600
2018-11-09,8.660000,9.250000,8.660000,9.140000,9.140000,111100
2018-11-12,9.110000,9.240000,8.850000,8.850000,8.850000,23800
2018-11-13,8.900000,9.020000,8.410000,8.880000,8.880000,72000
2018-11-14,8.970000,9.150000,8.860000,8.980000,8.980000,35800
2018-11-15,8.890000,9.150000,8.870000,8.970000,8.970000,20600
2018-11-16,8.970000,9.100000,8.970000,9.000000,9.000000,33200
2018-11-19,9.010000,9.020000,8.740000,8.750000,8.750000,49900
2018-11-20,8.750000,8.790000,8.070000,8.280000,8.280000,85600
2018-11-21,8.350000,8.500000,8.100000,8.360000,8.360000,32900
2018-11-23,8.310000,8.460000,8.170000,8.350000,8.350000,5200
2018-11-26,8.350000,8.550000,8.150000,8.230000,8.230000,17700
2018-11-27,8.220000,8.610000,8.000000,8.080000,8.080000,18300
2018-11-28,8.070000,8.340000,7.770000,8.150000,8.150000,48100
2018-11-29,8.060000,8.220000,7.950000,8.160000,8.160000,15000
2018-11-30,8.110000,8.200000,7.930000,8.120000,8.120000,27800
2018-12-03,8.160000,8.200000,7.890000,8.170000,8.170000,14800
2018-12-04,8.090000,8.090000,7.500000,7.500000,7.500000,37100
2018-12-06,7.390000,7.670000,7.370000,7.410000,7.410000,25700
2018-12-07,7.740000,7.740000,7.370000,7.540000,7.540000,28800
2018-12-10,7.400000,7.610000,7.350000,7.490000,7.490000,44800
2018-12-11,7.500000,7.560000,6.950000,7.330000,7.330000,51700
2018-12-12,7.450000,8.110000,7.390000,7.770000,7.770000,25900
2018-12-13,7.770000,7.770000,7.320000,7.320000,7.320000,26000
2018-12-14,7.250000,7.420000,6.840000,7.070000,7.070000,39800
2018-12-17,7.040000,7.290000,6.800000,7.080000,7.080000,66900
2018-12-18,7.210000,7.280000,6.910000,6.980000,6.980000,20800
2018-12-19,6.990000,7.100000,6.610000,6.700000,6.700000,42200
2018-12-20,6.710000,6.950000,5.930000,6.030000,6.030000,131700
2018-12-21,6.040000,6.670000,6.040000,6.220000,6.220000,62200
2018-12-24,6.270000,6.270000,5.640000,5.890000,5.890000,21500
2018-12-26,6.000000,6.360000,5.930000,6.270000,6.270000,51800
2018-12-27,6.180000,6.520000,6.060000,6.250000,6.250000,79000
2018-12-28,6.260000,6.560000,6.000000,6.000000,6.000000,71300
2018-12-31,6.000000,6.060000,5.910000,5.970000,5.970000,58300
2019-01-02,6.220000,6.510000,6.190000,6.490000,6.490000,23100
2019-01-03,6.480000,6.660000,6.390000,6.520000,6.520000,13900
2019-01-04,6.620000,6.930000,6.340000,6.930000,6.930000,27100
2019-01-07,6.920000,7.150000,6.700000,7.070000,7.070000,13100
2019-01-08,7.160000,7.450000,7.020000,7.090000,7.090000,9900
2019-01-09,7.130000,7.310000,6.950000,7.290000,7.290000,18900
