Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,3.000000,3.130000,3.000000,3.080000,2.852861,600
2018-11-06,2.960000,3.100000,2.960000,2.970000,2.750973,1500
2018-11-07,3.100000,3.100000,2.970000,2.970000,2.750973,500
2018-11-08,2.990000,2.990000,2.990000,2.990000,2.769499,600
2018-11-09,2.990000,2.990000,2.990000,2.990000,2.769499,200
2018-11-12,2.990000,2.990000,2.990000,2.990000,2.769499,300
2018-11-13,3.010000,3.030000,3.000000,3.030000,2.806549,1600
2018-11-14,2.990000,3.010000,2.990000,2.990000,2.769499,1600
2018-11-15,2.990000,3.050000,2.950000,3.030000,2.806549,4100
2018-11-16,2.990000,3.050000,2.990000,3.000000,2.778761,3400
2018-11-19,3.000000,3.000000,2.970000,2.980000,2.760236,6500
2018-11-20,3.010000,3.040000,3.000000,3.040000,2.815811,7200
2018-11-21,3.020000,3.020000,2.980000,2.990000,2.769499,19300
2018-11-23,3.020000,3.020000,3.020000,3.020000,2.797286,200
2018-11-26,3.020000,3.020000,2.990000,2.990000,2.769499,4900
2018-11-27,3.030000,3.040000,3.030000,3.030000,2.806549,1700
2018-11-28,3.020000,3.050000,2.990000,2.990000,2.769499,7300
2018-11-29,3.110000,3.320000,3.110000,3.270000,3.028850,7400
2018-11-30,3.250000,3.250000,3.030000,3.030000,2.806549,11900
2018-12-03,3.050000,3.300000,3.050000,3.120000,2.889911,2700
2018-12-04,3.260000,3.260000,3.170000,3.180000,2.945487,2700
2018-12-06,3.060000,3.180000,3.060000,3.110000,2.880649,2600
2018-12-07,3.100000,3.170000,3.100000,3.100000,2.871386,2800
2018-12-10,3.060000,3.180000,3.060000,3.100000,2.871386,6800
2018-12-11,3.120000,3.140000,3.110000,3.140000,2.908437,2100
2018-12-12,3.130000,3.140000,3.070000,3.140000,2.908437,7000
2018-12-13,3.310000,3.310000,3.120000,3.170000,2.936224,3500
2018-12-14,3.190000,3.200000,3.150000,3.150000,2.917699,1800
2018-12-17,3.230000,3.230000,3.100000,3.110000,2.880649,4300
2018-12-18,3.120000,3.170000,3.100000,3.100000,2.871386,3500
2018-12-19,3.120000,3.180000,3.110000,3.180000,2.945487,3500
2018-12-20,3.230000,3.230000,3.100000,3.110000,2.880649,2600
2018-12-21,3.200000,3.200000,2.990000,3.100000,2.871386,20500
2018-12-24,3.020000,3.070000,3.020000,3.070000,2.843599,1400
2018-12-26,3.130000,3.180000,3.100000,3.100000,2.871386,12000
2018-12-27,3.200000,3.200000,3.150000,3.180000,2.945487,4200
2018-12-28,3.180000,3.200000,3.180000,3.200000,2.964012,3400
2018-12-31,3.200000,3.200000,3.100000,3.150000,2.917699,900
2019-01-02,3.200000,3.250000,3.170000,3.250000,3.010324,24200
