Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,4.485000,4.485000,4.125000,4.200000,4.200000,33000
2018-11-06,4.320000,4.350000,4.215000,4.275000,4.275000,29300
2018-11-07,4.350000,4.350000,4.200000,4.275000,4.275000,52500
2018-11-08,4.470000,4.470000,4.125000,4.200000,4.200000,33400
2018-11-09,4.200000,4.470000,4.200000,4.230000,4.230000,22600
2018-11-12,4.170000,4.185000,4.050000,4.080000,4.080000,23100
2018-11-13,4.095000,4.950000,4.080000,4.725000,4.725000,113400
2018-11-14,4.770000,4.890000,4.365000,4.560000,4.560000,52400
2018-11-15,4.725000,4.725000,4.425000,4.530000,4.530000,27300
2018-11-16,4.500000,4.650000,4.095000,4.230000,4.230000,65300
2018-11-19,4.410000,4.500000,4.200000,4.365000,4.365000,46600
2018-11-20,4.380000,4.650000,3.975000,4.320000,4.320000,74600
2018-11-21,4.350000,4.350000,4.020000,4.080000,4.080000,39400
2018-11-23,3.975000,4.110000,3.915000,4.020000,4.020000,20900
2018-11-26,3.945000,4.020000,3.900000,3.900000,3.900000,19600
2018-11-27,3.825000,4.125000,3.780000,3.780000,3.780000,55700
2018-11-28,3.780000,3.780000,3.300000,3.600000,3.600000,52800
2018-11-29,3.600000,3.615000,3.315000,3.600000,3.600000,34500
2018-11-30,3.615000,3.615000,3.450000,3.465000,3.465000,17200
2018-12-03,3.615000,3.630000,3.450000,3.600000,3.600000,10900
2018-12-04,3.600000,3.750000,3.075000,3.300000,3.300000,76000
2018-12-06,3.300000,3.300000,3.015000,3.075000,3.075000,32100
2018-12-07,3.300000,3.300000,2.850000,2.880000,2.880000,49400
2018-12-10,3.000000,3.000000,2.700000,3.000000,3.000000,52700
2018-12-11,3.300000,3.300000,2.805000,2.985000,2.985000,27900
2018-12-12,3.270000,3.270000,2.715000,2.895000,2.895000,76000
2018-12-13,3.075000,3.075000,2.790000,2.925000,2.925000,26000
2018-12-14,2.700000,2.895000,2.700000,2.790000,2.790000,14300
2018-12-17,2.850000,2.850000,2.550000,2.595000,2.595000,28000
2018-12-18,2.910000,2.910000,2.400000,2.400000,2.400000,52100
2018-12-19,2.475000,2.700000,2.430000,2.550000,2.550000,30900
2018-12-20,2.550000,2.760000,2.400000,2.640000,2.640000,65300
2018-12-21,2.565000,2.700000,2.340000,2.535000,2.535000,54400
2018-12-24,2.655000,2.655000,2.250000,2.295000,2.295000,24600
2018-12-26,2.295000,2.430000,2.265000,2.385000,2.385000,21800
2018-12-27,2.400000,2.400000,2.250000,2.250000,2.250000,29800
2018-12-28,2.250000,2.505000,2.250000,2.325000,2.325000,38000
2018-12-31,2.430000,2.430000,2.250000,2.310000,2.310000,32300
2019-01-02,2.715000,2.715000,2.265000,2.400000,2.400000,70800
2019-01-03,2.520000,2.610000,2.310000,2.475000,2.475000,79700
2019-01-04,2.550000,2.850000,2.400000,2.520000,2.520000,135400
2019-01-07,2.625000,2.625000,2.400000,2.520000,2.520000,64400
2019-01-08,2.730000,2.835000,2.550000,2.550000,2.550000,119000
2019-01-09,2.670000,2.685000,2.400000,2.475000,2.475000,50900
2019-01-10,4.335000,4.800000,3.375000,3.525000,3.525000,1900900
2019-01-11,4.125000,4.500000,3.600000,3.900000,3.900000,979300
2019-01-14,3.930000,4.020000,3.270000,3.360000,3.360000,391600
2019-01-15,3.630000,3.645000,3.300000,3.345000,3.345000,277500
2019-01-16,3.450000,3.450000,3.015000,3.075000,3.075000,193500
2019-01-17,3.150000,3.225000,3.060000,3.090000,3.090000,102000
2019-01-18,3.045000,3.210000,3.015000,3.060000,3.060000,115100
2019-01-22,3.150000,3.210000,3.045000,3.075000,3.075000,82900
2019-01-23,3.075000,3.225000,3.075000,3.195000,3.195000,92500
2019-01-24,3.360000,3.360000,3.090000,3.105000,3.105000,60800
2019-01-25,3.210000,3.450000,3.105000,3.195000,3.195000,93600
2019-01-28,3.180000,3.300000,3.090000,3.105000,3.105000,69000
2019-01-29,3.225000,3.225000,2.580000,2.910000,2.910000,129300
2019-01-30,3.000000,3.000000,2.865000,2.925000,2.925000,67400
2019-01-31,2.955000,3.000000,2.820000,2.820000,2.820000,95100
2019-02-01,2.850000,3.075000,2.820000,2.820000,2.820000,139900
2019-02-04,2.715000,2.850000,2.370000,2.565000,2.565000,176300
2019-02-05,2.625000,2.655000,2.475000,2.535000,2.535000,95500
2019-02-06,2.580000,2.625000,2.550000,2.580000,2.580000,78500
2019-02-07,2.685000,2.685000,2.475000,2.550000,2.550000,60700
2019-02-08,2.580000,2.610000,2.475000,2.475000,2.475000,49000
2019-02-11,2.550000,2.595000,2.400000,2.460000,2.460000,47000
2019-02-12,2.415000,2.475000,2.325000,2.445000,2.445000,59400
2019-02-13,2.430000,2.775000,2.430000,2.550000,2.550000,124100
2019-02-14,2.850000,3.555000,2.850000,3.045000,3.045000,657500
2019-02-15,3.150000,3.150000,2.625000,2.670000,2.670000,260300
2019-02-19,2.775000,2.865000,2.580000,2.670000,2.670000,200100
2019-02-20,2.700000,2.700000,2.550000,2.550000,2.550000,145500
2019-02-21,2.670000,2.700000,2.550000,2.655000,2.655000,202300
2019-02-22,2.700000,2.835000,2.550000,2.550000,2.550000,177200
2019-02-25,2.625000,2.685000,2.565000,2.595000,2.595000,114000
2019-02-26,2.565000,2.670000,2.415000,2.475000,2.475000,187700
2019-02-27,2.400000,2.535000,2.325000,2.370000,2.370000,144400
2019-02-28,2.475000,2.475000,2.295000,2.370000,2.370000,103300
2019-03-01,2.400000,2.475000,2.325000,2.400000,2.400000,105100
2019-03-04,2.400000,2.520000,2.325000,2.430000,2.430000,123800
2019-03-05,2.700000,2.805000,2.460000,2.490000,2.490000,574200
2019-03-06,2.445000,2.490000,2.325000,2.370000,2.370000,170800
2019-03-07,2.340000,2.445000,2.280000,2.325000,2.325000,149200
2019-03-08,2.250000,2.325000,2.130000,2.175000,2.175000,187600
2019-03-11,2.385000,2.505000,2.145000,2.445000,2.445000,490100
2019-03-12,2.520000,2.535000,2.325000,2.385000,2.385000,194900
2019-03-13,2.400000,2.400000,2.250000,2.355000,2.355000,131400
2019-03-14,2.280000,2.370000,2.250000,2.325000,2.325000,110300
2019-03-15,2.370000,2.505000,2.280000,2.310000,2.310000,156600
2019-03-18,2.250000,2.355000,2.145000,2.280000,2.280000,232500
2019-03-19,2.265000,2.625000,2.205000,2.400000,2.400000,396800
2019-03-20,2.535000,2.535000,2.325000,2.340000,2.340000,133000
2019-03-21,2.430000,2.430000,2.325000,2.325000,2.325000,125000
2019-03-22,2.295000,2.400000,2.220000,2.265000,2.265000,103900
2019-03-25,2.310000,2.310000,2.175000,2.220000,2.220000,79500
2019-03-26,2.190000,2.220000,2.040000,2.100000,2.100000,144400
2019-03-27,2.100000,2.100000,1.650000,1.830000,1.830000,289700
2019-03-28,1.800000,2.025000,1.800000,2.025000,2.025000,123500
2019-03-29,2.040000,2.040000,1.845000,1.875000,1.875000,139700
2019-04-01,1.965000,2.190000,1.950000,1.980000,1.980000,175200
2019-04-02,2.100000,2.100000,1.800000,1.890000,1.890000,165700
2019-04-03,2.100000,2.325000,1.950000,2.070000,2.070000,539700
2019-04-04,2.055000,2.100000,1.860000,1.905000,1.905000,197800
2019-04-05,1.950000,2.355000,1.875000,2.250000,2.250000,674200
2019-04-08,2.910000,4.620000,2.745000,3.660000,3.660000,5315300
2019-04-09,4.095000,5.700000,3.750000,4.800000,4.800000,4529600
2019-04-10,5.400000,5.625000,4.200000,4.500000,4.500000,1834500
2019-04-11,4.200000,4.350000,3.750000,3.975000,3.975000,818800
2019-04-12,4.410000,4.470000,4.035000,4.200000,4.200000,539700
2019-04-15,4.410000,6.000000,4.230000,5.955000,5.955000,2836400
2019-04-16,6.930000,9.315000,6.495000,7.200000,7.200000,6330400
2019-04-17,6.960000,7.800000,5.700000,6.150000,6.150000,2673300
2019-04-18,7.200000,8.175000,6.450000,7.125000,7.125000,3388600
2019-04-22,8.175000,8.475000,7.245000,7.605000,7.605000,2167800
2019-04-23,7.350000,7.500000,6.780000,7.200000,7.200000,1139400
2019-04-24,7.665000,7.815000,7.035000,7.425000,7.425000,1063700
2019-04-25,7.350000,7.350000,6.900000,7.035000,7.035000,664000
2019-04-26,7.050000,7.170000,4.245000,4.800000,4.800000,2407400
2019-04-29,4.800000,4.800000,4.800000,4.800000,4.800000,0
2019-04-30,4.980000,6.050000,4.510000,6.050000,6.050000,1382600
2019-05-01,6.070000,8.600000,5.750000,8.400000,8.400000,5587500
2019-05-02,9.180000,10.800000,8.600000,9.150000,9.150000,6592900
2019-05-03,9.080000,9.100000,7.010000,7.890000,7.890000,2850700
2019-05-06,8.140000,8.500000,7.500000,7.700000,7.700000,2546600
2019-05-07,7.470000,7.671000,7.050000,7.100000,7.100000,1501100
2019-05-08,6.900000,6.950000,6.110000,6.140000,6.140000,1107200
2019-05-09,6.040000,7.070000,5.250000,6.730000,6.730000,1644300
2019-05-10,6.900000,7.050000,6.550000,6.560000,6.560000,728200
2019-05-13,6.540000,6.550000,6.110000,6.370000,6.370000,448300
2019-05-14,6.180000,6.820000,6.110000,6.500000,6.500000,469800
2019-05-15,6.630000,7.680000,6.601000,7.130000,7.130000,1185400
2019-05-16,6.950000,7.370000,6.620000,6.690000,6.690000,612800
2019-05-17,6.740000,6.785000,6.380000,6.390000,6.390000,534600
2019-05-20,6.510000,6.580000,6.000000,6.020000,6.020000,452200
2019-05-21,5.800000,6.250000,5.350000,6.070000,6.070000,598900
2019-05-22,5.800000,5.960000,5.610000,5.690000,5.690000,352700
2019-05-23,5.480000,6.080000,5.450000,5.750000,5.750000,495900
2019-05-24,5.750000,5.900000,5.600000,5.830000,5.830000,188200
2019-05-28,5.920000,6.530000,5.853000,6.290000,6.290000,445000
2019-05-29,6.200000,6.534000,5.850000,5.990000,5.990000,407600
2019-05-30,5.890000,6.340000,5.710000,5.770000,5.770000,710700
2019-05-31,5.630000,5.745000,5.410000,5.450000,5.450000,328100
2019-06-03,5.450000,5.530000,4.840000,4.950000,4.950000,475800
2019-06-04,5.350000,5.410000,4.880000,5.200000,5.200000,553400
2019-06-05,5.150000,5.160000,4.710000,4.850000,4.850000,469500
2019-06-06,4.850000,4.948000,4.301000,4.480000,4.480000,414300
2019-06-07,4.330000,4.400000,4.100000,4.200000,4.200000,469100
