Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,12.600000,12.640000,12.530000,12.640000,11.398353,25000
2018-11-06,12.580000,12.620000,12.550000,12.600000,11.362282,17100
2018-11-07,12.800000,12.800000,12.500000,12.650000,11.407370,26100
2018-11-08,12.600000,12.600000,12.470000,12.550000,11.317194,24600
2018-11-09,12.550000,12.600000,12.500000,12.600000,11.362282,24000
2018-11-12,12.600000,12.600000,12.400000,12.580000,11.344245,30400
2018-11-13,12.600000,12.600000,12.410000,12.500000,11.272104,81000
2018-11-14,12.410000,12.488000,11.850000,11.850000,10.685956,36200
2018-11-15,12.050000,12.180000,11.949000,11.980000,10.803184,29900
2018-11-16,11.980000,12.120000,11.980000,12.000000,10.821220,10400
2018-11-19,11.280000,11.370000,9.320000,10.620000,9.576781,305300
2018-11-20,10.580000,10.890000,10.000000,10.030000,9.044738,132900
2018-11-21,10.030000,10.990000,10.030000,10.760000,9.703027,57300
2018-11-23,10.750000,10.862000,10.637000,10.770000,9.712046,15100
2018-11-26,10.710000,10.990000,10.210000,10.550000,9.513657,111000
2018-11-27,10.550000,10.760000,10.280000,10.760000,9.703027,41000
2018-11-28,10.800000,10.800000,10.140000,10.140000,9.143932,49400
2018-11-29,10.150000,10.180000,9.994000,10.180000,9.241440,32700
2018-11-30,10.180000,10.211000,9.900000,9.950000,9.032644,73600
2018-12-03,10.030000,10.090000,9.720000,9.840000,8.932785,54700
2018-12-04,9.720000,9.940000,9.410000,9.410000,8.542430,39900
2018-12-06,9.440000,9.440000,8.850000,9.000000,8.170231,85700
2018-12-07,9.120000,9.480000,9.120000,9.290000,8.433493,29200
2018-12-10,9.160000,9.160000,8.280000,8.500000,7.716329,91600
2018-12-11,8.500000,8.890000,8.400000,8.430000,7.652783,37100
2018-12-12,8.500000,8.694000,8.175000,8.490000,7.707251,55700
2018-12-13,8.390000,8.390000,7.740000,8.020000,7.280584,107800
2018-12-14,7.860000,7.960000,7.650000,7.650000,6.944696,75100
2018-12-17,7.670000,7.747000,7.310000,7.460000,6.772213,84800
2018-12-18,7.540000,7.665000,7.010000,7.020000,6.372780,130600
2018-12-19,7.020000,7.172000,6.570000,6.640000,6.027814,206400
2018-12-20,6.800000,7.000000,6.030000,6.330000,5.746396,270100
2018-12-21,6.360000,6.402000,5.830000,5.930000,5.383274,309500
2018-12-24,5.830000,6.312000,5.450000,6.060000,5.501288,245900
2018-12-26,6.050000,6.610000,5.930000,6.500000,5.900722,417900
2018-12-27,6.370000,6.440000,5.800000,5.930000,5.383274,187300
2018-12-28,5.970000,6.250000,5.820000,5.960000,5.517123,269900
2018-12-31,6.010000,6.080000,5.500000,5.920000,5.480096,376500
2019-01-02,6.010000,7.750000,5.990000,7.480000,6.924175,140500
2019-01-03,7.500000,8.560000,7.500000,8.440000,7.812839,304300
2019-01-04,8.550000,9.250000,8.536000,9.110000,8.433054,204200
2019-01-07,9.650000,10.430000,9.500000,9.800000,9.071780,452100
2019-01-08,10.150000,10.150000,9.810000,10.110000,9.358745,171900
2019-01-09,10.270000,10.440000,10.170000,10.440000,9.664223,146900
2019-01-10,10.440000,10.440000,10.090000,10.170000,9.414287,81500
2019-01-11,10.150000,10.150000,9.511000,9.850000,9.118066,184900
2019-01-14,9.870000,9.950000,9.630000,9.900000,9.164350,159300
2019-01-15,10.000000,10.270000,9.944000,9.990000,9.247662,64900
2019-01-16,10.000000,10.000000,9.529000,9.620000,8.905156,98800
2019-01-17,9.210000,9.290000,8.330000,8.630000,7.988721,261000
2019-01-18,8.650000,9.500000,8.650000,9.430000,8.729275,144000
2019-01-22,9.500000,9.500000,8.751000,9.300000,8.608934,66800
2019-01-23,9.370000,9.500000,9.110000,9.190000,8.507108,40600
2019-01-24,9.250000,9.480000,9.250000,9.450000,8.747787,34400
2019-01-25,9.400000,9.450000,9.150000,9.390000,8.692248,36500
2019-01-28,9.350000,9.390000,9.050000,9.050000,8.377512,67000
2019-01-29,9.120000,9.222000,8.865000,9.145000,8.465453,102400
2019-01-30,9.210000,9.210000,8.800000,9.090000,8.495995,79400
2019-01-31,9.180000,9.180000,8.710000,9.030000,8.439915,36200
2019-02-01,9.150000,9.200000,8.850000,8.950000,8.365143,55800
2019-02-04,9.000000,9.000000,8.650000,8.760000,8.187559,62400
2019-02-05,8.850000,8.850000,8.310000,8.360000,7.813697,135900
2019-02-06,8.270000,8.450000,8.240000,8.390000,7.841738,59600
2019-02-07,8.250000,8.400000,8.150000,8.350000,7.804352,62400
2019-02-08,8.400000,8.410000,8.130000,8.130000,7.598728,42800
2019-02-11,8.150000,8.450000,8.150000,8.311000,7.767900,40300
2019-02-12,8.440000,9.100000,8.400000,8.750000,8.178213,57900
2019-02-13,8.950000,9.160000,8.760000,8.900000,8.318409,56800
2019-02-14,8.900000,9.410000,8.900000,9.290000,8.682924,74200
2019-02-15,8.850000,9.100000,8.634000,8.990000,8.402529,84500
2019-02-19,8.950000,9.170000,8.870000,8.870000,8.290371,29900
2019-02-20,8.900000,9.150000,8.900000,9.000000,8.411877,15500
2019-02-21,8.950000,9.100000,8.880000,8.930000,8.346450,13700
2019-02-22,9.000000,9.090000,8.900000,9.050000,8.458609,22400
2019-02-25,9.170000,9.252000,8.820000,8.930000,8.346450,41600
2019-02-26,8.840000,8.894000,8.760000,8.780000,8.206252,29800
2019-02-27,8.800000,8.800000,8.670000,8.670000,8.141418,21800
2019-02-28,8.630000,8.710000,8.600000,8.600000,8.075685,36300
2019-03-01,8.600000,8.680000,8.240000,8.340000,7.831536,76800
2019-03-04,8.340000,8.730000,8.000000,8.050000,7.559216,149900
2019-03-05,8.070000,8.226000,8.040000,8.040000,7.549826,15600
2019-03-06,8.060000,8.067000,7.820000,7.820000,7.343239,37300
2019-03-07,7.960000,7.992000,7.752000,7.850000,7.371410,36600
2019-03-08,7.770000,8.030000,7.770000,7.850000,7.371410,21500
2019-03-11,7.860000,7.938000,7.795000,7.920000,7.437142,54000
2019-03-12,7.900000,8.000000,7.760000,7.834000,7.356386,20100
2019-03-13,7.780000,7.934000,7.750000,7.800000,7.324459,53100
2019-03-14,7.790000,7.980000,7.790000,7.860000,7.380800,15800
2019-03-15,7.930000,7.944000,7.630000,7.860000,7.380800,62100
2019-03-18,7.860000,8.000000,7.670000,8.000000,7.512265,54200
2019-03-19,7.890000,8.960000,7.822000,8.450000,7.934830,150000
2019-03-20,8.640000,8.920000,8.510000,8.810000,8.272882,94700
2019-03-21,8.800000,8.800000,8.410000,8.490000,7.972390,42200
2019-03-22,8.470000,8.505000,8.110000,8.350000,7.840927,49600
2019-03-25,8.350000,8.500000,8.300000,8.370000,7.859706,29400
2019-03-26,8.460000,8.700000,8.460000,8.650000,8.122635,59000
2019-03-27,8.690000,8.700000,8.380000,8.700000,8.169587,43400
2019-03-28,8.630000,8.700000,8.050000,8.210000,7.746486,69800
2019-03-29,8.380000,8.559000,8.260000,8.330000,7.859711,8100
2019-04-01,8.390000,8.470000,8.350000,8.460000,7.982372,43600
2019-04-02,8.500000,8.700000,8.450000,8.700000,8.208821,29300
2019-04-03,8.690000,8.700000,8.593000,8.650000,8.161643,13700
2019-04-04,8.600000,8.690000,8.445000,8.590000,8.105032,52600
2019-04-05,8.520000,8.700000,8.426000,8.700000,8.208821,42600
2019-04-08,8.570000,8.733000,8.570000,8.700000,8.208821,40700
2019-04-09,8.690000,8.700000,8.560000,8.580000,8.095596,13400
2019-04-10,8.600000,8.600000,8.500000,8.570000,8.086161,20100
2019-04-11,8.580000,8.580000,8.507000,8.530000,8.048419,12600
