Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,13.400000,13.590000,12.730000,12.940000,12.940000,191300
2018-11-06,12.960000,13.330000,12.460000,12.810000,12.810000,340700
2018-11-07,13.430000,13.640000,12.100000,13.020000,13.020000,628200
2018-11-08,13.090000,13.610000,12.810000,12.910000,12.910000,605500
2018-11-09,12.780000,12.830000,11.900000,12.410000,12.410000,507100
2018-11-12,12.360000,12.360000,11.290000,11.360000,11.360000,544600
2018-11-13,11.280000,11.870000,11.080000,11.430000,11.430000,312100
2018-11-14,11.550000,11.600000,10.840000,11.040000,11.040000,475300
2018-11-15,11.020000,11.450000,10.970000,11.360000,11.360000,415700
2018-11-16,11.300000,12.020000,11.300000,11.660000,11.660000,445900
2018-11-19,11.570000,12.080000,11.220000,11.880000,11.880000,331900
2018-11-20,11.850000,12.570000,11.450000,11.600000,11.600000,462000
2018-11-21,11.770000,12.050000,11.360000,11.930000,11.930000,196600
2018-11-23,11.740000,12.440000,11.740000,11.990000,11.990000,153900
2018-11-26,12.170000,12.530000,12.030000,12.450000,12.450000,353600
2018-11-27,12.360000,12.580000,11.240000,11.480000,11.480000,477900
2018-11-28,11.550000,11.970000,11.070000,11.930000,11.930000,316000
2018-11-29,11.880000,12.120000,11.646000,11.750000,11.750000,1365600
2018-11-30,11.690000,12.030000,11.480000,12.010000,12.010000,203600
2018-12-03,12.330000,12.330000,11.720000,12.170000,12.170000,360000
2018-12-04,12.120000,12.270000,11.320000,11.420000,11.420000,375700
2018-12-06,11.290000,11.730000,11.050000,11.670000,11.670000,343700
2018-12-07,11.570000,12.040000,11.230000,11.360000,11.360000,850500
2018-12-10,11.710000,11.710000,11.070000,11.570000,11.570000,365700
2018-12-11,11.740000,12.000000,11.490000,11.630000,11.630000,261400
2018-12-12,11.800000,12.260000,11.590000,11.910000,11.910000,383100
2018-12-13,12.030000,12.150000,11.550000,11.710000,11.710000,283500
2018-12-14,11.590000,11.850000,11.360000,11.710000,11.710000,363100
2018-12-17,11.670000,11.760000,10.820000,10.990000,10.990000,556700
2018-12-18,11.120000,11.120000,10.050000,10.310000,10.310000,507400
2018-12-19,10.330000,10.570000,9.510000,9.600000,9.600000,515300
2018-12-20,9.610000,9.700000,9.200000,9.400000,9.400000,391800
2018-12-21,9.470000,9.530000,8.850000,8.890000,8.890000,1142500
2018-12-24,8.750000,9.090000,8.630000,8.730000,8.730000,145100
2018-12-26,8.840000,10.130000,8.840000,10.120000,10.120000,367100
2018-12-27,9.910000,10.560000,9.151000,10.330000,10.330000,663800
2018-12-28,10.370000,10.630000,10.130000,10.250000,10.250000,192400
2018-12-31,10.340000,10.650000,10.170000,10.300000,10.300000,388800
2019-01-02,10.160000,10.810000,9.970000,10.500000,10.500000,456100
2019-01-03,10.530000,10.660000,10.240000,10.320000,10.320000,615100
2019-01-04,10.560000,11.090000,10.200000,10.890000,10.890000,631900
2019-01-07,11.140000,11.420000,10.850000,11.340000,11.340000,1321000
2019-01-08,11.470000,11.610000,11.100000,11.400000,11.400000,363300
2019-01-09,11.440000,11.700000,11.165000,11.310000,11.310000,414700
2019-01-10,11.240000,11.780000,11.060000,11.250000,11.250000,698500
2019-01-11,11.220000,11.850000,11.100000,11.730000,11.730000,406900
2019-01-14,11.580000,12.030000,11.470000,11.660000,11.660000,419700
2019-01-15,11.710000,12.110000,11.640000,12.040000,12.040000,273200
2019-01-16,12.010000,12.340000,11.770000,11.960000,11.960000,218000
2019-01-17,11.910000,12.280000,11.790000,11.930000,11.930000,298000
2019-01-18,11.980000,12.120000,11.750000,11.970000,11.970000,424200
2019-01-22,11.860000,11.970000,11.330000,11.590000,11.590000,383500
2019-01-23,11.640000,11.920000,11.150000,11.390000,11.390000,214700
2019-01-24,11.350000,11.550000,11.235000,11.420000,11.420000,165300
2019-01-25,11.500000,11.910000,11.460000,11.780000,11.780000,380400
2019-01-28,11.630000,11.750000,11.180000,11.390000,11.390000,230800
2019-01-29,11.380000,11.590000,11.260000,11.450000,11.450000,185100
2019-01-30,11.540000,11.830000,11.397000,11.750000,11.750000,314700
2019-01-31,11.760000,12.100000,11.630000,11.750000,11.750000,281800
2019-02-01,11.750000,12.000000,11.550000,11.720000,11.720000,271800
2019-02-04,11.750000,11.980000,11.660000,11.820000,11.820000,254900
2019-02-05,11.840000,12.210000,11.780000,11.880000,11.880000,513100
2019-02-06,11.920000,12.280000,11.800000,12.230000,12.230000,715500
2019-02-07,12.130000,12.290000,11.870000,12.130000,12.130000,270100
2019-02-08,12.040000,12.415000,12.030000,12.310000,12.310000,406200
2019-02-11,12.370000,12.420000,12.110000,12.280000,12.280000,301100
2019-02-12,12.310000,12.945000,12.310000,12.790000,12.790000,544700
2019-02-13,12.780000,12.910000,12.600000,12.750000,12.750000,481200
2019-02-14,12.700000,12.843000,12.505000,12.750000,12.750000,307100
2019-02-15,12.970000,13.550000,12.567000,13.150000,13.150000,613500
2019-02-19,13.170000,13.500000,12.930000,13.300000,13.300000,427700
2019-02-20,13.290000,13.610000,13.250000,13.420000,13.420000,520000
2019-02-21,13.320000,13.480000,12.820000,13.340000,13.340000,356600
2019-02-22,13.360000,13.790000,13.170000,13.410000,13.410000,855900
2019-02-25,13.650000,13.980000,13.380000,13.490000,13.490000,371000
2019-02-26,13.450000,13.730000,13.350000,13.480000,13.480000,335300
2019-02-27,13.460000,13.720000,13.430000,13.530000,13.530000,311400
2019-02-28,13.510000,13.640000,13.240000,13.400000,13.400000,327200
2019-03-01,13.520000,13.770000,13.380000,13.770000,13.770000,227200
