Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,10.150000,10.500000,9.880000,10.010000,10.010000,11500
2018-11-06,9.960000,10.010000,9.960000,10.010000,10.010000,300
2018-11-07,9.760000,10.500000,9.760000,10.070000,10.070000,13800
2018-11-08,9.750000,10.650000,9.750000,10.120000,10.120000,10700
2018-11-09,10.120000,10.120000,10.120000,10.120000,10.120000,0
2018-11-12,10.000000,10.000000,9.620000,10.000000,10.000000,5300
2018-11-13,9.621000,10.010000,9.621000,10.010000,10.010000,200
2018-11-14,9.620000,10.010000,9.620000,10.010000,10.010000,300
2018-11-15,9.630000,9.850000,9.230000,9.400000,9.400000,13900
2018-11-16,9.100000,9.490000,8.500000,9.131000,9.131000,5100
2018-11-19,8.200000,9.010000,8.010000,8.710000,8.710000,9200
2018-11-20,8.710000,8.710000,8.710000,8.710000,8.710000,100
2018-11-21,8.020000,8.890000,8.000000,8.670000,8.670000,5100
2018-11-23,8.575000,8.575000,8.150000,8.470000,8.470000,4100
2018-11-26,8.000000,8.660000,8.000000,8.660000,8.660000,400
2018-11-27,8.590000,8.740000,8.050000,8.740000,8.740000,1000
2018-11-28,8.740000,8.740000,8.740000,8.740000,8.740000,100
2018-11-29,8.250000,8.730000,7.610000,8.000000,8.000000,13000
2018-11-30,7.900000,8.500000,7.900000,8.340000,8.340000,13200
2018-12-03,8.300000,8.640000,7.880000,8.570000,8.570000,11400
2018-12-04,8.570000,8.570000,8.570000,8.570000,8.570000,100
2018-12-06,8.070000,8.260000,7.400000,7.400000,7.400000,11100
2018-12-07,7.410000,7.770000,7.410000,7.557000,7.557000,1700
2018-12-10,7.557000,7.557000,7.557000,7.557000,7.557000,0
2018-12-11,7.370000,7.500000,6.700000,6.900000,6.900000,7300
2018-12-12,7.000000,7.145000,7.000000,7.145000,7.145000,4400
2018-12-13,6.980000,7.000000,6.800000,6.950000,6.950000,11900
2018-12-14,6.990000,7.000000,6.750000,6.750000,6.750000,20300
2018-12-17,6.750000,6.870000,6.750000,6.850000,6.850000,1000
2018-12-18,7.066000,7.100000,6.250000,6.500000,6.500000,1400
2018-12-19,6.990000,7.830000,6.990000,7.000000,7.000000,11700
2018-12-20,7.000000,7.000000,6.600000,6.990000,6.990000,700
2018-12-21,6.720000,7.000000,6.500000,7.000000,7.000000,3800
2018-12-24,6.000000,6.000000,6.000000,6.000000,6.000000,100
2018-12-26,6.000000,6.250000,6.000000,6.250000,6.250000,1800
2018-12-27,6.300000,6.400000,6.300000,6.400000,6.400000,200
2018-12-28,6.750000,7.500000,6.750000,7.471000,7.471000,6500
2018-12-31,7.250000,8.000000,7.250000,8.000000,8.000000,16500
2019-01-02,8.000000,8.000000,6.730000,7.220000,7.220000,4500
2019-01-03,7.500000,7.502000,7.500000,7.500000,7.500000,1000
2019-01-04,7.490000,7.500000,7.300000,7.300000,7.300000,2900
2019-01-07,7.250000,7.250000,6.988000,7.040000,7.040000,3800
2019-01-08,7.250000,7.250000,7.250000,7.250000,7.250000,200
2019-01-09,6.800000,6.800000,6.500000,6.500000,6.500000,200
2019-01-10,6.750000,7.000000,6.750000,6.853000,6.853000,2400
2019-01-11,6.853000,6.853000,6.853000,6.853000,6.853000,0
2019-01-14,6.847000,6.850000,6.760000,6.760000,6.760000,3700
2019-01-15,6.560000,6.600000,6.560000,6.581000,6.581000,1900
2019-01-16,6.543000,6.985000,6.543000,6.985000,6.985000,2600
2019-01-17,7.000000,7.000000,6.820000,6.820000,6.820000,13000
2019-01-18,6.510000,6.750000,6.510000,6.510000,6.510000,1600
2019-01-22,6.750000,6.990000,6.540000,6.600000,6.600000,12800
2019-01-23,6.510000,6.510000,6.000000,6.031000,6.031000,6500
2019-01-24,6.200000,6.300000,6.020000,6.200000,6.200000,5500
2019-01-25,6.200000,6.200000,6.000000,6.100000,6.100000,8500
2019-01-28,6.320000,6.320000,6.035000,6.035000,6.035000,3200
2019-01-29,6.050000,6.090000,6.050000,6.090000,6.090000,3100
2019-01-30,6.060000,6.150000,6.050000,6.050000,6.050000,4700
2019-01-31,6.500000,6.500000,6.100000,6.250000,6.250000,8500
2019-02-01,6.250000,6.250000,6.250000,6.250000,6.250000,0
2019-02-04,6.100000,6.500000,6.100000,6.350000,6.350000,4300
2019-02-05,6.302000,6.363000,6.210000,6.250000,6.250000,12100
2019-02-06,6.469000,6.469000,6.469000,6.469000,6.469000,400
2019-02-07,6.469000,6.469000,6.469000,6.469000,6.469000,0
2019-02-08,6.500000,6.500000,6.011000,6.246000,6.246000,4400
2019-02-11,6.248000,6.250000,6.248000,6.250000,6.250000,3000
2019-02-12,6.230000,6.500000,6.230000,6.500000,6.500000,3000
2019-02-13,6.680000,7.250000,6.300000,6.500000,6.500000,1700
2019-02-14,6.368000,6.500000,6.290000,6.481000,6.481000,6800
2019-02-15,6.481000,6.481000,6.481000,6.481000,6.481000,0
2019-02-19,6.080000,6.170000,5.780000,6.100000,6.100000,10200
2019-02-20,5.670000,6.260000,5.670000,6.260000,6.260000,1000
2019-02-21,6.100000,6.228000,6.100000,6.100000,6.100000,2600
2019-02-22,6.420000,6.420000,6.100000,6.400000,6.400000,9600
2019-02-25,6.200000,6.500000,6.200000,6.500000,6.500000,2300
2019-02-26,6.270000,6.470000,6.260000,6.470000,6.470000,800
2019-02-27,6.470000,6.470000,6.470000,6.470000,6.470000,0
2019-02-28,6.400000,6.400000,6.400000,6.400000,6.400000,500
2019-03-01,6.400000,6.400000,6.400000,6.400000,6.400000,0
2019-03-04,6.410000,6.410000,6.330000,6.410000,6.410000,1800
2019-03-05,6.410000,6.410000,6.410000,6.410000,6.410000,0
2019-03-06,6.410000,6.410000,6.410000,6.410000,6.410000,100
2019-03-07,6.250000,6.250000,6.250000,6.250000,6.250000,500
2019-03-08,6.410000,6.410000,6.260000,6.260000,6.260000,200
2019-03-11,6.470000,7.890000,6.470000,7.890000,7.890000,4600
2019-03-12,7.750000,7.750000,7.300000,7.650000,7.650000,3300
2019-03-13,7.650000,7.700000,7.270000,7.300000,7.300000,3100
2019-03-14,8.230000,8.230000,7.500000,7.500000,7.500000,1000
2019-03-15,7.550000,7.550000,7.550000,7.550000,7.550000,300
2019-03-18,7.272000,7.272000,6.540000,6.970000,6.970000,6100
2019-03-19,7.010000,7.130000,6.660000,6.870000,6.870000,11800
2019-03-20,6.910000,6.910000,6.910000,6.910000,6.910000,100
2019-03-21,6.950000,6.950000,6.660000,6.660000,6.660000,1700
2019-03-22,6.777000,6.780000,6.660000,6.780000,6.780000,1500
2019-03-25,7.080000,7.350000,6.600000,7.350000,7.350000,6600
2019-03-26,6.950000,6.950000,6.800000,6.920000,6.920000,8300
2019-03-27,6.920000,6.920000,6.920000,6.920000,6.920000,0
2019-03-28,6.795000,6.795000,6.640000,6.640000,6.640000,300
2019-03-29,6.770000,6.770000,6.600000,6.630000,6.630000,1400
2019-04-01,6.420000,6.620000,6.420000,6.500000,6.500000,10600
2019-04-02,6.480000,6.480000,5.817000,5.817000,5.817000,3000
2019-04-03,6.000000,6.640000,6.000000,6.250000,6.250000,18000
2019-04-04,6.250000,6.250000,6.250000,6.250000,6.250000,100
2019-04-05,6.490000,6.490000,6.175000,6.250000,6.250000,8300
2019-04-08,6.500000,6.510000,6.150000,6.250000,6.250000,15100
2019-04-09,6.270000,6.270000,6.250000,6.250000,6.250000,3800
2019-04-10,6.190000,6.300000,6.160000,6.164000,6.164000,1600
2019-04-11,6.180000,6.231000,6.180000,6.231000,6.231000,1900
2019-04-12,6.200000,6.470000,6.185000,6.330000,6.330000,3700
2019-04-15,6.160000,6.250000,6.000000,6.005000,6.005000,14300
2019-04-16,6.005000,6.005000,6.005000,6.005000,6.005000,100
2019-04-17,6.005000,6.005000,6.005000,6.005000,6.005000,200
2019-04-18,6.053000,6.053000,6.000000,6.000000,6.000000,1000
2019-04-22,5.880000,5.880000,5.750000,5.780000,5.780000,3300
2019-04-23,5.950000,5.950000,5.816000,5.930000,5.930000,3100
2019-04-24,5.700000,5.790000,5.697000,5.790000,5.790000,4700
2019-04-25,5.680000,5.950000,5.540000,5.925000,5.925000,6700
2019-04-26,5.990000,6.000000,5.710000,6.000000,6.000000,5800
2019-04-29,6.110000,6.110000,5.760000,6.000000,6.000000,4300
2019-04-30,5.990000,6.000000,5.711000,6.000000,6.000000,11800
2019-05-01,6.220000,6.220000,5.995000,6.000000,6.000000,17700
2019-05-02,6.000000,6.000000,5.871000,6.000000,6.000000,1600
2019-05-03,6.000000,6.000000,5.946000,6.000000,6.000000,6400
2019-05-06,5.928000,6.900000,5.875000,6.900000,6.900000,12100
2019-05-07,6.211000,6.970000,6.211000,6.765000,6.765000,16800
2019-05-08,6.740000,6.740000,6.020000,6.080000,6.080000,14500
2019-05-09,6.010000,6.610000,5.910000,6.020000,6.020000,5800
2019-05-10,6.020000,6.490000,5.990000,6.200000,6.200000,7900
2019-05-13,6.045000,6.045000,5.601000,6.000000,6.000000,800
2019-05-14,5.980000,5.990000,5.960000,5.990000,5.990000,4000
2019-05-15,5.950000,5.950000,5.651000,5.940000,5.940000,2300
2019-05-16,6.200000,6.290000,6.000000,6.000000,6.000000,13200
2019-05-17,6.070000,6.180000,6.000000,6.000000,6.000000,1300
2019-05-20,6.200000,6.200000,6.000000,6.025000,6.025000,36600
2019-05-21,6.030000,6.070000,5.900000,5.900000,5.900000,4000
2019-05-22,6.000000,6.000000,5.720000,5.770000,5.770000,4600
2019-05-23,5.779000,6.130000,5.779000,6.000000,6.000000,2400
2019-05-24,6.240000,6.240000,6.000000,6.220000,6.220000,1400
2019-05-28,6.000000,6.000000,5.760000,5.800000,5.800000,3700
2019-05-29,5.770000,5.900000,5.770000,5.800000,5.800000,1700
2019-05-30,6.200000,6.200000,6.000000,6.000000,6.000000,2200
2019-05-31,5.940000,6.000000,5.800000,6.000000,6.000000,4000
2019-06-03,5.940000,5.940000,5.870000,5.940000,5.940000,2400
2019-06-04,5.920000,5.920000,5.910000,5.910000,5.910000,1000
2019-06-05,6.060000,6.060000,5.820000,5.980000,5.980000,2100
2019-06-06,5.960000,5.960000,5.793000,5.960000,5.960000,2400
2019-06-07,5.930000,5.940000,5.780000,5.940000,5.940000,1500
2019-06-10,5.920000,6.080000,5.800000,6.080000,6.080000,29700
2019-06-11,6.075000,6.075000,5.895000,6.060000,6.060000,21400
2019-06-12,6.050000,7.665000,5.839000,7.350000,7.350000,58500
2019-06-13,7.490000,7.720000,6.997000,7.210000,7.210000,22000
2019-06-14,7.190000,7.720000,6.750000,7.600000,7.600000,30200
2019-06-17,7.710000,8.220000,7.200000,8.190000,8.190000,27800
2019-06-18,8.020000,8.690000,8.020000,8.520000,8.520000,38400
2019-06-19,8.520000,8.610000,7.809000,7.940000,7.940000,28600
2019-06-20,8.040000,8.520000,7.711000,8.060000,8.060000,6700
2019-06-21,7.535000,8.250000,7.000000,7.050000,7.050000,26000
2019-06-24,7.060000,8.345000,6.890000,7.020000,7.020000,29600
2019-06-25,6.870000,7.240000,6.570000,6.780000,6.780000,46000
2019-06-26,7.220000,7.950000,6.740000,7.920000,7.920000,14200
2019-06-27,8.020000,8.020000,7.400000,7.920000,7.920000,20400
2019-06-28,8.000000,8.340000,7.815000,7.850000,7.850000,648500
2019-07-01,7.850000,7.970000,7.560000,7.600000,7.600000,20900
2019-07-02,7.410000,7.600000,7.330000,7.450000,7.450000,5500
2019-07-03,7.327000,7.610000,7.290000,7.450000,7.450000,8400
2019-07-05,7.710000,7.710000,7.164000,7.330000,7.330000,5800
2019-07-08,7.400000,7.825000,7.030000,7.730000,7.730000,14900
2019-07-09,7.800000,7.850000,7.510000,7.850000,7.850000,3700
2019-07-10,7.800000,8.005000,7.800000,7.880000,7.880000,58200
2019-07-11,8.090000,8.090000,7.750000,7.940000,7.940000,9200
2019-07-12,7.580000,8.000000,7.560000,7.860000,7.860000,11300
2019-07-15,7.847000,7.850000,7.640000,7.690000,7.690000,2100
2019-07-16,8.050000,8.100000,7.580000,7.880000,7.880000,4700
2019-07-17,7.900000,7.900000,7.565000,7.660000,7.660000,5100
2019-07-18,7.540000,7.830000,7.500000,7.700000,7.700000,3200
2019-07-19,7.540000,7.960000,7.500000,7.500000,7.500000,2800
2019-07-22,7.830000,7.960000,7.558000,7.830000,7.830000,6400
2019-07-23,7.960000,7.960000,7.520000,7.600000,7.600000,2200
2019-07-24,7.920000,7.950000,7.500000,7.710000,7.710000,8800
2019-07-25,7.700000,7.700000,7.500000,7.580000,7.580000,1200
2019-07-26,7.840000,7.840000,7.550000,7.550000,7.550000,1900
2019-07-29,7.600000,7.600000,7.457000,7.500000,7.500000,6700
2019-07-30,7.630000,8.000000,7.300000,7.550000,7.550000,10400
2019-07-31,8.000000,8.000000,7.680000,7.760000,7.760000,2900
2019-08-01,7.511000,7.660000,7.511000,7.650000,7.650000,1400
2019-08-02,7.560000,7.560000,7.500000,7.560000,7.560000,2100
2019-08-05,7.610000,8.000000,7.020000,7.020000,7.020000,31100
2019-08-06,7.460000,7.490000,6.450000,6.450000,6.450000,17900
2019-08-07,6.340000,6.340000,6.070000,6.080000,6.080000,2300
2019-08-08,6.469000,6.490000,5.920000,5.920000,5.920000,17000
2019-08-09,5.960000,5.960000,5.750000,5.750000,5.750000,1800
2019-08-12,5.990000,6.140000,5.510000,5.540000,5.540000,25000
2019-08-13,5.930000,5.930000,5.510000,5.650000,5.650000,36600
2019-08-14,5.750000,5.850000,5.276000,5.840000,5.840000,19100
2019-08-15,5.900000,6.250000,5.790000,6.250000,6.250000,14100
2019-08-16,6.250000,6.250000,5.850000,6.070000,6.070000,22600
2019-08-19,6.000000,6.087000,5.990000,5.990000,5.990000,16400
2019-08-20,5.760000,5.760000,5.660000,5.740000,5.740000,3400
2019-08-21,5.600000,5.760000,5.600000,5.600000,5.600000,6600
2019-08-22,5.600000,5.640000,5.450000,5.460000,5.460000,8300
2019-08-23,5.530000,5.530000,5.130000,5.340000,5.340000,9500
2019-08-26,5.320000,5.320000,5.161000,5.260000,5.260000,9300
2019-08-27,5.310000,5.442000,5.210000,5.210000,5.210000,4200
2019-08-28,5.200000,5.250000,5.200000,5.250000,5.250000,7400
2019-08-29,5.313000,5.710000,5.313000,5.710000,5.710000,2300
2019-08-30,5.570000,5.680000,5.380000,5.680000,5.680000,2600
2019-09-03,5.628000,5.880000,5.370000,5.370000,5.370000,6000
2019-09-04,5.670000,5.900000,5.270000,5.770000,5.770000,22100
2019-09-05,6.150000,6.440000,5.670000,5.960000,5.960000,9200
2019-09-06,6.050000,6.050000,5.910000,5.910000,5.910000,2400
2019-09-09,6.430000,6.470000,5.880000,6.050000,6.050000,23000
2019-09-10,6.180000,6.600000,5.830000,5.950000,5.950000,31600
2019-09-11,5.940000,5.950000,5.874000,5.910000,5.910000,23600
2019-09-12,6.120000,6.120000,5.640000,6.040000,6.040000,25100
2019-09-13,6.100000,6.100000,5.950000,6.000000,6.000000,81700
2019-09-16,5.905000,6.100000,5.550000,5.870000,5.870000,39500
2019-09-17,6.060000,6.090000,5.900000,5.990000,5.990000,22400
2019-09-18,6.100000,6.100000,5.895000,5.930000,5.930000,43000
2019-09-19,5.900000,6.000000,5.770000,5.910000,5.910000,21900
2019-09-20,5.890000,6.225000,5.220000,5.720000,5.720000,55200
2019-09-23,5.820000,5.875000,5.660000,5.780000,5.780000,1700
2019-09-24,5.400000,5.690000,5.190000,5.290000,5.290000,29600
2019-09-25,5.460000,5.460000,5.270000,5.270000,5.270000,4000
2019-09-26,5.470000,5.500000,5.140000,5.170000,5.170000,4600
2019-09-27,5.440000,6.090000,4.850000,4.930000,4.930000,24400
2019-09-30,4.900000,4.900000,4.700000,4.820000,4.820000,11800
2019-10-01,4.820000,4.820000,4.540000,4.550000,4.550000,5600
2019-10-02,4.440000,4.480000,4.320000,4.380000,4.380000,6100
2019-10-03,4.420000,4.470000,4.420000,4.470000,4.470000,2000
2019-10-04,4.720000,4.720000,4.490000,4.490000,4.490000,8400
2019-10-07,4.520000,5.210000,4.470000,4.560000,4.560000,2400
2019-10-08,4.330000,4.410000,4.253000,4.300000,4.300000,5700
2019-10-09,4.395000,4.600000,4.395000,4.480000,4.480000,1900
2019-10-10,4.520000,4.640000,4.330000,4.340000,4.340000,13400
2019-10-11,4.580000,4.950000,4.510000,4.600000,4.600000,41600
2019-10-14,4.620000,4.620000,4.330000,4.400000,4.400000,3300
2019-10-15,4.580000,4.810000,4.450000,4.490000,4.490000,11900
2019-10-16,4.630000,4.690000,4.630000,4.680000,4.680000,3100
2019-10-17,4.940000,4.940000,4.250000,4.390000,4.390000,25200
2019-10-18,4.340000,4.400000,4.300000,4.300000,4.300000,2700
2019-10-21,4.370000,4.465000,4.230000,4.350000,4.350000,14500
2019-10-22,4.320000,4.320000,3.830000,3.850000,3.850000,26100
2019-10-23,3.940000,4.000000,3.700000,3.850000,3.850000,9900
2019-10-24,3.830000,3.875000,3.380000,3.620000,3.620000,25700
2019-10-25,3.540000,3.610000,3.400000,3.490000,3.490000,215500
2019-10-28,3.700000,3.700000,3.470000,3.500000,3.500000,13300
