Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,18.080000,18.420000,17.480000,18.280001,18.280001,74900
2018-11-06,18.190001,18.740000,17.639999,17.860001,17.860001,53000
2018-11-07,18.639999,18.639999,16.920000,17.180000,17.180000,88300
2018-11-08,16.980000,18.309999,16.610001,16.830000,16.830000,41300
2018-11-09,16.650000,16.802999,15.061000,15.690000,15.690000,59700
2018-11-12,15.680000,16.150000,14.500000,14.730000,14.730000,76400
2018-11-13,14.630000,19.375000,14.630000,17.580000,17.580000,251800
2018-11-14,17.600000,19.059999,17.600000,18.469999,18.469999,81900
2018-11-15,18.379999,20.490000,17.950001,20.350000,20.350000,133700
2018-11-16,20.129999,20.280001,19.621000,20.230000,20.230000,90100
2018-11-19,20.230000,20.650000,19.160000,19.400000,19.400000,79900
2018-11-20,19.170000,20.285000,18.485001,19.030001,19.030001,96600
2018-11-21,19.219999,20.480000,18.535000,20.340000,20.340000,69300
2018-11-23,20.250000,21.549999,19.600000,20.600000,20.600000,52600
2018-11-26,20.809999,21.090000,19.407000,20.730000,20.730000,131800
2018-11-27,20.570000,21.240000,20.070000,20.860001,20.860001,67700
2018-11-28,21.070000,23.110001,20.964001,22.969999,22.969999,143500
2018-11-29,23.510000,23.510000,21.500000,21.750000,21.750000,68600
2018-11-30,21.780001,22.040001,20.059999,21.379999,21.379999,88800
2018-12-03,21.959999,22.910000,21.959999,22.809999,22.809999,66700
2018-12-04,22.860001,23.980000,22.010000,22.389999,22.389999,166200
2018-12-06,22.180000,22.400000,20.799999,21.230000,21.230000,262000
2018-12-07,21.040001,21.309999,18.620001,19.299999,19.299999,274700
2018-12-10,19.200001,19.549999,18.920000,19.180000,19.180000,98700
2018-12-11,19.129999,19.740000,18.590000,18.760000,18.760000,102800
2018-12-12,19.040001,20.445000,18.840000,19.809999,19.809999,145900
2018-12-13,20.090000,20.200001,17.000000,17.059999,17.059999,210200
2018-12-14,17.059999,17.330000,16.540001,17.059999,17.059999,154000
2018-12-17,17.049999,19.209999,17.010000,17.629999,17.629999,194300
2018-12-18,17.750000,19.110001,16.930000,17.059999,17.059999,190700
2018-12-19,17.160000,17.160000,15.010000,15.840000,15.840000,250500
2018-12-20,15.920000,16.650000,15.295000,16.110001,16.110001,338400
2018-12-21,16.150000,17.219999,15.020000,15.840000,15.840000,1284200
2018-12-24,15.420000,15.480000,13.275000,13.830000,13.830000,178300
2018-12-26,14.070000,15.910000,13.100000,15.740000,15.740000,198900
2018-12-27,15.430000,16.160000,14.740000,15.760000,15.760000,283200
2018-12-28,15.840000,16.790001,15.200000,16.290001,16.290001,150300
2018-12-31,16.600000,16.980000,15.170000,16.080000,16.080000,129800
2019-01-02,15.990000,18.219999,15.440000,18.100000,18.100000,83500
2019-01-03,18.040001,20.084999,15.950000,17.990000,17.990000,137700
2019-01-04,18.370001,19.840000,18.188000,18.510000,18.510000,236300
2019-01-07,18.660000,18.660000,16.730000,17.020000,17.020000,316600
2019-01-08,17.270000,17.600000,15.330000,15.550000,15.550000,250100
2019-01-09,15.760000,16.645000,15.250000,15.440000,15.440000,213000
2019-01-10,15.380000,15.750000,14.610000,15.020000,15.020000,144500
2019-01-11,14.960000,15.930000,14.845000,15.470000,15.470000,320400
2019-01-14,15.330000,15.330000,14.010000,14.510000,14.510000,670500
2019-01-15,14.480000,15.120000,14.300000,14.790000,14.790000,246500
2019-01-16,14.850000,14.990000,14.320000,14.950000,14.950000,265000
2019-01-17,14.850000,15.020000,14.390000,14.560000,14.560000,173200
2019-01-18,14.500000,14.655000,12.705000,13.970000,13.970000,285900
2019-01-22,13.930000,14.720000,13.720000,14.320000,14.320000,260700
2019-01-23,14.370000,14.730000,13.500000,13.660000,13.660000,150900
2019-01-24,13.700000,14.199000,13.370000,13.670000,13.670000,83300
2019-01-25,13.290000,14.380000,13.290000,14.040000,14.040000,239900
2019-01-28,13.860000,14.300000,13.295000,13.920000,13.920000,237800
2019-01-29,14.020000,14.130000,13.290000,13.910000,13.910000,87100
2019-01-30,13.940000,13.940000,13.430000,13.600000,13.600000,73500
2019-01-31,13.620000,14.550000,13.590000,13.690000,13.690000,369700
2019-02-01,13.680000,14.000000,13.550000,13.920000,13.920000,93700
2019-02-04,13.900000,14.000000,13.500000,13.840000,13.840000,86700
2019-02-05,13.860000,14.510000,13.840000,14.220000,14.220000,278600
2019-02-06,14.200000,14.930000,14.160000,14.500000,14.500000,220600
2019-02-07,14.400000,14.500000,13.540000,13.960000,13.960000,110900
2019-02-08,13.950000,13.950000,13.150000,13.300000,13.300000,88900
2019-02-11,13.460000,13.990000,13.200000,13.830000,13.830000,79300
2019-02-12,13.830000,14.090000,13.520000,13.890000,13.890000,83600
2019-02-13,13.980000,14.000000,13.250000,13.780000,13.780000,169200
2019-02-14,13.750000,13.900000,13.045000,13.700000,13.700000,176000
2019-02-15,13.730000,14.475000,13.400000,13.970000,13.970000,274500
2019-02-19,14.000000,14.000000,13.180000,13.270000,13.270000,185800
2019-02-20,13.370000,13.600000,12.750000,13.500000,13.500000,128300
2019-02-21,13.500000,13.760000,13.120000,13.350000,13.350000,208100
2019-02-22,13.470000,14.670000,13.340000,14.450000,14.450000,360600
2019-02-25,14.620000,16.000000,14.620000,15.820000,15.820000,538700
2019-02-26,15.670000,17.160000,15.629000,16.730000,16.730000,416200
2019-02-27,16.540001,17.450001,16.440001,17.120001,17.120001,309100
2019-02-28,17.030001,17.260000,15.720000,15.880000,15.880000,277400
2019-03-01,15.900000,16.770000,15.730000,16.650000,16.650000,275700
2019-03-04,16.820000,17.764999,15.750000,17.420000,17.420000,506900
2019-03-05,17.230000,17.450001,16.420000,16.480000,16.480000,267500
2019-03-06,16.500000,16.639999,14.770000,14.920000,14.920000,297400
2019-03-07,14.930000,15.440000,14.501000,14.930000,14.930000,300100
2019-03-08,14.900000,15.150000,14.430000,14.950000,14.950000,245900
2019-03-11,15.120000,15.480000,13.840000,15.020000,15.020000,488300
2019-03-12,15.260000,15.950000,14.560000,15.610000,15.610000,271200
2019-03-13,15.700000,16.719999,15.085000,15.530000,15.530000,555700
2019-03-14,15.510000,16.780001,15.315000,15.580000,15.580000,653000
2019-03-15,15.650000,16.799999,15.050000,16.290001,16.290001,2834400
2019-03-18,16.340000,18.340000,15.550000,17.540001,17.540001,1150200
2019-03-19,17.520000,18.180000,16.030001,16.219999,16.219999,529800
2019-03-20,16.209999,16.639999,15.870000,16.520000,16.520000,266600
2019-03-21,16.770000,17.500000,16.309999,17.440001,17.440001,337000
2019-03-22,17.500000,17.500000,15.870000,16.309999,16.309999,346300
2019-03-25,16.330000,17.090000,16.080000,16.850000,16.850000,280400
2019-03-26,16.900000,17.600000,16.485001,17.559999,17.559999,206400
2019-03-27,17.889999,19.150000,17.430000,18.400000,18.400000,656400
2019-03-28,18.020000,19.843000,17.590000,18.020000,18.020000,356900
2019-03-29,17.950001,18.270000,17.020000,18.100000,18.100000,520300
2019-04-01,18.209999,18.719999,17.750000,18.420000,18.420000,333900
2019-04-02,18.410000,19.990000,18.350000,19.629999,19.629999,338000
2019-04-03,20.000000,20.000000,19.170000,19.620001,19.620001,221600
2019-04-04,19.799999,19.990000,19.129999,19.440001,19.440001,207700
2019-04-05,19.629999,20.040001,19.320000,19.940001,19.940001,296800
