Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,25.049999,25.230000,24.139999,24.959999,24.959999,169200
2018-11-06,24.950001,25.100000,23.480000,24.049999,24.049999,197300
2018-11-07,23.990000,24.370001,23.570000,24.139999,24.139999,312300
2018-11-08,24.150000,24.250000,23.718000,24.000000,24.000000,169000
2018-11-09,23.719999,24.070000,23.180000,23.459999,23.459999,180700
2018-11-12,23.400000,23.600000,22.549999,22.620001,22.620001,165900
2018-11-13,22.700001,22.900000,21.670000,21.700001,21.700001,239200
2018-11-14,21.750000,22.040001,20.600000,20.850000,20.850000,228800
2018-11-15,20.719999,21.340000,20.590000,20.990000,20.990000,288600
2018-11-16,21.000000,21.639999,20.520000,20.990000,20.990000,523300
2018-11-19,20.980000,21.170000,20.670000,20.950001,20.950001,451700
2018-11-20,20.660000,20.730000,20.139999,20.330000,20.330000,252900
2018-11-21,20.520000,21.200001,20.520000,20.639999,20.639999,150300
2018-11-23,20.430000,21.370001,20.360001,21.080000,21.080000,94300
2018-11-26,21.299999,21.510000,20.209999,20.299999,20.299999,164200
2018-11-27,20.049999,20.260000,19.617001,19.850000,19.850000,168100
2018-11-28,19.950001,20.750000,19.620001,20.740000,20.740000,240900
2018-11-29,20.709999,20.940001,20.049999,20.100000,20.100000,99600
2018-11-30,20.129999,20.520000,19.820000,20.440001,20.440001,143800
2018-12-03,20.750000,20.881001,20.389999,20.850000,20.850000,161800
2018-12-04,20.820000,24.990000,20.809999,24.910000,24.910000,1781400
2018-12-06,24.309999,24.650000,23.521000,24.200001,24.200001,715300
2018-12-07,24.160000,24.249001,22.719999,23.110001,23.110001,347100
2018-12-10,23.120001,23.466999,22.370001,23.070000,23.070000,224000
2018-12-11,23.219999,23.260000,21.670000,21.730000,21.730000,317400
2018-12-12,22.129999,22.520000,21.930000,21.930000,21.930000,279700
2018-12-13,21.950001,22.190001,20.639999,20.700001,20.700001,355800
2018-12-14,20.600000,20.780001,19.639999,19.910000,19.910000,321700
2018-12-17,19.740000,20.430000,19.139999,19.200001,19.200001,382300
2018-12-18,19.280001,19.870001,18.850000,19.040001,19.040001,434800
