Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,3.020000,3.020000,2.940000,2.970000,2.970000,13500
2018-11-06,2.910000,3.000000,2.880000,2.980000,2.980000,14000
2018-11-07,3.000000,3.140000,2.950000,3.050000,3.050000,33500
2018-11-08,3.140000,3.140000,3.050000,3.090000,3.090000,30300
2018-11-09,3.050000,3.050000,3.030000,3.030000,3.030000,5800
2018-11-12,3.000000,3.060000,3.000000,3.020000,3.020000,23500
2018-11-13,3.030000,3.100000,3.000000,3.100000,3.100000,11400
2018-11-14,3.080000,3.100000,3.000000,3.010000,3.010000,24100
2018-11-15,3.000000,3.180000,3.000000,3.110000,3.110000,12600
2018-11-16,3.100000,3.100000,3.010000,3.040000,3.040000,23400
2018-11-19,3.130000,3.130000,3.020000,3.050000,3.050000,30300
2018-11-20,3.020000,3.050000,3.020000,3.050000,3.050000,2500
2018-11-21,3.050000,3.050000,3.040000,3.050000,3.050000,3900
2018-11-23,3.010000,3.050000,3.000000,3.030000,3.030000,10200
2018-11-26,3.050000,3.050000,3.030000,3.030000,3.030000,12200
2018-11-27,3.000000,3.050000,3.000000,3.050000,3.050000,7500
2018-11-28,3.050000,3.050000,2.780000,2.800000,2.800000,46500
2018-11-29,2.870000,2.880000,2.750000,2.750000,2.750000,12900
2018-11-30,2.760000,2.920000,2.750000,2.750000,2.750000,15700
2018-12-03,2.800000,2.970000,2.750000,2.790000,2.790000,47700
2018-12-04,2.800000,2.800000,2.710000,2.800000,2.800000,22100
2018-12-06,2.770000,2.800000,2.680000,2.750000,2.750000,11500
2018-12-07,2.770000,2.790000,2.650000,2.670000,2.670000,7200
2018-12-10,2.680000,2.760000,2.520000,2.580000,2.580000,20400
2018-12-11,2.790000,2.790000,2.560000,2.560000,2.560000,28100
2018-12-12,2.570000,2.730000,2.560000,2.560000,2.560000,24500
2018-12-13,2.570000,2.660000,2.510000,2.530000,2.530000,53600
2018-12-14,2.530000,2.730000,2.520000,2.600000,2.600000,4000
2018-12-17,2.600000,2.600000,2.510000,2.600000,2.600000,15000
2018-12-18,2.600000,2.620000,2.510000,2.610000,2.610000,15300
2018-12-19,2.530000,2.690000,2.530000,2.550000,2.550000,51200
2018-12-20,2.530000,2.700000,2.520000,2.550000,2.550000,55800
2018-12-21,2.540000,2.550000,2.470000,2.480000,2.480000,74100
2018-12-24,2.470000,2.490000,2.350000,2.370000,2.370000,24100
2018-12-26,2.400000,2.420000,2.130000,2.140000,2.140000,31000
2018-12-27,2.160000,2.300000,1.850000,1.960000,1.960000,116900
2018-12-28,1.960000,1.990000,1.890000,1.910000,1.910000,144900
2018-12-31,1.910000,1.910000,1.810000,1.810000,1.810000,138400
2019-01-02,1.830000,2.100000,1.830000,1.970000,1.970000,53700
2019-01-03,1.980000,2.070000,1.980000,2.050000,2.050000,12800
2019-01-04,2.060000,2.300000,2.060000,2.210000,2.210000,29600
2019-01-07,2.220000,2.220000,1.860000,1.950000,1.950000,31700
2019-01-08,2.040000,2.160000,1.970000,1.990000,1.990000,30300
2019-01-09,1.990000,2.030000,1.840000,1.840000,1.840000,17700
