Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,9.030000,9.260000,8.810000,9.240000,9.240000,761400
2018-11-06,9.240000,9.673000,9.240000,9.300000,9.300000,335000
2018-11-07,9.770000,10.190000,9.730000,9.900000,9.900000,934000
2018-11-08,10.350000,11.230000,10.120000,10.740000,10.740000,781600
2018-11-09,10.520000,11.090000,10.520000,11.060000,11.060000,605200
2018-11-12,11.260000,11.620000,10.420000,10.440000,10.440000,602600
2018-11-13,10.400000,10.610000,10.130000,10.200000,10.200000,295200
2018-11-14,10.590000,10.590000,9.920000,10.090000,10.090000,407700
2018-11-15,10.030000,10.380000,9.950000,10.240000,10.240000,209200
2018-11-16,10.260000,10.411000,10.010000,10.150000,10.150000,228800
2018-11-19,10.240000,10.650000,10.120000,10.450000,10.450000,328300
2018-11-20,10.300000,10.300000,9.400000,9.510000,9.510000,700200
2018-11-21,9.660000,10.220000,9.610000,9.920000,9.920000,526300
2018-11-23,9.610000,9.780000,9.480000,9.590000,9.590000,331100
2018-11-26,9.700000,9.800000,9.360000,9.760000,9.760000,434100
2018-11-27,9.680000,9.805000,9.330000,9.360000,9.360000,357500
2018-11-28,9.350000,9.540000,9.148000,9.480000,9.480000,439500
2018-11-29,9.510000,9.850000,9.470000,9.650000,9.650000,292600
2018-11-30,9.570000,9.860000,9.210000,9.800000,9.800000,331300
2018-12-03,10.040000,10.270000,9.940000,10.270000,10.270000,401300
2018-12-04,10.250000,10.250000,9.800000,9.860000,9.860000,274100
2018-12-06,9.660000,9.690000,9.330000,9.570000,9.570000,261300
2018-12-07,9.840000,10.125000,9.620000,9.730000,9.730000,409700
2018-12-10,9.580000,9.600000,8.954000,9.040000,9.040000,375400
2018-12-11,9.200000,9.310000,8.950000,8.990000,8.990000,512700
2018-12-12,9.200000,9.590000,9.170000,9.470000,9.470000,349600
2018-12-13,9.450000,9.570000,9.180000,9.370000,9.370000,319500
2018-12-14,9.260000,9.270000,8.710000,8.800000,8.800000,496600
2018-12-17,8.800000,8.965000,8.130000,8.340000,8.340000,1589900
2018-12-18,8.360000,8.510000,8.050000,8.080000,8.080000,592800
2018-12-19,8.080000,8.455000,7.870000,7.940000,7.940000,612600
2018-12-20,7.860000,8.060000,7.430000,7.450000,7.450000,579000
2018-12-21,7.430000,7.640000,7.150000,7.250000,7.250000,1401100
2018-12-24,7.160000,7.320000,7.030000,7.070000,7.070000,260600
2018-12-26,7.220000,7.610000,6.977000,7.540000,7.540000,1148500
2018-12-27,7.460000,7.600000,7.260000,7.520000,7.520000,628500
2018-12-28,7.520000,7.830000,7.480000,7.590000,7.590000,858400
2018-12-31,7.590000,7.830000,7.380000,7.610000,7.610000,659300
2019-01-02,7.450000,8.140000,7.300000,7.940000,7.940000,428100
2019-01-03,7.960000,8.070000,7.550000,7.850000,7.850000,389000
2019-01-04,8.080000,8.370000,7.880000,8.310000,8.310000,328000
2019-01-07,8.350000,8.710000,8.082000,8.620000,8.620000,535300
2019-01-08,8.770000,8.900000,8.520000,8.600000,8.600000,450600
2019-01-09,8.740000,8.925000,8.460000,8.920000,8.920000,317100
2019-01-10,8.770000,9.010000,8.640000,8.820000,8.820000,172000
2019-01-11,8.740000,8.950000,8.550000,8.780000,8.780000,295100
2019-01-14,8.680000,8.940000,8.680000,8.710000,8.710000,203800
2019-01-15,8.720000,8.880000,8.600000,8.680000,8.680000,306100
2019-01-16,8.680000,8.950000,8.680000,8.740000,8.740000,186700
2019-01-17,8.660000,8.910000,8.520000,8.830000,8.830000,339200
2019-01-18,8.950000,8.979000,8.680000,8.860000,8.860000,228700
2019-01-22,8.750000,8.753000,8.100000,8.170000,8.170000,330700
2019-01-23,8.200000,8.250000,7.800000,7.870000,7.870000,204900
2019-01-24,7.870000,8.040000,7.770000,7.990000,7.990000,249200
2019-01-25,8.200000,8.400000,8.150000,8.280000,8.280000,377000
2019-01-28,8.090000,8.170000,7.860000,8.030000,8.030000,219800
2019-01-29,8.060000,8.340000,8.060000,8.180000,8.180000,280600
2019-01-30,8.270000,8.360000,8.085000,8.330000,8.330000,277200
2019-01-31,8.340000,8.340000,8.140000,8.290000,8.290000,345300
2019-02-01,8.310000,8.446000,8.200000,8.410000,8.410000,268300
2019-02-04,8.390000,8.700000,8.300000,8.690000,8.690000,213700
2019-02-05,8.690000,8.770000,8.400000,8.500000,8.500000,334800
2019-02-06,8.440000,8.510000,8.310000,8.400000,8.400000,231000
2019-02-07,8.340000,8.340000,7.940000,8.150000,8.150000,302600
2019-02-08,8.130000,8.150000,7.815000,8.010000,8.010000,267400
2019-02-11,7.900000,8.200000,7.830000,8.190000,8.190000,125600
2019-02-12,8.320000,8.450000,8.120000,8.150000,8.150000,241600
2019-02-13,8.170000,8.380000,8.140000,8.200000,8.200000,135300
2019-02-14,8.150000,8.290000,8.150000,8.230000,8.230000,216300
2019-02-15,8.340000,8.490000,8.340000,8.450000,8.450000,216000
2019-02-19,8.450000,8.490000,8.240000,8.300000,8.300000,205500
2019-02-20,8.310000,8.380000,8.250000,8.360000,8.360000,231900
2019-02-21,8.430000,8.465000,8.070000,8.110000,8.110000,205800
2019-02-22,8.180000,8.290000,8.140000,8.230000,8.230000,159500
2019-02-25,8.170000,8.305000,8.020000,8.140000,8.140000,185600
2019-02-26,8.170000,8.180000,7.885000,7.900000,7.900000,300000
2019-02-27,7.930000,8.086000,7.830000,7.920000,7.920000,274900
2019-02-28,7.950000,7.950000,7.700000,7.770000,7.770000,249800
