Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,3.490000,3.630000,3.360000,3.540000,3.540000,301500
2018-11-06,3.530000,3.720000,3.370000,3.480000,3.480000,201400
2018-11-07,3.600000,3.800000,3.410000,3.800000,3.800000,332600
2018-11-08,3.300000,3.300000,2.800000,2.910000,2.910000,726900
2018-11-09,2.810000,2.900000,2.420000,2.470000,2.470000,555600
2018-11-12,2.120000,2.300000,2.110000,2.150000,2.150000,604800
2018-11-13,2.150000,2.200000,1.900000,1.920000,1.920000,339900
2018-11-14,1.930000,2.040000,1.730000,1.820000,1.820000,294400
2018-11-15,1.710000,1.890000,1.670000,1.760000,1.760000,390400
2018-11-16,1.740000,1.860000,1.740000,1.790000,1.790000,378300
2018-11-19,1.740000,1.780000,1.620000,1.700000,1.700000,415100
2018-11-20,1.690000,1.700000,1.620000,1.630000,1.630000,245300
2018-11-21,1.620000,1.750000,1.620000,1.670000,1.670000,144000
2018-11-23,1.570000,1.720000,1.560000,1.600000,1.600000,132900
2018-11-26,1.740000,2.080000,1.730000,2.080000,2.080000,1994500
2018-11-27,1.950000,2.040000,1.880000,1.950000,1.950000,422900
2018-11-28,1.940000,2.000000,1.630000,1.730000,1.730000,672900
2018-11-29,1.660000,1.880000,1.660000,1.790000,1.790000,173900
2018-11-30,1.750000,1.770000,1.700000,1.700000,1.700000,119300
2018-12-03,1.810000,1.810000,1.720000,1.780000,1.780000,162000
2018-12-04,1.790000,1.810000,1.690000,1.690000,1.690000,96900
2018-12-06,1.690000,1.710000,1.530000,1.610000,1.610000,188300
2018-12-07,1.700000,1.760000,1.620000,1.680000,1.680000,225900
2018-12-10,1.650000,1.800000,1.600000,1.710000,1.710000,137300
2018-12-11,1.790000,1.790000,1.450000,1.510000,1.510000,632400
2018-12-12,1.520000,1.560000,1.460000,1.470000,1.470000,130500
2018-12-13,1.410000,1.510000,1.410000,1.480000,1.480000,67700
2018-12-14,1.480000,1.480000,1.410000,1.450000,1.450000,71300
2018-12-17,1.450000,1.450000,1.280000,1.310000,1.310000,300900
2018-12-18,1.310000,1.310000,1.210000,1.230000,1.230000,199200
2018-12-19,1.200000,1.250000,1.110000,1.120000,1.120000,249900
2018-12-20,1.080000,1.160000,1.020000,1.050000,1.050000,293800
2018-12-21,1.030000,1.120000,1.020000,1.050000,1.050000,191100
2018-12-24,1.020000,1.100000,1.020000,1.100000,1.100000,45300
2018-12-26,1.140000,1.230000,1.060000,1.160000,1.160000,148200
2018-12-27,1.130000,1.150000,1.090000,1.130000,1.130000,68800
