Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,19.610001,20.139999,19.530001,20.049999,20.049999,145600
2018-11-06,19.879999,20.160000,19.750000,20.030001,20.030001,387600
2018-11-07,20.459999,20.650000,20.180000,20.280001,20.280001,311400
2018-11-08,20.129999,20.200001,18.650000,18.910000,18.910000,375600
2018-11-09,18.540001,18.540001,17.730000,18.040001,18.040001,430800
2018-11-12,18.559999,18.559999,16.780001,16.990000,16.990000,1328400
2018-11-13,17.010000,17.330000,16.110001,16.270000,16.270000,837800
2018-11-14,17.180000,17.180000,16.360001,16.670000,16.670000,633900
2018-11-15,16.250000,16.670000,15.850000,16.620001,16.620001,350400
2018-11-16,16.770000,17.139999,16.600000,16.750000,16.750000,411300
2018-11-19,16.190001,16.770000,15.770000,16.440001,16.440001,408600
2018-11-20,15.230000,15.290000,13.800000,14.010000,14.010000,993800
2018-11-21,14.290000,15.200000,14.270000,14.910000,14.910000,431800
2018-11-23,14.190000,14.500000,14.020000,14.330000,14.330000,284800
2018-11-26,14.830000,14.930000,14.250000,14.400000,14.400000,764800
2018-11-27,14.510000,15.040000,14.200000,14.660000,14.660000,803200
2018-11-28,14.400000,14.660000,14.160000,14.380000,14.380000,1031700
2018-11-29,14.660000,15.000000,14.660000,14.720000,14.720000,749000
2018-11-30,14.590000,14.680000,13.600000,13.630000,13.630000,439400
2018-12-03,14.410000,15.300000,14.290000,15.260000,15.260000,788700
2018-12-04,15.000000,15.200000,14.750000,15.020000,15.020000,548600
2018-12-06,14.010000,14.070000,13.210000,13.560000,13.560000,584900
2018-12-07,13.930000,14.550000,13.780000,14.110000,14.110000,441100
2018-12-10,13.610000,13.760000,12.650000,12.880000,12.880000,510700
2018-12-11,13.040000,13.080000,11.710000,12.120000,12.120000,1112400
2018-12-12,12.300000,12.650000,12.130000,12.150000,12.150000,349900
2018-12-13,11.710000,11.710000,10.550000,11.070000,11.070000,1290900
2018-12-14,10.790000,11.180000,10.320000,10.990000,10.990000,1079400
2018-12-17,10.560000,10.670000,10.050000,10.070000,10.070000,850800
2018-12-18,9.780000,9.870000,9.140000,9.210000,9.210000,1588700
2018-12-19,9.170000,9.360000,8.720000,8.820000,8.820000,916600
2018-12-20,8.570000,9.000000,8.430000,8.750000,8.750000,3189500
2018-12-21,8.500000,9.040000,8.400000,8.750000,8.750000,769600
2018-12-24,8.400000,8.560000,7.840000,7.850000,7.850000,335600
2018-12-26,7.920000,8.930000,7.860000,8.910000,8.910000,301600
2018-12-27,8.560000,9.080000,8.430000,9.070000,9.070000,565200
2018-12-28,9.170000,9.670000,9.070000,9.480000,9.480000,257700
2018-12-31,9.600000,9.750000,9.050000,9.750000,9.750000,316000
2019-01-02,9.450000,10.500000,9.200000,10.320000,10.320000,538300
2019-01-03,10.400000,10.450000,9.960000,10.020000,10.020000,476200
2019-01-04,10.420000,10.690000,10.280000,10.570000,10.570000,469200
2019-01-07,10.730000,11.390000,10.610000,11.300000,11.300000,705300
2019-01-08,11.380000,11.400000,10.710000,11.120000,11.120000,360400
2019-01-09,11.300000,11.480000,10.710000,11.000000,11.000000,354600
2019-01-10,10.660000,10.900000,10.400000,10.680000,10.680000,236900
2019-01-11,10.250000,10.280000,9.930000,10.150000,10.150000,565500
2019-01-14,9.750000,9.980000,9.510000,9.530000,9.530000,468200
2019-01-15,9.650000,9.720000,9.460000,9.590000,9.590000,290600
2019-01-16,9.570000,9.740000,9.230000,9.300000,9.300000,465900
2019-01-17,9.260000,9.570000,9.150000,9.520000,9.520000,403000
2019-01-18,9.450000,9.890000,9.440000,9.850000,9.850000,608100
2019-01-22,9.560000,9.610000,8.940000,9.060000,9.060000,263400
2019-01-23,9.100000,9.160000,8.350000,8.710000,8.710000,915000
2019-01-24,8.590000,9.230000,8.500000,9.020000,9.020000,562800
2019-01-25,9.090000,9.290000,8.940000,9.150000,9.150000,452900
2019-01-28,8.950000,9.090000,8.780000,8.800000,8.800000,436800
2019-01-29,8.880000,8.990000,8.640000,8.800000,8.800000,449600
2019-01-30,8.900000,9.040000,8.790000,8.880000,8.880000,397600
2019-01-31,9.070000,9.160000,8.400000,8.600000,8.600000,384400
2019-02-01,8.600000,8.780000,8.250000,8.420000,8.420000,782000
2019-02-04,8.450000,8.800000,8.310000,8.660000,8.660000,393000
2019-02-05,8.450000,8.750000,8.180000,8.700000,8.700000,515100
2019-02-06,8.690000,8.860000,8.540000,8.550000,8.550000,272600
2019-02-07,8.330000,8.330000,8.000000,8.120000,8.120000,464100
2019-02-08,8.000000,8.140000,7.860000,8.080000,8.080000,240800
2019-02-11,7.890000,8.100000,7.800000,7.810000,7.810000,501700
2019-02-12,7.950000,8.250000,7.840000,8.110000,8.110000,1043300
2019-02-13,8.130000,8.450000,8.130000,8.300000,8.300000,524200
2019-02-14,8.300000,8.430000,8.160000,8.300000,8.300000,347100
2019-02-15,8.390000,8.700000,8.380000,8.660000,8.660000,656300
2019-02-19,8.880000,8.930000,8.640000,8.690000,8.690000,455100
2019-02-20,8.970000,9.040000,8.340000,8.620000,8.620000,849200
2019-02-21,8.730000,8.780000,8.390000,8.490000,8.490000,677700
2019-02-22,8.550000,8.600000,8.390000,8.560000,8.560000,371400
2019-02-25,9.190000,9.200000,8.840000,8.850000,8.850000,978100
2019-02-26,9.140000,9.250000,8.410000,8.830000,8.830000,1183400
2019-02-27,9.050000,9.090000,8.760000,8.790000,8.790000,894900
2019-02-28,8.690000,8.800000,8.360000,8.630000,8.630000,695800
2019-03-01,8.710000,8.930000,8.460000,8.600000,8.600000,486400
2019-03-04,8.820000,8.950000,8.600000,8.790000,8.790000,411300
2019-03-05,8.970000,9.040000,8.720000,8.770000,8.770000,431500
2019-03-06,8.850000,9.000000,8.650000,8.790000,8.790000,518300
2019-03-07,8.800000,8.850000,8.640000,8.720000,8.720000,535900
2019-03-08,8.490000,8.500000,7.860000,8.030000,8.030000,923000
2019-03-11,8.200000,8.400000,8.100000,8.240000,8.240000,585200
2019-03-12,8.470000,8.750000,8.430000,8.590000,8.590000,681400
2019-03-13,8.680000,9.160000,8.680000,9.100000,9.100000,637100
2019-03-14,9.020000,9.180000,8.830000,8.910000,8.910000,403200
2019-03-15,8.970000,9.220000,8.910000,8.930000,8.930000,827000
2019-03-18,8.900000,9.170000,8.900000,9.130000,9.130000,506100
2019-03-19,9.660000,9.660000,9.190000,9.230000,9.230000,803900
2019-03-20,9.200000,9.640000,9.200000,9.580000,9.580000,575600
2019-03-21,9.650000,10.180000,9.650000,10.150000,10.150000,491700
2019-03-22,9.730000,9.740000,9.150000,9.210000,9.210000,494500
2019-03-25,9.100000,9.190000,8.700000,8.810000,8.810000,956400
2019-03-26,8.830000,9.000000,8.510000,8.650000,8.650000,827800
2019-03-27,8.490000,8.520000,8.130000,8.270000,8.270000,679200
2019-03-28,8.150000,8.370000,8.010000,8.340000,8.340000,456300
2019-03-29,8.440000,8.520000,8.210000,8.310000,8.310000,311900
2019-04-01,8.500000,8.730000,8.430000,8.660000,8.660000,609900
2019-04-02,8.670000,9.000000,8.630000,8.960000,8.960000,455000
2019-04-03,9.190000,9.320000,9.020000,9.230000,9.230000,525000
2019-04-04,9.230000,9.300000,9.050000,9.080000,9.080000,268400
2019-04-05,9.130000,9.240000,8.990000,9.110000,9.110000,356100
2019-04-08,9.370000,9.500000,9.260000,9.340000,9.340000,415800
2019-04-09,9.320000,9.500000,9.170000,9.440000,9.440000,439500
2019-04-10,9.800000,10.150000,9.680000,9.900000,9.900000,704900
2019-04-11,9.660000,9.990000,9.540000,9.780000,9.780000,410200
2019-04-12,9.830000,9.890000,9.540000,9.610000,9.610000,241100
2019-04-15,9.520000,9.560000,9.150000,9.250000,9.250000,306600
2019-04-16,9.150000,9.370000,8.800000,9.270000,9.270000,422600
2019-04-17,9.270000,9.450000,8.910000,9.060000,9.060000,326100
2019-04-18,9.100000,9.170000,8.890000,8.960000,8.960000,210900
2019-04-22,9.050000,9.890000,9.000000,9.800000,9.800000,486800
2019-04-23,9.800000,9.840000,9.660000,9.770000,9.770000,286600
2019-04-24,10.000000,10.050000,9.330000,9.660000,9.660000,439400
2019-04-25,9.720000,9.930000,9.710000,9.750000,9.750000,360700
2019-04-26,9.660000,9.660000,9.140000,9.250000,9.250000,299600
2019-04-29,9.330000,9.530000,9.200000,9.290000,9.290000,320000
2019-04-30,9.340000,9.400000,8.020000,8.130000,8.130000,961400
2019-05-01,8.130000,8.400000,7.970000,7.990000,7.990000,691100
2019-05-02,8.110000,8.160000,7.700000,7.870000,7.870000,711800
2019-05-03,8.020000,8.070000,7.830000,7.920000,7.920000,474300
2019-05-06,7.780000,8.050000,7.710000,7.990000,7.990000,333800
2019-05-07,7.700000,7.700000,7.160000,7.190000,7.190000,933900
2019-05-08,7.190000,7.390000,7.180000,7.220000,7.220000,475700
2019-05-09,7.010000,7.510000,6.800000,7.270000,7.270000,671000
2019-05-10,7.250000,7.270000,6.970000,7.240000,7.240000,342300
2019-05-13,7.110000,7.110000,6.780000,6.900000,6.900000,515200
2019-05-14,7.280000,7.440000,7.130000,7.230000,7.230000,475100
2019-05-15,7.050000,7.410000,6.930000,7.380000,7.380000,420400
2019-05-16,7.490000,7.670000,7.420000,7.440000,7.440000,323500
2019-05-17,7.420000,7.440000,7.230000,7.270000,7.270000,286200
2019-05-20,7.250000,7.320000,7.040000,7.130000,7.130000,203900
2019-05-21,7.430000,7.430000,7.170000,7.210000,7.210000,578500
2019-05-22,7.170000,7.500000,7.010000,7.030000,7.030000,475000
2019-05-23,6.720000,6.770000,5.200000,5.420000,5.420000,3008100
2019-05-24,5.650000,5.730000,5.350000,5.500000,5.500000,1266800
2019-05-28,4.650000,4.700000,4.110000,4.250000,4.250000,3977100
2019-05-29,3.990000,4.100000,3.830000,4.070000,4.070000,1601100
2019-05-30,4.070000,4.760000,4.070000,4.310000,4.310000,1647900
2019-05-31,4.130000,4.170000,3.920000,3.940000,3.940000,1004900
2019-06-03,3.920000,4.040000,3.860000,3.980000,3.980000,797100
2019-06-04,4.000000,4.290000,3.960000,4.030000,4.030000,1188000
2019-06-05,4.010000,4.020000,3.650000,3.760000,3.760000,1040900
2019-06-06,3.620000,3.840000,3.550000,3.720000,3.720000,949600
