Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,56.540001,57.660000,55.090000,57.320000,57.320000,748400
2018-11-06,57.040001,58.639999,56.509998,58.060001,58.060001,838400
2018-11-07,58.580002,61.099998,58.020000,60.950001,60.950001,782400
2018-11-08,60.799999,62.439999,60.529999,60.560001,60.560001,815300
2018-11-09,60.430000,60.619999,57.270000,58.060001,58.060001,724400
2018-11-12,57.990002,58.470001,54.509998,54.980000,54.980000,749700
2018-11-13,55.419998,56.770000,54.750000,54.840000,54.840000,976300
2018-11-14,55.070000,55.630001,52.180000,53.080002,53.080002,1236200
2018-11-15,53.500000,54.720001,52.040001,54.389999,54.389999,3493600
2018-11-16,54.630001,58.500000,54.040001,57.430000,57.430000,3317900
2018-11-19,56.990002,57.820000,56.090000,57.060001,57.060001,1750700
2018-11-20,55.650002,57.259998,55.270000,56.189999,56.189999,1144000
2018-11-21,56.880001,57.650002,55.790001,57.240002,57.240002,695900
2018-11-23,56.880001,58.970001,56.830002,58.279999,58.279999,271200
2018-11-26,59.240002,59.250000,56.599998,57.570000,57.570000,1630100
2018-11-27,57.400002,58.650002,56.430000,58.540001,58.540001,1966500
2018-11-28,58.790001,61.400002,58.099998,61.349998,61.349998,1212600
2018-11-29,61.160000,63.320000,61.160000,62.880001,62.880001,1178600
2018-11-30,62.639999,63.240002,61.590000,62.580002,62.580002,1118600
2018-12-03,63.240002,64.459999,62.400002,63.950001,63.950001,1241400
2018-12-04,63.750000,64.389999,61.020000,61.080002,61.080002,993600
2018-12-06,60.110001,62.790001,59.220001,62.040001,62.040001,1150500
2018-12-07,61.639999,62.490002,59.650002,59.990002,59.990002,624200
2018-12-10,59.740002,60.980000,58.509998,60.650002,60.650002,760900
2018-12-11,61.360001,62.779999,59.689999,60.939999,60.939999,535700
2018-12-12,61.700001,62.740002,61.080002,61.950001,61.950001,404100
2018-12-13,61.860001,62.880001,60.290001,61.000000,61.000000,545300
2018-12-14,60.410000,61.020000,59.660000,60.480000,60.480000,561400
2018-12-17,59.990002,60.980000,58.150002,58.630001,58.630001,731300
2018-12-18,59.180000,59.180000,54.730000,56.000000,56.000000,1221200
2018-12-19,56.439999,58.480000,54.099998,55.060001,55.060001,792300
