Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,1.740000,2.050000,1.740000,2.000000,2.000000,178700
2018-11-06,2.000000,2.049900,1.740000,1.750000,1.750000,185500
2018-11-07,1.810000,1.840000,1.720000,1.720000,1.720000,143100
2018-11-08,1.720000,1.810000,1.720000,1.788900,1.788900,58900
2018-11-09,1.840000,1.940000,1.781800,1.879400,1.879400,60600
2018-11-12,1.900000,1.950000,1.810100,1.920000,1.920000,118100
2018-11-13,1.760000,2.080000,1.750000,2.050000,2.050000,505000
2018-11-14,2.100000,2.100000,1.750000,1.770000,1.770000,318900
2018-11-15,1.820000,1.865000,1.580000,1.580000,1.580000,108900
2018-11-16,1.620000,1.650000,1.552800,1.600000,1.600000,56400
2018-11-19,1.580000,1.698900,1.500000,1.500000,1.500000,43200
2018-11-20,1.500000,1.518800,1.430000,1.440500,1.440500,62600
2018-11-21,1.450000,1.650000,1.430000,1.564800,1.564800,80500
2018-11-23,1.470000,1.550000,1.430000,1.430000,1.430000,14700
2018-11-26,1.460000,1.600000,1.460000,1.550000,1.550000,19700
2018-11-27,1.530000,1.640000,1.530000,1.550000,1.550000,23400
2018-11-28,1.520000,1.670000,1.513500,1.513500,1.513500,26600
2018-11-29,1.560000,1.580000,1.460000,1.480000,1.480000,12200
2018-11-30,1.450000,1.600000,1.450000,1.510000,1.510000,34400
2018-12-03,1.550000,1.620200,1.525600,1.530000,1.530000,19100
2018-12-04,1.770000,1.791700,1.580000,1.600000,1.600000,114300
2018-12-06,1.650000,1.699700,1.620000,1.660000,1.660000,72300
2018-12-07,1.640000,1.900000,1.640000,1.680000,1.680000,88000
2018-12-10,1.640000,1.714900,1.600000,1.600000,1.600000,89200
2018-12-11,1.600000,1.640000,1.600000,1.640000,1.640000,19300
2018-12-12,1.618100,1.640000,1.600000,1.620000,1.620000,40100
2018-12-13,1.610000,1.641800,1.500000,1.510000,1.510000,48400
2018-12-14,1.500000,1.590000,1.500000,1.520000,1.520000,15000
2018-12-17,1.500000,1.556900,1.430000,1.480000,1.480000,34600
2018-12-18,1.440000,1.500000,1.350000,1.483000,1.483000,64800
2018-12-19,1.430000,1.480000,1.340000,1.340000,1.340000,26500
2018-12-20,1.320000,1.429000,1.250000,1.250000,1.250000,48000
2018-12-21,1.250000,1.339100,1.250000,1.303100,1.303100,40900
2018-12-24,1.250000,1.389900,1.250000,1.260000,1.260000,14500
2018-12-26,1.250000,1.320000,1.210000,1.210000,1.210000,11000
2018-12-27,1.250000,1.400000,1.250000,1.330000,1.330000,24500
2018-12-28,1.350000,1.500000,1.350000,1.460600,1.460600,13800
2018-12-31,1.441900,1.660000,1.430000,1.500000,1.500000,71800
2019-01-02,1.500000,1.550000,1.500000,1.517600,1.517600,4600
2019-01-03,1.530000,1.710000,1.530000,1.660000,1.660000,43700
2019-01-04,1.660100,1.749900,1.660000,1.730000,1.730000,34900
2019-01-07,1.800000,1.876100,1.740000,1.830000,1.830000,36800
2019-01-08,1.760000,1.900000,1.760000,1.790000,1.790000,16400
2019-01-09,1.818000,2.000000,1.816700,1.990100,1.990100,159900
2019-01-10,2.100000,2.107200,1.860700,2.020000,2.020000,98900
