Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,4.250000,4.250000,4.060000,4.130000,4.130000,25800
2018-11-06,4.150000,4.180000,4.070000,4.180000,4.180000,10500
2018-11-07,4.100000,4.200000,4.080000,4.110000,4.110000,11100
2018-11-08,4.070000,4.350000,4.070000,4.290000,4.290000,25200
2018-11-09,4.210000,4.470000,4.200000,4.470000,4.470000,14200
2018-11-12,4.210000,4.310000,4.200000,4.230000,4.230000,8800
2018-11-13,4.250000,4.270000,4.120000,4.180000,4.180000,23600
2018-11-14,4.210000,4.210000,4.070000,4.100000,4.100000,9400
2018-11-15,4.150000,4.150000,4.060000,4.070000,4.070000,6500
2018-11-16,4.220000,4.230000,4.050000,4.210000,4.210000,18700
2018-11-19,4.180000,4.250000,4.080000,4.220000,4.220000,5000
2018-11-20,4.080000,4.080000,3.910000,3.990000,3.990000,12000
2018-11-21,4.100000,4.130000,4.030000,4.120000,4.120000,4500
2018-11-23,4.090000,4.150000,4.090000,4.150000,4.150000,900
2018-11-26,4.060000,4.150000,4.040000,4.050000,4.050000,9000
2018-11-27,4.050000,4.140000,4.010000,4.050000,4.050000,20200
2018-11-28,4.020000,4.110000,4.020000,4.040000,4.040000,11600
2018-11-29,4.020000,4.110000,3.960000,4.040000,4.040000,6500
2018-11-30,3.980000,4.210000,3.980000,4.110000,4.110000,12700
2018-12-03,4.110000,4.170000,4.040000,4.040000,4.040000,19500
2018-12-04,4.050000,4.130000,4.030000,4.130000,4.130000,6600
2018-12-06,3.750000,3.800000,2.920000,3.300000,3.300000,273300
2018-12-07,3.250000,3.450000,3.200000,3.280000,3.280000,48400
2018-12-10,3.200000,3.350000,3.160000,3.190000,3.190000,74300
2018-12-11,3.250000,3.340000,3.180000,3.200000,3.200000,31200
2018-12-12,3.130000,3.210000,2.660000,2.700000,2.700000,152200
2018-12-13,2.700000,2.860000,2.680000,2.860000,2.860000,23000
2018-12-14,2.800000,2.800000,2.670000,2.680000,2.680000,23200
2018-12-17,2.500000,2.650000,2.500000,2.550000,2.550000,80400
2018-12-18,2.600000,2.810000,2.600000,2.730000,2.730000,74100
2018-12-19,2.730000,2.730000,2.670000,2.680000,2.680000,18900
2018-12-20,2.660000,2.660000,2.450000,2.500000,2.500000,79300
2018-12-21,2.490000,2.490000,2.270000,2.430000,2.430000,54800
2018-12-24,2.380000,2.380000,2.270000,2.270000,2.270000,63100
2018-12-26,2.290000,2.480000,2.290000,2.360000,2.360000,35700
2018-12-27,2.320000,2.570000,2.320000,2.400000,2.400000,54700
2018-12-28,2.400000,2.680000,2.400000,2.430000,2.430000,37900
2018-12-31,2.360000,2.410000,2.350000,2.350000,2.350000,21000
2019-01-02,2.350000,2.710000,2.350000,2.700000,2.700000,26600
2019-01-03,2.620000,2.700000,2.500000,2.500000,2.500000,17600
2019-01-04,2.500000,2.670000,2.500000,2.590000,2.590000,16200
2019-01-07,2.600000,2.680000,2.450000,2.670000,2.670000,30500
2019-01-08,2.670000,2.720000,2.630000,2.720000,2.720000,13400
