Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,15.730000,15.790000,15.660000,15.790000,14.747819,40100
2018-11-06,15.750000,15.930000,15.750000,15.810000,14.766499,56700
2018-11-07,15.960000,16.190001,15.950000,16.129999,15.065376,65100
2018-11-08,16.100000,16.290001,16.049999,16.270000,15.196136,42700
2018-11-09,16.270000,16.330000,16.129999,16.260000,15.186797,50400
2018-11-12,16.200001,16.209999,16.010000,16.080000,15.018678,73600
2018-11-13,16.030001,16.100000,15.850000,15.880000,14.831878,91300
2018-11-14,15.960000,16.040001,15.520000,15.520000,14.495639,98500
2018-11-15,15.510000,15.650000,15.450000,15.570000,14.542339,49000
2018-11-16,15.540000,15.800000,15.540000,15.550000,14.523659,51400
2018-11-19,15.630000,15.650000,15.450000,15.560000,14.533000,41000
2018-11-20,15.420000,15.450000,15.310000,15.450000,14.430259,66700
2018-11-21,15.450000,15.500000,15.390000,15.400000,14.383559,25700
2018-11-23,15.370000,15.570000,15.340000,15.450000,14.430259,13300
2018-11-26,15.520000,15.600000,15.450000,15.570000,14.542339,51900
2018-11-27,15.620000,15.760000,15.590000,15.760000,14.719799,32900
2018-11-28,15.900000,15.950000,15.660000,15.950000,14.897258,78800
2018-11-29,16.000000,16.230000,15.900000,16.230000,15.158777,42800
2018-11-30,16.160000,16.240000,16.049999,16.129999,15.065376,30200
2018-12-03,16.360001,16.389999,16.190001,16.219999,15.149437,58600
2018-12-04,16.120001,16.290001,15.950000,15.970000,14.915937,65700
2018-12-06,15.540000,15.870000,15.510000,15.770000,14.729138,64000
2018-12-07,15.790000,15.950000,15.650000,15.770000,14.729138,37700
2018-12-10,15.680000,15.790000,15.190000,15.430000,14.411580,64300
2018-12-11,15.530000,15.700000,15.430000,15.430000,14.411580,20000
2018-12-12,15.780000,15.780000,15.520000,15.580000,14.551678,33900
2018-12-13,15.700000,15.700000,15.170000,15.170000,14.428038,55900
2018-12-14,15.120000,15.200000,14.860000,14.920000,14.190265,32300
2018-12-17,14.890000,14.890000,14.300000,14.430000,13.724231,44100
2018-12-18,14.500000,14.730000,14.380000,14.400000,13.695697,62800
2018-12-19,14.410000,14.550000,14.080000,14.130000,13.438903,45400
2018-12-20,14.210000,14.210000,13.030000,13.370000,12.716075,230200
2018-12-21,13.460000,13.520000,13.060000,13.120000,12.478303,124500
2018-12-24,13.200000,13.200000,12.810000,12.900000,12.269062,69900
2018-12-26,12.910000,13.460000,12.910000,13.460000,12.801673,99200
2018-12-27,13.410000,13.750000,13.230000,13.510000,12.849228,140300
2018-12-28,13.650000,13.860000,13.590000,13.800000,13.125044,125100
2018-12-31,14.080000,14.200000,13.880000,14.040000,13.353305,130300
2019-01-02,14.040000,14.250000,13.900000,14.250000,13.553035,92300
2019-01-03,14.250000,14.340000,13.930000,14.000000,13.315262,43000
2019-01-04,14.030000,14.310000,14.030000,14.300000,13.600589,63100
2019-01-07,14.420000,14.580000,14.280000,14.570000,13.857384,63600
2019-01-08,14.740000,14.760000,14.490000,14.740000,14.019069,65300
2019-01-09,14.790000,14.790000,14.670000,14.790000,14.066623,49600
2019-01-10,14.640000,14.840000,14.640000,14.840000,14.114178,37000
2019-01-11,14.750000,14.830000,14.720000,14.830000,14.104666,39900
2019-01-14,14.740000,14.790000,14.680000,14.790000,14.066623,20400
2019-01-15,14.860000,14.970000,14.750000,14.970000,14.237820,35800
2019-01-16,14.900000,14.900000,14.840000,14.840000,14.114178,38900
2019-01-17,14.820000,14.930000,14.820000,14.870000,14.142710,51000
2019-01-18,14.970000,15.110000,14.880000,14.990000,14.256841,126100
2019-01-22,14.920000,15.010000,14.750000,14.790000,14.066623,64500
2019-01-23,14.860000,14.890000,14.650000,14.780000,14.057112,113900
2019-01-24,14.780000,14.780000,14.700000,14.720000,14.000047,54300
