Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,39.500000,41.400002,39.500000,40.900002,38.447701,1568300
2018-11-06,40.750000,40.849998,40.250000,40.549999,38.118683,777900
2018-11-07,40.549999,41.000000,40.349998,40.950001,38.494701,435100
2018-11-08,40.950001,41.150002,40.549999,41.099998,38.635704,332400
2018-11-09,41.000000,41.400002,40.849998,40.950001,38.494701,384700
2018-11-12,41.099998,41.650002,40.799999,40.799999,38.353691,380700
2018-11-13,41.049999,41.250000,40.299999,40.450001,38.024681,703500
2018-11-14,40.849998,41.250000,40.099998,40.200001,37.789669,495300
2018-11-15,39.500000,39.900002,38.750000,38.950001,36.614620,1094300
2018-11-16,39.000000,39.349998,38.849998,39.250000,36.896629,725800
2018-11-19,39.349998,39.450001,38.150002,38.549999,36.238602,1297700
2018-11-20,38.349998,38.599998,37.900002,38.150002,35.862587,1137600
2018-11-21,38.049999,38.200001,37.700001,37.799999,35.533569,530500
2018-11-23,37.650002,37.849998,37.099998,37.400002,35.157555,309800
2018-11-26,37.450001,37.650002,37.000000,37.049999,34.828537,1009700
2018-11-27,37.000000,37.450001,36.500000,37.250000,35.016548,1267800
2018-11-28,37.200001,37.549999,36.799999,37.099998,34.875538,940600
2018-11-29,37.200001,37.299999,36.099998,36.799999,34.593529,2578000
2018-11-30,37.049999,37.299999,36.599998,37.099998,34.875538,1733600
2018-12-03,37.099998,38.450001,36.950001,38.450001,36.144600,1711900
2018-12-04,38.500000,39.450001,38.500000,38.799999,36.473614,3513500
2018-12-06,37.650002,39.450001,36.950001,39.400002,37.037640,2810600
2018-12-07,39.400002,39.450001,38.200001,38.299999,36.003593,2258400
2018-12-10,38.349998,38.349998,36.750000,37.950001,35.674576,2275100
2018-12-11,38.299999,38.799999,38.000000,38.150002,35.862587,1701700
2018-12-12,38.549999,38.950001,38.250000,38.250000,35.956589,1536300
2018-12-13,38.209999,40.099998,37.660000,39.720001,37.338451,3616200
2018-12-14,39.779999,39.869999,39.060001,39.500000,37.131641,1918500
2018-12-17,39.540001,39.820000,37.250000,37.380001,35.138752,1833500
2018-12-18,37.639999,37.860001,36.919998,37.160000,34.931942,2510800
2018-12-19,37.110001,37.110001,35.919998,36.299999,34.123508,1942800
2018-12-20,36.259998,36.430000,35.509998,35.840000,33.691086,1602900
2018-12-21,35.860001,36.349998,35.410000,35.509998,33.380878,1435300
2018-12-24,35.450001,35.509998,33.959999,34.290001,32.234024,562100
2018-12-26,34.349998,35.549999,33.860001,35.480000,33.352676,1047100
2018-12-27,35.299999,35.740002,34.590000,35.619999,33.484280,1357200
2018-12-28,35.299999,35.599998,34.770000,34.980000,33.469925,1174900
2018-12-31,34.959999,35.279999,34.459999,35.250000,33.728271,862800
2019-01-02,34.950001,34.950001,34.310001,34.630001,33.135040,914600
2019-01-03,34.599998,35.779999,34.599998,35.160000,33.642155,1281000
2019-01-04,35.250000,35.869999,35.250000,35.750000,34.206688,733400
2019-01-07,35.759998,36.070000,35.340000,35.400002,33.871799,1486000
2019-01-08,35.669998,36.480000,35.410000,36.410000,34.838192,1078200
2019-01-09,36.430000,36.680000,35.840000,36.490002,34.914742,1013800
2019-01-10,36.439999,36.869999,36.070000,36.740002,35.153946,665800
2019-01-11,36.869999,36.990002,36.470001,36.990002,35.393158,732500
2019-01-14,36.830002,37.070000,36.470001,36.500000,34.924305,850800
2019-01-15,36.599998,37.490002,36.599998,37.450001,35.833298,1228400
2019-01-16,37.410000,37.889999,37.209999,37.680000,36.053368,1444100
2019-01-17,37.709999,37.810001,36.689999,36.990002,35.393158,1100600
2019-01-18,37.130001,37.330002,36.720001,37.080002,35.479275,1022300
2019-01-22,37.189999,37.770000,36.990002,37.759998,36.129913,1609400
2019-01-23,37.660000,37.959999,37.250000,37.730000,36.101212,968600
2019-01-24,37.779999,37.950001,37.160000,37.459999,35.842865,657000
2019-01-25,37.529999,38.330002,37.450001,38.250000,36.598763,985100
2019-01-28,38.110001,38.459999,37.939999,38.320000,36.665737,675000
2019-01-29,38.360001,38.580002,38.279999,38.529999,36.866673,822600
2019-01-30,38.650002,39.250000,38.540001,39.070000,37.383362,746400
2019-01-31,39.029999,39.759998,38.759998,39.720001,38.005302,914000
2019-02-01,39.689999,40.099998,38.730000,39.599998,37.890480,887300
2019-02-04,39.560001,39.570000,38.980000,39.549999,37.842640,1236700
2019-02-05,39.520000,39.790001,39.299999,39.750000,38.034008,418900
2019-02-06,39.810001,39.810001,39.259998,39.310001,37.613003,709400
2019-02-07,39.189999,39.750000,39.060001,39.639999,37.928753,532000
2019-02-08,39.540001,39.970001,39.389999,39.939999,38.215801,433900
2019-02-11,39.860001,40.209999,39.529999,40.119999,38.388031,530900
2019-02-12,40.189999,40.189999,39.070000,39.169998,37.479046,549300
2019-02-13,39.070000,39.639999,38.970001,39.599998,37.890480,663100
2019-02-14,39.590000,39.880001,39.349998,39.790001,38.072281,380400
2019-02-15,39.889999,40.470001,39.669998,40.470001,38.722923,806500
2019-02-19,40.360001,40.480000,39.810001,39.840000,38.120121,546300
2019-02-20,39.680000,39.970001,39.180000,39.360001,37.660847,416100
2019-02-21,38.849998,39.820000,38.709999,39.750000,38.034008,675000
2019-02-22,39.980000,40.139999,39.709999,39.900002,38.177532,668500
2019-02-25,40.000000,40.049999,39.230000,39.290001,37.593864,939100
2019-02-26,39.180000,39.330002,38.700001,38.720001,37.048477,876100
2019-02-27,38.599998,38.669998,38.099998,38.410000,36.751854,768400
2019-02-28,38.400002,38.950001,38.240002,38.639999,36.971928,816700
2019-03-01,38.610001,38.889999,37.560001,37.860001,36.225597,768700
2019-03-04,38.070000,38.349998,37.599998,38.070000,36.426533,770900
2019-03-05,38.000000,38.130001,37.810001,38.040001,36.397827,717900
2019-03-06,38.020000,38.020000,37.419998,37.480000,35.862003,534300
2019-03-07,37.610001,38.020000,37.470001,37.580002,35.957687,457000
2019-03-08,37.480000,37.720001,37.180000,37.459999,35.842865,358700
2019-03-11,37.490002,37.860001,37.290001,37.860001,36.225597,438700
2019-03-12,37.950001,38.099998,37.730000,37.840000,36.206463,499400
2019-03-13,37.900002,38.230000,37.730000,37.750000,36.120350,1035400
2019-03-14,37.880001,37.930000,37.599998,37.709999,36.082073,842800
2019-03-15,37.730000,37.740002,37.259998,37.419998,35.804592,2165400
2019-03-18,37.490002,37.709999,37.029999,37.139999,35.536682,538000
2019-03-19,37.270000,37.400002,36.980000,37.000000,35.402725,698100
2019-03-20,36.980000,37.419998,36.689999,37.060001,35.460136,1769100
2019-03-21,37.000000,37.869999,37.000000,37.750000,36.120350,1077300
2019-03-22,37.830002,38.209999,37.619999,37.779999,36.149052,1037200
2019-03-25,37.930000,38.060001,37.590000,37.750000,36.120350,1122400
2019-03-26,37.759998,38.230000,37.680000,38.139999,36.493511,1012700
2019-03-27,38.279999,38.279999,37.669998,38.099998,36.455235,1268800
2019-03-28,37.639999,39.110001,37.570000,39.099998,38.036018,2254800
2019-03-29,39.080002,39.880001,38.840000,39.730000,38.648876,2261700
2019-04-01,39.790001,39.820000,39.279999,39.770000,38.687790,1654000
2019-04-02,39.830002,39.900002,39.119999,39.759998,38.678059,1636800
2019-04-03,39.730000,40.110001,39.480000,39.840000,38.755882,1297400
2019-04-04,40.029999,40.410000,39.910000,40.400002,39.300644,819700
2019-04-05,40.400002,40.619999,39.950001,40.330002,39.232552,2047800
2019-04-08,40.209999,40.610001,40.000000,40.439999,39.339554,1047700
2019-04-09,40.450001,40.549999,40.000000,40.139999,39.047718,1427000
2019-04-10,40.380001,40.910000,40.330002,40.689999,39.582748,985900
2019-04-11,40.770000,40.950001,40.439999,40.610001,39.504929,658900
2019-04-12,40.590000,40.919998,40.279999,40.900002,39.787037,429300
2019-04-15,40.950001,41.000000,40.500000,40.689999,39.582748,677300
2019-04-16,40.770000,40.770000,39.570000,39.770000,38.687790,1102900
2019-04-17,39.910000,39.910000,39.320000,39.450001,38.376495,836800
2019-04-18,39.549999,39.939999,39.360001,39.680000,38.600235,681400
2019-04-22,39.610001,39.680000,39.060001,39.369999,38.298672,767500
2019-04-23,39.340000,40.209999,39.279999,40.009998,38.921257,1224600
2019-04-24,40.139999,40.630001,40.029999,40.330002,39.232552,553300
2019-04-25,40.180000,40.639999,39.959999,40.599998,39.495201,752800
2019-04-26,40.740002,41.169998,40.529999,41.139999,40.020508,698300
2019-04-29,41.049999,41.139999,40.490002,40.509998,39.407650,834800
