Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,20.139999,21.219999,20.139999,20.750000,20.435797,6200
2018-11-06,21.740000,21.740000,17.650000,18.559999,18.278957,58600
2018-11-07,18.000000,18.180000,17.500000,17.629999,17.363041,34300
2018-11-08,17.299999,17.650000,17.270000,17.570000,17.303949,21600
2018-11-09,17.209999,17.590000,17.000000,17.090000,16.831219,15700
2018-11-12,16.900000,17.549999,16.500000,16.549999,16.299395,19400
2018-11-13,16.590000,17.340000,16.500000,16.889999,16.634245,45200
2018-11-14,16.930000,16.969999,16.330000,16.639999,16.388031,13400
2018-11-15,16.650000,16.650000,16.120001,16.520000,16.269850,12600
2018-11-16,16.340000,17.219999,16.200001,16.910000,16.653944,394300
2018-11-19,16.790001,17.070000,16.790001,16.850000,16.594852,18900
2018-11-20,16.840000,16.840000,15.850000,16.000000,15.757723,18100
2018-11-21,15.900000,16.500000,15.900000,16.350000,16.102423,25800
2018-11-23,16.170000,16.629999,16.000000,16.530001,16.279697,11400
2018-11-26,16.540001,16.570000,15.810000,15.880000,15.639540,18200
2018-11-27,15.700000,15.900000,15.200000,15.540000,15.304688,11000
2018-11-28,15.810000,16.570000,15.790000,16.510000,16.260000,9100
2018-11-29,16.070000,16.600000,15.780000,16.209999,16.209999,6300
2018-11-30,16.320000,16.360001,15.780000,16.110001,16.110001,12400
2018-12-03,16.340000,16.480000,15.910000,16.150000,16.150000,7000
2018-12-04,16.190001,16.420000,15.080000,15.080000,15.080000,9100
2018-12-06,14.870000,15.010000,12.600000,15.010000,15.010000,15500
2018-12-07,15.000000,15.670000,14.720000,15.410000,15.410000,9600
2018-12-10,15.240000,16.100000,15.070000,15.750000,15.750000,32100
2018-12-11,15.840000,16.280001,15.520000,15.670000,15.670000,19200
2018-12-12,15.970000,16.040001,15.230000,15.700000,15.700000,13000
2018-12-13,15.800000,15.930000,15.340000,15.820000,15.820000,15500
2018-12-14,15.630000,15.760000,15.500000,15.530000,15.530000,6900
2018-12-17,15.630000,16.410000,15.620000,16.230000,16.230000,25100
2018-12-18,16.299999,17.000000,16.240000,16.400000,16.400000,51800
2018-12-19,16.459999,17.469999,16.459999,17.090000,17.090000,90300
2018-12-20,17.080000,18.240000,16.730000,17.040001,17.040001,87900
2018-12-21,17.000000,17.000000,16.430000,16.950001,16.950001,41000
2018-12-24,16.900000,17.000000,16.480000,16.480000,16.480000,46600
2018-12-26,16.660000,16.900000,15.970000,16.730000,16.730000,22100
2018-12-27,16.660000,16.850000,16.309999,16.650000,16.650000,27000
2018-12-28,16.660000,16.799999,16.540001,16.719999,16.719999,11700
2018-12-31,16.719999,16.809999,16.510000,16.590000,16.590000,9500
2019-01-02,16.500000,16.500000,15.400000,15.830000,15.830000,14200
2019-01-03,15.710000,15.950000,15.500000,15.500000,15.500000,11700
2019-01-04,15.750000,16.799999,15.020000,15.460000,15.460000,19700
2019-01-07,15.460000,15.800000,15.320000,15.470000,15.470000,25900
2019-01-08,15.690000,16.270000,15.550000,15.920000,15.920000,15000
2019-01-09,16.110001,16.110001,15.880000,15.980000,15.980000,2500
2019-01-10,15.750000,16.070000,15.500000,15.980000,15.980000,12700
2019-01-11,15.850000,16.299999,15.800000,16.010000,16.010000,4800
2019-01-14,15.920000,15.950000,15.320000,15.360000,15.360000,10800
2019-01-15,15.470000,15.500000,14.210000,14.780000,14.780000,25000
2019-01-16,14.910000,15.100000,14.210000,14.300000,14.300000,17900
2019-01-17,14.370000,15.000000,14.370000,14.880000,14.880000,14300
2019-01-18,14.950000,15.080000,14.850000,14.860000,14.860000,9800
2019-01-22,14.900000,15.000000,14.550000,14.730000,14.730000,19300
2019-01-23,14.880000,15.010000,14.450000,14.960000,14.960000,14500
2019-01-24,15.020000,15.030000,14.580000,14.870000,14.870000,7600
2019-01-25,14.970000,14.970000,14.050000,14.830000,14.830000,11800
2019-01-28,14.560000,14.570000,14.120000,14.570000,14.570000,11000
2019-01-29,14.650000,14.700000,14.000000,14.500000,14.500000,9500
2019-01-30,14.690000,15.440000,14.690000,15.380000,15.380000,20200
2019-01-31,15.430000,16.190001,14.820000,15.800000,15.800000,18900
2019-02-01,15.690000,16.010000,15.100000,15.650000,15.650000,6500
2019-02-04,15.440000,15.770000,15.440000,15.520000,15.520000,3800
2019-02-05,15.670000,15.850000,15.580000,15.790000,15.790000,2400
2019-02-06,15.640000,16.030001,15.230000,15.440000,15.440000,5300
2019-02-07,15.400000,15.510000,15.240000,15.330000,15.330000,11100
2019-02-08,15.150000,15.150000,14.670000,14.730000,14.730000,3000
2019-02-11,14.720000,14.810000,14.200000,14.320000,14.320000,26400
2019-02-12,14.360000,15.500000,13.180000,14.000000,14.000000,55400
2019-02-13,13.850000,14.700000,13.840000,14.100000,14.100000,10800
2019-02-14,14.190000,14.390000,13.950000,13.950000,13.950000,6400
2019-02-15,14.120000,14.230000,13.880000,14.030000,14.030000,19800
2019-02-19,14.000000,14.140000,13.560000,13.930000,13.930000,25700
2019-02-20,13.820000,14.280000,12.750000,12.790000,12.790000,99700
2019-02-21,12.890000,13.290000,12.450000,13.030000,13.030000,48600
2019-02-22,13.250000,14.040000,13.250000,13.870000,13.870000,39400
2019-02-25,14.040000,15.750000,14.040000,15.490000,15.490000,74500
2019-02-26,15.500000,15.890000,15.400000,15.690000,15.690000,14100
2019-02-27,15.580000,15.780000,15.230000,15.490000,15.490000,11800
2019-02-28,15.200000,15.550000,15.180000,15.270000,15.270000,6000
2019-03-01,15.730000,15.730000,14.480000,14.730000,14.730000,19100
