Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,8.270000,8.480000,7.790000,7.950000,7.950000,130800
2018-11-06,7.890000,8.218000,7.790000,8.060000,8.060000,51200
2018-11-07,8.070000,8.300000,7.420000,7.710000,7.710000,89700
2018-11-08,7.670000,7.830000,7.650000,7.740000,7.740000,96400
2018-11-09,7.740000,7.750000,7.240000,7.360000,7.360000,107300
2018-11-12,7.390000,7.790000,7.140000,7.500000,7.500000,75300
2018-11-13,7.560000,7.983000,7.560000,7.790000,7.790000,70700
2018-11-14,7.850000,7.880000,7.380000,7.500000,7.500000,96500
2018-11-15,7.440000,8.370000,7.440000,7.900000,7.900000,110700
2018-11-16,7.830000,8.270000,7.700000,8.160000,8.160000,104600
2018-11-19,8.070000,8.070000,7.320000,7.380000,7.380000,67900
2018-11-20,7.200000,7.680000,7.114000,7.570000,7.570000,93400
2018-11-21,7.680000,7.910000,7.450000,7.840000,7.840000,50000
2018-11-23,7.640000,7.930000,7.500000,7.590000,7.590000,29600
2018-11-26,7.730000,7.920000,7.350000,7.390000,7.390000,147800
2018-11-27,7.370000,7.670000,6.670000,7.020000,7.020000,112600
2018-11-28,7.040000,7.270000,6.730000,7.250000,7.250000,127600
2018-11-29,7.260000,7.440000,6.919000,7.030000,7.030000,52100
2018-11-30,7.050000,7.260000,6.730000,6.810000,6.810000,81000
2018-12-03,7.630000,7.980000,6.623000,7.510000,7.510000,307200
2018-12-04,7.420000,7.570000,6.850000,7.000000,7.000000,150600
2018-12-06,6.930000,7.500000,6.840000,7.500000,7.500000,74100
2018-12-07,7.450000,7.780000,7.200000,7.670000,7.670000,84000
2018-12-10,7.650000,8.150000,7.560000,8.090000,8.090000,62400
2018-12-11,8.180000,8.340000,7.880000,8.220000,8.220000,74700
2018-12-12,8.350000,8.850000,8.250000,8.650000,8.650000,88300
2018-12-13,8.640000,8.750000,8.050000,8.400000,8.400000,113000
2018-12-14,8.290000,8.880000,7.680000,7.860000,7.860000,145300
2018-12-17,7.940000,8.078000,6.920000,7.110000,7.110000,160900
2018-12-18,7.180000,7.620000,6.920000,7.170000,7.170000,102500
2018-12-19,7.200000,7.680000,6.950000,7.050000,7.050000,152700
2018-12-20,7.070000,7.290000,6.250000,6.260000,6.260000,149300
2018-12-21,6.260000,6.640000,6.100000,6.290000,6.290000,603900
2018-12-24,6.170000,6.960000,6.170000,6.690000,6.690000,142800
2018-12-26,6.810000,7.060000,6.260000,6.440000,6.440000,187600
2018-12-27,6.350000,6.540000,5.590000,5.760000,5.760000,324000
2018-12-28,5.760000,5.950000,5.460000,5.555000,5.555000,239300
2018-12-31,5.550000,5.787000,5.400000,5.570000,5.570000,300500
2019-01-02,5.510000,6.120000,5.390000,5.920000,5.920000,117100
2019-01-03,5.920000,5.990000,5.610000,5.780000,5.780000,101800
2019-01-04,5.890000,6.520000,5.790000,6.230000,6.230000,165900
2019-01-07,6.280000,6.650000,6.210000,6.480000,6.480000,185400
2019-01-08,6.560000,6.740000,6.171000,6.400000,6.400000,271900
2019-01-09,6.410000,6.910000,6.410000,6.560000,6.560000,257400
2019-01-10,6.510000,6.964000,6.360000,6.500000,6.500000,197800
2019-01-11,6.460000,6.670000,6.338000,6.470000,6.470000,108000
2019-01-14,6.430000,6.730000,6.220000,6.230000,6.230000,177800
2019-01-15,6.280000,6.595000,6.220000,6.320000,6.320000,114700
2019-01-16,6.320000,6.670000,6.230000,6.520000,6.520000,114600
2019-01-17,6.480000,6.800000,6.390000,6.700000,6.700000,116800
2019-01-18,6.700000,6.845000,6.580000,6.750000,6.750000,114500
2019-01-22,6.700000,7.130000,6.661000,6.910000,6.910000,227300
2019-01-23,6.910000,6.998000,5.560000,5.760000,5.760000,254300
2019-01-24,5.760000,6.110000,5.760000,5.920000,5.920000,122500
2019-01-25,5.930000,5.990000,5.770000,5.960000,5.960000,74600
2019-01-28,5.900000,6.030000,5.470000,5.510000,5.510000,110800
2019-01-29,5.510000,5.690000,5.280000,5.510000,5.510000,100800
2019-01-30,5.570000,5.710000,5.170000,5.670000,5.670000,138900
2019-01-31,5.670000,6.148000,5.650000,5.990000,5.990000,159200
2019-02-01,6.010000,6.280000,5.980000,6.250000,6.250000,152700
2019-02-04,6.230000,6.600000,6.200000,6.450000,6.450000,144900
2019-02-05,6.480000,6.710000,6.360000,6.500000,6.500000,157100
2019-02-06,6.500000,6.770000,6.450000,6.550000,6.550000,94200
2019-02-07,6.540000,6.940000,6.080000,6.210000,6.210000,46800
2019-02-08,6.200000,6.290000,5.790000,5.930000,5.930000,86300
2019-02-11,5.970000,6.500000,5.930000,6.430000,6.430000,72100
2019-02-12,6.430000,6.820000,6.350000,6.710000,6.710000,81900
2019-02-13,6.700000,6.700000,6.300000,6.510000,6.510000,67200
2019-02-14,6.580000,6.750000,6.510000,6.520000,6.520000,72200
2019-02-15,6.550000,6.950000,6.470000,6.850000,6.850000,109900
2019-02-19,6.800000,7.060000,6.100000,6.120000,6.120000,249100
2019-02-20,6.120000,6.360000,6.030000,6.100000,6.100000,72200
2019-02-21,6.100000,6.430000,5.970000,6.410000,6.410000,161400
