Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,5.190000,5.320000,5.190000,5.280000,5.142325,15000
2018-11-06,5.280000,5.340000,5.280000,5.310000,5.171543,26300
2018-11-07,5.360000,5.430000,5.360000,5.400000,5.259197,26000
2018-11-08,5.420000,5.450000,5.330000,5.350000,5.210499,21100
2018-11-09,5.330000,5.330000,5.240000,5.320000,5.181283,18900
2018-11-12,5.320000,5.360000,5.280000,5.310000,5.171543,30400
2018-11-13,5.320000,5.370000,5.250000,5.300000,5.161804,27000
2018-11-14,5.260000,5.350000,5.230000,5.280000,5.142325,20600
2018-11-15,5.290000,5.380000,5.290000,5.340000,5.200761,39900
2018-11-16,5.340000,5.460000,5.340000,5.430000,5.288414,36100
2018-11-19,5.400000,5.470000,5.400000,5.460000,5.317632,14100
2018-11-20,5.400000,5.430000,5.370000,5.390000,5.249457,28900
2018-11-21,5.380000,5.470000,5.380000,5.460000,5.317632,28900
2018-11-23,5.440000,5.500000,5.430000,5.490000,5.346849,10000
2018-11-26,5.500000,5.500000,5.390000,5.390000,5.249457,62400
2018-11-27,5.410000,5.410000,5.320000,5.320000,5.181283,32100
2018-11-28,5.310000,5.340000,5.270000,5.310000,5.171543,46200
2018-11-29,5.330000,5.330000,5.240000,5.270000,5.132586,43700
2018-11-30,5.240000,5.370000,5.210000,5.370000,5.269978,58900
2018-12-03,5.400000,5.440000,5.350000,5.380000,5.279792,40500
2018-12-04,5.380000,5.440000,5.320000,5.360000,5.260164,17400
2018-12-06,5.260000,5.330000,5.240000,5.300000,5.201282,44200
2018-12-07,5.330000,5.330000,5.260000,5.300000,5.201282,84700
2018-12-10,5.280000,5.320000,5.190000,5.220000,5.122772,29100
2018-12-11,5.260000,5.260000,5.170000,5.220000,5.122772,13100
2018-12-12,5.220000,5.230000,5.150000,5.190000,5.093331,38100
2018-12-13,5.190000,5.220000,5.180000,5.220000,5.122772,24400
2018-12-14,5.210000,5.210000,5.090000,5.190000,5.093331,39300
2018-12-17,5.200000,5.200000,5.060000,5.100000,5.005007,57100
2018-12-18,5.100000,5.100000,4.780000,4.880000,4.789105,128300
2018-12-19,4.870000,4.900000,4.760000,4.860000,4.769478,97400
2018-12-20,4.850000,4.850000,4.490000,4.570000,4.484879,106100
2018-12-21,4.530000,4.530000,4.350000,4.360000,4.278791,88700
2018-12-24,4.390000,4.390000,4.060000,4.100000,4.023633,53000
2018-12-26,4.050000,4.280000,4.050000,4.260000,4.180654,19700
2018-12-27,4.230000,4.230000,3.990000,4.100000,4.023633,94000
2018-12-28,4.120000,4.220000,4.100000,4.140000,4.062888,103200
2018-12-31,4.180000,4.180000,4.080000,4.120000,4.043261,94500
2019-01-02,4.080000,4.300000,4.060000,4.180000,4.102143,86900
2019-01-03,4.180000,4.380000,4.180000,4.340000,4.259163,88700
2019-01-04,4.360000,4.450000,4.300000,4.410000,4.327859,83000
2019-01-07,4.400000,4.490000,4.350000,4.410000,4.327859,92000
2019-01-08,4.430000,4.610000,4.380000,4.590000,4.504507,106600
2019-01-09,4.620000,4.670000,4.450000,4.660000,4.573203,115600
2019-01-10,4.670000,4.850000,4.610000,4.800000,4.710596,75700
2019-01-11,4.800000,4.800000,4.620000,4.620000,4.533948,70900
2019-01-14,4.610000,4.800000,4.610000,4.780000,4.690968,65800
2019-01-15,4.830000,4.870000,4.690000,4.770000,4.681154,58300
2019-01-16,4.750000,4.880000,4.750000,4.820000,4.730223,144000
2019-01-17,4.820000,4.980000,4.770000,4.770000,4.681154,101800
2019-01-18,4.830000,4.930000,4.830000,4.880000,4.789105,30200
2019-01-22,4.890000,5.070000,4.890000,5.010000,4.916684,122500
2019-01-23,5.250000,5.360000,5.100000,5.270000,5.171841,147700
2019-01-24,5.240000,5.330000,5.190000,5.300000,5.201282,81900
2019-01-25,5.360000,5.360000,5.230000,5.300000,5.201282,46200
2019-01-28,5.290000,5.380000,5.240000,5.280000,5.181654,29400
2019-01-29,5.280000,5.380000,5.280000,5.320000,5.220910,44600
2019-01-30,5.320000,5.430000,5.310000,5.400000,5.299420,58400
2019-01-31,5.430000,5.490000,5.360000,5.480000,5.377929,53400
2019-02-01,5.490000,5.690000,5.470000,5.690000,5.584018,209900
2019-02-04,5.600000,5.650000,5.550000,5.580000,5.476067,85400
2019-02-05,5.600000,5.610000,5.530000,5.580000,5.476067,60800
2019-02-06,5.550000,5.600000,5.550000,5.580000,5.476067,53200
2019-02-07,5.520000,5.570000,5.460000,5.560000,5.456439,35200
2019-02-08,5.550000,5.570000,5.480000,5.540000,5.436812,33600
2019-02-11,5.570000,5.600000,5.560000,5.590000,5.485881,103100
2019-02-12,5.630000,5.680000,5.590000,5.650000,5.544763,95900
2019-02-13,5.690000,5.790000,5.540000,5.550000,5.446625,205200
2019-02-14,5.490000,5.680000,5.470000,5.650000,5.544763,43500
2019-02-15,5.650000,5.760000,5.650000,5.700000,5.593832,70400
2019-02-19,5.650000,5.770000,5.650000,5.740000,5.633086,132600
2019-02-20,5.770000,5.770000,5.700000,5.730000,5.623273,191800
2019-02-21,5.700000,5.800000,5.700000,5.730000,5.623273,165200
2019-02-22,5.730000,5.770000,5.690000,5.740000,5.633086,93200
2019-02-25,5.720000,5.730000,5.640000,5.710000,5.603645,66700
2019-02-26,5.660000,6.020000,5.660000,5.920000,5.809734,322600
2019-02-27,5.770000,6.370000,5.740000,6.300000,6.182656,706700
2019-02-28,6.150000,6.290000,6.080000,6.090000,6.014757,321800
2019-03-01,6.050000,6.170000,6.030000,6.070000,5.995004,83700
2019-03-04,6.070000,6.100000,5.890000,6.030000,5.955498,128800
2019-03-05,6.080000,6.080000,5.940000,6.010000,5.935745,151500
2019-03-06,6.030000,6.200000,5.990000,6.150000,6.074015,147500
2019-03-07,6.160000,6.160000,5.970000,6.040000,5.965374,326500
2019-03-08,6.000000,6.100000,6.000000,6.070000,5.995004,125600
2019-03-11,6.080000,6.160000,6.060000,6.080000,6.004880,72000
2019-03-12,6.090000,6.230000,6.090000,6.220000,6.143150,139500
2019-03-13,6.230000,6.260000,6.180000,6.180000,6.103644,120100
2019-03-14,6.110000,6.300000,6.110000,6.300000,6.222162,242600
2019-03-15,6.270000,6.330000,6.170000,6.220000,6.143150,226200
2019-03-18,6.220000,6.680000,6.220000,6.660000,6.577714,406800
2019-03-19,6.760000,6.810000,6.670000,6.740000,6.656725,244700
2019-03-20,6.750000,6.940000,6.670000,6.870000,6.785120,260200
2019-03-21,6.810000,6.950000,6.760000,6.830000,6.745614,144100
2019-03-22,6.780000,6.840000,6.680000,6.750000,6.666602,134200
2019-03-25,6.900000,7.170000,6.900000,7.060000,6.972772,304100
2019-03-26,7.220000,7.220000,7.060000,7.110000,7.022154,226300
2019-03-27,7.130000,7.340000,7.030000,7.320000,7.229559,197300
2019-03-28,7.370000,7.480000,7.280000,7.390000,7.298695,202100
2019-03-29,7.430000,7.450000,7.230000,7.340000,7.249312,166100
2019-04-01,7.360000,7.490000,7.270000,7.470000,7.377706,207600
2019-04-02,7.460000,7.610000,7.420000,7.490000,7.397459,226900
2019-04-03,7.470000,7.510000,7.320000,7.460000,7.367830,150900
2019-04-04,7.460000,7.490000,7.390000,7.410000,7.318448,116400
2019-04-05,7.400000,7.450000,7.280000,7.360000,7.269065,160300
2019-04-08,7.400000,7.440000,7.330000,7.400000,7.308571,155400
2019-04-09,7.400000,7.460000,7.350000,7.380000,7.288818,125000
2019-04-10,7.380000,7.500000,7.340000,7.410000,7.318448,135100
2019-04-11,7.420000,7.420000,7.330000,7.370000,7.278942,96500
2019-04-12,7.400000,7.420000,7.280000,7.350000,7.259189,106700
2019-04-15,7.350000,7.390000,7.230000,7.260000,7.170301,103200
2019-04-16,7.300000,7.330000,7.140000,7.190000,7.101166,120800
2019-04-17,7.150000,7.330000,7.150000,7.260000,7.170301,151100
2019-04-18,7.330000,7.330000,7.030000,7.050000,6.962896,270100
2019-04-22,7.090000,7.120000,6.950000,7.060000,6.972772,231700
2019-04-23,7.010000,7.030000,6.850000,6.880000,6.794996,181200
2019-04-24,6.830000,6.910000,6.770000,6.810000,6.725861,143700
