Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,2.360000,2.420000,2.300000,2.370000,2.264643,210500
2018-11-06,2.380000,2.420000,2.320000,2.390000,2.283754,181300
2018-11-07,2.400000,2.510000,2.370000,2.410000,2.302865,118400
2018-11-08,2.300000,2.370000,2.140000,2.220000,2.121311,358600
2018-11-09,2.210000,2.210000,2.090000,2.170000,2.073534,167900
2018-11-12,2.160000,2.200000,2.050000,2.110000,2.016201,279500
2018-11-13,2.100000,2.470000,2.070000,2.380000,2.274198,508300
2018-11-14,2.410000,2.420000,2.120000,2.150000,2.054423,243400
2018-11-15,2.050000,2.260000,2.050000,2.190000,2.092645,88100
2018-11-16,2.220000,2.260000,2.120000,2.250000,2.149977,139400
2018-11-19,2.320000,2.440000,2.230000,2.320000,2.216865,357900
2018-11-20,2.260000,2.300000,2.080000,2.140000,2.044868,271700
2018-11-21,2.160000,2.230000,2.150000,2.220000,2.121311,123900
2018-11-23,2.160000,2.170000,2.100000,2.130000,2.035312,43000
2018-11-26,2.140000,2.210000,2.140000,2.170000,2.073534,263700
2018-11-27,2.140000,2.170000,1.970000,2.010000,1.920646,248100
2018-11-28,2.030000,2.070000,1.960000,2.050000,1.958868,185400
2018-11-29,2.080000,2.190000,2.000000,2.170000,2.073534,175700
2018-11-30,2.130000,2.170000,2.100000,2.160000,2.063978,138600
2018-12-03,2.170000,2.230000,2.150000,2.180000,2.083089,139500
2018-12-04,2.180000,2.180000,2.110000,2.130000,2.035312,138100
2018-12-06,2.110000,2.150000,1.920000,1.960000,1.872869,267500
2018-12-07,2.030000,2.070000,1.970000,2.000000,1.911091,161900
2018-12-10,1.980000,1.980000,1.800000,1.810000,1.729537,350900
2018-12-11,1.850000,1.910000,1.820000,1.900000,1.815536,114300
2018-12-12,1.920000,1.950000,1.870000,1.880000,1.796425,219900
2018-12-13,1.890000,1.920000,1.830000,1.860000,1.777315,146800
2018-12-14,1.850000,1.880000,1.770000,1.780000,1.700871,77100
2018-12-17,1.790000,1.840000,1.750000,1.770000,1.691315,336800
2018-12-18,1.780000,1.780000,1.700000,1.710000,1.633983,187600
2018-12-19,1.710000,1.750000,1.640000,1.660000,1.586205,182000
2018-12-20,1.660000,1.660000,1.550000,1.620000,1.547984,302600
2018-12-21,1.610000,1.640000,1.550000,1.580000,1.509762,257200
2018-12-24,1.550000,1.570000,1.500000,1.520000,1.452429,131900
2018-12-26,1.520000,1.680000,1.480000,1.660000,1.586205,144900
2018-12-27,1.620000,1.680000,1.580000,1.680000,1.605316,116300
2018-12-28,1.680000,1.730000,1.630000,1.690000,1.614872,117000
2018-12-31,1.700000,1.880000,1.690000,1.870000,1.786870,240200
2019-01-02,1.860000,1.940000,1.770000,1.800000,1.719982,271300
2019-01-03,1.850000,1.890000,1.760000,1.890000,1.805981,73200
2019-01-04,1.920000,1.970000,1.870000,1.940000,1.853758,171100
2019-01-07,1.930000,2.130000,1.930000,2.070000,1.977979,182600
2019-01-08,2.090000,2.090000,1.980000,2.040000,1.949313,74400
2019-01-09,2.060000,2.110000,2.030000,2.090000,1.997090,135900
2019-01-10,2.060000,2.060000,2.000000,2.030000,1.939757,45600
2019-01-11,2.030000,2.030000,1.970000,1.980000,1.891980,36200
2019-01-14,1.960000,1.990000,1.910000,1.940000,1.853758,60700
2019-01-15,1.960000,2.010000,1.940000,1.960000,1.872869,55200
2019-01-16,1.960000,2.000000,1.930000,1.940000,1.853758,82000
2019-01-17,1.920000,1.960000,1.900000,1.940000,1.853758,40400
2019-01-18,1.940000,1.940000,1.840000,1.890000,1.805981,166500
2019-01-22,1.800000,1.890000,1.750000,1.760000,1.681760,97100
2019-01-23,1.760000,1.840000,1.750000,1.750000,1.672205,95100
2019-01-24,1.760000,1.860000,1.760000,1.790000,1.710426,96800
2019-01-25,1.820000,1.880000,1.770000,1.860000,1.777315,42600
2019-01-28,1.840000,1.850000,1.770000,1.790000,1.710426,16800
2019-01-29,1.800000,1.820000,1.670000,1.730000,1.653094,257800
2019-01-30,1.720000,1.850000,1.720000,1.830000,1.748648,167500
2019-01-31,1.850000,1.900000,1.780000,1.810000,1.729537,88300
2019-02-01,1.820000,1.990000,1.820000,1.930000,1.844203,101700
2019-02-04,1.930000,1.950000,1.860000,1.930000,1.844203,29100
2019-02-05,1.930000,1.940000,1.880000,1.920000,1.834647,42500
2019-02-06,1.910000,1.960000,1.880000,1.930000,1.844203,42400
2019-02-07,1.930000,1.940000,1.830000,1.870000,1.786870,23400
2019-02-08,1.860000,1.910000,1.800000,1.840000,1.758204,63300
2019-02-11,1.830000,1.860000,1.800000,1.850000,1.767759,50600
2019-02-12,1.880000,1.920000,1.850000,1.910000,1.825092,40900
2019-02-13,1.930000,2.000000,1.930000,1.980000,1.891980,90000
2019-02-14,1.960000,2.050000,1.960000,2.010000,1.920646,94400
2019-02-15,2.030000,2.120000,2.030000,2.090000,1.997090,135300
2019-02-19,2.090000,2.180000,2.060000,2.120000,2.025756,204800
2019-02-20,2.140000,2.190000,1.970000,2.010000,1.920646,96700
2019-02-21,2.000000,2.080000,2.000000,2.020000,1.930202,95500
2019-02-22,2.030000,2.100000,2.020000,2.070000,1.977979,78900
2019-02-25,2.070000,2.090000,2.020000,2.040000,1.949313,52100
2019-02-26,2.030000,2.060000,1.960000,1.980000,1.891980,70000
