Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,1.030000,1.120000,1.010000,1.010000,1.010000,18700
2018-11-06,1.030000,1.070000,1.020000,1.070000,1.070000,5200
2018-11-07,1.090000,1.120000,1.040000,1.080000,1.080000,43500
2018-11-08,1.070000,1.090000,1.050000,1.090000,1.090000,5800
2018-11-09,1.070000,1.070000,1.030000,1.070000,1.070000,9600
2018-11-12,1.080000,1.090000,1.030000,1.030000,1.030000,5200
2018-11-13,1.020000,1.070000,1.000000,1.000000,1.000000,3200
2018-11-14,1.030000,1.100000,1.000000,1.040000,1.040000,31700
2018-11-15,1.030000,1.100000,1.030000,1.090000,1.090000,2100
2018-11-16,1.090000,1.090000,1.050000,1.050000,1.050000,1300
2018-11-19,1.060000,1.100000,1.060000,1.100000,1.100000,2600
2018-11-20,1.050000,1.100000,1.050000,1.100000,1.100000,2400
2018-11-21,1.090000,1.090000,1.000000,1.030000,1.030000,3900
2018-11-23,1.070000,1.100000,1.060000,1.100000,1.100000,5200
2018-11-26,1.100000,1.100000,1.030000,1.030000,1.030000,2500
2018-11-27,1.050000,1.130000,1.020000,1.130000,1.130000,3600
2018-11-28,1.140000,1.140000,1.060000,1.060000,1.060000,3900
2018-11-29,1.040000,1.090000,1.040000,1.050000,1.050000,4700
2018-11-30,1.060000,1.100000,1.020000,1.020000,1.020000,7800
2018-12-03,1.020000,1.070000,1.020000,1.060000,1.060000,4900
2018-12-04,1.070000,1.070000,1.040000,1.040000,1.040000,44100
2018-12-06,1.040000,1.040000,1.030000,1.030000,1.030000,2000
2018-12-07,1.020000,1.040000,1.010000,1.010000,1.010000,2300
2018-12-10,1.010000,1.040000,1.010000,1.010000,1.010000,4300
2018-12-11,1.010000,1.020000,1.010000,1.020000,1.020000,7900
2018-12-12,1.020000,1.020000,1.000000,1.010000,1.010000,18300
2018-12-13,1.000000,1.010000,0.990000,0.990000,0.990000,9400
2018-12-14,0.980000,0.990000,0.950000,0.970000,0.970000,18700
2018-12-17,0.920000,0.940000,0.920000,0.920000,0.920000,9200
2018-12-18,0.930000,0.930000,0.920000,0.920000,0.920000,7400
2018-12-19,0.970000,0.980000,0.920000,0.920000,0.920000,3200
2018-12-20,0.920000,0.930000,0.880000,0.880000,0.880000,30200
2018-12-21,0.900000,0.900000,0.740000,0.750000,0.750000,204300
2018-12-24,0.700000,0.770000,0.700000,0.730000,0.730000,2000
2018-12-26,0.730000,0.770000,0.730000,0.750000,0.750000,55600
