Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,7.780000,8.070000,7.750000,7.750000,7.451527,33500
2018-11-06,7.860000,7.860000,7.530000,7.570000,7.278459,43000
2018-11-07,8.000000,8.670000,8.000000,8.600000,8.268792,60500
2018-11-08,8.600000,8.890000,8.600000,8.840000,8.499548,30600
2018-11-09,8.640000,8.980000,8.640000,8.980000,8.634156,25100
2018-11-12,8.980000,9.050000,8.700000,8.840000,8.499548,24100
2018-11-13,8.870000,8.890000,7.930000,7.930000,7.624594,66600
2018-11-14,8.100000,8.510000,8.100000,8.390000,8.066879,21300
2018-11-15,8.340000,8.880000,8.250000,8.650000,8.316865,22800
2018-11-16,8.620000,8.860000,8.450000,8.570000,8.239946,10700
2018-11-19,8.580000,8.880000,8.410000,8.560000,8.230332,12500
2018-11-20,8.570000,8.870000,8.450000,8.450000,8.124567,10400
2018-11-21,8.460000,8.890000,8.420000,8.490000,8.163027,17200
2018-11-23,8.500000,8.620000,8.470000,8.620000,8.288021,2800
2018-11-26,8.520000,9.000000,8.460000,8.970000,8.624541,24300
2018-11-27,8.860000,9.280000,8.750000,9.210000,8.855298,30600
2018-11-28,9.210000,9.400000,8.880000,9.400000,9.037980,32200
2018-11-29,9.400000,9.980000,9.390000,9.930000,9.547570,39400
2018-11-30,9.820000,9.980000,9.240000,9.900000,9.518724,126500
2018-12-03,10.080000,10.080000,9.420000,9.690000,9.316812,19300
2018-12-04,9.680000,9.700000,8.960000,9.310000,8.951447,31500
2018-12-06,9.300000,9.300000,8.930000,9.020000,8.672616,29700
2018-12-07,9.110000,9.500000,9.100000,9.140000,8.787995,10500
2018-12-10,9.110000,9.510000,9.040000,9.160000,8.807224,6700
2018-12-11,9.260000,9.260000,8.680000,8.700000,8.364939,21100
2018-12-12,8.810000,9.180000,8.600000,8.800000,8.461088,16900
2018-12-13,8.870000,8.880000,8.750000,8.780000,8.441858,2400
2018-12-14,8.910000,8.910000,8.580000,8.580000,8.249561,7800
2018-12-17,8.660000,8.830000,8.450000,8.530000,8.201487,8700
2018-12-18,8.520000,8.520000,8.110000,8.130000,7.816892,27700
2018-12-19,8.140000,8.730000,8.060000,8.140000,7.826507,22500
2018-12-20,8.120000,8.120000,7.360000,8.050000,7.739973,52200
2018-12-21,8.060000,8.070000,7.890000,7.940000,7.634210,23900
2018-12-24,7.900000,8.000000,7.760000,7.900000,7.595750,27500
2018-12-26,7.950000,8.070000,7.850000,7.950000,7.643824,32700
2018-12-27,7.950000,8.120000,7.950000,8.010000,7.701514,12800
2018-12-28,8.020000,8.110000,7.940000,7.990000,7.682284,17700
2018-12-31,8.130000,8.130000,8.060000,8.070000,7.759202,11800
2019-01-02,8.090000,8.280000,7.850000,7.930000,7.624594,23400
2019-01-03,7.990000,8.080000,7.900000,7.960000,7.653440,7300
2019-01-04,8.190000,8.230000,7.970000,8.010000,7.701514,5700
2019-01-07,8.020000,8.120000,7.980000,8.060000,7.749588,9400
2019-01-08,8.070000,8.070000,7.950000,7.950000,7.643824,6900
2019-01-09,7.980000,8.000000,7.480000,7.750000,7.451527,20700
2019-01-10,7.900000,8.180000,7.900000,8.080000,7.768817,19100
2019-01-11,8.190000,8.420000,8.190000,8.360000,8.038033,10400
2019-01-14,8.310000,8.440000,8.300000,8.370000,8.047649,25800
2019-01-15,8.310000,8.570000,8.310000,8.440000,8.114953,10100
2019-01-16,8.500000,8.560000,8.450000,8.510000,8.182257,5600
2019-01-17,8.510000,8.680000,8.400000,8.550000,8.220716,22700
2019-01-18,8.680000,8.700000,8.500000,8.500000,8.172643,18200
2019-01-22,8.460000,8.570000,8.450000,8.450000,8.124567,12400
2019-01-23,8.460000,8.570000,8.460000,8.490000,8.163027,1300
2019-01-24,8.580000,8.580000,8.330000,8.330000,8.009190,19000
2019-01-25,8.450000,8.650000,8.440000,8.480000,8.153412,16100
2019-01-28,8.470000,8.560000,8.410000,8.440000,8.114953,7900
2019-01-29,8.530000,8.580000,8.440000,8.510000,8.182257,12900
2019-01-30,8.420000,8.590000,8.350000,8.450000,8.124567,13000
2019-01-31,8.470000,8.580000,8.400000,8.400000,8.076493,15100
2019-02-01,8.550000,8.750000,8.390000,8.670000,8.336095,19600
2019-02-04,8.700000,8.750000,8.520000,8.700000,8.364939,22700
2019-02-05,8.560000,8.870000,8.500000,8.580000,8.249561,39100
2019-02-06,8.660000,8.720000,8.550000,8.550000,8.220716,5700
2019-02-07,8.540000,8.770000,8.540000,8.600000,8.268792,3300
2019-02-08,8.660000,8.720000,8.350000,8.380000,8.057264,17400
2019-02-11,8.470000,8.600000,8.410000,8.410000,8.086108,29400
2019-02-12,8.550000,8.550000,8.360000,8.380000,8.057264,48600
2019-02-13,8.380000,8.410000,8.150000,8.360000,8.038033,42500
2019-02-14,8.280000,8.360000,8.180000,8.310000,7.989960,19600
2019-02-15,8.310000,8.490000,8.300000,8.420000,8.095723,9700
2019-02-19,8.490000,8.490000,8.190000,8.330000,8.009190,12200
2019-02-20,8.300000,8.460000,8.130000,8.250000,7.932271,17600
2019-02-21,8.220000,8.280000,8.130000,8.280000,7.961115,16300
2019-02-22,7.950000,8.500000,7.950000,8.480000,8.153412,4800
2019-02-25,8.700000,8.750000,8.470000,8.700000,8.364939,22500
2019-02-26,8.610000,8.700000,8.580000,8.620000,8.288021,13000
2019-02-27,8.600000,9.150000,8.600000,8.800000,8.461088,29000
2019-02-28,8.510000,9.050000,8.510000,8.850000,8.509164,23200
2019-03-01,8.780000,8.800000,8.520000,8.800000,8.461088,17100
2019-03-04,8.560000,8.790000,8.550000,8.760000,8.422629,12500
2019-03-05,8.700000,8.710000,8.510000,8.590000,8.259176,11800
2019-03-06,8.600000,8.690000,8.290000,8.400000,8.076493,22800
2019-03-07,8.460000,8.930000,8.350000,8.680000,8.345710,43400
2019-03-08,8.820000,9.120000,8.580000,8.990000,8.643770,42400
2019-03-11,9.080000,9.080000,8.810000,8.900000,8.557237,36200
2019-03-12,8.230000,8.590000,8.000000,8.000000,7.691899,88100
2019-03-13,8.000000,8.120000,7.500000,7.540000,7.249614,233300
2019-03-14,7.320000,7.680000,7.000000,7.610000,7.316919,80500
2019-03-15,7.510000,7.670000,7.430000,7.640000,7.345763,94600
2019-03-18,7.640000,7.650000,7.450000,7.600000,7.307303,64700
2019-03-19,7.450000,7.660000,7.450000,7.600000,7.307303,78200
2019-03-20,7.500000,7.560000,7.180000,7.300000,7.018857,89900
