Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,12.180000,12.400000,12.140000,12.180000,11.945345,1541900
2018-11-06,12.220000,12.410000,12.120000,12.400000,12.161105,1096300
2018-11-07,12.400000,12.600000,12.250000,12.530000,12.288600,2463500
2018-11-08,12.900000,13.000000,12.220000,12.520000,12.278794,3297100
2018-11-09,12.540000,12.810000,12.290000,12.440000,12.200335,4460700
2018-11-12,12.500000,12.790000,12.420000,12.560000,12.318024,4320500
2018-11-13,12.580000,12.910000,12.490000,12.840000,12.592628,3481900
2018-11-14,12.970000,13.120000,12.700000,12.720000,12.474940,2181900
2018-11-15,12.630000,12.710000,12.300000,12.700000,12.455325,2090800
2018-11-16,12.640000,12.900000,12.640000,12.830000,12.582820,2110400
2018-11-19,12.800000,12.930000,12.570000,12.620000,12.376866,1965300
2018-11-20,12.470000,12.610000,12.020000,12.120000,11.886499,1824000
2018-11-21,12.150000,12.570000,12.130000,12.480000,12.239564,1732000
2018-11-23,12.350000,12.810000,12.350000,12.630000,12.386674,859100
2018-11-26,12.800000,12.990000,12.700000,12.880000,12.631859,2167500
2018-11-27,12.860000,13.140000,12.860000,13.100000,12.847619,2432500
2018-11-28,13.210000,13.500000,13.090000,13.490000,13.230105,2632200
2018-11-29,13.360000,13.590000,13.340000,13.530000,13.269334,1408900
2018-11-30,13.500000,13.550000,13.090000,13.290000,13.033958,2727300
2018-12-03,13.490000,13.500000,12.940000,13.210000,12.955500,2556400
2018-12-04,13.190000,13.370000,12.730000,12.810000,12.563206,2275900
2018-12-06,12.540000,12.990000,12.440000,12.990000,12.809737,2507200
2018-12-07,12.960000,13.060000,12.590000,12.690000,12.513900,1593500
2018-12-10,12.710000,12.780000,12.440000,12.690000,12.513900,1310600
2018-12-11,12.870000,13.160000,12.860000,12.950000,12.770292,1819100
2018-12-12,13.150000,13.210000,12.930000,13.080000,12.898488,1848000
2018-12-13,13.090000,13.170000,12.510000,12.700000,12.523761,1545100
2018-12-14,12.580000,12.850000,12.380000,12.470000,12.296953,1138900
2018-12-17,12.480000,12.650000,12.160000,12.270000,12.099730,1604700
2018-12-18,12.400000,12.460000,12.060000,12.090000,11.922226,2916600
2018-12-19,12.150000,12.180000,11.620000,11.810000,11.646112,2514500
2018-12-20,11.750000,11.750000,10.940000,11.130000,10.975549,2158600
2018-12-21,11.150000,11.590000,10.650000,10.750000,10.600821,3891100
2018-12-24,10.590000,10.870000,10.480000,10.500000,10.354291,1294900
2018-12-26,10.580000,10.920000,10.420000,10.920000,10.768463,1590500
2018-12-27,10.730000,10.770000,10.240000,10.700000,10.551515,1636800
2018-12-28,10.680000,10.950000,10.550000,10.750000,10.600821,1712200
2018-12-31,10.830000,10.870000,10.370000,10.870000,10.719156,2118200
2019-01-02,10.660000,11.180000,10.630000,11.030000,10.876936,2642500
2019-01-03,10.980000,11.230000,10.790000,10.930000,10.778324,1731400
2019-01-04,11.090000,11.440000,11.010000,11.040000,10.886798,2465400
2019-01-07,10.960000,11.230000,10.850000,10.990000,10.837491,3165700
2019-01-08,11.060000,11.510000,11.000000,11.450000,11.291107,2414800
2019-01-09,11.440000,11.630000,11.410000,11.500000,11.340414,1599100
2019-01-10,11.460000,11.760000,11.360000,11.670000,11.508055,1260500
2019-01-11,11.590000,11.820000,11.540000,11.640000,11.478472,1145400
2019-01-14,11.540000,11.750000,11.480000,11.660000,11.498194,1161200
2019-01-15,11.690000,11.750000,11.510000,11.540000,11.379859,1035100
2019-01-16,11.520000,11.780000,11.510000,11.600000,11.439027,1280300
2019-01-17,11.460000,11.800000,11.460000,11.670000,11.508055,1168800
2019-01-18,11.770000,11.920000,11.690000,11.780000,11.616529,1367300
2019-01-22,11.720000,11.750000,11.390000,11.460000,11.300969,1165700
2019-01-23,11.530000,11.730000,11.500000,11.640000,11.478472,1211000
2019-01-24,11.650000,11.750000,11.570000,11.710000,11.547500,1071000
2019-01-25,11.790000,12.010000,11.790000,11.910000,11.744724,1596500
2019-01-28,11.800000,12.020000,11.780000,11.890000,11.725002,1063100
2019-01-29,11.880000,12.060000,11.840000,11.990000,11.823614,1109700
2019-01-30,12.030000,12.030000,11.260000,11.670000,11.508055,2235600
2019-01-31,11.690000,11.890000,11.650000,11.740000,11.577084,1511000
2019-02-01,11.840000,11.840000,11.250000,11.280000,11.123466,2483000
2019-02-04,11.280000,11.450000,11.260000,11.280000,11.123466,2414300
2019-02-05,11.360000,11.680000,11.320000,11.530000,11.369998,1983600
2019-02-06,11.560000,11.820000,11.550000,11.790000,11.626390,2439300
2019-02-07,11.770000,11.860000,11.480000,11.560000,11.399582,2023500
