Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,5.990000,6.020000,5.859000,5.900000,5.900000,105600
2018-11-06,5.890000,6.050000,5.810000,5.860000,5.860000,84900
2018-11-07,5.930000,6.157000,5.750000,5.910000,5.910000,93800
2018-11-08,5.770000,5.900000,5.710000,5.720000,5.720000,117000
2018-11-09,5.600000,5.630000,5.310000,5.480000,5.480000,161200
2018-11-12,5.470000,5.470000,5.120000,5.280000,5.280000,172300
2018-11-13,5.350000,5.504000,5.300000,5.330000,5.330000,269200
2018-11-14,5.440000,5.540000,5.270000,5.310000,5.310000,324200
2018-11-15,5.320000,5.409000,5.260000,5.330000,5.330000,177300
2018-11-16,5.360000,5.390000,5.250000,5.290000,5.290000,196700
2018-11-19,5.330000,5.350000,5.060000,5.100000,5.100000,219700
2018-11-20,4.760000,5.050000,4.400000,4.500000,4.500000,1239600
2018-11-21,4.640000,4.840000,4.390000,4.395000,4.395000,900200
2018-11-23,4.500000,4.900000,4.410000,4.510000,4.510000,723600
2018-11-26,4.690000,4.690000,4.130000,4.190000,4.190000,2000500
2018-11-27,4.100000,4.260000,3.860000,4.130000,4.130000,2341300
2018-11-28,4.200000,4.210000,3.860000,3.960000,3.960000,1518900
2018-11-29,4.000000,4.020000,3.530000,3.680000,3.680000,1434200
2018-11-30,3.780000,3.840000,3.270000,3.290000,3.290000,3964700
2018-12-03,3.540000,3.700000,3.250000,3.310000,3.310000,1346800
2018-12-04,3.300000,3.340000,2.810000,2.860000,2.860000,2355400
2018-12-06,3.200000,4.900000,3.200000,3.760000,3.760000,16351700
2018-12-07,4.090000,4.840000,3.870000,4.680000,4.680000,9582900
2018-12-10,4.510000,5.900000,4.380000,5.360000,5.360000,17635200
2018-12-11,5.500000,6.170000,5.300000,5.880000,5.880000,13491300
2018-12-12,6.240000,8.990000,6.160000,7.260000,7.260000,27349200
2018-12-13,7.700000,7.840000,5.740000,7.160000,7.160000,15084000
2018-12-14,7.000000,7.980000,6.900000,7.500000,7.500000,7156300
