Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,7.940000,8.290000,7.890000,7.990000,7.966431,70100
2018-11-06,7.960000,8.230000,7.935000,8.150000,8.125958,40400
2018-11-07,9.400000,10.160000,8.690000,9.780000,9.751150,1214500
2018-11-08,10.040000,10.460000,9.820000,10.300000,10.269617,953100
2018-11-09,10.110000,11.480000,10.110000,11.180000,11.147021,499200
2018-11-12,11.270000,12.170000,10.870000,11.850000,11.815044,435700
2018-11-13,11.830000,12.050000,11.420000,11.770000,11.735281,259200
2018-11-14,11.800000,12.000000,11.680000,11.780000,11.745251,153200
2018-11-15,11.810000,12.140000,11.400000,11.990000,11.954631,263100
2018-11-16,12.030000,12.490000,11.570000,12.000000,11.964602,102800
2018-11-19,11.880000,12.390000,11.810000,12.070000,12.034395,398300
2018-11-20,11.980000,11.980000,11.440000,11.590000,11.555812,333200
2018-11-21,11.700000,12.340000,11.530000,12.000000,11.964602,641400
2018-11-23,11.930000,12.220000,11.930000,12.140000,12.104189,44900
2018-11-26,12.080000,12.380000,11.860000,12.320000,12.283658,262200
2018-11-27,12.320000,12.650000,12.090000,12.270000,12.233806,118700
2018-11-28,12.200000,12.350000,11.920000,12.280000,12.243775,174600
2018-11-29,12.190000,12.340000,12.032000,12.080000,12.044366,118700
2018-11-30,12.170000,12.330000,11.910000,12.250000,12.213864,178800
2018-12-03,12.320000,12.440000,12.110000,12.130000,12.094218,103800
2018-12-04,12.130000,12.180000,11.610000,11.620000,11.585723,94300
2018-12-06,11.500000,11.520000,11.010000,11.080000,11.047316,92900
2018-12-07,11.160000,11.480000,11.090000,11.160000,11.127080,181600
2018-12-10,11.020000,11.425000,10.860000,11.300000,11.266667,238400
2018-12-11,11.420000,11.540000,10.300000,11.290000,11.256697,171100
2018-12-12,11.300000,12.490000,10.710000,10.970000,10.937640,157600
2018-12-13,10.900000,11.000000,10.450000,10.640000,10.608614,139500
2018-12-14,10.650000,10.810000,10.010000,10.070000,10.040295,77800
2018-12-17,10.080000,10.350000,9.490000,9.650000,9.621533,171600
2018-12-18,9.680000,9.730000,9.130000,9.370000,9.342360,305200
2018-12-19,9.280000,9.400000,8.920000,9.010000,8.983422,513400
2018-12-20,9.030000,9.100000,8.660000,8.850000,8.823895,312400
2018-12-21,8.960000,9.240000,8.820000,9.050000,9.023304,285500
2018-12-24,9.020000,9.390000,8.880000,9.010000,8.983422,86000
2018-12-26,9.000000,9.310000,8.910000,9.190000,9.162890,355200
2018-12-27,9.050000,9.280000,9.040000,9.130000,9.103068,231900
2018-12-28,9.120000,9.510000,9.120000,9.300000,9.272567,342900
2018-12-31,9.260000,10.290000,9.260000,10.220000,10.189853,213900
2019-01-02,10.070000,10.600000,9.700000,10.480000,10.449085,162200
2019-01-03,10.430000,10.630000,10.290000,10.490000,10.459056,101000
2019-01-04,10.630000,10.970000,10.150000,10.860000,10.827965,124700
2019-01-07,10.800000,11.215000,10.730000,11.000000,10.967552,91600
2019-01-08,11.100000,11.220000,10.910000,11.010000,10.977523,76800
2019-01-09,11.010000,11.180000,10.910000,10.970000,10.937640,53200
2019-01-10,10.910000,11.090000,10.730000,11.000000,10.967552,87700
2019-01-11,11.100000,11.100000,10.910000,11.030000,10.997463,111000
2019-01-14,10.960000,11.060000,10.180000,10.880000,10.847906,159800
2019-01-15,10.910000,10.920000,10.650000,10.750000,10.718289,62300
2019-01-16,10.680000,10.850000,9.520000,10.710000,10.678408,156300
2019-01-17,10.650000,11.030000,10.570000,11.010000,10.977523,92000
2019-01-18,11.000000,11.100000,10.890000,10.970000,10.937640,222100
2019-01-22,10.920000,11.080000,10.630000,10.860000,10.827965,78700
2019-01-23,10.820000,10.890000,10.540000,10.710000,10.678408,41100
2019-01-24,10.790000,10.790000,10.470000,10.530000,10.498938,28900
2019-01-25,10.530000,10.620000,10.120000,10.520000,10.488968,73600
2019-01-28,10.490000,10.730000,10.485000,10.600000,10.568732,46800
2019-01-29,10.680000,10.700000,10.520000,10.650000,10.618584,43700
2019-01-30,10.610000,10.720000,10.500000,10.580000,10.548791,105300
2019-01-31,10.570000,10.900000,10.550000,10.900000,10.867846,105100
2019-02-01,10.810000,11.490000,10.630000,11.030000,10.997463,92100
2019-02-04,11.140000,11.500000,11.010000,11.450000,11.416224,89200
2019-02-05,11.470000,11.500000,10.940000,10.950000,10.917699,66400
2019-02-06,10.680000,11.120000,10.550000,10.810000,10.778112,55900
2019-02-07,10.890000,11.145000,10.690000,10.690000,10.658465,51500
2019-02-08,10.700000,11.020000,10.260000,10.840000,10.808024,120700
2019-02-11,10.790000,11.250000,10.760000,11.130000,11.097169,68600
2019-02-12,11.340000,11.400000,11.060000,11.250000,11.216814,108700
2019-02-13,11.480000,11.600000,11.280000,11.560000,11.525900,98300
2019-02-14,11.510000,12.000000,11.510000,11.850000,11.815044,85200
2019-02-15,11.950000,12.490000,11.840000,12.280000,12.243775,105600
2019-02-19,12.150000,12.610000,12.000000,12.380000,12.343481,132200
2019-02-20,12.640000,12.880000,12.380000,12.700000,12.662537,187800
2019-02-21,12.680000,12.770000,12.350000,12.370000,12.333510,316100
2019-02-22,12.490000,13.030000,12.490000,13.000000,12.961652,123200
2019-02-25,13.130000,13.240000,12.900000,12.950000,12.911799,62900
2019-02-26,12.860000,13.100000,12.810000,13.050000,13.011505,171500
2019-02-27,13.020000,13.140000,12.590000,12.870000,12.832035,71700
2019-02-28,12.830000,12.980000,12.370000,12.590000,12.552862,73700
2019-03-01,12.900000,13.300000,12.820000,12.960000,12.921770,120700
2019-03-04,13.090000,13.335000,12.850000,13.010000,12.971622,72500
2019-03-05,13.010000,13.205000,12.920000,13.000000,12.961652,75600
2019-03-06,13.010000,13.200000,12.570000,12.690000,12.652566,60400
2019-03-07,12.650000,12.930000,12.230000,12.410000,12.373392,60800
2019-03-08,12.280000,13.370000,12.173000,12.880000,12.842007,97700
2019-03-11,13.060000,13.840000,13.060000,13.300000,13.260767,124100
2019-03-12,13.300000,13.530000,13.090000,13.190000,13.151092,53600
2019-03-13,13.220000,13.220000,12.980000,13.130000,13.091269,65100
2019-03-14,13.140000,13.480000,13.080000,13.350000,13.310620,100800
2019-03-15,13.680000,14.320000,13.680000,14.180000,14.138171,293600
2019-03-18,14.380000,14.420000,13.700000,14.100000,14.058408,57600
2019-03-19,14.250000,14.848000,14.039000,14.560000,14.517051,116700
2019-03-20,14.590000,14.950000,14.340000,14.830000,14.786254,133200
2019-03-21,14.750000,15.910000,14.729000,15.300000,15.254868,291500
2019-03-22,15.310000,15.340000,14.220000,14.760000,14.716460,117600
2019-03-25,14.620000,14.800000,14.180000,14.680000,14.636697,59700
2019-03-26,15.130000,15.130000,14.270000,14.550000,14.507080,69100
2019-03-27,14.790000,15.245000,14.335000,14.560000,14.517051,38400
2019-03-28,14.600000,14.900000,14.500000,14.900000,14.856047,38300
2019-03-29,15.050000,15.340000,14.820000,15.020000,14.975694,87900
2019-04-01,15.030000,15.570000,14.940000,15.450000,15.404425,59800
2019-04-02,15.590000,16.020000,15.250000,15.800000,15.753393,330500
2019-04-03,16.010000,16.010000,15.350000,15.840000,15.793275,173300
2019-04-04,15.960000,16.350000,15.907000,16.049999,16.002655,152100
2019-04-05,16.010000,16.469999,16.010000,16.240000,16.192095,118600
2019-04-08,16.320000,16.450001,15.490000,15.890000,15.843127,83300
2019-04-09,15.820000,16.049999,15.730000,15.810000,15.763364,71200
2019-04-10,15.840000,16.280001,15.505000,15.760000,15.713511,61500
2019-04-11,15.180000,15.500000,13.700000,14.890000,14.846077,202200
2019-04-12,14.980000,15.370000,14.887000,15.150000,15.105309,26500
2019-04-15,15.140000,15.510000,14.941000,15.340000,15.294749,39200
2019-04-16,15.320000,15.970000,15.320000,15.760000,15.713511,62700
2019-04-17,15.810000,15.810000,15.280000,15.370000,15.324661,26800
2019-04-18,15.340000,15.660000,14.910000,15.040000,14.995634,153800
2019-04-22,15.050000,15.410000,14.925000,15.240000,15.195045,56100
2019-04-23,15.240000,15.350000,14.422000,15.200000,15.155163,75800
2019-04-24,15.360000,16.040001,15.130000,16.000000,15.952803,101700
2019-04-25,15.980000,16.150000,15.370000,15.750000,15.703540,45500
2019-04-26,15.750000,16.260000,15.750000,16.100000,16.052507,44200
2019-04-29,16.129999,16.990000,16.129999,16.540001,16.491211,135800
2019-04-30,16.820000,16.995001,16.290001,16.490000,16.441357,72000
2019-05-01,16.500000,16.690001,16.290001,16.440001,16.391506,55200
2019-05-02,16.400000,16.500000,16.389999,16.410000,16.361593,63200
2019-05-03,16.459999,16.959999,16.420000,16.420000,16.371563,55700
2019-05-06,16.160000,16.760000,15.190000,16.500000,16.451328,54900
2019-05-07,16.330000,16.580000,15.800000,15.900000,15.853097,65900
2019-05-08,15.860000,16.360001,15.840000,15.920000,15.873038,38200
2019-05-09,15.760000,16.420000,15.565000,15.970000,15.922892,105100
2019-05-10,15.880000,16.280001,15.410000,16.020000,15.972744,39200
2019-05-13,15.750000,16.230000,15.180000,15.350000,15.304721,54100
2019-05-14,15.370000,15.860000,15.290000,15.550000,15.504130,72700
2019-05-15,15.420000,16.434999,15.420000,16.240000,16.192095,105700
2019-05-16,16.780001,17.280001,16.170000,17.070000,17.019646,114100
2019-05-17,17.049999,18.799999,17.049999,17.950001,17.897051,181300
2019-05-20,17.850000,18.110001,17.540001,17.760000,17.707611,108400
2019-05-21,17.920000,18.260000,17.719999,18.100000,18.046608,98600
2019-05-22,17.980000,18.490000,17.870001,17.940001,17.887081,77400
2019-05-23,17.799999,17.900000,16.830000,17.850000,17.797346,81500
2019-05-24,17.889999,17.940001,17.280001,17.610001,17.558054,84900
2019-05-28,17.639999,18.320000,17.520000,17.690001,17.637817,213500
2019-05-29,17.639999,17.820000,17.400000,17.680000,17.627848,66300
2019-05-30,17.719999,17.809999,17.309999,17.639999,17.587965,66900
2019-05-31,17.420000,17.420000,16.389999,16.430000,16.381535,98400
2019-06-03,16.420000,16.506001,15.950000,16.059999,16.012625,87200
2019-06-04,16.590000,16.969999,16.540001,16.900000,16.850147,205900
2019-06-05,17.010000,17.350000,16.639999,17.049999,16.999704,50000
2019-06-06,17.049999,17.049999,16.702000,16.920000,16.870089,48100
2019-06-07,16.980000,17.250000,16.950001,17.150000,17.099409,57900
2019-06-10,17.150000,17.600000,17.100000,17.129999,17.079468,66300
2019-06-11,17.120001,17.370001,16.900000,17.030001,16.979765,49500
2019-06-12,16.990000,17.389999,16.320000,17.160000,17.109381,50600
2019-06-13,17.219999,17.469999,17.129999,17.260000,17.209085,35300
2019-06-14,17.190001,17.450001,16.990000,17.200001,17.149263,40800
2019-06-17,17.389999,17.500000,17.025000,17.150000,17.099409,49600
2019-06-18,17.250000,17.420000,16.799999,17.150000,17.099409,106600
2019-06-19,17.160000,17.709999,17.010000,17.100000,17.049559,62600
2019-06-20,17.059999,17.389999,16.959999,16.969999,16.919941,41300
2019-06-21,17.100000,17.200001,16.840000,17.000000,16.949852,60400
2019-06-24,16.900000,17.000000,16.209999,16.299999,16.251917,77200
2019-06-25,16.469999,16.959999,16.190001,16.780001,16.730503,42700
2019-06-26,16.837000,17.290001,16.837000,16.950001,16.900002,45700
2019-06-27,17.110001,17.440001,16.910000,17.400000,17.348673,49700
2019-06-28,17.400000,17.629999,17.105000,17.180000,17.129322,142200
2019-07-01,17.469999,17.799999,17.190001,17.639999,17.587965,98400
2019-07-02,17.790001,19.000000,17.740000,18.500000,18.445429,126700
2019-07-03,18.650000,19.150000,18.020000,18.200001,18.146315,73700
2019-07-05,18.330000,18.850000,18.299999,18.540001,18.485312,45400
2019-07-08,18.469999,18.500000,18.000000,18.030001,17.976814,45400
2019-07-09,18.100000,18.650000,17.920000,18.459999,18.405544,68200
2019-07-10,18.709999,18.900000,18.480000,18.770000,18.714632,84500
2019-07-11,18.809999,19.930000,18.570000,18.840000,18.784426,184900
2019-07-12,19.049999,19.330000,18.790001,19.250000,19.193216,124000
2019-07-15,19.440001,19.959999,18.250000,18.780001,18.724604,119900
2019-07-16,18.809999,19.430000,18.459999,18.719999,18.664778,83200
2019-07-17,18.709999,19.014999,18.520000,18.540001,18.485312,64300
2019-07-18,18.520000,18.559999,18.150000,18.250000,18.196165,78500
2019-07-19,18.270000,18.450001,17.650000,17.940001,17.887081,98700
2019-07-22,18.000000,18.559999,17.850000,17.990000,17.936932,173800
2019-07-23,18.480000,19.410000,18.480000,19.000000,18.943953,184600
2019-07-24,19.000000,19.150000,18.910000,19.000000,18.943953,152000
2019-07-25,18.930000,19.360001,18.760000,18.940001,18.884130,190400
2019-07-26,18.879999,19.000000,18.530001,18.840000,18.784426,130600
2019-07-29,18.860001,19.090000,18.389999,18.580000,18.525192,66000
2019-07-30,18.570000,18.570000,18.170000,18.350000,18.295872,68800
2019-07-31,18.420000,18.610001,17.796000,17.870001,17.817287,104700
2019-08-01,17.860001,18.410000,17.809999,17.850000,17.797346,154700
2019-08-02,17.799999,17.850000,17.320000,17.570000,17.518171,64200
2019-08-05,17.030001,17.052999,16.059999,16.270000,16.222006,180300
2019-08-06,16.400000,16.650000,16.100000,16.270000,16.222006,99700
2019-08-07,16.180000,16.430000,15.320000,16.299999,16.251917,90200
2019-08-08,16.540001,18.160000,16.500000,17.400000,17.348673,303100
2019-08-09,17.400000,17.670000,17.000000,17.230000,17.179174,112700
2019-08-12,17.340000,17.389000,16.650000,17.290001,17.238998,375200
2019-08-13,15.220000,16.930000,15.100000,16.930000,16.880060,697900
2019-08-14,16.270000,16.450001,15.510000,15.980000,15.932861,255800
2019-08-15,16.020000,16.070000,15.450000,15.450000,15.404425,148600
2019-08-16,15.440000,16.000000,15.435000,15.820000,15.773334,101300
2019-08-19,16.219999,16.406000,15.840000,15.970000,15.922892,77000
2019-08-20,16.080000,16.270000,15.905000,16.020000,15.972744,52700
2019-08-21,16.090000,16.480000,16.040001,16.059999,16.012625,103000
2019-08-22,15.960000,16.250000,15.940000,15.990000,15.942832,87700
2019-08-23,15.880000,16.045000,15.230000,15.320000,15.274808,70300
2019-08-26,15.530000,15.800000,15.350000,15.600000,15.553983,49500
2019-08-27,15.690000,15.690000,15.010000,15.200000,15.155163,65200
2019-08-28,15.150000,15.450000,15.040000,15.190000,15.145191,69400
2019-08-29,15.490000,16.000000,15.490000,15.690000,15.643717,84800
2019-08-30,15.730000,16.110001,15.590000,15.970000,15.922892,78000
2019-09-03,15.790000,16.020000,15.650000,15.880000,15.833157,79300
