Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,8.800000,9.150000,8.710000,8.850000,8.850000,752700
2018-11-06,8.850000,9.130000,8.850000,9.070000,9.070000,754800
2018-11-07,9.090000,9.160000,8.890000,9.140000,9.140000,552900
2018-11-08,9.030000,9.160000,8.890000,8.970000,8.970000,465400
2018-11-09,8.890000,8.920000,7.940000,8.210000,8.210000,718900
2018-11-12,8.140000,8.140000,7.650000,7.750000,7.750000,491800
2018-11-13,7.770000,8.060000,7.740000,7.770000,7.770000,633800
2018-11-14,7.850000,8.040000,7.740000,7.830000,7.830000,406500
2018-11-15,7.760000,8.370000,7.720000,8.290000,8.290000,514800
2018-11-16,8.120000,8.350000,7.920000,8.260000,8.260000,449200
2018-11-19,8.200000,8.440000,8.120000,8.150000,8.150000,434000
2018-11-20,7.980000,8.190000,7.800000,8.110000,8.110000,399200
2018-11-21,8.240000,8.340000,7.940000,7.950000,7.950000,292200
2018-11-23,7.850000,8.060000,7.850000,7.890000,7.890000,119000
2018-11-26,8.010000,8.290000,7.750000,8.210000,8.210000,775700
2018-11-27,8.180000,8.350000,8.090000,8.270000,8.270000,225800
2018-11-28,8.350000,8.630000,8.170000,8.610000,8.610000,314500
2018-11-29,8.660000,8.800000,8.460000,8.690000,8.690000,285900
2018-11-30,8.630000,8.770000,8.420000,8.760000,8.760000,578800
2018-12-03,8.970000,9.270000,8.970000,9.270000,9.270000,478800
2018-12-04,9.180000,9.180000,8.560000,8.620000,8.620000,444200
2018-12-06,8.350000,8.390000,8.010000,8.070000,8.070000,590100
2018-12-07,7.990000,8.360000,7.780000,7.800000,7.800000,314500
2018-12-10,7.780000,7.840000,7.400000,7.410000,7.410000,717400
2018-12-11,7.510000,7.860000,7.510000,7.600000,7.600000,322700
2018-12-12,7.720000,8.050000,7.650000,7.850000,7.850000,369700
2018-12-13,7.860000,7.890000,7.560000,7.710000,7.710000,274600
2018-12-14,7.570000,7.640000,7.380000,7.390000,7.390000,287200
2018-12-17,7.360000,7.570000,7.200000,7.380000,7.380000,428600
2018-12-18,7.450000,7.740000,7.450000,7.610000,7.610000,328200
2018-12-19,7.550000,7.600000,6.760000,6.830000,6.830000,716200
2018-12-20,6.820000,7.380000,6.800000,7.220000,7.220000,463400
2018-12-21,7.300000,7.410000,6.460000,6.510000,6.510000,1140700
2018-12-24,6.510000,6.790000,6.270000,6.730000,6.730000,282000
2018-12-26,6.830000,7.140000,6.660000,7.130000,7.130000,388900
2018-12-27,7.000000,7.420000,7.000000,7.400000,7.400000,319700
2018-12-28,7.390000,7.610000,7.100000,7.390000,7.390000,684800
2018-12-31,7.460000,7.540000,7.140000,7.410000,7.410000,321200
2019-01-02,7.250000,7.820000,7.250000,7.770000,7.770000,444700
2019-01-03,7.660000,7.760000,7.290000,7.480000,7.480000,387300
2019-01-04,7.530000,7.860000,7.480000,7.790000,7.790000,485300
2019-01-07,7.840000,8.040000,7.590000,7.920000,7.920000,328600
2019-01-08,8.010000,8.080000,7.770000,7.900000,7.900000,298800
2019-01-09,7.950000,8.420000,7.950000,8.270000,8.270000,282700
2019-01-10,8.180000,8.390000,8.170000,8.300000,8.300000,248400
2019-01-11,8.240000,8.400000,8.030000,8.250000,8.250000,275700
2019-01-14,8.140000,8.290000,8.010000,8.180000,8.180000,252700
2019-01-15,8.200000,8.710000,8.040000,8.430000,8.430000,899300
2019-01-16,8.460000,8.890000,8.460000,8.690000,8.690000,329700
2019-01-17,8.680000,8.740000,8.490000,8.670000,8.670000,346100
2019-01-18,8.660000,8.980000,8.580000,8.850000,8.850000,261000
2019-01-22,8.750000,8.790000,8.380000,8.500000,8.500000,237600
2019-01-23,8.560000,8.610000,8.320000,8.410000,8.410000,170400
2019-01-24,8.540000,9.220000,8.540000,9.150000,9.150000,375700
2019-01-25,9.250000,9.770000,9.200000,9.750000,9.750000,317300
