Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,12.590476,12.742857,12.514286,12.590476,10.857192,1040200
2018-11-06,12.533334,12.895238,12.495238,12.800000,11.037873,1391500
2018-11-07,13.066667,13.323810,12.657143,13.019048,11.226765,1409600
2018-11-08,13.047619,13.447619,13.047619,13.419047,11.571698,2797800
2018-11-09,13.447619,13.742857,13.390476,13.647619,11.768803,2804300
2018-11-12,13.628572,13.761905,13.371428,13.380953,11.538849,1742700
2018-11-13,13.380953,13.771428,13.361905,13.552381,11.686675,3401200
2018-11-14,13.666667,13.676190,13.447619,13.485714,11.629187,1364300
2018-11-15,13.419047,13.600000,13.342857,13.590476,11.719526,1279000
2018-11-16,13.542857,13.695238,13.466666,13.552381,11.686675,1240900
2018-11-19,13.590476,13.723809,13.200000,13.200000,11.382806,1066600
2018-11-20,13.190476,13.371428,13.076191,13.161904,11.349955,1724900
2018-11-21,13.123810,13.228572,12.885715,12.942857,11.161063,2143600
2018-11-23,12.952381,13.038095,12.866667,12.914286,11.136425,548100
2018-11-26,12.923809,13.066667,12.780952,12.838096,11.070724,3023700
2018-11-27,12.857142,12.904762,12.314285,12.323810,10.627238,3880200
2018-11-28,12.342857,12.466666,11.838096,11.933333,10.290517,5292900
2018-11-29,12.000000,12.447619,11.828571,12.228572,10.545111,3619500
2018-11-30,12.190476,12.228572,11.800000,12.000000,10.348005,2651100
2018-12-03,11.961905,12.190476,11.580953,11.723809,10.109838,3279500
2018-12-04,11.752381,11.942857,11.457143,11.504762,9.920944,1939800
2018-12-06,11.428572,11.504762,11.019048,11.190476,9.649926,3549500
2018-12-07,11.238095,11.409524,11.019048,11.038095,9.518523,1870600
2018-12-10,11.076191,11.228572,10.695238,10.819048,9.329631,1951200
2018-12-11,10.847619,10.904762,10.447619,10.504762,9.058611,2137300
2018-12-12,10.571428,10.771428,10.400000,10.419047,8.984696,1566800
2018-12-13,10.400000,10.504762,10.304762,10.390476,8.960059,2135400
2018-12-14,10.380953,10.485714,9.809524,9.876190,8.516572,3003100
2018-12-17,9.590476,9.733334,9.428572,9.476191,8.499487,4126300
2018-12-18,9.476191,9.714286,9.200000,9.238095,8.285932,3013700
2018-12-19,9.333333,9.333333,8.809524,9.019048,8.089461,4064100
2018-12-20,9.019048,9.142858,8.800000,8.914286,7.995497,3108800
2018-12-21,8.942857,9.238095,8.771428,8.838096,7.927160,4531400
2018-12-24,8.838096,9.019048,8.809524,8.866667,7.952785,1284600
2018-12-26,8.904762,9.219048,8.828571,9.200000,8.251762,2087800
2018-12-27,9.123810,9.161904,8.866667,9.000000,8.072376,1857800
2018-12-28,9.342857,9.342857,9.123810,9.219048,8.268847,1296500
2018-12-31,9.219048,9.295238,8.961905,9.266666,8.311558,1609500
2019-01-02,9.142858,9.466666,9.009523,9.390476,8.422606,1856400
2019-01-03,9.352381,9.704762,9.323810,9.466666,8.490943,1438700
