Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,3.500000,3.630000,3.310000,3.370000,3.370000,259500
2018-11-06,3.390000,3.460000,3.250000,3.350000,3.350000,265900
2018-11-07,3.360000,3.600000,3.220000,3.400000,3.400000,253000
2018-11-08,3.460000,3.530000,3.320000,3.530000,3.530000,235300
2018-11-09,3.500000,3.550000,3.340000,3.400000,3.400000,255900
2018-11-12,3.270000,3.480000,3.150000,3.430000,3.430000,423900
2018-11-13,3.400000,3.580000,3.350000,3.480000,3.480000,322100
2018-11-14,3.450000,3.570000,3.240000,3.370000,3.370000,373800
2018-11-15,3.350000,3.470000,3.200000,3.280000,3.280000,284500
2018-11-16,3.250000,3.340000,3.220000,3.250000,3.250000,220000
2018-11-19,3.250000,3.280000,2.960000,3.000000,3.000000,404800
2018-11-20,3.000000,3.050000,2.850000,2.920000,2.920000,334600
2018-11-21,2.990000,3.070000,2.880000,3.050000,3.050000,226300
2018-11-23,3.110000,3.240000,3.000000,3.090000,3.090000,193700
2018-11-26,3.090000,3.190000,3.080000,3.090000,3.090000,175700
2018-11-27,3.080000,3.280000,3.050000,3.250000,3.250000,175700
2018-11-28,3.110000,3.360000,3.110000,3.270000,3.270000,293600
2018-11-29,3.240000,3.370000,3.200000,3.260000,3.260000,158500
2018-11-30,3.300000,3.300000,3.080000,3.170000,3.170000,229600
2018-12-03,3.250000,3.380000,3.220000,3.370000,3.370000,194400
2018-12-04,3.380000,3.380000,3.180000,3.250000,3.250000,190400
2018-12-06,3.200000,3.290000,3.050000,3.220000,3.220000,242700
2018-12-07,3.160000,3.290000,3.150000,3.240000,3.240000,150800
2018-12-10,3.220000,3.280000,3.120000,3.240000,3.240000,248200
2018-12-11,3.220000,3.310000,3.140000,3.300000,3.300000,164100
2018-12-12,3.300000,3.380000,3.250000,3.270000,3.270000,191200
2018-12-13,3.270000,3.350000,3.180000,3.290000,3.290000,92200
2018-12-14,3.240000,3.340000,3.080000,3.100000,3.100000,142300
2018-12-17,3.100000,3.270000,2.890000,2.910000,2.910000,429200
2018-12-18,2.880000,2.980000,2.740000,2.740000,2.740000,329700
2018-12-19,2.750000,2.940000,2.710000,2.740000,2.740000,203600
2018-12-20,2.730000,2.950000,2.700000,2.790000,2.790000,327800
2018-12-21,2.780000,2.800000,2.470000,2.520000,2.520000,677200
2018-12-24,2.460000,2.850000,2.460000,2.690000,2.690000,188600
2018-12-26,2.680000,2.720000,2.410000,2.440000,2.440000,540900
2018-12-27,2.430000,2.550000,2.340000,2.430000,2.430000,434900
2018-12-28,2.440000,2.620000,2.360000,2.480000,2.480000,506100
2018-12-31,2.490000,2.540000,2.360000,2.400000,2.400000,653100
2019-01-02,2.390000,2.600000,2.340000,2.490000,2.490000,293400
2019-01-03,2.460000,2.550000,2.350000,2.400000,2.400000,245300
2019-01-04,2.470000,2.720000,2.430000,2.590000,2.590000,346600
2019-01-07,2.610000,2.750000,2.550000,2.740000,2.740000,279700
2019-01-08,2.790000,4.660000,2.570000,4.530000,4.530000,7381300
2019-01-09,4.250000,4.250000,3.360000,3.510000,3.510000,5111100
2019-01-10,3.520000,4.050000,3.400000,3.860000,3.860000,2112400
2019-01-11,3.810000,4.080000,3.600000,3.880000,3.880000,1290400
2019-01-14,3.840000,4.090000,3.750000,3.870000,3.870000,798800
2019-01-15,4.400000,6.440000,4.110000,6.330000,6.330000,17907100
2019-01-16,5.710000,6.100000,5.050000,5.120000,5.120000,4736500
2019-01-17,5.070000,5.810000,5.070000,5.750000,5.750000,2017100
2019-01-18,5.680000,5.940000,5.350000,5.520000,5.520000,1438900
2019-01-22,5.600000,5.650000,5.210000,5.380000,5.380000,1221500
2019-01-23,5.370000,5.630000,5.130000,5.170000,5.170000,849900
2019-01-24,5.140000,5.340000,5.100000,5.260000,5.260000,721100
2019-01-25,5.340000,5.350000,5.110000,5.200000,5.200000,495500
2019-01-28,5.170000,5.310000,5.030000,5.140000,5.140000,464900
2019-01-29,5.140000,5.210000,4.760000,4.890000,4.890000,1052200
2019-01-30,4.890000,5.130000,4.760000,5.070000,5.070000,657700
2019-01-31,5.140000,5.580000,5.000000,5.100000,5.100000,903400
2019-02-01,5.100000,5.220000,4.920000,5.000000,5.000000,304400
2019-02-04,5.010000,5.230000,4.960000,5.100000,5.100000,326600
2019-02-05,5.100000,5.170000,4.710000,4.750000,4.750000,848100
2019-02-06,4.730000,4.910000,4.650000,4.840000,4.840000,401500
2019-02-07,4.840000,4.880000,4.610000,4.790000,4.790000,333700
2019-02-08,4.810000,4.840000,4.670000,4.730000,4.730000,309000
2019-02-11,4.720000,4.820000,4.660000,4.750000,4.750000,325600
2019-02-12,4.790000,4.910000,4.670000,4.820000,4.820000,377100
2019-02-13,4.810000,4.990000,4.690000,4.870000,4.870000,331900
2019-02-14,4.840000,5.080000,4.820000,5.040000,5.040000,529000
2019-02-15,5.100000,5.140000,4.910000,4.950000,4.950000,394400
2019-02-19,4.960000,5.120000,4.870000,5.080000,5.080000,456700
2019-02-20,5.080000,5.550000,5.080000,5.430000,5.430000,1815500
2019-02-21,5.360000,5.600000,5.060000,5.160000,5.160000,1011700
2019-02-22,5.200000,5.570000,5.170000,5.510000,5.510000,572300
2019-02-25,5.620000,6.000000,5.510000,5.680000,5.680000,913200
2019-02-26,5.680000,5.700000,5.270000,5.440000,5.440000,673100
2019-02-27,5.290000,5.760000,5.280000,5.740000,5.740000,454600
2019-02-28,5.710000,6.240000,5.650000,6.090000,6.090000,709100
2019-03-01,6.130000,6.130000,5.730000,5.900000,5.900000,1468600
2019-03-04,5.750000,6.000000,5.550000,5.750000,5.750000,489900
2019-03-05,5.760000,5.860000,5.700000,5.820000,5.820000,319700
2019-03-06,5.850000,6.130000,5.680000,6.090000,6.090000,539300
2019-03-07,6.000000,6.600000,5.850000,6.300000,6.300000,941000
2019-03-08,6.320000,6.430000,6.130000,6.370000,6.370000,666800
2019-03-11,6.400000,7.040000,6.400000,6.990000,6.990000,791000
2019-03-12,6.930000,6.940000,5.490000,5.760000,5.760000,1761400
2019-03-13,5.730000,6.000000,5.510000,5.590000,5.590000,716200
2019-03-14,5.570000,5.640000,5.170000,5.170000,5.170000,911700
2019-03-15,5.120000,5.500000,5.120000,5.440000,5.440000,1092700
2019-03-18,5.410000,5.440000,5.160000,5.340000,5.340000,489700
2019-03-19,5.340000,5.990000,5.240000,5.870000,5.870000,904900
2019-03-20,5.800000,5.950000,5.640000,5.780000,5.780000,437700
2019-03-21,5.710000,6.190000,5.710000,6.130000,6.130000,339100
2019-03-22,6.100000,6.450000,5.780000,5.830000,5.830000,811400
2019-03-25,5.850000,6.080000,5.780000,6.030000,6.030000,337700
2019-03-26,6.040000,6.150000,5.940000,6.000000,6.000000,258500
2019-03-27,5.980000,6.050000,5.750000,5.930000,5.930000,356700
2019-03-28,5.960000,6.090000,5.800000,6.090000,6.090000,327200
2019-03-29,6.130000,6.380000,5.900000,6.330000,6.330000,630800
2019-04-01,6.430000,6.450000,6.080000,6.200000,6.200000,232800
2019-04-02,6.230000,6.270000,6.100000,6.270000,6.270000,246000
2019-04-03,6.370000,6.470000,6.200000,6.410000,6.410000,345100
2019-04-04,6.360000,6.480000,6.240000,6.430000,6.430000,266000
2019-04-05,6.490000,6.550000,6.320000,6.530000,6.530000,339700
2019-04-08,6.520000,6.520000,6.000000,6.100000,6.100000,474000
2019-04-09,6.020000,6.250000,6.020000,6.190000,6.190000,243000
2019-04-10,6.250000,6.490000,6.220000,6.470000,6.470000,271000
2019-04-11,6.450000,6.750000,6.420000,6.520000,6.520000,393200
2019-04-12,6.520000,6.640000,5.910000,5.920000,5.920000,488800
2019-04-15,5.930000,6.300000,5.920000,5.980000,5.980000,356500
2019-04-16,5.970000,6.150000,5.800000,5.960000,5.960000,386500
2019-04-17,6.040000,6.110000,5.870000,6.010000,6.010000,274100
2019-04-18,5.960000,6.120000,5.920000,6.080000,6.080000,241900
2019-04-22,6.100000,6.310000,6.080000,6.210000,6.210000,294900
2019-04-23,6.200000,6.400000,6.180000,6.390000,6.390000,342100
2019-04-24,6.250000,6.640000,6.230000,6.300000,6.300000,376900
2019-04-25,6.300000,6.380000,6.020000,6.100000,6.100000,344100
2019-04-26,6.060000,6.190000,6.050000,6.110000,6.110000,214500
2019-04-29,6.050000,6.460000,6.010000,6.440000,6.440000,294600
2019-04-30,6.470000,6.580000,6.320000,6.380000,6.380000,263800
2019-05-01,6.480000,6.530000,6.290000,6.330000,6.330000,244600
