Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,2.400000,2.490000,2.350000,2.390000,2.308683,199000
2018-11-06,2.410000,2.430000,2.120000,2.150000,2.076848,227300
2018-11-07,2.150000,2.230000,2.120000,2.170000,2.096168,101500
2018-11-08,2.160000,2.190000,2.060000,2.130000,2.057529,238500
2018-11-09,2.260000,2.260000,2.070000,2.100000,2.028549,256500
2018-11-12,2.150000,2.180000,2.080000,2.120000,2.047869,179500
2018-11-13,2.130000,2.200000,2.090000,2.100000,2.028549,133300
2018-11-14,2.110000,2.160000,2.080000,2.130000,2.057529,220900
2018-11-15,2.110000,2.200000,2.100000,2.150000,2.076848,138200
2018-11-16,2.150000,2.150000,2.050000,2.110000,2.038209,201400
2018-11-19,2.110000,2.200000,2.080000,2.130000,2.057529,90900
2018-11-20,2.120000,2.170000,2.050000,2.150000,2.076848,230500
2018-11-21,2.140000,2.350000,2.140000,2.340000,2.260384,185700
2018-11-23,2.290000,2.300000,2.200000,2.260000,2.183106,133000
2018-11-26,2.280000,2.300000,2.160000,2.200000,2.125147,96500
2018-11-27,2.220000,2.220000,2.090000,2.110000,2.038209,138200
2018-11-28,2.120000,2.210000,2.080000,2.180000,2.105828,202400
2018-11-29,2.160000,2.180000,2.100000,2.140000,2.067189,73500
2018-11-30,2.140000,2.140000,2.030000,2.050000,1.980251,193000
2018-12-03,2.110000,2.120000,2.030000,2.100000,2.048535,143100
2018-12-04,2.090000,2.100000,1.900000,1.910000,1.863192,187400
2018-12-06,1.930000,2.000000,1.780000,1.850000,1.804662,269900
2018-12-07,1.870000,1.900000,1.740000,1.750000,1.707113,115200
2018-12-10,1.810000,1.820000,1.670000,1.730000,1.687603,241200
2018-12-11,1.740000,1.780000,1.630000,1.670000,1.629073,144000
2018-12-12,1.690000,1.790000,1.650000,1.780000,1.736377,221500
2018-12-13,1.780000,2.010000,1.780000,1.960000,1.911966,462300
2018-12-14,1.900000,2.120000,1.900000,2.070000,2.019270,464900
2018-12-17,2.070000,2.100000,2.020000,2.050000,1.999761,232400
2018-12-18,2.050000,2.050000,1.870000,1.880000,1.833927,160500
2018-12-19,1.890000,1.900000,1.790000,1.810000,1.765642,168900
2018-12-20,1.800000,1.840000,1.700000,1.760000,1.716868,165800
2018-12-21,1.760000,1.870000,1.740000,1.870000,1.824172,477500
2018-12-24,1.870000,1.900000,1.820000,1.860000,1.814417,99100
2018-12-26,1.890000,1.980000,1.780000,1.980000,1.931476,174400
2018-12-27,1.940000,2.060000,1.840000,2.050000,1.999761,210700
2018-12-28,2.050000,2.110000,1.960000,1.990000,1.941231,352400
2018-12-31,2.020000,2.080000,1.880000,1.930000,1.882701,173000
2019-01-02,1.910000,2.110000,1.880000,2.090000,2.038780,145100
2019-01-03,2.050000,2.070000,1.960000,1.970000,1.921721,106400
2019-01-04,2.010000,2.110000,1.990000,2.080000,2.029026,112800
2019-01-07,2.090000,2.300000,2.050000,2.230000,2.175349,206500
2019-01-08,2.300000,2.350000,2.240000,2.310000,2.253389,261500
2019-01-09,2.310000,2.350000,2.200000,2.270000,2.214369,129600
2019-01-10,2.240000,2.370000,2.200000,2.310000,2.253389,251100
