Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,17650.000000,17650.000000,17600.000000,17650.000000,17650.000000,15810
2018-11-06,17650.000000,17650.000000,17650.000000,17650.000000,17650.000000,0
2018-11-07,17650.000000,17650.000000,17650.000000,17650.000000,17650.000000,0
2018-11-08,18800.000000,18800.000000,18000.000000,18800.000000,18800.000000,110
2018-11-09,19500.000000,19500.000000,19500.000000,19500.000000,19500.000000,10
2018-11-12,19700.000000,19700.000000,19700.000000,19700.000000,19700.000000,130
2018-11-13,19000.000000,19000.000000,19000.000000,19000.000000,19000.000000,200
2018-11-14,19000.000000,19000.000000,19000.000000,19000.000000,19000.000000,0
2018-11-15,19000.000000,19000.000000,19000.000000,19000.000000,19000.000000,40
2018-11-16,19000.000000,19700.000000,19000.000000,19700.000000,19700.000000,22650
2018-11-19,19500.000000,20000.000000,19500.000000,20000.000000,20000.000000,20300
2018-11-20,20000.000000,20000.000000,20000.000000,20000.000000,20000.000000,0
2018-11-21,20000.000000,20700.000000,20000.000000,20700.000000,20700.000000,480
2018-11-23,20000.000000,21800.000000,20000.000000,21800.000000,21800.000000,220
2018-11-26,21000.000000,22800.000000,20300.000000,20600.000000,20600.000000,40550
2018-11-27,20000.000000,20000.000000,19500.000000,19500.000000,19500.000000,3290
2018-11-28,18500.000000,20850.000000,18500.000000,20850.000000,20850.000000,30
2018-11-29,21000.000000,21000.000000,20000.000000,20000.000000,20000.000000,6500
2018-11-30,20000.000000,20000.000000,20000.000000,20000.000000,20000.000000,0
2018-12-03,21000.000000,21000.000000,21000.000000,21000.000000,21000.000000,10
2018-12-04,21000.000000,21000.000000,21000.000000,21000.000000,21000.000000,12100
2018-12-06,21000.000000,21000.000000,21000.000000,21000.000000,21000.000000,0
2018-12-07,21000.000000,21000.000000,21000.000000,21000.000000,21000.000000,950
2018-12-10,20050.000000,20050.000000,20050.000000,20050.000000,20050.000000,330
2018-12-11,20050.000000,20050.000000,20050.000000,20050.000000,20050.000000,40
2018-12-12,20050.000000,20050.000000,20050.000000,20050.000000,20050.000000,0
2018-12-13,20900.000000,21000.000000,20900.000000,21000.000000,21000.000000,11430
2018-12-14,21000.000000,21000.000000,21000.000000,21000.000000,21000.000000,0
2018-12-17,20000.000000,20000.000000,20000.000000,20000.000000,20000.000000,300
2018-12-18,20000.000000,20000.000000,20000.000000,20000.000000,20000.000000,0
2018-12-19,20000.000000,20000.000000,20000.000000,20000.000000,20000.000000,0
2018-12-20,20000.000000,20000.000000,20000.000000,20000.000000,20000.000000,0
