Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,4.550000,5.016000,4.550000,4.630000,4.630000,64100
2018-11-06,4.630000,5.000000,4.630000,4.680000,4.680000,31400
2018-11-07,4.700000,4.890000,4.670000,4.690000,4.690000,5000
2018-11-08,4.780000,4.900000,4.690000,4.900000,4.900000,3700
2018-11-09,5.040000,5.040000,4.907200,4.907200,4.907200,1200
2018-11-12,4.850000,4.850000,4.560000,4.800000,4.800000,15800
2018-11-13,4.660000,4.660000,4.550000,4.660000,4.660000,8100
2018-11-14,3.820000,4.490000,3.820000,4.210000,4.210000,108400
2018-11-15,4.210000,4.380000,4.100100,4.380000,4.380000,8200
2018-11-16,4.340000,4.340000,4.100000,4.100000,4.100000,8800
2018-11-19,4.050000,4.100000,3.950000,3.960000,3.960000,44800
2018-11-20,3.940000,4.130000,3.916100,4.130000,4.130000,22500
2018-11-21,4.110000,4.110000,3.919500,4.110000,4.110000,6900
2018-11-23,4.090000,4.090000,3.970000,3.970000,3.970000,2300
2018-11-26,3.910000,3.950000,3.800000,3.800000,3.800000,21000
2018-11-27,3.800000,3.810000,3.631300,3.750000,3.750000,39300
2018-11-28,3.780000,3.980000,3.780000,3.960000,3.960000,25100
2018-11-29,3.890000,3.990000,3.650000,3.760000,3.760000,13900
2018-11-30,3.780000,4.060000,3.700000,3.820000,3.820000,12700
2018-12-03,3.710000,3.962100,3.700000,3.700000,3.700000,15200
2018-12-04,3.650000,3.846100,3.650000,3.700000,3.700000,10600
2018-12-06,3.780000,4.060000,3.700000,3.700000,3.700000,20800
2018-12-07,3.700000,3.990000,3.700000,3.800000,3.800000,15700
2018-12-10,3.840000,3.990000,3.670000,3.870000,3.870000,24800
2018-12-11,3.870000,4.060000,3.688400,3.900000,3.900000,21300
2018-12-12,3.800000,4.080000,3.790000,4.000000,4.000000,25000
2018-12-13,3.970000,4.020000,3.880000,3.980000,3.980000,14000
2018-12-14,3.890000,4.018200,3.820000,3.950000,3.950000,6800
2018-12-17,3.849100,3.920000,3.750000,3.760000,3.760000,18600
2018-12-18,3.850000,3.970000,3.760000,3.760000,3.760000,11400
2018-12-19,3.800000,3.931700,3.770000,3.790000,3.790000,10100
2018-12-20,3.760000,3.890000,3.610000,3.620000,3.620000,21000
2018-12-21,3.620000,3.650800,3.510000,3.540000,3.540000,17600
2018-12-24,3.500000,3.550000,3.000000,3.430000,3.430000,12600
2018-12-26,3.500000,3.500000,3.000000,3.000000,3.000000,31800
2018-12-27,3.000000,3.565000,3.000000,3.400000,3.400000,18100
2018-12-28,3.380000,3.384000,3.020000,3.070000,3.070000,14800
2018-12-31,3.230000,3.578000,3.070000,3.070000,3.070000,26100
2019-01-02,3.100000,3.600000,3.100000,3.600000,3.600000,13500
2019-01-03,3.550000,3.593200,3.170000,3.320000,3.320000,6100
2019-01-04,3.310000,3.574800,3.170000,3.170000,3.170000,6500
2019-01-07,3.250000,3.640000,3.250000,3.640000,3.640000,16700
