Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,2.560000,2.629000,2.500000,2.510000,2.510000,363900
2018-11-06,2.480000,2.800000,2.480000,2.620000,2.620000,526500
2018-11-07,2.610000,2.717000,2.540000,2.650000,2.650000,341100
2018-11-08,2.650000,2.780000,2.570000,2.640000,2.640000,480400
2018-11-09,2.700000,2.700000,2.530000,2.630000,2.630000,236800
2018-11-12,2.610000,2.612000,2.400000,2.410000,2.410000,278500
2018-11-13,2.410000,2.450000,1.950000,2.080000,2.080000,544300
2018-11-14,2.100000,2.180000,1.950000,1.990000,1.990000,207900
2018-11-15,2.000000,2.051000,1.820000,1.910000,1.910000,262200
2018-11-16,1.870000,1.980000,1.840000,1.850000,1.850000,147500
2018-11-19,1.860000,1.939000,1.750000,1.830000,1.830000,124100
2018-11-20,1.760000,1.800000,1.660000,1.730000,1.730000,186100
2018-11-21,1.720000,1.780000,1.680000,1.740000,1.740000,106500
2018-11-23,1.690000,1.780000,1.680000,1.690000,1.690000,69000
2018-11-26,1.700000,1.780000,1.610000,1.720000,1.720000,200900
2018-11-27,1.710000,1.740000,1.630000,1.660000,1.660000,99700
2018-11-28,1.670000,1.760000,1.540000,1.590000,1.590000,192800
2018-11-29,1.600000,1.650000,1.530000,1.650000,1.650000,143500
2018-11-30,1.650000,1.760000,1.650000,1.690000,1.690000,217600
2018-12-03,1.860000,2.040000,1.720000,1.990000,1.990000,807000
2018-12-04,2.020000,2.350000,2.000000,2.100000,2.100000,743200
2018-12-06,1.890000,2.100000,1.800000,2.060000,2.060000,294800
2018-12-07,2.010000,2.034000,1.890000,1.930000,1.930000,93900
2018-12-10,1.920000,2.000000,1.790000,1.840000,1.840000,94200
2018-12-11,1.860000,1.924000,1.800000,1.900000,1.900000,80200
2018-12-12,1.860000,1.904000,1.780000,1.820000,1.820000,109700
2018-12-13,1.820000,1.828000,1.650000,1.690000,1.690000,173400
2018-12-14,1.650000,1.750000,1.600000,1.610000,1.610000,105900
2018-12-17,1.610000,1.629000,1.500000,1.500000,1.500000,83200
2018-12-18,1.500000,1.500000,1.300000,1.370000,1.370000,167200
2018-12-19,1.370000,1.470000,1.300000,1.300000,1.300000,95900
2018-12-20,1.300000,1.431000,1.300000,1.330000,1.330000,116700
2018-12-21,1.320000,1.430000,1.140000,1.140000,1.140000,181500
2018-12-24,1.160000,1.300000,1.140000,1.160000,1.160000,89800
2018-12-26,1.160000,1.230000,1.030000,1.060000,1.060000,195500
2018-12-27,1.040000,1.140000,1.000000,1.030000,1.030000,167600
2018-12-28,1.370000,3.500000,1.350000,2.270000,2.270000,40807200
2018-12-31,2.930000,3.440000,2.470000,2.650000,2.650000,33357000
2019-01-02,2.930000,3.100000,2.510000,2.820000,2.820000,8396000
2019-01-03,2.750000,3.100000,2.510000,2.580000,2.580000,5803800
2019-01-04,2.620000,2.730000,2.350000,2.590000,2.590000,2157100
2019-01-07,2.600000,2.610000,2.280000,2.370000,2.370000,1205800
2019-01-08,2.360000,3.150000,2.320000,3.120000,3.120000,5671200
2019-01-09,3.150000,3.300000,2.800000,2.830000,2.830000,3421800
2019-01-10,2.900000,3.050000,2.720000,2.870000,2.870000,1425600
2019-01-11,2.840000,3.080000,2.730000,2.860000,2.860000,1502800
2019-01-14,2.820000,2.890000,2.580000,2.610000,2.610000,687300
2019-01-15,2.610000,2.630000,2.440000,2.490000,2.490000,677400
2019-01-16,2.490000,3.160000,2.430000,2.830000,2.830000,3786600
2019-01-17,2.800000,2.850000,2.570000,2.710000,2.710000,705700
2019-01-18,2.690000,2.980000,2.620000,2.670000,2.670000,1180500
2019-01-22,2.750000,2.810000,2.570000,2.720000,2.720000,695300
2019-01-23,2.700000,2.800000,2.640000,2.740000,2.740000,380600
2019-01-24,2.730000,3.400000,2.687000,3.040000,3.040000,10736600
2019-01-25,3.070000,3.360000,2.800000,2.930000,2.930000,5996600
2019-01-28,2.890000,2.950000,2.670000,2.810000,2.810000,836900
2019-01-29,2.780000,2.791000,2.650000,2.660000,2.660000,646600
2019-01-30,2.670000,2.830000,2.670000,2.760000,2.760000,562600
2019-01-31,2.900000,3.100000,2.800000,2.870000,2.870000,2105700
2019-02-01,2.850000,2.920000,2.750000,2.810000,2.810000,449500
2019-02-04,2.790000,2.819000,2.690000,2.720000,2.720000,424500
2019-02-05,2.740000,2.828000,2.700000,2.740000,2.740000,226200
2019-02-06,2.740000,2.940000,2.740000,2.800000,2.800000,718100
2019-02-07,2.790000,2.800000,2.700000,2.760000,2.760000,306300
2019-02-08,2.750000,2.750000,2.620000,2.630000,2.630000,380400
2019-02-11,2.610000,2.633000,2.400000,2.550000,2.550000,537300
2019-02-12,2.550000,2.647000,2.530000,2.620000,2.620000,144200
2019-02-13,2.600000,2.632000,2.530000,2.530000,2.530000,198000
2019-02-14,2.520000,2.590000,2.435000,2.450000,2.450000,255300
2019-02-15,2.470000,2.499000,2.300000,2.370000,2.370000,550400
2019-02-19,2.410000,2.490000,2.350000,2.390000,2.390000,175000
2019-02-20,2.410000,2.410000,2.290000,2.300000,2.300000,197600
2019-02-21,2.340000,2.408000,2.310000,2.400000,2.400000,248400
2019-02-22,2.390000,2.500000,2.240000,2.390000,2.390000,356200
2019-02-25,2.380000,2.620000,2.360000,2.500000,2.500000,536700
2019-02-26,2.480000,2.480000,2.350000,2.360000,2.360000,182000
2019-02-27,2.560000,2.560000,2.350000,2.380000,2.380000,233700
2019-02-28,2.390000,2.420000,2.210000,2.370000,2.370000,312000
2019-03-01,2.370000,2.420000,2.200000,2.250000,2.250000,468700
2019-03-04,2.300000,2.350000,2.100000,2.250000,2.250000,215500
2019-03-05,2.280000,2.289000,2.110000,2.250000,2.250000,378100
2019-03-06,2.230000,2.230000,2.070000,2.150000,2.150000,226800
2019-03-07,2.130000,2.235000,2.070000,2.180000,2.180000,219000
2019-03-08,2.150000,2.220000,2.070000,2.090000,2.090000,203800
2019-03-11,2.120000,2.220000,2.080000,2.130000,2.130000,140500
2019-03-12,2.100000,2.350000,2.100000,2.180000,2.180000,514700
2019-03-13,2.200000,2.200000,2.100000,2.140000,2.140000,114600
2019-03-14,2.130000,2.350000,2.110000,2.310000,2.310000,499500
2019-03-15,2.300000,2.450000,2.250000,2.300000,2.300000,377600
2019-03-18,1.990000,2.030000,1.890000,2.000000,2.000000,1483000
2019-03-19,2.000000,2.040000,1.860000,1.970000,1.970000,697400
2019-03-20,1.930000,1.970000,1.830000,1.840000,1.840000,414400
2019-03-21,1.850000,1.870000,1.710000,1.720000,1.720000,472400
2019-03-22,1.750000,1.780000,1.710000,1.740000,1.740000,291400
2019-03-25,1.720000,1.750000,1.700000,1.720000,1.720000,214800
2019-03-26,1.710000,1.760000,1.690000,1.700000,1.700000,162900
2019-03-27,1.700000,1.720000,1.600000,1.670000,1.670000,266100
2019-03-28,1.670000,1.700000,1.630000,1.680000,1.680000,151500
2019-03-29,1.800000,1.910000,1.710000,1.710000,1.710000,2829400
2019-04-01,1.710000,1.733000,1.560000,1.680000,1.680000,1392600
2019-04-02,1.710000,1.730000,1.630000,1.710000,1.710000,705200
2019-04-03,1.710000,1.800000,1.620000,1.680000,1.680000,1312600
2019-04-04,1.660000,1.700000,1.540000,1.580000,1.580000,851100
2019-04-05,1.600000,1.620000,1.430000,1.590000,1.590000,836600
2019-04-08,1.610000,1.610000,1.550000,1.550000,1.550000,256400
2019-04-09,1.590000,1.599000,1.510000,1.510000,1.510000,471000
2019-04-10,1.510000,1.550000,1.500000,1.500000,1.500000,256200
2019-04-11,1.530000,1.530000,1.450000,1.460000,1.460000,336400
2019-04-12,1.490000,1.530000,1.480000,1.510000,1.510000,331100
2019-04-15,1.520000,1.520000,1.450000,1.460000,1.460000,179300
2019-04-16,1.450000,1.460000,1.330000,1.340000,1.340000,487300
2019-04-17,1.350000,1.400000,1.261000,1.320000,1.320000,450300
2019-04-18,1.340000,1.380000,1.280000,1.305000,1.305000,201000
2019-04-22,1.290000,1.370000,1.290000,1.330000,1.330000,334800
2019-04-23,1.380000,1.400000,1.310000,1.350000,1.350000,295800
2019-04-24,1.380000,1.383000,1.280000,1.340000,1.340000,408800
2019-04-25,1.340000,1.370000,1.280000,1.325000,1.325000,241400
2019-04-26,1.320000,1.347000,1.310000,1.310000,1.310000,159600
2019-04-29,1.330000,1.650000,1.310000,1.450000,1.450000,3539300
2019-04-30,1.490000,1.545000,1.420000,1.500000,1.500000,1103200
2019-05-01,1.490000,1.500000,1.380000,1.380000,1.380000,434000
2019-05-02,1.400000,1.640000,1.400000,1.540000,1.540000,1856200
2019-05-03,1.570000,1.672000,1.500000,1.540000,1.540000,1447100
2019-05-06,1.500000,1.580000,1.480000,1.510000,1.510000,665300
2019-05-07,1.540000,1.560000,1.460000,1.480000,1.480000,323900
2019-05-08,1.460000,1.500000,1.430000,1.460000,1.460000,557100
2019-05-09,1.440000,1.470000,1.360000,1.420000,1.420000,324300
2019-05-10,1.420000,1.490000,1.413000,1.460000,1.460000,135200
2019-05-13,1.460000,1.460000,1.350000,1.360000,1.360000,372100
2019-05-14,1.350000,1.480000,1.350000,1.450000,1.450000,382100
2019-05-15,1.460000,1.550000,1.430000,1.460000,1.460000,896600
2019-05-16,1.510000,1.670000,1.480000,1.650000,1.650000,2542300
2019-05-17,1.600000,1.630000,1.520000,1.590000,1.590000,1262000
2019-05-20,1.630000,1.630000,1.520000,1.560000,1.560000,850800
2019-05-21,1.580000,1.750000,1.562000,1.610000,1.610000,1360800
2019-05-22,1.630000,1.870000,1.620000,1.830000,1.830000,3897200
2019-05-23,1.830000,1.910000,1.700000,1.740000,1.740000,1837900
2019-05-24,1.750000,1.780000,1.650000,1.720000,1.720000,822600
2019-05-28,1.690000,1.840000,1.680000,1.750000,1.750000,1212100
2019-05-29,1.730000,1.853000,1.700000,1.750000,1.750000,1115400
2019-05-30,1.820000,1.950000,1.770000,1.820000,1.820000,2792600
2019-05-31,1.800000,1.900000,1.790000,1.830000,1.830000,794500
2019-06-03,1.800000,1.830000,1.630000,1.690000,1.690000,1029900
2019-06-04,1.690000,1.750000,1.630000,1.700000,1.700000,447000
2019-06-05,1.720000,1.740000,1.650000,1.670000,1.670000,436200
2019-06-06,1.890000,1.900000,1.410000,1.540000,1.540000,6264000
2019-06-07,1.570000,1.570000,1.300000,1.400000,1.400000,1123600
2019-06-10,1.400000,1.420000,1.330000,1.330000,1.330000,422900
2019-06-11,1.330000,1.350000,1.250000,1.290000,1.290000,536300
2019-06-12,1.280000,1.510000,1.261000,1.470000,1.470000,699500
2019-06-13,1.460000,1.460000,1.400000,1.430000,1.430000,159600
2019-06-14,1.430000,1.490000,1.370000,1.390000,1.390000,112400
2019-06-17,1.470000,1.470000,1.390000,1.440000,1.440000,203300
2019-06-18,1.430000,1.440000,1.400000,1.410000,1.410000,185200
2019-06-19,1.400000,1.430000,1.340000,1.370000,1.370000,202200
2019-06-20,1.400000,1.400000,1.350000,1.350000,1.350000,206200
2019-06-21,1.350000,1.400000,1.340000,1.380000,1.380000,90300
2019-06-24,1.380000,1.380000,1.300000,1.320000,1.320000,188900
2019-06-25,1.360000,1.380000,1.320000,1.350000,1.350000,115500
2019-06-26,1.420000,1.446000,1.380000,1.430000,1.430000,312100
2019-06-27,1.440000,1.440000,1.420000,1.420000,1.420000,235800
2019-06-28,1.490000,1.490000,1.390000,1.430000,1.430000,236900
2019-07-01,1.480000,1.480000,1.390000,1.420000,1.420000,183800
2019-07-02,1.410000,1.560000,1.370000,1.450000,1.450000,893000
2019-07-03,1.470000,1.490000,1.410000,1.420000,1.420000,165400
2019-07-05,1.440000,1.440000,1.400000,1.430000,1.430000,192800
2019-07-08,1.370000,1.460000,1.330000,1.430000,1.430000,353600
2019-07-09,1.410000,1.425000,1.370000,1.380000,1.380000,155300
2019-07-10,1.400000,1.490000,1.390000,1.430000,1.430000,377700
2019-07-11,1.460000,1.490000,1.420000,1.430000,1.430000,201800
2019-07-12,1.420000,1.450000,1.370000,1.370000,1.370000,289200
2019-07-15,1.400000,1.420000,1.370000,1.370000,1.370000,283900
2019-07-16,1.460000,1.680000,1.430000,1.550000,1.550000,1830200
2019-07-17,1.560000,1.590000,1.460000,1.490000,1.490000,423600
2019-07-18,1.490000,1.520000,1.410000,1.410000,1.410000,236100
2019-07-19,1.410000,1.450000,1.400000,1.400000,1.400000,93100
2019-07-22,1.440000,1.441000,1.400000,1.400000,1.400000,108200
2019-07-23,1.400000,1.420000,1.380000,1.400000,1.400000,118900
2019-07-24,1.380000,1.430000,1.380000,1.400000,1.400000,175400
2019-07-25,1.402000,1.414000,1.380000,1.400000,1.400000,95300
2019-07-26,1.390000,1.419000,1.380000,1.380000,1.380000,88400
2019-07-29,1.370000,1.400000,1.370000,1.380000,1.380000,141500
2019-07-30,1.400000,1.490000,1.380000,1.433000,1.433000,592300
2019-07-31,1.390000,1.430000,1.380000,1.400000,1.400000,153100
2019-08-01,1.410000,1.410000,1.310000,1.320000,1.320000,311100
2019-08-02,1.300000,1.320000,1.280000,1.300000,1.300000,237000
2019-08-05,1.280000,1.380000,1.230000,1.330000,1.330000,302500
2019-08-06,1.330000,1.350000,1.274000,1.290000,1.290000,111200
2019-08-07,1.300000,1.330000,1.230000,1.320000,1.320000,208500
2019-08-08,1.330000,1.370000,1.280000,1.330000,1.330000,161000
2019-08-09,1.340000,1.370000,1.300000,1.360000,1.360000,71500
2019-08-12,1.350000,1.420000,1.310000,1.350000,1.350000,187300
2019-08-13,1.370000,1.390000,1.310000,1.330000,1.330000,181400
2019-08-14,1.330000,1.330000,1.260000,1.270000,1.270000,184800
2019-08-15,1.260000,1.310000,1.260000,1.260000,1.260000,304300
2019-08-16,1.260000,1.340000,1.260000,1.320000,1.320000,206300
2019-08-19,1.310000,1.370000,1.270000,1.290000,1.290000,465500
2019-08-20,1.300000,1.370000,1.290000,1.350000,1.350000,385200
2019-08-21,1.370000,1.400000,1.330000,1.390000,1.390000,312800
2019-08-22,1.430000,1.430000,1.360000,1.370000,1.370000,330600
2019-08-23,1.370000,1.380000,1.330000,1.340000,1.340000,85600
2019-08-26,1.360000,1.400000,1.330000,1.350000,1.350000,158000
2019-08-27,1.340000,1.397000,1.327000,1.350000,1.350000,186300
2019-08-28,1.340000,1.370000,1.300000,1.300000,1.300000,171200
2019-08-29,1.300000,1.331000,1.300000,1.300000,1.300000,48900
2019-08-30,1.300000,1.320000,1.280000,1.309000,1.309000,77600
2019-09-03,1.290000,1.320000,1.280000,1.280000,1.280000,61800
2019-09-04,1.290000,1.310000,1.280000,1.290000,1.290000,122100
2019-09-05,1.350000,1.490000,1.330000,1.380000,1.380000,973500
2019-09-06,1.380000,1.380000,1.350000,1.356000,1.356000,139300
2019-09-09,1.340000,1.370000,1.330000,1.360000,1.360000,137000
2019-09-10,1.340000,1.400000,1.340000,1.380000,1.380000,132400
2019-09-11,1.460000,1.500000,1.410000,1.470000,1.470000,910700
2019-09-12,1.580000,1.720000,1.510000,1.600000,1.600000,1306300
2019-09-13,1.620000,1.670000,1.550000,1.615000,1.615000,540200
2019-09-16,1.730000,1.800000,1.690000,1.770000,1.770000,709700
2019-09-17,1.820000,1.820000,1.650000,1.737000,1.737000,418600
2019-09-18,1.800000,1.930000,1.620000,1.720000,1.720000,2725600
2019-09-19,1.700000,1.753000,1.558000,1.590000,1.590000,550200
2019-09-20,1.610000,1.670000,1.440000,1.570000,1.570000,714300
2019-09-23,1.550000,1.599000,1.470000,1.480000,1.480000,228900
2019-09-24,1.470000,1.530000,1.420000,1.515000,1.515000,425800
2019-09-25,1.500000,1.520000,1.452000,1.460000,1.460000,86400
2019-09-26,1.460000,1.470000,1.400000,1.440000,1.440000,183400
2019-09-27,1.440000,1.500000,1.440000,1.460000,1.460000,131500
2019-09-30,1.540000,1.570000,1.500000,1.550000,1.550000,326800
