Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,3.970000,4.250000,3.850000,4.040000,4.040000,106600
2018-11-06,3.990000,4.110000,3.940000,3.980000,3.980000,91000
2018-11-07,3.960000,4.020000,3.900000,3.950000,3.950000,48600
2018-11-08,4.040000,4.050000,3.900000,3.980000,3.980000,82300
2018-11-09,3.970000,3.970000,3.610000,3.650000,3.650000,90700
2018-11-12,3.660000,3.660000,3.390000,3.430000,3.430000,68500
2018-11-13,3.420000,3.440000,3.270000,3.330000,3.330000,119200
2018-11-14,3.360000,3.360000,3.170000,3.190000,3.190000,107500
2018-11-15,3.200000,3.440000,3.160000,3.340000,3.340000,74800
2018-11-16,3.350000,3.410000,3.160000,3.210000,3.210000,44900
2018-11-19,3.200000,3.230000,3.010000,3.050000,3.050000,50200
2018-11-20,3.040000,3.150000,3.000000,3.040000,3.040000,44200
2018-11-21,3.050000,3.200000,3.050000,3.120000,3.120000,49100
2018-11-23,3.100000,3.120000,3.020000,3.020000,3.020000,17400
2018-11-26,3.000000,3.100000,2.860000,2.900000,2.900000,87100
2018-11-27,2.770000,2.860000,2.560000,2.660000,2.660000,154900
2018-11-28,2.670000,3.200000,2.660000,2.910000,2.910000,137500
2018-11-29,2.990000,3.020000,2.560000,2.830000,2.830000,107700
2018-11-30,2.840000,2.910000,2.760000,2.830000,2.830000,28000
2018-12-03,2.880000,2.880000,2.700000,2.700000,2.700000,38400
2018-12-04,2.700000,2.840000,2.580000,2.600000,2.600000,114200
2018-12-06,2.660000,2.660000,2.520000,2.540000,2.540000,79500
2018-12-07,2.560000,3.370000,2.550000,2.990000,2.990000,863700
2018-12-10,2.920000,3.120000,2.860000,2.930000,2.930000,124800
2018-12-11,2.930000,3.020000,2.740000,2.800000,2.800000,53800
2018-12-12,2.820000,2.850000,2.750000,2.830000,2.830000,69300
2018-12-13,2.900000,2.990000,2.760000,2.780000,2.780000,113000
2018-12-14,2.770000,2.810000,2.670000,2.810000,2.810000,57900
2018-12-17,2.780000,2.890000,2.650000,2.850000,2.850000,91900
2018-12-18,2.830000,3.060000,2.830000,3.060000,3.060000,233300
2018-12-19,3.020000,3.130000,2.960000,3.100000,3.100000,135200
2018-12-20,3.030000,3.050000,2.850000,2.890000,2.890000,113700
2018-12-21,2.900000,2.900000,2.540000,2.610000,2.610000,172800
2018-12-24,2.520000,2.570000,2.490000,2.530000,2.530000,47700
2018-12-26,2.540000,2.540000,2.410000,2.450000,2.450000,135600
2018-12-27,2.450000,2.500000,2.330000,2.330000,2.330000,111600
2018-12-28,2.300000,2.440000,2.260000,2.350000,2.350000,154300
2018-12-31,2.330000,2.440000,2.190000,2.230000,2.230000,172200
2019-01-02,2.230000,2.350000,2.150000,2.340000,2.340000,116700
2019-01-03,2.330000,2.450000,2.240000,2.310000,2.310000,180200
2019-01-04,2.320000,2.600000,2.300000,2.550000,2.550000,171800
2019-01-07,2.550000,2.720000,2.520000,2.710000,2.710000,97600
2019-01-08,2.700000,2.740000,2.620000,2.660000,2.660000,85700
2019-01-09,2.670000,2.940000,2.660000,2.870000,2.870000,201500
2019-01-10,2.870000,3.160000,2.820000,3.140000,3.140000,202100
2019-01-11,3.150000,3.290000,2.980000,3.220000,3.220000,114800
2019-01-14,3.310000,4.600000,3.310000,4.450000,4.450000,1204100
2019-01-15,4.400000,5.270000,4.300000,4.580000,4.580000,1935800
2019-01-16,4.470000,4.900000,4.150000,4.600000,4.600000,476900
2019-01-17,4.590000,4.750000,4.300000,4.370000,4.370000,183400
2019-01-18,4.370000,4.460000,3.970000,4.200000,4.200000,300700
2019-01-22,4.130000,4.280000,3.970000,4.100000,4.100000,134000
2019-01-23,4.090000,4.150000,4.000000,4.050000,4.050000,64200
2019-01-24,4.020000,4.570000,4.020000,4.330000,4.330000,154700
2019-01-25,4.330000,4.430000,4.200000,4.260000,4.260000,75200
2019-01-28,4.140000,4.600000,4.140000,4.500000,4.500000,100500
2019-01-29,4.500000,4.780000,4.500000,4.670000,4.670000,126800
2019-01-30,4.660000,4.830000,4.610000,4.720000,4.720000,58900
2019-01-31,4.660000,4.930000,4.660000,4.780000,4.780000,96500
2019-02-01,4.770000,4.950000,4.650000,4.930000,4.930000,73700
2019-02-04,4.880000,5.020000,4.830000,4.930000,4.930000,61200
2019-02-05,4.900000,5.350000,4.900000,5.230000,5.230000,197100
2019-02-06,5.260000,5.300000,4.940000,5.250000,5.250000,77900
2019-02-07,5.270000,5.300000,4.810000,5.050000,5.050000,175700
2019-02-08,5.090000,5.250000,4.800000,5.200000,5.200000,52500
2019-02-11,5.190000,5.370000,5.010000,5.220000,5.220000,75600
2019-02-12,5.340000,5.340000,5.120000,5.180000,5.180000,40500
2019-02-13,5.110000,5.350000,5.110000,5.190000,5.190000,46600
2019-02-14,5.140000,5.290000,5.130000,5.200000,5.200000,37400
2019-02-15,5.250000,5.300000,5.100000,5.100000,5.100000,83000
2019-02-19,5.160000,5.490000,5.050000,5.480000,5.480000,161600
2019-02-20,5.500000,5.780000,5.270000,5.270000,5.270000,135000
2019-02-21,5.200000,5.250000,4.970000,4.970000,4.970000,71200
2019-02-22,4.980000,5.040000,4.830000,4.980000,4.980000,55100
2019-02-25,4.970000,5.220000,4.820000,5.000000,5.000000,108700
2019-02-26,4.990000,5.150000,4.950000,4.950000,4.950000,40300
2019-02-27,5.170000,5.240000,4.960000,5.030000,5.030000,53100
2019-02-28,5.000000,5.030000,4.740000,4.820000,4.820000,125000
2019-03-01,4.880000,4.900000,4.710000,4.750000,4.750000,106800
2019-03-04,4.770000,4.810000,4.370000,4.560000,4.560000,215300
2019-03-05,4.640000,4.930000,4.570000,4.870000,4.870000,158800
2019-03-06,4.870000,4.900000,4.630000,4.700000,4.700000,81000
2019-03-07,4.700000,4.770000,4.650000,4.710000,4.710000,35900
2019-03-08,4.730000,4.750000,4.590000,4.750000,4.750000,14900
2019-03-11,4.770000,4.770000,4.640000,4.690000,4.690000,21700
