Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,110.070000,111.410004,109.660004,110.480003,110.480003,270000
2018-11-06,110.220001,113.070000,110.120003,112.349998,112.349998,547300
2018-11-07,113.239998,113.709999,111.199997,113.519997,113.519997,446200
2018-11-08,113.199997,114.430000,112.449997,112.989998,112.989998,411300
2018-11-09,111.949997,112.500000,110.430000,111.169998,111.169998,429300
2018-11-12,111.040001,112.459999,109.940002,111.349998,111.349998,372200
2018-11-13,111.410004,113.669998,111.150002,111.720001,111.720001,434900
2018-11-14,112.629997,115.000000,111.900002,113.620003,113.620003,311500
2018-11-15,112.519997,116.419998,112.150002,116.080002,116.080002,323800
2018-11-16,115.760002,118.110001,115.410004,117.430000,117.430000,294800
2018-11-19,117.220001,118.099998,116.400002,117.059998,117.059998,358700
2018-11-20,115.500000,117.639999,114.370003,116.970001,116.970001,409600
2018-11-21,117.379997,120.470001,117.379997,118.500000,118.500000,359200
2018-11-23,117.330002,119.769997,116.580002,118.699997,118.699997,87100
2018-11-26,119.419998,121.519997,119.230003,120.629997,120.629997,305400
2018-11-27,119.790001,121.120003,118.550003,119.760002,119.760002,387400
2018-11-28,120.580002,122.070000,118.610001,121.650002,121.650002,355900
2018-11-29,120.970001,121.580002,120.160004,120.250000,120.250000,341500
2018-11-30,120.010002,121.889999,120.010002,121.449997,121.449997,449100
2018-12-03,123.709999,123.730003,120.379997,121.430000,121.430000,322000
2018-12-04,121.129997,121.220001,113.309998,113.589996,113.589996,482600
2018-12-06,110.599998,112.379997,107.269997,111.650002,111.650002,882400
2018-12-07,111.669998,113.400002,107.510002,108.059998,108.059998,444600
2018-12-10,108.059998,109.339996,105.120003,106.650002,106.650002,724200
2018-12-11,108.629997,109.760002,105.820000,106.580002,106.580002,512900
2018-12-12,108.349998,109.500000,107.379997,107.639999,107.639999,291500
2018-12-13,108.300003,108.930000,105.199997,105.699997,105.699997,527900
2018-12-14,104.169998,106.720001,102.050003,102.879997,102.879997,444600
2018-12-17,102.910004,104.930000,101.970001,103.089996,103.089996,391200
2018-12-18,102.580002,105.669998,102.279999,105.080002,105.080002,694200
2018-12-19,105.680000,107.489998,103.250000,103.839996,103.839996,492800
2018-12-20,103.110001,105.300003,102.949997,104.300003,104.300003,436500
2018-12-21,104.480003,106.269997,103.599998,103.820000,103.820000,600700
2018-12-24,103.250000,103.769997,100.309998,100.440002,100.440002,207300
2018-12-26,101.059998,104.949997,98.900002,104.860001,104.860001,307300
2018-12-27,102.949997,106.339996,102.910004,106.330002,106.330002,325100
2018-12-28,106.589996,107.739998,105.379997,105.839996,105.839996,219700
2018-12-31,106.110001,107.519997,105.629997,107.339996,107.339996,268000
2019-01-02,105.430000,108.059998,105.059998,107.639999,107.639999,264900
2019-01-03,106.910004,107.059998,102.720001,102.750000,102.750000,455500
2019-01-04,104.389999,107.720001,102.970001,107.320000,107.320000,626400
2019-01-07,106.169998,108.209999,104.739998,106.910004,106.910004,432500
2019-01-08,108.260002,109.989998,107.699997,108.980003,108.980003,380400
2019-01-09,110.239998,110.820000,109.070000,109.720001,109.720001,241600
2019-01-10,107.370003,110.260002,107.099998,110.059998,110.059998,320400
2019-01-11,109.690002,109.830002,107.680000,109.629997,109.629997,274600
2019-01-14,108.690002,111.290001,108.690002,110.430000,110.430000,402200
2019-01-15,110.040001,111.000000,108.300003,108.860001,108.860001,277400
2019-01-16,109.440002,110.769997,108.650002,110.190002,110.190002,562700
2019-01-17,109.750000,111.099998,109.669998,110.489998,110.489998,790700
2019-01-18,111.309998,115.430000,110.669998,114.360001,114.360001,841900
2019-01-22,113.349998,113.599998,110.690002,111.309998,111.309998,319800
2019-01-23,111.709999,112.279999,108.639999,109.379997,109.379997,224900
2019-01-24,109.330002,110.860001,108.089996,110.120003,110.120003,291400
2019-01-25,111.260002,113.300003,110.949997,112.550003,112.550003,460600
2019-01-28,110.949997,112.230003,109.930000,110.430000,110.430000,345200
2019-01-29,111.050003,115.059998,111.050003,114.489998,114.489998,417900
2019-01-30,115.550003,115.550003,112.320000,113.379997,113.379997,279300
2019-01-31,113.360001,114.599998,112.760002,114.230003,114.230003,349900
2019-02-01,114.169998,115.099998,112.949997,114.739998,114.739998,310800
2019-02-04,114.870003,116.180000,114.080002,115.320000,115.320000,217200
2019-02-05,115.620003,116.309998,115.040001,116.209999,116.209999,198400
2019-02-06,115.540001,117.790001,115.529999,117.239998,117.239998,377400
2019-02-07,118.029999,119.550003,116.300003,117.339996,117.339996,400700
2019-02-08,117.339996,117.470001,114.269997,115.300003,115.300003,299200
2019-02-11,115.250000,115.559998,112.980003,113.110001,113.110001,417400
2019-02-12,113.830002,116.059998,113.449997,115.540001,115.540001,430200
2019-02-13,115.949997,118.110001,115.339996,116.980003,116.980003,342900
2019-02-14,116.260002,117.339996,115.680000,116.480003,116.480003,340800
2019-02-15,113.150002,118.550003,112.290001,116.769997,116.769997,536500
2019-02-19,115.750000,116.900002,114.610001,115.910004,115.910004,289900
2019-02-20,115.959999,118.519997,115.919998,117.820000,117.820000,250700
2019-02-21,117.730003,119.050003,116.680000,117.489998,117.489998,173500
2019-02-22,117.930000,119.220001,117.070000,119.070000,119.070000,175600
2019-02-25,120.000000,121.830002,119.489998,121.000000,121.000000,329000
2019-02-26,120.949997,121.570000,120.580002,120.750000,120.750000,271800
2019-02-27,120.559998,138.910004,119.650002,130.490005,130.490005,2817200
2019-02-28,139.270004,142.000000,137.110001,137.529999,137.529999,3071600
2019-03-01,138.649994,140.009995,137.750000,138.830002,138.830002,1064000
2019-03-04,140.000000,140.399994,138.279999,140.130005,140.130005,654900
2019-03-05,139.779999,141.000000,139.779999,140.059998,140.059998,542500
2019-03-06,140.210007,140.929993,140.009995,140.350006,140.350006,501400
2019-03-07,139.740005,140.210007,138.360001,138.440002,138.440002,760600
2019-03-08,137.500000,146.500000,137.500000,142.589996,142.589996,1675000
2019-03-11,142.910004,143.059998,140.979996,141.020004,141.020004,683600
2019-03-12,141.210007,141.210007,138.000000,139.979996,139.979996,1153300
2019-03-13,140.710007,140.970001,139.089996,140.220001,140.220001,308600
2019-03-14,139.919998,140.419998,139.369995,140.009995,140.009995,369600
2019-03-15,140.619995,141.949997,140.190002,140.449997,140.449997,1001600
2019-03-18,141.229996,142.369995,140.110001,141.679993,141.679993,231700
2019-03-19,142.479996,143.210007,140.729996,141.169998,141.169998,270400
2019-03-20,141.520004,142.639999,140.850006,141.309998,141.309998,218700
2019-03-21,140.929993,145.029999,140.929993,144.500000,144.500000,342200
2019-03-22,143.130005,144.619995,142.809998,143.360001,143.360001,468300
2019-03-25,143.229996,143.580002,140.699997,141.029999,141.029999,553800
2019-03-26,141.970001,144.270004,141.940002,142.389999,142.389999,398300
2019-03-27,142.380005,146.679993,141.619995,146.009995,146.009995,860700
2019-03-28,131.000000,132.000000,130.759995,131.479996,131.479996,7805400
2019-03-29,131.509995,132.009995,131.479996,131.830002,131.830002,3862400
2019-04-01,132.149994,132.679993,131.710007,132.000000,132.000000,2673800
2019-04-02,132.149994,132.229996,131.699997,131.800003,131.800003,2725800
2019-04-03,132.270004,132.270004,131.550003,132.000000,132.000000,4826800
2019-04-04,132.000000,133.369995,131.949997,132.830002,132.830002,2643100
2019-04-05,133.199997,133.570007,132.919998,133.020004,133.020004,1469100
2019-04-08,133.100006,133.600006,133.059998,133.350006,133.350006,774500
2019-04-09,133.350006,133.789993,133.240005,133.600006,133.600006,1139400
