Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,172.960007,174.490005,167.279999,169.149994,169.149994,631400
2018-11-06,168.990005,171.619995,166.570007,167.669998,167.669998,512600
2018-11-07,168.899994,172.990005,168.179993,172.460007,172.460007,301700
2018-11-08,172.350006,173.279999,168.990005,169.309998,169.309998,351300
2018-11-09,167.940002,168.360001,162.889999,163.949997,163.949997,781100
2018-11-12,163.669998,168.110001,162.990005,164.970001,164.970001,815900
2018-11-13,165.899994,167.100006,161.529999,161.589996,161.589996,676200
2018-11-14,162.380005,163.389999,157.190002,157.729996,157.729996,587500
2018-11-15,156.669998,162.429993,153.570007,161.429993,161.429993,801700
2018-11-16,160.240005,162.740005,158.770004,159.639999,159.639999,695200
2018-11-19,159.679993,160.220001,153.889999,154.570007,154.570007,495600
2018-11-20,150.309998,153.750000,150.009995,150.559998,150.559998,742000
2018-11-21,151.669998,157.750000,151.610001,156.179993,156.179993,517600
2018-11-23,154.330002,155.009995,151.100006,151.389999,151.389999,249300
2018-11-26,153.100006,156.160004,152.630005,155.419998,155.419998,387200
2018-11-27,154.399994,155.669998,153.070007,154.000000,154.000000,375700
2018-11-28,154.229996,159.149994,154.229996,157.130005,157.130005,459700
2018-11-29,156.750000,157.369995,153.839996,155.419998,155.419998,346700
2018-11-30,155.000000,155.440002,153.250000,154.970001,154.970001,491100
2018-12-03,159.070007,159.399994,156.309998,157.220001,157.220001,434900
2018-12-04,156.919998,158.839996,153.649994,153.880005,153.880005,607800
2018-12-06,150.679993,154.910004,149.399994,154.699997,154.699997,454400
2018-12-07,155.250000,158.139999,152.350006,153.479996,153.479996,574300
2018-12-10,152.630005,155.339996,151.419998,152.720001,152.720001,283600
2018-12-11,151.350006,152.979996,148.320007,150.220001,150.220001,551000
2018-12-12,152.419998,154.940002,151.119995,151.779999,151.779999,308400
2018-12-13,152.429993,152.470001,147.839996,148.679993,148.679993,362500
2018-12-14,147.289993,149.759995,145.309998,146.509995,146.509995,412800
2018-12-17,145.149994,145.449997,140.970001,141.740005,141.740005,512100
2018-12-18,142.509995,143.399994,138.059998,138.809998,138.809998,535000
2018-12-19,139.479996,142.779999,136.610001,136.979996,136.979996,481900
2018-12-20,135.779999,137.110001,132.720001,134.539993,134.539993,881200
2018-12-21,135.220001,137.630005,133.479996,134.419998,134.419998,689800
2018-12-24,132.940002,133.940002,131.350006,131.350006,131.350006,468700
2018-12-26,131.699997,138.110001,131.350006,138.009995,138.009995,425200
2018-12-27,135.220001,140.050003,134.990005,139.970001,139.970001,361300
2018-12-28,140.869995,140.869995,137.039993,137.820007,137.820007,264500
2018-12-31,138.300003,140.690002,137.779999,140.059998,140.059998,290600
2019-01-02,137.600006,140.460007,136.979996,138.720001,138.720001,270900
2019-01-03,136.740005,137.440002,134.360001,134.580002,134.580002,251100
2019-01-04,136.970001,141.990005,136.970001,141.940002,141.940002,474400
2019-01-07,141.119995,146.610001,141.100006,144.679993,144.679993,485600
2019-01-08,146.910004,150.910004,146.550003,150.570007,150.570007,569700
2019-01-09,152.009995,155.619995,151.669998,155.000000,155.000000,522900
2019-01-10,153.339996,156.740005,152.839996,155.940002,155.940002,537900
2019-01-11,155.089996,156.089996,153.210007,155.630005,155.630005,220400
2019-01-14,154.199997,156.160004,154.009995,154.960007,154.960007,238900
2019-01-15,155.089996,157.119995,154.630005,154.820007,154.820007,343000
2019-01-16,155.710007,158.669998,155.639999,157.509995,157.509995,348900
2019-01-17,156.600006,160.169998,156.600006,158.169998,158.169998,463900
2019-01-18,160.199997,162.619995,159.020004,161.820007,161.820007,310300
2019-01-22,160.899994,161.050003,157.279999,158.339996,158.339996,444900
2019-01-23,159.679993,159.949997,154.869995,157.800003,157.800003,414000
2019-01-24,157.380005,159.500000,157.190002,159.270004,159.270004,636900
2019-01-25,160.990005,163.009995,159.539993,162.149994,162.149994,632700
2019-01-28,160.690002,161.970001,157.190002,160.429993,160.429993,879900
2019-01-29,160.529999,161.330002,156.399994,157.210007,157.210007,457300
2019-01-30,158.300003,160.199997,155.970001,159.520004,159.520004,379500
2019-01-31,159.679993,162.300003,159.679993,161.330002,161.330002,408100
2019-02-01,161.160004,163.869995,161.160004,163.000000,163.000000,221200
2019-02-04,163.100006,164.449997,162.509995,163.770004,163.770004,170400
2019-02-05,164.130005,164.639999,161.960007,163.779999,163.779999,343600
2019-02-06,163.869995,166.009995,162.580002,165.229996,165.229996,236400
2019-02-07,163.690002,165.750000,163.639999,164.250000,164.250000,313200
2019-02-08,163.369995,166.990005,163.190002,166.660004,166.660004,244000
2019-02-11,166.649994,168.899994,165.729996,167.029999,167.029999,451100
2019-02-12,168.270004,169.979996,167.610001,169.720001,169.720001,240600
2019-02-13,170.000000,172.449997,170.000000,172.029999,172.029999,442200
2019-02-14,171.220001,172.580002,170.970001,171.500000,171.500000,551500
2019-02-15,172.850006,174.910004,172.490005,174.190002,174.190002,608000
2019-02-19,173.979996,173.979996,171.020004,171.259995,171.259995,527000
2019-02-20,171.610001,174.199997,171.050003,173.649994,173.649994,544300
2019-02-21,173.380005,173.380005,169.479996,170.229996,170.229996,318300
2019-02-22,170.000000,178.289993,170.000000,175.899994,175.899994,582700
2019-02-25,177.250000,178.050003,175.259995,175.899994,175.899994,457000
2019-02-26,175.339996,177.089996,174.449997,176.610001,176.610001,231200
2019-02-27,176.570007,178.250000,174.619995,178.080002,178.080002,671000
2019-02-28,178.199997,179.059998,176.679993,178.059998,178.059998,402600
2019-03-01,179.699997,180.830002,177.899994,180.559998,180.559998,458900
2019-03-04,181.000000,182.000000,177.630005,179.440002,179.440002,339600
2019-03-05,180.130005,180.130005,177.619995,177.889999,177.889999,273800
2019-03-06,177.580002,178.160004,174.570007,174.880005,174.880005,252100
2019-03-07,174.500000,177.279999,172.139999,173.080002,173.080002,238300
2019-03-08,171.139999,173.279999,170.270004,173.179993,173.179993,302100
2019-03-11,173.979996,175.220001,173.789993,175.210007,175.210007,239200
2019-03-12,175.440002,177.899994,174.490005,176.440002,176.440002,373900
2019-03-13,177.960007,181.529999,177.479996,179.820007,179.820007,398300
2019-03-14,179.080002,180.860001,178.559998,180.059998,180.059998,336400
2019-03-15,180.300003,182.369995,180.080002,181.300003,181.300003,361100
2019-03-18,181.830002,183.839996,180.529999,182.279999,182.279999,407200
2019-03-19,182.869995,187.460007,182.869995,186.199997,186.199997,526100
2019-03-20,186.050003,186.850006,183.410004,184.809998,184.809998,650200
2019-03-21,185.000000,193.000000,182.199997,191.039993,191.039993,587000
2019-03-22,189.000000,189.899994,184.490005,184.500000,184.500000,359300
2019-03-25,184.649994,186.830002,183.500000,185.770004,185.770004,367000
2019-03-26,187.669998,190.169998,186.740005,188.330002,188.330002,335900
2019-03-27,188.440002,189.809998,185.550003,188.259995,188.259995,183600
2019-03-28,188.710007,191.250000,188.410004,191.080002,191.080002,195100
2019-03-29,192.500000,193.279999,191.149994,191.990005,191.990005,396900
2019-04-01,193.520004,196.190002,192.649994,196.080002,196.080002,351800
2019-04-02,196.889999,197.429993,195.389999,196.960007,196.960007,359100
2019-04-03,197.080002,199.410004,196.699997,198.050003,198.050003,316200
2019-04-04,198.449997,198.929993,195.289993,196.990005,196.990005,271200
2019-04-05,199.339996,199.639999,194.970001,197.830002,197.830002,177300
2019-04-08,197.179993,199.500000,195.339996,199.500000,199.500000,207100
2019-04-09,198.850006,199.809998,198.089996,198.399994,198.399994,153300
2019-04-10,198.500000,199.800003,198.339996,198.779999,198.779999,269000
2019-04-11,199.229996,201.020004,198.070007,200.410004,200.410004,258600
2019-04-12,201.779999,203.139999,200.300003,202.580002,202.580002,196100
2019-04-15,202.550003,203.770004,201.940002,203.380005,203.380005,173500
2019-04-16,204.320007,204.520004,201.809998,202.250000,202.250000,281500
2019-04-17,203.339996,203.750000,200.589996,201.080002,201.080002,358400
2019-04-18,201.270004,203.000000,198.750000,202.339996,202.339996,208500
2019-04-22,201.679993,205.350006,201.309998,204.970001,204.970001,200700
2019-04-23,205.820007,209.130005,205.309998,208.750000,208.750000,219400
2019-04-24,208.869995,209.360001,207.360001,208.210007,208.210007,252500
2019-04-25,208.000000,208.929993,206.160004,207.240005,207.240005,233900
2019-04-26,207.669998,209.259995,206.610001,207.589996,207.589996,238700
2019-04-29,208.669998,210.429993,208.449997,209.380005,209.380005,272200
2019-04-30,210.000000,211.410004,208.449997,210.300003,210.300003,245000
2019-05-01,210.860001,212.130005,207.970001,207.970001,207.970001,248800
2019-05-02,205.020004,207.990005,199.279999,204.240005,204.240005,536300
2019-05-03,205.970001,208.190002,204.830002,208.089996,208.089996,279900
2019-05-06,203.869995,209.800003,203.330002,208.460007,208.460007,360000
2019-05-07,206.679993,208.979996,200.039993,201.850006,201.850006,268900
2019-05-08,201.610001,204.639999,200.649994,203.250000,203.250000,277000
2019-05-09,200.000000,204.600006,198.020004,203.910004,203.910004,311000
2019-05-10,202.679993,207.350006,202.050003,206.470001,206.470001,270000
2019-05-13,199.960007,202.119995,197.059998,197.809998,197.809998,398600
2019-05-14,198.570007,201.699997,197.179993,199.789993,199.789993,436200
2019-05-15,197.649994,201.929993,195.990005,199.559998,199.559998,186700
2019-05-16,200.649994,204.639999,200.300003,202.740005,202.740005,306900
2019-05-17,200.380005,203.100006,200.139999,201.910004,201.910004,197800
2019-05-20,200.309998,203.520004,198.350006,201.410004,201.410004,195400
2019-05-21,203.020004,206.649994,202.940002,204.800003,204.800003,265400
2019-05-22,204.289993,206.639999,203.160004,203.179993,203.179993,200400
2019-05-23,199.779999,200.539993,194.820007,195.529999,195.529999,373300
2019-05-24,197.490005,199.940002,197.070007,197.570007,197.570007,267500
2019-05-28,198.169998,200.029999,195.570007,195.970001,195.970001,380000
2019-05-29,194.289993,194.800003,191.039993,192.270004,192.270004,251600
2019-05-30,192.479996,194.910004,191.529999,192.339996,192.339996,250000
2019-05-31,189.660004,191.690002,188.009995,188.940002,188.940002,303300
2019-06-03,189.220001,191.110001,185.009995,185.960007,185.960007,372800
2019-06-04,188.690002,191.110001,185.360001,191.039993,191.039993,236100
2019-06-05,198.679993,200.309998,190.410004,191.139999,191.139999,596600
2019-06-06,190.199997,195.399994,184.580002,193.720001,193.720001,485800
2019-06-07,196.630005,199.320007,195.550003,198.330002,198.330002,338400
2019-06-10,199.720001,201.990005,198.860001,199.179993,199.179993,263400
2019-06-11,201.570007,202.410004,197.660004,199.949997,199.949997,167800
2019-06-12,199.020004,201.929993,198.949997,200.600006,200.600006,283500
2019-06-13,201.830002,204.550003,200.740005,203.059998,203.059998,173300
2019-06-14,203.720001,204.270004,202.139999,202.669998,202.669998,316900
2019-06-17,203.229996,204.820007,202.070007,202.729996,202.729996,321300
2019-06-18,204.119995,208.929993,203.559998,206.089996,206.089996,315000
2019-06-19,205.949997,208.460007,205.509995,207.490005,207.490005,362200
2019-06-20,210.119995,211.300003,206.039993,206.649994,206.649994,290700
2019-06-21,206.210007,208.259995,205.690002,206.320007,206.320007,233300
2019-06-24,206.289993,206.910004,203.089996,203.479996,203.479996,176700
2019-06-25,203.830002,204.619995,198.610001,198.770004,198.770004,357600
2019-06-26,200.160004,202.729996,198.539993,200.029999,200.029999,324200
2019-06-27,201.289993,204.399994,200.589996,203.809998,203.809998,166200
2019-06-28,204.789993,208.270004,203.710007,208.100006,208.100006,431600
2019-07-01,211.630005,212.960007,210.149994,211.639999,211.639999,332100
2019-07-02,210.889999,211.850006,207.000000,207.910004,207.910004,237300
2019-07-03,207.750000,209.190002,207.259995,208.240005,208.240005,173200
2019-07-05,206.929993,210.369995,205.830002,210.240005,210.240005,150900
2019-07-08,208.740005,210.550003,207.100006,208.970001,208.970001,271600
2019-07-09,207.910004,214.130005,207.059998,213.960007,213.960007,257400
2019-07-10,218.029999,218.029999,213.289993,215.309998,215.309998,362500
2019-07-11,216.500000,216.740005,214.179993,216.500000,216.500000,172200
2019-07-12,217.149994,219.190002,214.759995,219.070007,219.070007,186200
2019-07-15,220.000000,220.000000,217.490005,218.080002,218.080002,150500
2019-07-16,218.410004,219.029999,217.169998,218.460007,218.460007,151700
2019-07-17,218.529999,219.759995,217.190002,218.460007,218.460007,262900
2019-07-18,218.389999,219.850006,217.669998,219.399994,219.399994,269600
2019-07-19,220.850006,221.660004,216.080002,216.570007,216.570007,210600
2019-07-22,217.750000,219.750000,216.699997,218.020004,218.020004,401200
2019-07-23,219.229996,221.020004,218.210007,221.020004,221.020004,201900
2019-07-24,220.119995,221.100006,218.699997,219.089996,219.089996,233100
2019-07-25,218.339996,218.869995,215.119995,215.679993,215.679993,219300
2019-07-26,215.210007,217.600006,215.210007,217.279999,217.279999,261500
2019-07-29,216.809998,220.679993,216.529999,218.970001,218.970001,431800
2019-07-30,217.630005,218.389999,214.919998,216.089996,216.089996,230100
