Date,Open,High,Low,Close,Adj Close,Volume
2018-11-05,29.910000,30.180000,29.809999,30.120001,30.120001,1849900
2018-11-06,30.059999,30.400000,29.870001,30.090000,30.090000,2985500
2018-11-07,30.290001,30.490000,30.000000,30.379999,30.379999,2386600
2018-11-08,24.620001,25.010000,22.000000,22.559999,22.559999,18985900
2018-11-09,22.549999,23.280001,22.350000,23.260000,23.260000,10041100
2018-11-12,23.110001,23.240000,22.500000,22.510000,22.510000,7268100
2018-11-13,22.639999,24.059999,22.530001,24.049999,24.049999,7630700
2018-11-14,23.330000,24.485001,22.860001,23.209999,23.209999,13528600
2018-11-15,23.100000,23.230000,21.920000,22.200001,22.200001,7667400
2018-11-16,23.510000,23.760000,22.920000,23.670000,23.670000,8525200
2018-11-19,27.170000,28.400000,25.629999,26.000000,26.000000,18110500
2018-11-20,25.790001,25.895000,25.212999,25.389999,25.389999,7853600
2018-11-21,25.730000,26.750000,25.420000,26.100000,26.100000,12748800
2018-11-23,25.959999,26.570000,25.445000,25.490000,25.490000,5600400
2018-11-26,25.680000,25.910000,24.959999,25.320000,25.320000,5190500
2018-11-27,25.280001,25.709999,25.205000,25.480000,25.480000,6664400
2018-11-28,26.700001,26.820000,25.750000,26.540001,26.540001,7688000
2018-11-29,26.190001,26.510000,25.790001,26.000000,26.000000,5786200
2018-11-30,26.000000,26.389999,25.830000,26.320000,26.320000,4435900
2018-12-03,26.330000,26.879999,26.215000,26.670000,26.670000,4358200
2018-12-04,26.469999,26.900000,25.040001,25.120001,25.120001,6523400
2018-12-06,24.830000,26.160000,24.510000,26.010000,26.010000,4104100
2018-12-07,25.870001,26.170000,24.850000,24.969999,24.969999,3216800
2018-12-10,24.790001,25.209999,24.459999,25.080000,25.080000,6138500
2018-12-11,25.389999,25.750000,25.200001,25.219999,25.219999,3904900
2018-12-12,25.440001,25.730000,25.215000,25.280001,25.280001,3240500
2018-12-13,25.219999,25.510000,24.777000,24.969999,24.969999,3197200
2018-12-14,24.860001,25.100000,24.670000,24.879999,24.879999,3540800
2018-12-17,24.780001,24.879999,23.260000,23.540001,23.540001,5987400
2018-12-18,23.559999,24.129999,22.600000,22.840000,22.840000,8612200
2018-12-19,22.920000,23.533001,22.200001,22.350000,22.350000,4297000
2018-12-20,22.320000,22.350000,20.639999,21.360001,21.360001,5953600
2018-12-21,21.450001,21.570000,20.430000,20.680000,20.680000,6340900
2018-12-24,20.570000,20.889999,20.270000,20.459999,20.459999,1942000
2018-12-26,20.500000,22.110001,20.372000,22.020000,22.020000,4121900
2018-12-27,21.790001,22.209999,21.200001,22.170000,22.170000,4203500
2018-12-28,22.400000,22.754999,22.084999,22.440001,22.440001,8250600
2018-12-31,22.500000,23.200001,22.360001,22.840000,22.840000,4889900
2019-01-02,22.290001,22.990000,22.070000,22.820000,22.820000,2658800
2019-01-03,22.770000,23.620001,22.700001,23.209999,23.209999,2533300
2019-01-04,24.059999,24.549000,23.490000,24.370001,24.370001,5721100
2019-01-07,24.320000,25.190001,24.230000,24.809999,24.809999,3924300
2019-01-08,24.950001,25.320000,24.750000,25.230000,25.230000,4812700
2019-01-09,25.100000,25.340000,24.780001,25.180000,25.180000,2062200
2019-01-10,25.100000,25.610001,24.459999,25.299999,25.299999,6785200
2019-01-11,25.370001,26.080000,25.170000,26.080000,26.080000,3578000
2019-01-14,25.730000,26.540001,25.490000,25.650000,25.650000,6977500
2019-01-15,25.629999,25.930000,25.410000,25.700001,25.700001,1903300
2019-01-16,25.590000,26.020000,25.590000,25.690001,25.690001,2625100
2019-01-17,25.639999,25.760000,25.430000,25.629999,25.629999,1844300
2019-01-18,26.860001,27.780001,26.650000,27.650000,27.650000,11936900
2019-01-22,27.450001,27.850000,26.719999,27.430000,27.430000,10612200
2019-01-23,28.320000,28.320000,27.129999,27.370001,27.370001,4854800
2019-01-24,27.230000,27.440001,26.020000,26.910000,26.910000,7394100
2019-01-25,27.160000,27.200001,26.280001,26.700001,26.700001,7537100
2019-01-28,27.200001,27.700001,26.760000,27.420000,27.420000,9447900
2019-01-29,27.400000,27.600000,27.020000,27.280001,27.280001,3172000
2019-01-30,27.230000,27.280001,26.230000,26.799999,26.799999,4316400
2019-01-31,26.799999,27.555000,26.320000,27.450001,27.450001,8434400
2019-02-01,27.629999,27.820000,27.200001,27.650000,27.650000,3852000
2019-02-04,27.690001,27.879999,27.049999,27.170000,27.170000,3591700
2019-02-05,27.110001,27.219999,26.780001,27.040001,27.040001,3669200
2019-02-06,27.129999,27.170000,26.530001,26.650000,26.650000,3144500
2019-02-07,26.350000,26.780001,26.200001,26.600000,26.600000,4536100
2019-02-08,26.090000,26.450001,25.309999,26.309999,26.309999,13779500
2019-02-11,26.620001,27.010000,24.750000,25.510000,25.510000,14890400
2019-02-12,25.500000,25.500000,24.809999,25.459999,25.459999,11163100
2019-02-13,25.500000,25.770000,25.320000,25.620001,25.620001,3390900
2019-02-14,25.410000,25.750000,25.129999,25.459999,25.459999,3201900
2019-02-15,25.750000,25.950001,25.584999,25.709999,25.709999,4745800
2019-02-19,25.719999,25.830000,25.400000,25.450001,25.450001,6471900
2019-02-20,25.490000,25.940001,25.370001,25.740000,25.740000,5525100
2019-02-21,25.760000,25.760000,25.209999,25.580000,25.580000,3043100
2019-02-22,25.700001,26.030001,25.629999,25.799999,25.799999,4320500
2019-02-25,25.870001,26.080000,25.590000,25.719999,25.719999,6556200
2019-02-26,25.750000,25.760000,24.950001,25.059999,25.059999,4017500
2019-02-27,25.030001,25.340000,24.790001,25.309999,25.309999,3417100
2019-02-28,25.280001,25.320000,24.770000,24.799999,24.799999,3545600
2019-03-01,24.980000,25.240000,24.860001,25.070000,25.070000,2902500
2019-03-04,25.110001,25.209999,24.254999,24.629999,24.629999,3653400
2019-03-05,24.690001,24.690001,24.200001,24.410000,24.410000,2440800
2019-03-06,27.020000,27.780001,25.660000,27.480000,27.480000,19285900
2019-03-07,28.030001,28.040001,27.415001,27.510000,27.510000,7385400
2019-03-08,27.160000,27.719999,27.040001,27.510000,27.510000,3774500
2019-03-11,27.549999,28.277000,27.510000,28.209999,28.209999,3894400
2019-03-12,28.150000,28.389999,27.930000,28.260000,28.260000,3292700
2019-03-13,28.379999,28.840000,28.280001,28.639999,28.639999,4140700
2019-03-14,28.660000,28.850000,28.160000,28.250000,28.250000,2593200
2019-03-15,28.299999,28.420000,27.879999,27.889999,27.889999,4843700
2019-03-18,28.000000,28.440001,27.976000,28.299999,28.299999,5863600
2019-03-19,28.420000,28.480000,27.700001,27.910000,27.910000,2617900
2019-03-20,27.790001,28.290001,27.660000,27.900000,27.900000,1709800
2019-03-21,27.900000,28.670000,27.830000,28.600000,28.600000,3910800
2019-03-22,28.480000,28.670000,28.260000,28.290001,28.290001,3352400
2019-03-25,28.230000,28.330000,27.850000,27.959999,27.959999,2041400
2019-03-26,28.059999,28.705000,28.059999,28.680000,28.680000,3282200
2019-03-27,28.629999,28.790001,28.240000,28.420000,28.420000,2505500
2019-03-28,28.440001,28.610001,28.136000,28.260000,28.260000,1408800
2019-03-29,28.250000,28.459999,28.250000,28.420000,28.420000,2592700
2019-04-01,28.549999,28.709999,28.094999,28.350000,28.350000,2519600
2019-04-02,28.330000,28.360001,27.889999,27.990000,27.990000,2608400
2019-04-03,28.170000,29.389999,28.080000,29.299999,29.299999,7785500
2019-04-04,29.450001,29.650000,29.190001,29.480000,29.480000,3930800
2019-04-05,29.520000,29.590000,29.280001,29.370001,29.370001,4387300
2019-04-08,29.230000,29.530001,29.110001,29.490000,29.490000,2164800
2019-04-09,29.490000,29.650000,29.270000,29.450001,29.450001,2798500
2019-04-10,29.480000,31.740000,29.309999,31.129999,31.129999,20533200
2019-04-11,31.000000,31.150000,30.430000,30.780001,30.780001,8565900
2019-04-12,30.760000,31.020000,30.580000,30.830000,30.830000,3642900
2019-04-15,30.809999,32.310001,30.500000,31.670000,31.670000,9453300
2019-04-16,31.650000,32.040001,31.500000,31.950001,31.950001,3509000
2019-04-17,32.049999,32.099998,31.660000,31.750000,31.750000,2867200
2019-04-18,31.840000,31.969999,31.575001,31.709999,31.709999,7222500
2019-04-22,31.709999,31.760000,31.170000,31.670000,31.670000,5978500
2019-04-23,31.700001,31.760000,31.340000,31.610001,31.610001,2228800
2019-04-24,31.469999,32.110001,31.469999,31.730000,31.730000,4435800
2019-04-25,31.690001,31.770000,28.170000,30.600000,30.600000,9211700
2019-04-26,31.299999,32.099998,31.000000,32.040001,32.040001,5602000
2019-04-29,31.510000,31.510000,30.650000,30.709999,30.709999,4612800
