Issuer Name,Symbol,Reason,Status,Effective Date,Form 25 Date
"ADOMANI, Inc.",ADOM,Regulatory/Non Compliance,Suspended,8/22/2019,9/23/2019
"Allied Esports Entertainment, Inc.",AESEW,Regulatory/Non Compliance,Suspended,9/10/2019,9/23/2019
"Alta Mesa Resources, Inc.",AMRWW,Regulatory/Non Compliance,Suspended,9/24/2019,None
BIQI International Holdings Corporation,BIQI,Regulatory/Non Compliance,Suspended,8/9/2019,None
China TechFaith Wireless Communication Technology Limited,CNTF,Regulatory/Non Compliance,Suspended,9/17/2019,9/23/2019
Cray Inc,CRAY,Acquisition/Merger,Suspended,9/26/2019,9/25/2019
Diversicare Healthcare Services Inc.,DVCR,Regulatory/Non Compliance,Suspended,8/29/2019,None
"Emmaus Life Sciences, Inc.",EMMAW,Regulatory/Non Compliance,Suspended,9/11/2019,None
"Fred's, Inc.",FRED,Regulatory/Non Compliance,Suspended,9/18/2019,None
Hunter Maritime Acquisition Corp.,HUNT,Regulatory/Non Compliance,Suspended,4/26/2019,9/23/2019
Hunter Maritime Acquisition Corp.,HUNTW,Regulatory/Non Compliance,Suspended,4/26/2019,9/23/2019
Ivy NextShares,IVFGC,Liquidation,Suspended,9/10/2019,None
"Peak Resorts, Inc.",SKIS,Acquisition/Merger,Suspended,9/25/2019,9/24/2019
Repay Holdings Corporation,TBRGU,Other,Suspended,7/12/2019,None
"USA Technologies, Inc.",USAT,Regulatory/Non Compliance,Suspended,9/26/2019,None
"Xynomic Pharmaceuticals Holdings, Inc.",BCACU,Acquisition/Merger,Suspended,5/15/2019,None
"Xynomic Pharmaceuticals Holdings, Inc.",XYNPW,Regulatory/Non Compliance,Suspended,7/17/2019,9/23/2019
AdvisorShares Trust,BKCH,Liquidation,Suspended,9/30/2019,9/27/2019
"Alta Mesa Resources, Inc.",AMR,Regulatory/Non Compliance,Suspended,9/24/2019,None
China Lending Corporation,CLDC,Regulatory/Non Compliance,Suspended,9/6/2019,None
ChinaCache International Holdings Ltd.,CCIH,Regulatory/Non Compliance,Suspended,9/6/2019,None
"Del Frisco's Restaurant Group, Inc.",DFRG,Acquisition/Merger,Suspended,9/26/2019,9/25/2019
"Emmaus Life Sciences, Inc.",EMMA,Regulatory/Non Compliance,Suspended,9/11/2019,None
Finisar Corporation,FNSR,Acquisition/Merger,Suspended,9/25/2019,9/24/2019
Gladstone Capital Corporation,GLADN,Called for Redemption,Suspended,10/2/2019,10/1/2019
Hunter Maritime Acquisition Corp.,HUNTU,Regulatory/Non Compliance,Suspended,4/26/2019,9/23/2019
Ivy NextShares,IVENC,Liquidation,Suspended,9/10/2019,None
Ivy NextShares,IVFVC,Liquidation,Suspended,9/10/2019,None
"Shutterfly, Inc.",SFLY,Acquisition/Merger,Suspended,9/26/2019,9/25/2019
"USA Technologies, Inc.",USATP,Regulatory/Non Compliance,Suspended,9/26/2019,None
"Xynomic Pharmaceuticals Holdings, Inc.",XYN,Regulatory/Non Compliance,Suspended,7/17/2019,9/23/2019
Yangtze River Port and Logistics Limited ,YRIV,Regulatory/Non Compliance,Suspended,8/20/2019,None
