SYMBOL,SITE_NAME,URL,PUBLISH_TIME,SCRAPED_TIME,TITLE,CONTENT
Cray Inc | CRAY,Forbes,https://news.google.com./articles/CAIiEJHZN3fye6pSzmwXHRNce2UqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-US&gl=US&ceid=US%3Aen,2019-05-17T07:00:00Z,2019-10-07-13-10,Hewlett Packard Enterprise (HPE) Acquisition Of Cray Is A Smart Move,
Cray Inc | CRAY,Forbes,https://news.google.com./articles/CAIiEHmedgxr12OQGJL1U1IIxdEqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-US&gl=US&ceid=US%3Aen,2019-05-03T07:00:00Z,2019-10-07-13-10,Here's How To Save A Bunch Of Money On Your Cell Phone Bill,
Cray Inc | CRAY,Forbes,https://news.google.com./articles/CAIiECa6knqg2z1NmkMa1kl4D3EqFQgEKg0IACoGCAowrqkBMKBFMI_CEg?hl=en-US&gl=US&ceid=US%3Aen,2019-06-15T07:00:00Z,2019-10-07-13-10,"NIH Director: No More 'Manels', How To Make Panels More Diverse",
Diversicare Healthcare Services Inc. | DVCR,Forbes,https://news.google.com./articles/CAIiEBI-_ZIknvgMwLIQ-XX0KgYqFQgEKg0IACoGCAowrqkBMKBFMLKAAg?hl=en-US&gl=US&ceid=US%3Aen,2019-08-08T07:00:00Z,2019-10-07-13-10,Misleading Operating Lease Discount Rates Obscure Reported Results,
"Fred's, Inc. | FRED",Forbes,https://news.google.com./articles/CAIiEHKz_Jh5SM9gPQtOQLtQOLIqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-US&gl=US&ceid=US%3Aen,2019-09-09T07:00:00Z,2019-10-07-13-10,"Fred’s Bankruptcy Could Boost CVS, Walgreens Pharmacies",
"Fred's, Inc. | FRED",Forbes,https://news.google.com./articles/CAIiEG8iq0rJ4uyMib7tu4xAMdUqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-US&gl=US&ceid=US%3Aen,2018-12-13T08:00:00Z,2019-10-07-13-10,Walgreens Will Soon Own Patient Files From 179 Fred's Pharmacies,
"Peak Resorts, Inc. | SKIS",Forbes,https://news.google.com./articles/CAIiEClPx-h_YhluCsA7SjA8TEYqFQgEKg0IACoGCAowrqkBMKBFMLGBAg?hl=en-US&gl=US&ceid=US%3Aen,2019-07-22T07:00:00Z,2019-10-07-13-10,"Ski Travel Revolution: Vail Acquires 17 More Ski Resorts, Expands Epic Pass",
"Del Frisco's Restaurant Group, Inc. | DFRG",Forbes,https://news.google.com./articles/CAIiEJiQfJ8PcAz7weUlmhpwGg4qFQgEKg0IACoGCAowrqkBMKBFMJGBAg?hl=en-US&gl=US&ceid=US%3Aen,2019-02-25T08:00:00Z,2019-10-07-13-10,Bartaco Is Ready To Skyrocket Under Its New Ownership By Del Frisco's Restaurant Group,
Finisar Corporation | FNSR,Forbes,https://news.google.com./articles/CAIiEHXqbdzat6e41BGOgsR4NE8qFQgEKg0IACoGCAowrqkBMKBFMLKAAg?hl=en-US&gl=US&ceid=US%3Aen,2019-03-07T08:00:00Z,2019-10-07-13-10,Market Is Missing The Growth Potential For This Tech Leader,
Finisar Corporation | FNSR,Forbes,https://news.google.com./articles/CAIiEGu-DIrqPFvRVbtsetToSx0qFQgEKg0IACoGCAowrqkBMKBFMLKAAg?hl=en-US&gl=US&ceid=US%3Aen,2019-01-30T08:00:00Z,2019-10-07-13-10,Stock-Picking Successes In 2018,
Gladstone Capital Corporation | GLADN,Forbes,https://news.google.com./articles/CAIiEKJyrsLfMNg5ya0-UI0qbuEqFQgEKg0IACoGCAowrqkBMKBFMLKAAg?hl=en-US&gl=US&ceid=US%3Aen,2019-08-10T07:00:00Z,2019-10-07-13-10,Why Dividend Investors Should Never Trust A Stock Screener,
