Date,Open,High,Low,Close,Adj Close,Volume
2018-10-16,44.889999,44.959999,44.230000,44.509998,43.137321,3443700
2018-10-17,44.389999,44.529999,42.820000,43.279999,41.945248,4704200
2018-10-18,42.580002,42.910000,41.910000,42.330002,41.024551,3231900
2018-10-19,42.049999,42.700001,41.750000,42.099998,41.044048,3168200
2018-10-22,42.099998,42.139999,40.980000,41.290001,40.254368,3150200
2018-10-23,40.380001,40.380001,38.980000,39.779999,38.782238,3607900
2018-10-24,40.270000,40.400002,37.900002,37.970001,37.017639,3539700
2018-10-25,38.509998,38.910000,37.740002,38.150002,37.193127,3493600
2018-10-26,37.580002,37.919998,36.599998,37.389999,36.452183,3236900
2018-10-29,37.639999,37.900002,35.599998,36.180000,35.272537,3900600
2018-10-30,35.750000,37.520000,35.669998,37.450001,36.510681,4800200
2018-10-31,37.900002,39.060001,37.700001,37.830002,36.881149,4849800
2018-11-01,37.700001,38.880001,35.689999,36.389999,35.477264,9358300
2018-11-02,37.009998,37.470001,35.500000,35.939999,35.038555,7143500
2018-11-05,36.680000,37.860001,36.639999,37.580002,36.637421,4114200
2018-11-06,37.779999,38.000000,36.910000,37.340000,36.403439,2882500
2018-11-07,38.090000,38.619999,37.340000,37.810001,36.861652,3639400
2018-11-08,37.439999,37.830002,35.919998,36.020000,35.116550,4197500
2018-11-09,35.130001,37.410000,35.020000,37.080002,36.149960,7827900
2018-11-12,37.549999,37.630001,36.009998,36.049999,35.145794,3800800
2018-11-13,36.070000,36.860001,35.200001,35.240002,34.356113,5263900
2018-11-14,36.240002,36.830002,35.689999,36.119999,35.214039,5550900
2018-11-15,35.869999,37.270000,35.740002,36.990002,36.062222,4427500
2018-11-16,37.070000,37.639999,36.700001,37.430000,36.491184,4361000
2018-11-19,36.889999,37.410000,36.369999,36.529999,35.613754,3346500
2018-11-20,35.619999,35.930000,34.279999,34.669998,33.800404,5721300
2018-11-21,35.000000,36.790001,34.990002,36.029999,35.126297,3388600
2018-11-23,34.750000,35.090000,34.200001,34.860001,33.985641,1860700
2018-11-26,35.360001,35.900002,34.959999,35.369999,34.482849,4751800
2018-11-27,35.220001,35.540001,34.730000,35.080002,34.200123,4032400
2018-11-28,35.060001,35.599998,34.580002,35.259998,34.375607,4005800
2018-11-29,35.450001,36.130001,35.209999,35.540001,34.648586,3084200
2018-11-30,35.020000,35.200001,34.240002,35.130001,34.248871,5394900
2018-12-03,36.400002,37.090000,36.029999,36.490002,35.574760,3678700
2018-12-04,36.400002,36.570000,34.939999,35.040001,34.161125,3611900
2018-12-06,34.169998,34.230000,32.970001,33.900002,33.049725,5646100
2018-12-07,34.889999,35.320000,32.959999,33.009998,32.182041,5157100
2018-12-10,32.570000,32.919998,30.540001,31.260000,30.475939,6758300
2018-12-11,31.700001,31.990000,29.879999,30.570000,29.803244,6854300
2018-12-12,31.080000,32.250000,31.000000,31.330000,30.544182,6013900
2018-12-13,31.139999,31.540001,30.299999,31.299999,30.514933,5957200
2018-12-14,30.920000,31.480000,30.080000,30.240000,29.481520,6897400
2018-12-17,30.049999,30.870001,29.950001,30.170000,29.413277,6619800
2018-12-18,30.160000,30.309999,29.049999,29.240000,28.506603,8197000
2018-12-19,29.459999,30.180000,28.540001,28.750000,28.028893,5916500
2018-12-20,28.299999,29.049999,26.840000,27.000000,26.322786,6196900
2018-12-21,26.860001,27.500000,26.309999,26.549999,25.884073,9967600
2018-12-24,26.170000,26.330000,25.260000,25.400000,24.762918,3044500
2018-12-26,25.650000,27.059999,24.559999,27.040001,26.361784,7648400
2018-12-27,26.500000,26.740000,25.610001,26.740000,26.069309,5420500
2018-12-28,27.010000,27.150000,26.260000,26.340000,25.679340,4855100
2018-12-31,26.500000,26.940001,25.940001,26.250000,25.591597,4429900
2019-01-02,25.610001,27.580000,25.590000,27.110001,26.430029,4629400
2019-01-03,27.120001,27.799999,26.610001,27.180000,26.498272,5351400
2019-01-04,27.780001,28.430000,27.469999,28.320000,27.609678,4215700
2019-01-07,28.370001,29.150000,27.920000,28.930000,28.204380,3924400
2019-01-08,29.240000,29.600000,28.750000,29.360001,28.623594,4131000
2019-01-09,29.760000,30.930000,29.450001,30.860001,30.085972,6869100
