Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,2.743682,2.779783,2.707581,2.743682,2.743682,7500
2018-10-18,2.743682,2.743682,2.671480,2.671480,2.671480,16900
2018-10-19,2.743682,2.743682,2.635379,2.671480,2.671480,6200
2018-10-22,2.635379,2.635379,2.490975,2.527076,2.527076,16700
2018-10-23,2.490975,2.635379,2.382672,2.635379,2.635379,42900
2018-10-24,2.490975,2.599278,2.382672,2.454874,2.454874,15600
2018-10-25,2.418772,2.418772,2.346570,2.382672,2.382672,23100
2018-10-26,2.310469,2.310469,2.202166,2.238267,2.238267,20900
2018-10-29,2.454874,2.454874,2.238267,2.310469,2.310469,16300
2018-10-30,2.238267,2.274368,1.841155,2.093863,2.093863,50600
2018-10-31,2.166065,2.490975,2.166065,2.382672,2.382672,72000
2018-11-01,2.310469,2.382672,2.238267,2.382672,2.382672,13200
2018-11-02,2.382672,2.454874,2.310469,2.382672,2.382672,10300
2018-11-05,2.346570,2.671480,2.274368,2.635379,2.635379,52900
2018-11-06,2.599278,2.671480,2.599278,2.671480,2.671480,3000
2018-11-07,2.671480,2.743682,2.599278,2.743682,2.743682,36000
2018-11-08,2.671480,2.707581,2.599278,2.707581,2.707581,33900
2018-11-09,2.707581,2.743682,2.671480,2.707581,2.707581,28900
2018-11-12,2.671480,2.743682,2.671480,2.707581,2.707581,15700
2018-11-13,2.707581,2.707581,2.563177,2.599278,2.599278,8400
2018-11-14,2.671480,2.671480,2.418772,2.563177,2.563177,4300
2018-11-15,2.527076,2.563177,2.527076,2.563177,2.563177,12600
2018-11-16,2.599278,2.671480,2.599278,2.671480,2.671480,65700
2018-11-19,2.635379,2.671480,2.599278,2.635379,2.635379,14400
2018-11-20,2.527076,2.527076,1.768953,2.238267,2.238267,380800
2018-11-21,2.346570,2.599278,2.346570,2.563177,2.563177,55500
2018-11-23,2.635379,2.671480,2.382672,2.454874,2.454874,13500
2018-11-26,2.490975,2.599278,2.490975,2.527076,2.527076,22700
2018-11-27,2.490975,2.671480,2.418772,2.635379,2.635379,23700
2018-11-28,2.527076,2.707581,2.527076,2.707581,2.707581,26100
2018-11-29,2.671480,2.779783,2.635379,2.743682,2.743682,21000
