Date,Open,High,Low,Close,Adj Close,Volume
2018-10-17,7.790000,7.790000,7.590000,7.670000,7.670000,129600
2018-10-18,7.630000,7.970000,7.380000,7.400000,7.400000,58400
2018-10-19,7.390000,7.450000,7.250000,7.350000,7.350000,43700
2018-10-22,7.360000,7.430000,7.300000,7.410000,7.410000,34300
2018-10-23,7.090000,7.450000,7.090000,7.360000,7.360000,34800
2018-10-24,7.370000,7.500000,7.230000,7.250000,7.250000,78200
2018-10-25,7.290000,7.380000,7.200000,7.270000,7.270000,36200
2018-10-26,7.200000,7.310000,6.960000,7.220000,7.220000,28500
2018-10-29,7.330000,7.340000,7.150000,7.210000,7.210000,34500
2018-10-30,7.200000,7.450000,7.150000,7.440000,7.440000,30900
2018-10-31,7.500000,7.500000,7.360000,7.440000,7.440000,54900
2018-11-01,7.450000,7.600000,7.450000,7.510000,7.510000,34300
2018-11-02,7.530000,7.660000,7.510000,7.610000,7.610000,35300
2018-11-05,7.640000,7.890000,7.600000,7.640000,7.640000,31200
2018-11-06,7.620000,8.060000,7.560000,8.050000,8.050000,77500
2018-11-07,8.580000,8.580000,8.010000,8.330000,8.330000,255400
2018-11-08,8.220000,8.260000,7.820000,8.080000,8.080000,99200
2018-11-09,8.070000,8.140000,7.800000,7.820000,7.820000,74600
2018-11-12,7.830000,8.070000,7.630000,7.790000,7.790000,76800
2018-11-13,7.850000,8.520000,7.850000,8.500000,8.500000,137200
2018-11-14,8.540000,8.540000,7.860000,8.010000,8.010000,93800
2018-11-15,7.960000,8.280000,7.960000,8.120000,8.120000,51800
2018-11-16,8.080000,8.410000,7.960000,8.350000,8.350000,180000
2018-11-19,8.390000,8.400000,8.130000,8.240000,8.240000,65300
2018-11-20,8.210000,8.330000,7.970000,8.050000,8.050000,104400
2018-11-21,8.070000,8.240000,8.070000,8.170000,8.170000,60700
2018-11-23,8.050000,8.270000,8.050000,8.130000,8.130000,34400
2018-11-26,8.170000,8.240000,7.680000,7.860000,7.860000,186600
2018-11-27,7.820000,7.940000,7.740000,7.810000,7.810000,61500
2018-11-28,7.820000,8.040000,7.700000,7.900000,7.900000,126300
2018-11-29,7.970000,8.140000,7.760000,8.040000,8.040000,81700
2018-11-30,8.090000,8.500000,8.080000,8.310000,8.310000,119600
2018-12-03,8.380000,8.690000,8.280000,8.460000,8.460000,210500
2018-12-04,8.410000,8.560000,7.950000,7.990000,7.990000,149400
2018-12-06,7.990000,8.100000,7.750000,8.060000,8.060000,145800
2018-12-07,8.070000,8.330000,8.000000,8.020000,8.020000,251600
2018-12-10,8.010000,8.010000,7.760000,7.810000,7.810000,78000
2018-12-11,7.940000,8.140000,7.490000,7.520000,7.520000,99200
2018-12-12,7.540000,7.960000,7.260000,7.690000,7.690000,140100
2018-12-13,7.680000,7.680000,7.450000,7.530000,7.530000,48300
2018-12-14,7.600000,7.680000,7.330000,7.380000,7.380000,129100
2018-12-17,7.370000,7.620000,7.370000,7.540000,7.540000,125600
2018-12-18,7.720000,7.720000,7.550000,7.570000,7.570000,89000
2018-12-19,7.580000,7.600000,7.250000,7.270000,7.270000,75100
2018-12-20,7.280000,7.340000,7.000000,7.080000,7.080000,75600
2018-12-21,7.060000,7.090000,6.750000,6.810000,6.810000,275100
